,pretty_comp,bulk_modulus_kv
381,MnSnAu,80.2
382,Pu3Ga,44.033
383,Sc(CuSi)2,118.911
384,HfNi2Sn,155.767
385,SiH,36.022
386,VNi2,211.333
387,ZnGeN2,168.13299999999995
388,TiFe2Sb,185.567
389,K2BeFe,17.111
390,InGaTe2,25.589000000000002
391,MnNiSb,110.73299999999999
392,PrOs2,193.3
393,BeFeBr2,37.922
394,ThFe5,150.844
395,VP4,114.456
396,HoI3,12.456
397,LuVO4,151.189
398,TcAsPt2,210.36700000000002
399,Sr2BeV,26.533
400,SmSnRh2,132.63299999999998
401,Ca4P2O,65.933
402,HfZnNi2,155.86700000000005
403,BePtCl2,71.211
404,ZnNi,148.7
405,NaSnN,56.778
406,NiC2(SN)2,32.667
407,MgNiSb,83.73299999999998
408,SnPt3,198.7
409,Cr2FeTe4,51.956
410,HoMnGe,95.789
411,Mg2BeFe,67.867
412,Tl2SiSe3,20.522
413,Li2NdAs2,46.278
414,Al2CdTe4,30.622
415,RbLuSe2,42.144
416,BeTlFe2,123.911
417,VSbRu,161.86700000000005
418,NaHO,32.978
419,Pu2SO2,89.48899999999998
420,FeCu2Sn,112.333
421,ReSn3,90.133
422,InPH2O5,67.289
423,BaSnO3,141.8
424,Mg2SnN2,82.07799999999997
425,Ge3N4,214.567
426,Sc2BeCl,29.389
427,NaMnBe,19.477999999999998
428,Rb2SnAs2,20.011
429,K2RbPt,10.067
430,TmIr,149.067
431,Be2GaFe2,115.478
432,BeVSe,131.033
433,TaBeFe,153.9
434,RbVP2S7,24.956
435,BaCeO3,118.43299999999999
436,K3VO4,38.156
437,Be2C,204.8
438,SrBePd,61.067
439,US3,34.244
440,ZnSiP2,84.26700000000002
441,ThCu2,99.133
442,Ti3As,129.13299999999998
443,SrGaSiH,55.821999999999996
444,PmBiRh2,115.1
445,Ba2BiSbO6,126.056
446,PtSe2,66.089
447,CaBeIn,44.367
448,NaAsSe2,25.489
449,BeV2Se,147.056
450,Ba2ZrO4,114.189
451,ZrCuF6,28.622
452,NdTaO4,147.144
453,ScNiP,130.36700000000002
454,DyS,102.867
455,YSnF5,63.078
456,UCuP2,120.289
457,NpRh3,220.533
458,TiSnPd,121.6
459,KNaSO4,37.389
460,Yb(NiGe)2,98.667
461,NdPPd,114.03299999999999
462,ZnNiF6,56.544
463,AsPdRh2,180.6
464,Hg3Ir,108.72200000000001
465,TiBe2Nb,138.156
466,RbAlF4,67.811
467,SeOF2,16.822
468,HfCo,171.1
469,BaP2Ru,70.7
470,Mg2SiO4,193.24400000000003
471,NaNbO3,185.167
472,DyTiGe,90.92200000000001
473,TiHg,110.51100000000001
474,Ba2ZnN2,58.989
475,CaMo2O5,79.722
476,CaSbF6,20.889
477,InNi3,153.63299999999995
478,Sr2As,34.7
479,NiMoO4,154.811
480,TaSbRu,177.567
481,CuNi2Sn,148.8
482,Ca(NiP)2,115.133
483,SrGe(HO2)2,84.822
484,Ti3Zn2O8,154.6
485,ZrBeNb,126.01100000000001
486,VGaCo2,202.967
487,K3CrO8,42.6
488,CaNiN,118.06700000000001
489,CaIrO3,173.97799999999995
490,KSrCO3F,49.967
491,CuF2,117.22200000000001
492,K4ZrBe,6.632999999999999
493,HoSiIr,151.2
494,CoTeO4,86.656
495,CoGe,137.567
496,Sr2MnO4,124.022
497,Pr3Ga,46.433
498,YCu,73.333
499,AlClO,72.056
500,Cu2SnTe3,46.943999999999996
501,BeV2Os,218.7
502,YBi,56.333
503,LuTiGe,96.756
504,VOsCl,122.7
505,PrHg,59.633
506,Mn2V2O7,91.46700000000001
507,SrCa2Be,20.967
508,FeGe,156.167
509,TaS2,100.43299999999999
510,LiCaGaF6,68.6
511,PmInPd2,100.4
512,CdCu2SiS4,74.178
513,LiMnSb,60.411
514,Li3SbO4,94.22200000000001
515,MgGeAs2,53.856
516,TbTlAg2,73.733
517,Na2H6PtO6,37.378
518,ScRh3,193.233
519,YbS2,54.0
520,HoBi2IO4,79.456
521,BeSiRh2,229.6
522,K3IO,22.666999999999998
523,NaMnSe2,28.63300000000001
524,USO,129.356
525,KBa2Re,16.467
526,Ag(TeMo)6,42.422
527,SrMnSn,40.756
528,PmN,150.433
529,NaHF2,34.266999999999996
530,Rb2NiF4,49.533
531,PrB2Rh3,203.422
532,Zn2NiRh,163.533
533,Ba2Mn3(AsO)2,88.62200000000001
534,Sr(ZnP)2,65.47800000000001
535,RbHoSe2,40.733000000000004
536,AgClO4,31.666999999999998
537,SmMgAu2,85.6
538,MoCl3,32.756
539,Ho2SeO2,121.256
540,LuTlS2,52.633
541,TiF4,19.456
542,TiP2O7,80.311
543,YZnAsO,80.47800000000002
544,Ca(VN)2,108.7
545,CuAs2,83.744
546,Li2RhAu,81.14399999999998
547,LiH3O2,40.544000000000004
548,KGeCl3,15.222000000000001
549,Mn3Zn,179.489
550,Sr2HfO4,120.56700000000001
551,Sc2Sb,74.844
552,Nd2ZnIr,86.53299999999999
553,HfBe2Ru,154.6
554,MgNiPO5,127.044
555,CoPt,221.41099999999997
556,BeZnP,59.256
557,Cd3SiO5,129.378
558,ZnCoF4,72.0
559,LiBH4,18.089000000000002
560,Ni3Bi,138.0
561,Na3DyCl6,24.4
562,Mn2CoSb,174.4
563,Yb(SiOs)2,149.267
564,LiHg,34.867
565,Na2Ti2Sb2O,62.343999999999994
566,TiFe,195.86700000000002
567,Ga2FeS4,43.622
568,LiHF2,60.0
569,ErAu2,111.711
570,BeCo4Hg,151.3
571,BeTlRe4,215.833
572,Sc2MnC,127.7
573,LiNi2Ge,132.433
574,Er3GaC,49.033
575,BaYCl,12.533
576,Al2CoOs,202.733
577,YbGa4,54.888999999999996
578,CrFe2Sb,191.7
579,MoP,217.122
580,NpAl2,77.567
581,Ho3SnC,42.933
582,KBaMo,6.867000000000001
583,ErRh5,189.84400000000002
584,InF3,36.455999999999996
585,BeGeOs2,227.34400000000002
586,KBiO2,40.367
587,BeZn2Ge,74.689
588,LiYbAlF6,81.722
589,UCdO4,162.678
590,Ti2MoAs,158.667
591,BeSnSb,39.389
592,Tb(NiP)2,144.667
593,SnF2,24.767
594,BaTlSn,22.566999999999997
595,HoNbRu2,180.4
596,KSbS2,22.811
597,UBr4,18.344
598,Nb3Si,178.433
599,Si3As4,59.467
600,BeVFe2,185.1
601,Li5CrCl8,27.366999999999997
602,Al2Pd,109.7
603,HfScBe2,83.48899999999998
604,NaAg2,52.266999999999996
605,K4CO4,21.721999999999998
606,TlAs,39.533
607,KMnP,15.244000000000002
608,MgO,151.733
609,LiHo3,35.356
610,Pu3Sc,48.333
611,K2BaGa,9.511000000000001
612,Y2AlSi2,87.35600000000002
613,NdMg3,39.233000000000004
614,CaTiO3,182.822
615,TlBSe3,26.933000000000003
616,Er2Al3Si2,87.189
617,Yb(SiRh)2,132.45600000000002
618,Ca2PI,37.522
619,CdCuSb,57.633
620,HfSe2,39.489000000000004
621,CrCoTe,116.1
622,KBaCd2,14.4
623,U(SiAu)2,125.23299999999999
624,Tm2AgRu,104.4
625,CoSi2,171.36700000000005
626,YMnBe2,71.744
627,CaTiS2,88.12200000000001
628,RbCd(NO2)3,35.589
629,LiTiV2O6,108.789
630,ZrS2,44.089
631,HoAu,96.667
632,Te2I,19.756
633,MgSnO2,43.989
634,CeAlO3,206.63299999999998
635,Sm3Si,58.422
636,SmAlSi,87.42200000000004
637,Ca2BeCr,36.3
638,Mn5O3F5,80.911
639,NbAlO4,180.956
640,Rb3Er,5.843999999999999
641,K3VSO3,29.410999999999998
642,TiGa,117.589
643,CoSb3,84.0
644,Sc2C,76.822
645,SrTaBe2,72.9
646,Rb3Cr,4.467
647,ScBeIn,81.678
648,CoSO4,75.222
649,U2InPd2,105.73299999999999
650,BaLiCa,6.3329999999999975
651,EuTlS2,48.821999999999996
652,MgS2O7,40.367
653,BeGa4Tc,105.5
654,Ba3Ti2O7,103.111
655,Li(Co3P2)2,197.1
656,Tl2CdGeTe4,24.744
657,KBeMo2,99.53299999999999
658,ScHg,82.667
659,Y3GaC,81.467
660,Ag2O,114.4
661,Pm2SiHg,70.333
662,Li2MnO2,90.367
663,AgCl,55.8
664,TbAgHg2,77.867
665,NaTc2As,146.233
666,BeNbW,202.011
667,Yb(MnSi)2,107.044
668,TaGaFe2,225.967
669,TbSe,85.26700000000002
670,Sm3AlN,35.766999999999996
671,Na5CoSO2,40.311
672,FePSe3,37.967
673,Rb3Sb2Au3,21.156
674,GePb3O5,60.843999999999994
675,RbNdO2,78.344
676,Sr2ZnCu2(SO)2,87.72200000000002
677,VAu4,141.189
678,LuP,94.333
679,DyIn5Rh,70.689
680,TmI3,12.667
681,Mg3H4O5,67.244
682,YbSbPd,48.967
683,KBeTc2,110.2
684,Ba2CrBr,17.067
685,Ho2CoOs,122.633
686,HoTlSe2,44.489
687,ScGaPd2,132.033
688,Nb3Os,229.567
689,ZrBeBi,73.067
690,TiBeGe2,110.8
691,FeCl2,51.067
692,USbRh,120.167
693,RbTeAu,17.944000000000006
694,NaLiTe,23.066999999999997
695,NaNbSe2,66.14399999999999
696,NaRu3,178.733
697,CaBeSb2,47.888999999999996
698,BeNiRu2,236.967
699,Ca2Ti3O8,138.389
700,SmCuS2,81.778
701,CaSbAu,63.078
702,Pm2AgRu,87.6
703,TiBeZn2,110.0
704,MnNbAs,138.733
705,ScSbPt,114.8
706,AsIrBr,78.167
707,Ba4ScBe,12.4
708,Ba4TiBr,10.567
709,CrCo2Bi,135.267
710,Tm2AlSi2,92.72200000000001
711,SrHfO3,164.233
712,H7BrO3,15.856
713,ZrO,162.86700000000005
714,KBaV4,18.967
715,Ce(CuSi)2,113.867
716,KNaTiO3,69.044
717,BiF5,61.343999999999994
718,RbBaSiHO4,62.18899999999999
719,CF2,13.167
720,Te4Mo(WS)2,48.022
721,ZnCu2Ni,142.567
722,ZrBe2Ni,135.36700000000002
723,MnBe2Te,67.333
724,Mn2BeCd,148.156
725,Nb3SBr7,36.922
726,AlCo,179.533
727,InH5(NF)2,45.433
728,Mg(BH4)2,24.533
729,TeAsIr,126.7
730,FeF2,142.4
731,BaZnO2,89.22200000000002
732,LuNiBi,86.3
733,Rb2TeBr6,16.467
734,ZrSiPt,154.9
735,LuInCu2,92.9
736,SnBrCl,17.922
737,Li3P,40.811
738,Mg(IO3)2,44.788999999999994
739,CoBr2,27.378
740,TmRh,126.1
741,LiCd,37.733000000000004
742,HfFeP,211.644
743,CrNi3,204.267
744,BeCoRh,196.28900000000002
745,Li2Mn4O5F3,114.42200000000001
746,SrO2,87.167
747,Th2Pd,89.01100000000002
748,VMo,207.13299999999998
749,UGeS,75.433
750,BaV4ZnO8,115.8
751,SrMgGe,43.089
752,Ba3Te,19.6
753,SeS,76.667
754,ScGa3,72.367
755,TaBeCl,54.288999999999994
756,RbBeH3,13.078
757,RbTlO2,77.3
758,Pr(Re2Si)2,167.433
759,Ba2LiOsO6,92.6
760,NaMoF6,26.5
761,YSi2,84.35600000000002
762,Na6ZnSe4,28.244
763,MnGaGe,109.8
764,NbNi3,210.033
765,Ba2Mn2Sb2O,40.6
766,Sc2GaAg,85.333
767,Eu2C(NCl)2,74.64399999999998
768,Na4CO4,40.089
769,TbCd3,61.0
770,Fe(NiSe2)2,97.256
771,KBaV,9.033
772,BeGa2Mo,152.933
773,Mg(CoS2)2,103.43299999999999
774,Sc2MnAs,112.867
775,CaBeNb2,68.867
776,NdHf,61.933
777,Mg2VO4,162.36700000000005
778,Tl(FeSe)2,48.089
779,LiFeP,89.822
780,CaInBr3,23.355999999999998
781,CeVO4,129.344
782,Hf5Te4,80.467
783,AlSiP3,85.03299999999999
784,Ba4BiP,22.6
785,BeCdCo2,124.26700000000001
786,Lu8Te,51.989
787,NaPrS2,54.033
788,ZnRhF6,47.567
789,BeTl2Cr,46.667
790,CuAu,141.944
791,NaLaTiO4,119.85600000000001
792,NiPbF6,33.178000000000004
793,BBr3,8.722000000000001
794,BeSiRh,187.856
795,ScBe2Cl,61.678000000000004
796,BaVBr2,27.522
797,BeCo2Cl,56.178000000000004
798,K3Na(FeO4)2,34.878
799,BeCu2Br,61.343999999999994
800,LiAl2Pt,124.93299999999999
801,In2Co3S2,95.056
802,MnS2,23.656
803,DyZnRh2,135.933
804,BeRh2Cl,127.789
805,K2HBrO,20.511
806,CaBe2Si,64.533
807,BeAgMo,166.63299999999995
808,DyN,171.033
809,DyNiC2,169.86700000000005
810,FePd,162.278
811,TbScO3,176.86700000000005
812,CuClO2,32.567
813,LiBeIn,50.422
814,CdCl2,25.933000000000003
815,CrS2,20.767
816,Ba5Ta2Cl2O9,55.356
817,RbTbS2,47.144
818,DyGe,82.07799999999997
819,USb2Pd,92.5
820,Tl2GeS3,21.444000000000006
821,Hf2BeBr,44.388999999999996
822,CeMg3,39.9
823,Ca2GeO4,145.6
824,MgBeFe2,113.889
825,K3Ho,7.267
826,ErTl3,50.8
827,ZrCoBi,121.2
828,Au7I,83.389
829,Th(FeGe)2,143.911
830,ZrAu2,150.689
831,BeFe4Pb,114.0
832,Sm2ZnIr,92.76700000000001
833,Sr2BiAu,39.2
834,ZrGaNi2,156.667
835,ZrSeO,150.156
836,Ga2BiAs,46.089
837,BaAgTeF,47.1
838,Ba4PdW,19.5
839,PrSn3,56.4
840,BS2N2OF7,16.222
841,CdFe2As,97.333
842,TiZn3,100.03299999999999
843,BaNd2PtO5,132.578
844,HfH2,149.86700000000005
845,Ba(AsRu)2,86.48899999999998
846,KF,42.667
847,LiTiPO4F,82.2
848,Th(PS3)2,25.433000000000003
849,FeCo3,200.13299999999998
850,La(CoB)2,141.289
851,ScAg2,95.23299999999999
852,Tm6CoBi2,63.522
853,SrBeBi,39.278
854,Pr(ZnP)3,73.344
855,PrMnSi,69.889
856,YP5,70.189
857,ZrP,135.13299999999998
858,ZrSnPt,136.7
859,NaCuSe,44.244
860,V2GeC,181.0
861,BeZn2Cl,39.578
862,Cr3Ni,244.63299999999998
863,Tl(Cu3S2)2,56.856
864,Er(PRu)2,171.333
865,MnTlCl3,40.0
866,ScBeHg2,87.48899999999998
867,LuBi2IO4,81.444
868,ErAg,76.767
869,BaInSb,24.866999999999997
870,Rb3TlF6,31.0
871,ScBr2,39.411
872,Fe3Se4,67.967
873,NaBeIn,27.811
874,YBeZn,69.333
875,Zn(NF2)2,33.455999999999996
876,FeAs,161.856
877,Zr2Cd,85.689
878,Li2H2Pt,49.81100000000001
879,ScVRu2,199.767
880,YCd,61.333
881,TiCoSi,183.7
882,YCuS2,73.64399999999998
883,VCoSn,117.133
884,Hf2GaSb3,92.656
885,Ta2CdBi,109.0
886,BaTePd2,60.967
887,V3Co,213.233
888,Be2TcRh,205.34400000000002
889,CaZrBe,54.843999999999994
890,NaNi3,100.43299999999999
891,CePt3,179.267
892,TmCdPd2,110.3
893,BeSiNi,137.13299999999998
894,LiCu(PO3)2,84.23299999999998
895,MnSn,84.656
896,Rb2H6Pt,17.3
897,Ta2Te4O,18.044
898,MgAs4,46.856
899,Ba3BiSb,20.7
900,CrHO2,62.433
901,LiGaCl4,15.655999999999999
902,Na2CoP2O7,48.3
903,NaHS,23.178
904,Mg3BN3,105.12200000000001
905,Yb2AgIr,76.267
906,Mg3Al,43.033
907,BaSn2Te,16.744
908,K2AgSb,20.367
909,V2ZnO6,106.01100000000001
910,NaAsP,45.266999999999996
911,CdSO4,74.389
912,UH3,110.06700000000001
913,ErPd,102.53299999999999
914,Ti2BePb,84.522
915,Tl3AsS3,22.7
916,MoWS4,44.266999999999996
917,Ba2CrIn,23.433000000000003
918,Sc2O3,182.08900000000003
919,ZrCrFe,136.86700000000002
920,FeP4,135.6
921,K2UO4,71.767
922,CaCeMg2,30.066999999999997
923,BaInIr2,98.73299999999999
924,Mn(CoO3)2,103.14399999999999
925,K2TaF7,29.866999999999997
926,Yb3Mn,20.167
927,FeCl2,29.533
928,Li6WO6,97.56700000000001
929,Ti6O,134.578
930,TiAsRh,130.467
931,Na8N3O,40.6
932,Rb3H5Pd,17.633
933,Ca3TeO6,120.689
934,LuBO3,165.889
935,CaBeBi2,44.922
936,Na2MgCl4,30.844
937,MnBeNi2,164.18900000000005
938,Sc2AlTc,110.7
939,ZrV2,141.167
940,AgSe,54.766999999999996
941,TaNbAs,118.76700000000001
942,PmH3,91.167
943,Li4BeW,50.367
944,CeTh2O6,189.933
945,AuCl2,18.767
946,Ca(AsRu)2,104.96700000000001
947,VBr2,19.922
948,SrCN2,66.044
949,Rb2SnCl6,17.867
950,NaInS2,51.122
951,ThSiO4,176.58900000000003
952,ScSbRh2,156.833
953,BaSrCa2,13.333
954,ScInPt2,146.36700000000005
955,NdSn3,57.033
956,RbLiO3,40.7
957,CeSiI,35.156
958,TiH2,139.0
959,Pr3SiAgS7,70.111
