,pretty_comp,formation_energy_peratom
141,Li2VO3F,-2.61563
142,Ag2HgI4,-0.18886
143,Mo3(SeS2)2,-0.8273299999999999
144,Sr3BPO3,-2.53675
145,FeCu2SnS4,-0.3859800000000001
146,LiBeBr,0.04236
147,KThCuS3,-1.60188
148,BaZr2Ir,0.38877
149,BaTlZn,0.10709
150,Sr5Ta4O5,-3.29001
151,LiVO2,-2.4272099999999996
152,BaMgCr4O8,-2.15865
153,Cu3OF5,-1.39654
154,Sm(BRu)2,-0.5311
155,LiHo2Pt,-0.7148
156,BiSeCl,-0.6873100000000001
157,HoF3,-4.37421
158,Al5Co2,-0.47679
159,BaInBi,-0.3024
160,HfZn2,-0.19862
161,TaB,-0.7655
162,LaCo5,-0.0467
163,Ti2MnO4,-2.66396
164,Ba4LaGa,0.4471600000000001
165,KBe2Ge,1.0149299999999999
166,SiO2,-0.60341
167,CrAuS2,-0.5562
168,SrBeCl,-0.35909
169,Li2Fe4O3F8,-2.08649
170,NaO2,-0.90183
171,Rb2Li2GeO4,-2.00955
172,Li(NiO2)2,-1.26678
173,ZrGaPd2,-0.71465
174,MgZrCd2,-0.022340000000000002
175,Na3Be,0.44483999999999996
176,RbLuS2,-2.03156
177,TmH3(CO2)3,-1.51628
178,ZrAl,-0.46965
179,AlCuAu2,-0.26284
180,Ti4As3,-0.88618
181,Rb2TiCl6,-1.92315
182,NaMg3,0.06078
183,LiCrP2O7,-2.31759
184,TeO2,-0.91391
185,Pr(Al2Cu)4,-0.3073
186,Tb(FeSi)2,-0.66743
187,KOsF6,-2.24863
188,PrCo3,-0.04967
189,Na2BeCo,0.25457
190,Li2Ti(CoO3)2,-2.03973
191,Sm2Mo2O7,-2.8147900000000003
192,ThBi,-0.56687
193,CaTl3,-0.26974000000000004
194,MgFeSiO5,-2.31701
195,TmZrSb,-0.76356
196,LuTc2W,-0.24395
197,Yb(Ni2As)2,-0.58267
198,KNaPrNbO5,-2.82131
199,YbPt,-1.19599
200,NpCdPt2,-0.41733
201,YCuSn,-0.65127
202,Ho2MnOs,-0.07737999999999999
203,Be5Au,-0.07503
204,ThSeO,-3.1225400000000003
205,ScBe2Tc,0.08437
206,Ba2NaTa,0.8845799999999999
207,LuTlO2,-2.64885
208,SrNb2O6,-2.99214
209,Mo8P5,-0.4476
210,Bi2PbS4,-0.50478
211,Sr5P3ClO2,-3.08933
212,UI3,-0.88782
213,NpOsO3,-1.20966
214,H2SO4,-1.10258
215,BaMgPb,-0.06834
216,MnRePt,0.9138
217,BaSnHg,-0.02455
218,TbIr2,-0.86771
219,Ag3AuSe2,-0.07292
220,UZnNi4,-0.31328
221,KBe2B3O7,-2.71207
222,BePtBr2,0.73195
223,Ho(CuO2)2,-1.88872
224,Ba4OsW,1.78538
225,DyFeSi,-0.6329899999999999
226,ErAsPt,-1.2041899999999999
227,MgSbPd2,-0.57053
228,YbErRh2,-0.9047799999999999
229,BaHfS3,-1.99359
230,K2Zn3O4,-1.58334
231,Ba4CdSi,0.44943999999999995
232,Ba2YSn3O8,-2.30355
233,Zr2Ag,-0.12527
234,Y4C7,-0.43739
235,AgF2,-1.23182
236,AlPNCl5,-1.02941
237,Ba2H3I,-0.98137
238,VCl3,-1.29378
239,BeOsW,0.01424
240,BaYSe,0.13449
241,Ba3(BrO)2,-2.55506
242,SnCl4O5,-1.00336
243,La2PI2,-1.67055
244,In7GeIrO8,-1.4294
245,Mg(CoGe)6,-0.20501
246,Ho(Mo3S4)2,-0.9991399999999999
247,PICl6,-0.47271
248,Sb3ClO4,-1.39994
249,BaCN2,-0.87903
250,Ir3Se8,-0.2948
251,HoErRu2,-0.43509
252,Cr3Cu,0.277
253,FeO,-1.00363
254,LaCu5,-0.18224
255,KBeW2,1.24385
256,Y2Si2O7,-3.43477
257,Be2CrSe,0.23538
258,BeSi2Os,0.07131
259,Rb2Na4Co2O5,-1.33431
260,Pr2CdPb,-0.4754100000000001
261,CrCuO2,-1.57738
262,DyTiClO3,-3.2973
263,Mg3Ni,-0.03161
264,Te(HO)6,-0.79055
265,CaZnSO,-2.05333
266,MnVAgO4,-1.7674599999999998
267,Ba4FeBi,0.75832
268,LiCoP2O7,-1.96574
269,VFeO4,-1.99875
270,BiI3,-0.46095
271,Sr2Co(BrO)2,-2.11469
272,TaC,-0.63999
273,VI2,-0.14123
274,Li3Co(CuO2)4,-1.21428
275,Li5SiP3,-0.67018
276,RbCuF3,-2.25653
277,NdPb8F9,-2.72002
278,WCl6,-0.8891
279,BaMnAlCuO5,-1.94301
280,ZrAlPt,-1.08156
281,LiBi3(IO2)2,-1.34164
282,UOF4,-3.35827
283,Ho2TiO5,-3.5907400000000003
284,NaMgCd2,0.11775
285,Sb2O5,-1.3624399999999999
286,Li3Re,0.7722899999999999
287,PH4Br,-0.1748
288,BeGaRe2,-0.062279999999999995
289,Ba2YSe,-0.21786
290,As2O5,-1.1038700000000001
291,Sc2BeRe,-0.07657
292,Ho2SnAu2,-0.89299
293,ReCl4,-0.59943
294,DyN,-1.92858
295,SrAl2B2O7,-3.04928
296,Hf23Se25,-1.18481
297,Na2TlCd,-0.12303
298,Au2S,-0.04796
299,Hg2BrN,0.39833
300,Ba4NaRe,1.23347
301,Cs2TeI6,-0.88194
302,Mo2WS6,-0.91328
303,ZnSb2(XeF4)6,-1.37323
304,TiZnF6,-3.11898
305,Th2BiTe,-0.8694299999999999
306,Rb2NaGaF6,-3.00529
307,Li3Ni(OF)2,-2.20121
308,Rb2FeCu(CN)6,-0.05322
309,HfTc2Sb,-0.2595
310,BaZrTe,0.51645
311,DyMoClO4,-2.68855
312,TmCuS2,-1.48766
313,PtPbF6,-1.88221
314,HoH2,-0.7439600000000001
315,CeGeAu,-0.75508
316,NaAc,0.16829000000000002
317,RuC3Br2O3,-0.70735
318,TiAlRu2,-0.755
319,LiCoF2,-1.84465
320,Ta3B2,-0.64435
321,Nb2WO8,-2.36838
322,Ba4RuRh,1.21172
323,Ga2Fe2S5,-0.48319
324,LiCa2Be,0.32284
325,Na2Mn2O3,-1.4121
326,Na2NiO2,-1.36225
327,Fe3RhN,-0.10539
328,Pb2O,-0.47079
329,BeRe2Os,0.14259000000000002
330,Sr5In3,-0.39796
331,ReNCl4,-0.45322
332,Ti2VTc,0.34979
333,Ba4TlW,1.13008
334,Li2CrS4,-0.8853
335,GeO2,-0.31937
336,BaNa2P,-0.13684000000000002
337,Pr5Al2Ru3,-0.40674
338,AcFeO3,-2.64995
339,Ba2S3,-1.8079900000000002
340,Yb4As2O,-2.00013
341,BeSiRh2,-0.72756
342,SnPt3,-0.34891
343,CdInRh2,-0.27826999999999996
344,DyHg,-0.38695
345,ZnCrF5,-2.56739
346,Ba4SbCl,-0.2836
347,BeSbBr2,0.54751
348,MgBePb2,0.28213
349,YbSi,-0.59135
350,SmSnPd,-0.91283
351,Tb4Mg3Co2,-0.18600000000000005
352,LiCu2Ge,-0.18144
353,Tl2HgSe,-0.20543000000000008
354,YbZn,-0.19997
355,BaYCuBiO5,-2.20798
356,Ba4CuP,0.5204
357,YErHg2,-0.40707
358,BeCdFe2,0.19838
359,InAsF6,-2.13349
360,HfBeSb,0.37751
361,RbLi7(NiO3)2,-1.6575799999999998
362,Al(IO3)3,-0.9349
363,Sr3CuPtO6,-2.09037
364,TiBe2Zn,0.04838
365,BaSr2Li,0.08225
366,LiV(PO3)3,-2.16644
367,Al2(FeSi)3,-0.43799999999999994
368,BAs,-0.0031
369,Er(FeB)2,-0.50302
370,Ca2ZnN2,-0.9143899999999999
371,SrLiH3,-0.12002
372,AlSnF5,-3.11404
373,U2F9,-3.72659
374,Na2Cu3(Ge2O)2,-1.47465
375,KBeNb2,1.28396
376,LiCa3,0.06903
377,LaFe5H2,-0.06386
378,BaTa2Be,1.2825799999999998
379,Ca2CuIrO6,-1.68461
380,KRb2Na,0.07048
381,NaMnBe2,0.2762
382,SrHg2Pb,-0.08084
383,Cu2As4S3Cl2,-0.29581
384,ScZn3,-0.31479
385,Na2CeO3,-2.48631
386,Th(SiTc)2,-0.6060300000000001
387,Ta3B4,-0.71792
388,BeCu4Ge,0.26067
389,BaSn3Pd,-0.6585300000000001
390,Ca3Si3(AgO)2,-2.36175
391,Sc3Pb,-0.29495
392,LuInPd2,-0.8637100000000001
393,ThFe2SiC,-0.53581
394,Nb2RuW,-0.29194000000000003
395,Re2AsPt,0.60219
396,Fe3(SnS4)2,-0.40786
397,Lu2TcPd,-0.54366
398,BaMnSb,0.49396
399,ScAuO2,-2.4129099999999997
400,Ba4CoSb,0.6218899999999999
401,Na3GaS3,-1.14455
402,Li5Mn3Co2,-1.83097
403,ZnNiSb,-0.20876999999999998
404,Sr4As2O,-1.77542
405,Ba2AlSn3O8,-1.9373799999999999
406,ZnWO4,-2.0483
407,Li4VCr3O8,-2.28643
408,Na2PdCl4,-1.30872
409,TmZnPd2,-0.79428
410,TbBr,-1.2532
411,As4S5,-0.15308
412,Sm2Zr2O7,-3.72591
413,BaAuCl,-1.33297
414,LuAsO4,-2.54545
415,K2BeTl,0.41231
416,Pr(PRu)2,-0.96833
417,RbTbSe2,-1.84391
418,TiNiGe,-0.05684
419,NpGa3,-0.26691
420,BaV2P,0.73258
421,Li2FeOF3,-2.4597900000000004
422,AgB2,0.48565
423,Li2Fe5O5F7,-1.92948
424,K7NbAs4,-0.56994
425,LaAgO2,-2.38073
426,TaCo3,-0.26976999999999995
427,UCuP2,-0.64871
428,Sr2BeSb2,-0.42748
429,Ba2YNi3O7,-2.10831
430,Yb2S2O,-2.1628
431,ZrCoAs,-0.07085
432,Al5BO9,-3.19087
433,Cr4Cu3Se8,-0.40605
434,ZrB6,-0.03817
435,K2PbO3,-1.40662
436,LiCuAu2,1.11273
437,Nd(Fe2P)2,-0.61234
438,Yb(YS2)2,-2.33475
439,TlPt2Se3,-0.42721
440,Al2CuO4,-2.47099
441,BeGeOs2,0.051
442,PrTa3O9,-3.24113
443,PrLuIn2,-0.4427100000000001
444,BeGeTe,0.22415
445,LiCdBO3,-2.1214
446,HfBe2Sb,0.28438
447,Nb2Te3,-0.42215
448,Ba2MoPb,0.5434899999999999
449,BaIn2Pd,-0.6056
450,KAu5,-0.24784
451,BeCoBi2,0.70017
452,NpN2,-1.1372799999999998
453,Ni3C,0.05484
454,GeBi3,0.24825
455,Sr(SiAu)2,-0.49473
456,Ga2IrRu,-0.3614
457,LiGaPdF6,-2.31367
458,NbSnS2,-0.95967
459,BiI3,-0.45744
460,Er(BRh)4,-0.56639
461,BaSn2(HO2)2,-1.6999900000000001
462,SmTe,-1.41693
463,Ba2NdSbO6,-2.81394
464,BaSe3,-1.1264
465,BeCoTe2,0.1509
466,Tb2Pt2O7,-2.22516
467,Er2Au,-0.69781
468,TaAsRh2,-0.14869000000000002
469,As3W2,-0.05277
470,U2PN2,-1.52425
471,CaCrF5,-3.3462199999999998
472,SnCl4,-0.89544
473,KAuS,-0.84006
474,Cd2GaAgS4,-0.60957
475,K2H6Pt,-0.41595
476,NClO6,0.12364000000000001
477,NbRu3,-0.12214000000000001
478,BeTlP4,0.6582100000000001
479,Sc2ZnCu,-0.35566
480,Ce2Zn4Ru,-0.36351999999999995
481,BaH5ClO3,-1.50898
482,KHgSb,-0.30186
483,LaBiAu2,-0.73817
484,LiHo2Ir,-0.66405
485,ZnPPd5,-0.44672
486,DyCuPb,-0.41805
487,Li4TiMn3(P2O3)2,-2.26097
488,Co3Ni,0.00555
489,Na2Sn2O3,-1.55128
490,SnI4,-0.29114
491,TlHg,0.10415
492,InN,0.009059999999999999
493,LaHg,-0.41395
494,Li2TeO4,-1.6795200000000001
495,CaInBr3,-1.60972
496,BaTbO3,-2.9516
497,YCuPb,-0.44669
498,BaSr2Ca,0.01984
499,NbIr,-0.53835
500,BaMnV2(AgO4)2,-2.0886099999999996
501,MgAsRu2,0.20884
502,LiCaTl2,-0.35572
503,CaBHO3,-2.56391
504,Be2MoPt,-0.32197
505,BaSiP4(HO2)2,-2.31665
506,Tm2AgOs,-0.43354
507,ZrBe2Co,-0.15757000000000002
508,ZrGe2,-0.59111
509,Li7OsO6,-1.9042599999999998
510,AgTe4Au,-0.05743
511,Ba2AlAg3O8,-1.23622
512,HfH3,-0.23147
513,Pr2Co2I,-0.63452
514,NaBeRu2,0.4910100000000001
515,URhS3,-1.11116
516,BePPb2,0.22907
517,Np3Sn,-0.04244
518,CrSi2,-0.20781
519,Mn5B2P,-0.3584
520,NpSi3,-0.22041999999999998
521,BeVFe2,-0.27224
522,BeZn2Cr,0.16899
523,BaMnCl2,-1.00946
524,LiBiPd2,-0.42657
525,Be2GaFe,-0.11691
526,K4YBe,0.8920600000000001
527,MnAu4,-0.04398
528,HfBeRu2,-0.07427
529,Ba4FeHg,1.00968
530,SrAsPd,-1.00465
531,Be2RuPt,-0.49633
532,YTlTe2,-1.1149
533,NClO,0.01704
534,BaAs3,-0.67686
535,CaAl4O7,-3.32115
536,Mg2ZnB2Ir5,-0.45345
537,W(S4Cl3)2,-0.45561
538,Ba2NF,-1.8775
539,BeCu2Br,0.27573000000000003
540,NaIn2Sn,-0.11265
541,Be2CrSi,0.1557
542,DyInPt4,-0.81191
543,Ru3I,0.9570200000000001
544,SrPd3O4,-1.33297
545,Ba4MnOs,1.7466099999999998
546,Rb2SnCl6,-1.5629
547,MnV2O6,-2.3080000000000003
548,BeFe2Te,0.39658
549,PrIn3,-0.48116000000000003
550,Y2Zr2O7,-3.75002
551,Y6UO2,-3.8269699999999998
552,Er2Fe2Si2C,-0.72952
553,BaMgIr2,0.08929
554,Li2AgF5,-2.0916200000000003
555,Ta2N3O,-0.59113
556,Cr3Se,0.36249
557,Ba2YNbO6,-3.3195699999999997
558,BeCdSb2,0.3941
559,CdSbS2Br,-0.58198
560,KTeOF3,-2.20085
561,ThPd3,-0.96311
562,Na7NbO6,-1.88169
563,BeCuCl,-0.15111
564,Zn2BAs,0.8937799999999999
565,DyTlZn,-0.3089
566,LiV3O4,-2.18821
567,Ho2MgAl,-0.27825
568,BaZrSe2,-1.20563
569,Be2FeRu,-0.12964
570,MoF4,-2.42603
571,Ho2Ti2O7,-3.59314
572,NaAlO2,-2.79514
573,V2Pb3O8,-2.04042
574,MgAs,-0.44396
575,BeSi2Ni,0.10859
576,Lu2CdIn,-0.37164
577,TbMnB4,-0.64612
578,InPS4,-0.40388
579,Ba(FeS2)2,-1.0147700000000002
580,CaAsAu,-0.9189700000000001
581,DyBPd3,-0.61951
582,Mn(SbS2)2,-0.40083
583,CuCN,0.30334
584,Sm2AgSn,-0.55357
585,NaHCO2,-1.3337700000000001
586,Cd2SiO4,-1.9679900000000001
587,Sr2FeWO6,-2.62702
588,Np(FeSi)2,-0.3789
589,Li(CrS2)2,-0.7572300000000001
590,KHg2S(ClO)3,-1.05504
591,LiTl2GaF6,-2.52579
592,Li4MnW3O2,-2.34514
593,PmZn2Ag,-0.32904
594,Ti3AlSe2ClO8,-2.32891
595,BaPIr2,0.58313
596,TiZnAu2,-0.3693
597,Ho2C,-0.36801
598,Na2SmPCO7,-2.4530000000000003
599,LiCe(CuP)2,-0.8062199999999999
600,K3SbSe3,-1.0418100000000001
601,Li7BiO6,-1.87411
602,Na4Ni3O7,-1.32655
603,Ta3O7F,-3.09713
604,Lu2AgIr,-0.7718
605,Ag3N,0.9960600000000001
606,Sr2BeIr,-0.05344
607,Er(NiGe)2,-0.67092
608,BeSb2Br,0.17589000000000002
609,Na4SnS4,-1.07907
610,Ba5Al2In2IrClO3,-2.52339
611,Ba4ScSe,0.30529
612,BaHf2Ni,0.03973
613,Lu3SnC,-0.72206
614,Na2Te,-1.00223
615,YAlGe,-0.69901
616,SrBe2Cl,-0.16052
617,SrCa2I6,-1.66114
618,BiPO4,-1.26991
619,Ti(BeOs)2,-0.01024
620,Ca2ZnSn,-0.60844
621,BaTi2Bi,0.41965
622,YbThRh2,-0.87019
623,Li2YbGe,-0.49328999999999995
624,Pr3Hf,0.19192
625,Hf2FeOs,-0.58115
626,TaBe2Zn,0.20859
627,Tb2InGe2,-0.72358
628,ErBRh3,-0.81833
629,Ho2ZnRu,-0.43836
630,ScBe2Cl,0.27161
631,Nd(BOs)4,-0.3738
632,V5Sb4,-0.10038
633,Ba2LiReO6,-2.5642400000000003
634,CeMg2,0.047760000000000004
635,CdPd2Pt,-0.15611
636,KTl,-0.15755999999999998
637,Nb2MoO8,-2.30017
638,Ba3SrI8,-1.82967
639,Ba4NiCl,0.37477
640,Ba4SbOs,0.8052199999999999
641,Li2GaAg,-0.23533
642,Na3AsSe3,-0.8580700000000001
643,Li5VCr3O8,-2.12108
644,Mg2H4Ru,-0.34539000000000003
645,DyTe2,-1.18734
646,Sr2SnS3F2,-2.35684
647,KCaBr3,-1.9892
648,Th2HN3,-1.4658
649,Er3SiSe2F,-2.78629
650,HoO3,-1.72673
651,Ho(CoSi)2,-0.7955300000000001
652,AsIr2Rh,0.35493
653,BaGeO3,-2.27843
654,Li2FeSn(PO4)2,-2.07004
655,SrSiN2,-1.3344799999999999
656,MgCdHg2,0.1244
657,Zn3Co,-0.02868
658,MgSc2Os,-0.3573
659,Re3P4,-0.35047
660,TeWO6,-1.56644
661,Ba4SnW,0.95688
662,MoN2,-0.08188
663,DyZnRh2,-0.6824899999999999
664,SrHfN2,-1.6198299999999999
665,Li(Fe3P2)2,-0.5314300000000001
666,DyGaPd,-0.90304
667,Ho2AlOs,-0.37263
668,K3AsSe3,-0.99116
669,CaBePb2,0.15785
670,BaSrY2,0.28908
671,RbO2,-0.9971200000000001
672,UCl3,-1.7915900000000002
673,Ba2AlCu3O7,-1.70196
674,Sc2ZnS4,-1.74164
675,BeCr2W,0.06325
676,LiTiMnO4,-2.54123
677,Ba2NbCl,0.07412
678,CaMoN3,-0.74325
679,NdScO3,-3.7550800000000004
680,NdCu3(Ru2O)2,-1.35537
681,YInRh2,-0.7604
682,Sc5Sn3,-0.70257
683,Nb2CrSe4,-0.74992
684,BeCuTc,0.0568
685,TlSbTe2,-0.22834000000000002
686,Nd(NiP)2,-0.98608
687,V2Cu3H6O,-1.36185
688,NdGa2,-0.6966
689,ZrInNi4,-0.39039
690,SmMg2Sc,-0.05471
691,TiCoAs,-0.15506
692,YCl3,-2.36393
693,SmF3,-4.1525300000000005
694,HfFeP,-1.0309700000000002
695,DyCuSeO,-2.10338
696,YPaRu2,-0.44702
697,MoWSe3S,-0.65055
698,ScBeRh,-0.61358
699,Zn2Cr2O5,-1.6615900000000001
700,NaHS,-0.75947
701,MgPS3,-0.85
702,Y(BC)2,-0.38403000000000004
703,Li2MgSi,-0.27589
704,K2H4Pd,-0.32612
705,CrB,-0.48278000000000004
706,Ca3AuN,-0.93094
707,Ni2Sn4Au,-0.20600000000000002
708,ZrBr2,-1.3036
709,RbSO2F,-1.91175
710,TbBi2ClO4,-2.21504
711,BaVS3,-1.52799
712,Ba4FePt,1.09599
713,Mg3BN3,-1.07895
714,Mn3O4,-1.67186
715,BeV2Mo,0.099
716,TmAs,-1.56028
717,Ca2IN,-1.38225
718,Pr(PdO2)2,-1.7465099999999998
719,ScBe2W,-0.00634
720,Ba4RhCl,0.3421
721,LiMn7(OF3)3,-2.11721
722,Ba4TaZn,1.09945
723,LiCoPO4,-1.9708
724,V2InC,-0.36055
725,NdCl2,-2.01775
726,MgOsO3,-1.13904
727,LiCa2Ir,-0.34933000000000003
728,Ca4Bi2O,-1.67337
729,Ho2Ga8Co,-0.47492
730,CeCuN2,-0.72745
731,BAsO4,-1.7142099999999998
732,NdSmIr2,-0.71678
733,SmSbPd,-1.03732
734,Na3ZnPCO7,-2.05012
735,BaCaPb,-0.03042
736,TbCo3B2,-0.50666
737,Ta2H4O7,-1.58752
738,U2Al3C4,-0.29936
739,TaBeRu,-0.23218000000000005
740,HfPd5,-0.6422800000000001
741,CS2,0.24802
742,Ce2MgAl,-0.09538
743,Be2InOs,0.22606
744,Ac2IrPd,-0.72315
745,Be2GaFe,-0.02684
746,CaNiO2,-1.8461299999999998
747,K2Bi8Se3,-0.55904
748,BeInIr2,-0.04922
749,Er2RuRh,-0.74345
750,CdFe2As,0.51778
751,Rb2SCl6F,-1.01329
752,Tb(SiPd)2,-0.88518
753,BiF5,-1.6495099999999998
754,RbLiO,-1.6074899999999999
755,Na4FeO4,-1.62971
756,Mg(CN)2,-0.17768
757,Li8FeO5F,-2.07666
758,SrPSe3,-1.0041200000000001
759,Cd2Sb2O7,-1.45767
760,MgGaNi2,-0.34854
761,HoFeSi,-0.63877
762,Ba4TiTl,0.72923
763,ZnCu2SnSe4,-0.39087
764,Nd2CuO4,-2.7184
765,USiRh,-0.65199
766,SrBe2W,0.28502
767,LuAlB4,-0.5181399999999999
768,NpAl2,-0.2602
769,SrZr2Nb,0.66581
770,Sr3YRhO6,-2.82784
771,MnNiGe,-0.10742
772,LiMn2Cr2O8,-1.93281
773,TbAs,-1.5929200000000001
774,Ba4GaBr,0.05973
775,Pu2SnPt2,-0.97486
776,P2PbAu2,-0.13790999999999998
777,YCuO2,-2.60561
778,Ba4ReSn,1.07658
779,BeCrSi,0.29044000000000003
780,TbCdPd2,-0.75226
781,HoGa5Co,-0.45151
782,Ge3Rh,0.15033
783,HfBe2Ni,-0.12863
784,HfBeNb2,0.14782
785,PH4I,-0.09175
786,YbNiB4,-0.44605
787,Ca2InPt2,-0.96876
788,CeSi3Ru,-0.6359
789,TbTlS2,-1.61835
790,ErAgSe2,-1.20821
791,Er2FeC4,-0.42459
792,YbAlAu,-0.8433799999999999
793,PaTlO3,-2.96076
794,LuThTc2,-0.14257
795,LiHo3,0.18823
796,Zr2Cu,-0.16046
797,Ca3(B3Rh4)2,-0.6402800000000001
798,Rb3Lu,0.56058
799,YFe(WO4)2,-2.4367900000000002
800,Ca3SbN,-1.27494
801,CeCoGe,-0.5704
802,MnSbRh,-0.17
803,UTl2O4,-2.2838
804,BeReBi,0.52423
805,Li2V2SiGe,-2.3639
806,LuRh3C,-0.5819300000000001
807,TmAlAu2,-0.76827
808,LuPb2,-0.13382
809,Nb3CrSe6,-0.8393200000000001
810,Mn2CrO6,-1.76233
811,Lu(MnGe)2,-0.4108
812,DyCuGe,-0.70992
813,NaAsP,0.37346
814,K5V3,-2.47762
815,MnVAs,-0.15986
816,MgCdAu2,-0.42184
817,Zn2Hg2OF6,-1.80266
818,Li3V3O5F3,-2.69875
819,Li7Ni(O2F)2,-2.11754
820,SrSi2,-0.39887
821,Ti5Sb3,-0.46772
822,Sr2Rh,-0.23579
823,RbFe2S3,-0.81052
824,Ba3NaBiO6,-2.27584
825,Cd(CO2)2,-1.2265
826,CaBe2Tl,0.3125
827,LaC2,-0.31919000000000003
828,PrGaAu2,-0.6450600000000001
829,TiBeW2,-0.29616
830,RbLiF2,-3.00791
831,Dy6FeSb2,-0.57377
832,Mn4N,1.8104799999999999
833,FePSe3,-0.08541
834,YbScO2,-3.36972
835,Ba4CdCu,0.53955
836,PrSi2Ru,-0.76523
837,K3Mo,1.15155
838,NbNiB,-0.53996
839,Ca(BeN)2,-1.33013
840,LiTm2Al,-0.2159
