,pretty_comp,et_c66
442,Rh3F,3.7
443,Ba4ZrPb,3.0
444,ZnWO4,23.4
445,Pu2SO2,70.6
446,KBeNi2,0.5
447,SrZrO3,86.1
448,LiCa2Ga,30.1
449,AlSCl7,8.2
450,TeWS,0.1
451,Rb2H4Pt,6.1
452,TiFe2Sb,69.4
453,Lu(SiPd)2,54.2
454,BiBCl,2.2
455,SrTiO3,78.7
456,CrWO6,62.2
457,SmCuO2,10.1
458,BaTePd2,2.0
459,Rb2Li2SiO4,28.5
460,NaSrNb2,42.2
461,ZnNiO3,79.8
462,VFeTe,29.3
463,MgAs4,28.2
464,Na2Se,15.9
465,RbCaCO3F,12.9
466,BeBiPb,4.1
467,TaInO4,75.4
468,VAu4,52.9
469,Rb3Lu,5.6
470,Nd(GePd)2,46.5
471,GeF4,7.8
472,UBrO2,21.4
473,TbSi2,45.5
474,LiCaCrF6,47.3
475,In2Ge2O7,62.7
476,CaCrO4,32.9
477,Ce(AgGe)2,33.7
478,DyHO2,4.5
479,MnSbRh,4.8
480,NdIO,13.5
481,UN2,69.0
482,GeAs,17.3
483,NbNi3,106.9
484,BaO,35.4
485,BeFeW,35.9
486,Lu2HgAu,41.3
487,Sr(PrSe2)2,30.3
488,Li3TaO4,102.0
489,PrCd3,28.3
490,Dy(CrGe)2,75.2
491,Sc2ZnTc,51.4
492,Ba4NaSb,0.8
493,TiBe2Sb,61.6
494,Na2H6PtO6,25.3
495,BeVIn2,55.8
496,Sc3AlC,77.3
497,Sr3Cr,13.3
498,RbCaH3,19.2
499,Tm2NiIr,49.2
500,YCuO2,13.6
501,Be(HO)2,55.6
502,AlSiP3,54.9
503,PrP5,30.2
504,MnCo2Si,83.9
505,YI3,5.7
506,Li2Si2O5,63.9
507,Cu2Se,35.6
508,NdMnSi,3.4
509,PuAl3,72.3
510,Ag3BO3,2.6
511,B4C,147.9
512,BaOsCl2,9.8
513,ThSiTe,53.9
514,CaThBr6,10.2
515,Be2CuIr,109.1
516,K4ZrBe,0.7
517,DyTl,31.1
518,HoCu,39.5
519,ErInCu2,49.3
520,ErH,55.2
521,DyBi,21.5
522,Ba2TmNbO6,77.3
523,BMo,224.5
524,Ca3(GaNi)4,33.5
525,SrCaO2,62.4
526,Ga2BiAs,29.5
527,Ca6Ge2O,42.1
528,SiH8,1.0
529,ErSe2,38.4
530,SmInIr,49.3
531,RbCaAs,7.0
532,KErTe2,22.5
533,CaZnSi,19.7
534,Ni3GeC,17.4
535,Ti2Ag,62.6
536,YSe,15.9
537,ErAs,43.0
538,Ca3BiP,19.7
539,Zn(InTe2)2,20.6
540,CuRhO2,25.8
541,HoMn2,20.6
542,BeGa2Fe,86.4
543,Pu(CrSi)2,102.7
544,TmTiGe,53.5
545,MoCl4O,7.3
546,MgVF4,47.8
547,P4S5,7.1
548,Ca2Co2O5,62.1
549,Er2NiOs,52.4
550,BeGaW2,72.3
551,CaTiBe,37.7
552,Li2CO3,13.2
553,Li2AlBO4,49.6
554,Ba3MgTa2O9,79.3
555,Ba2HoRuO6,66.6
556,BaInIr2,28.3
557,ScBeIn,40.7
558,MnSnO3,18.2
559,BaAgP,31.6
560,CeC,67.8
561,RbC,11.0
562,Th(SiPt)2,72.4
563,AlSbI6,6.3
564,Th(AlC)4,97.2
565,CaBePb,4.4
566,TaNi2,82.3
567,NaSmTe2,19.0
568,Cu3N,17.8
569,MgNbRu2,84.4
570,LiYbAlF6,64.6
571,Al2O3,78.6
572,NbC,161.1
573,HAuO2,43.3
574,MgTe2,24.8
575,ScTaO4,73.9
576,Ti2CrIr,63.2
577,PbBr2,5.0
578,ThGe,28.0
579,BeMoOs2,152.2
580,K2H4Pt,7.9
581,KTa2Be,12.3
582,GaIr,49.4
583,USb2Au,29.7
584,MgAg,49.8
585,BaNd2PdO5,51.4
586,SrTiBe,20.4
587,NaMn4Be,61.0
588,BeNb2Si,95.3
589,RbNdSe2,24.7
590,AcCl3,24.7
591,Ho(FeGe)2,64.6
592,SrMnBe,20.2
593,Np2InNi2,33.9
594,LiCaF3,49.3
595,YWN3,76.7
596,CrSb2,28.0
597,MnCu2SnSe4,14.2
598,Li2GePd,55.1
599,Dy(CoGe)2,78.2
600,Cr2CoTe4,34.5
601,NaCuO2,49.3
602,SrZr2Nb,14.9
603,Y2MgAl,57.2
604,NiAgO2,16.6
605,SrGe(PO4)2,69.7
606,ZnSeO3,49.2
607,U(HO2)2,19.6
608,Li2YbSi,39.0
609,Bi(TeBr2)2,6.8
610,Sr(MgSb)2,29.3
611,Er(CuSi)2,81.8
612,BaHgO2,3.4
613,Ga(MoS2)4,40.3
614,K3H5Pd,7.5
615,IO2F,21.7
616,Sr4Sb2O,25.3
617,PdPb2,12.4
618,Nd2Ta2Cl2O7,54.9
619,IrO2,106.0
620,Zn2Ni3O8,87.3
621,Zn(CoO2)4,19.1
622,Be2VFe,115.4
623,K2PAu,20.2
624,U(BiO3)2,62.7
625,Ca3Pb,29.9
626,UIN,12.2
627,NaCuTe,13.3
628,MgCr,52.9
629,BeNb2Br,1.7
630,Mg(AlC)2,84.5
631,Sc6FeTe2,52.0
632,As(CN)3,12.5
633,As2Se3,11.8
634,HoPaOs2,22.7
635,LiBeN,86.6
636,HfAl,118.5
637,BaSm2PtO5,51.6
638,NdZn2Cd,31.7
639,Zr2CoP,89.2
640,TbTlS2,29.2
641,ThSiO4,61.9
642,K2OsBr6,11.7
643,PrTm3,23.3
644,CaCuO2,51.3
645,LuN,147.8
646,NdVO4,38.9
647,YbCrO4,38.9
648,LiBeBO3,34.3
649,Te2Br,6.4
650,Na2PtC2,8.9
651,TiBe2Nb,99.5
652,MgBeRh2,84.4
653,LiAuF4,24.7
654,NaLaTiO4,51.0
655,Na2SnF6,13.8
656,YCoC2,83.9
657,Li2PbO3,49.1
658,Cr3B4,190.8
659,Rb2Te5,6.1
660,Sr2BBrN2,10.9
661,USi2,88.4
662,Th3S,23.4
663,FeSiTc2,130.2
664,BaBrF,20.4
665,LiTi2Be,40.0
666,Ti2NiSe4,35.3
667,NiS,7.2
668,Ca2TaSbO6,61.8
669,AlAsO4,31.9
670,UAg3,24.2
671,Na2CuAs,35.6
672,Ca(GePd)2,28.7
673,Sr(FeP)2,50.4
674,Sr3N2,25.9
675,GaSiRu2,63.4
676,TmLuCo2,44.6
677,Mg(AlSe2)2,11.2
678,Be2WSe,48.7
679,VO2,11.6
680,Np(SiNi)2,68.7
681,KB6,82.0
682,Lu2ZnIr,50.4
683,TaAl3,97.0
684,SiRh3,106.9
685,YSi,101.0
686,Sr3(InP2)2,45.4
687,Tm2AlOs,55.3
688,Ho6CoBi2,40.3
689,CaIrO3,46.7
690,NaMnBe2,28.4
691,YbCo3B2,123.3
692,YAgSn,49.1
693,ScTlS2,27.6
694,Er3GaC,6.3
695,Sc2BeV,60.5
696,BeNbRu,44.2
697,KrF2,8.3
698,SrIn4,12.8
699,CeCrO3,49.5
700,ScHO2,65.7
701,Li2MnCoO4,57.8
702,Zn2PtRh,92.5
703,PrSF,51.8
704,TaCl4,7.3
705,FeP2,97.9
706,Li2O,62.5
707,Bi2SO2,5.4
708,TbAl,60.6
709,Rb2LiDyBr6,11.9
710,NaTeAu,5.3
711,TaGaRu2,116.5
712,USnPt,31.6
713,MgNi2,85.9
714,Sc2CuOs,64.3
715,Er(SiPt)2,57.0
716,LiZn2Rh,72.4
717,Al2ZnSe4,36.8
718,CeSiI,10.3
719,LiBF4,8.1
720,TmAu2,38.7
721,CdIrO3,42.8
722,ScInCu2,66.3
723,Ca(VS2)2,3.7
724,Sr2LiReN4,43.8
725,NaYbO2,39.6
726,CeCuSO,30.7
727,TmScRu2,42.7
728,BAsO4,54.0
729,AlF3,50.7
730,NaP,22.7
731,YbS2,47.0
732,Ca(CoS2)4,38.4
733,MgSnF6,50.8
734,HoClO,32.4
735,RbUAgS3,29.2
736,ScBeRh,39.3
737,BaAg,16.0
738,DyScO3,80.6
739,Yb3V,18.4
740,TiBeRh,66.2
741,VPt3,118.6
742,Pm2ZnPt,27.0
743,Eu2C(NCl)2,24.4
744,Mg3Fe,8.5
745,Te2Os,73.7
746,MnTe2,48.2
747,Mn3AgN,72.5
748,Na3PaF8,17.0
749,SrCuSb,30.9
750,UPt,39.6
751,VAg(PSe3)2,7.4
752,Co2B2O5,39.6
753,Sm2SO2,73.8
754,Li2SO4,19.5
755,HgSeO4,11.4
756,LiBeOs,72.1
757,Th(CoSi)2,104.1
758,Be2CdRu,39.2
759,Na3ErCl6,10.6
760,LuPb3,16.3
761,CaWN3,49.5
762,FeAg3,58.4
763,NaZrBe,7.5
764,SrAlSiH,40.9
765,NdClO,33.2
766,CI4,11.2
767,YOF,53.4
768,TiZnSiO5,57.4
769,SnO,25.0
770,CaCrO2,32.8
771,Al3Tc,86.8
772,SnO2,14.7
773,BaCO3,19.1
774,SmNi2,45.3
775,N2O,6.7
776,CdSiP2,5.2
777,K2NiO2,11.9
778,USi2,61.2
779,BaSr2Sb,11.1
780,V2ZnO6,44.7
781,BeInRh2,45.6
782,BiSeI,14.9
783,LiYb3,11.9
784,CeCo2,44.1
785,ScAlAu2,23.8
786,CdAg,47.1
787,ZrNiBi,28.9
788,ZnNi,100.4
789,Er(SiIr)2,91.9
790,Sr(AsO3)2,49.6
791,BeCu,110.7
792,TiBeRh2,84.6
793,MnSbPd,25.5
794,Tl2Au,6.2
795,CaPt5,67.9
796,H2C,2.4
797,Ni3Pt,107.9
798,Ca4As2O,38.6
799,ErAgTe2,27.4
800,V3Cu,46.2
801,BaHfN2,37.9
802,YbPb3,23.5
803,ZrBeIn,53.1
804,TiCu,51.6
805,FeB2,99.0
806,Ce3Sn,47.0
807,BeCu2Os,53.9
808,Mn2SiRu,64.3
809,K3Na(RuO4)2,12.9
810,K2YBe,6.3
811,Na4SnO3,23.1
812,Sr(PRu)2,32.1
813,V3Rh,78.3
814,Zn2GeS4,40.0
815,K2HfF6,6.8
816,Cr3GaN,76.6
817,HfMnBe,40.9
818,CeSiRu,12.0
819,Ba2HoNbO6,71.2
820,YBi2IO4,28.5
821,Sc3TlB,48.7
822,Cd(InSe2)2,21.2
823,SmSiAg,63.5
824,BaB6,110.2
825,ErIn5Co,26.3
826,CaF2,33.8
827,K2SiF6,13.8
828,NaHS,15.7
829,RbI3,5.9
830,DyP5,37.4
831,Ba3Bi2,4.5
832,CeMg3,39.9
833,MnN,16.1
834,NdBi2ClO4,16.2
835,RbDyS2,29.9
836,BeVCo4,113.5
837,TbAlAg2,20.5
838,Na5InO4,35.7
839,Na2Ti2O5,18.4
840,SiHgO3,156.6
841,AgBiO2,7.4
842,HfOs,103.2
843,Tb(CuS)2,4.9
844,NdTe,7.9
845,BSb,99.3
846,Hf6NiSb2,81.7
847,Nd3InN,47.3
848,Ba4YCu,0.1
849,GeS,69.2
850,NaAsSe2,7.2
851,YTl,31.4
852,YTiF5,12.2
853,Th2SN2,76.4
854,Sc2BeIr,40.8
855,KNiIO6,19.3
856,TiAlFe2,100.5
857,TbInAu2,32.2
858,Sr3P2,12.7
859,Ba2YBe,17.1
860,LiBe2Sb,40.7
861,Ba(CdSb)2,9.8
862,V5Sb4,67.7
863,Th(SiNi)2,81.2
864,Be2TlIr,57.8
865,Ca2Cr2O5,70.9
866,AlVO3,54.9
867,Er2Au,32.3
868,Ca3Mg,20.8
869,Be(BC)2,64.9
870,Mo5As4,93.4
871,LiVRh2,77.5
872,USe2,27.6
873,Li4FeN2,48.6
874,Sb2O5,141.7
875,Ba2TbNbO6,10.8
876,PmInNi2,8.9
877,PmF3,98.8
878,Mn3GaN,105.4
879,Na3AuS2,14.1
880,NpTe,6.0
881,Y2Fe2Si2C,105.1
882,NaMnBi,9.4
883,K2BeZn,9.0
884,CaInBr3,9.1
885,Ba(PIr)2,28.4
886,NaErSe2,25.7
887,Mn3PdN,113.3
888,TaZn2CuO6,25.7
889,MnTlF3,26.7
890,ThPt,29.2
891,Hf2Zn,91.6
892,ZrCoBi,48.6
893,PuNi2,42.8
894,MoAsIr2,58.7
895,Ca(As2Rh3)2,50.3
896,KTiPS5,5.1
897,Li3AsO4,40.9
898,CuTeO4,86.7
899,YMnF5,12.6
900,AgRhO2,19.0
901,ScBeMo,16.8
902,ScCdRh2,68.4
903,BeTc2Ni,24.2
904,NdAsPd,37.5
905,Be2NbPt,24.9
906,Li3CeBi2,28.0
907,GaS,8.9
908,NdInCu2,29.3
909,Li5Mn2Co3,46.0
910,Nb2VAs,37.1
911,DyTiGe,45.8
912,Ta4O,45.2
913,KLiBeF4,19.0
914,KV(CuSe2)2,11.0
915,Li2Pd,13.4
916,ScBeCr2,39.7
917,PrH2,52.7
918,SiH2C2(NF)6,5.4
919,PrCuS2,42.5
920,PrSi2,28.9
921,CaSi,53.0
922,Ba2NdNbO6,45.7
923,BaTeO3,13.3
924,Mn2BeGa,56.7
925,K2BeSe,15.9
926,TbB2,160.9
927,K2BaMn,4.1
928,Zn2NiRh,90.9
929,PrSm3,26.9
930,KPrS2,27.1
931,TiZnO2,38.7
932,LiTm2Pt,39.5
933,NdHO2,39.1
934,ZnSnP2,49.9
935,CdRhF6,28.9
936,U(CuGe)2,27.5
937,TbRh,34.7
938,MgMnF6,54.1
939,P2Pt,94.2
940,ZnBi2O5,22.4
941,BeGa2Co,77.1
942,HfSi2,114.5
943,Y(CoGe)2,78.1
944,Ba2GaSe,8.1
945,Ni3Sb,85.0
946,Th3P4,58.2
947,KScO2,50.3
948,HfSiTe,27.3
949,Mg3(PO4)2,49.7
950,BaMnCl2,15.1
951,MgSnP2,37.2
952,ZnRhF6,41.4
953,NaFeAs,28.6
954,Sm(CuSi)2,85.2
955,ThCoSn,59.3
956,SnI4,6.0
957,KNbO3,83.8
958,Nb(Te2I3)2,5.1
959,Sc3CoC4,120.7
960,SrCrF4,31.5
961,ZnSnO3,38.9
962,TaTeBr9,3.8
963,Hf2Si,115.1
964,Li2NdAs2,21.2
965,U(SiPd)2,65.4
966,YSnPd2,13.7
967,Fe3Pt,150.2
968,K3VO4,9.9
969,HfBeCd2,16.0
970,Sc2CuAu,46.0
971,KNdTe4,13.3
972,WCl4O,11.3
973,MgTa2O6,71.6
974,CdO,16.4
975,TiBeV2,63.7
976,UBrN,19.4
977,CoI2,5.0
978,MnBeCr4,84.8
979,SmTmRu2,38.0
980,Zr(SiNi)2,91.2
981,HfVSi,103.6
982,P2Pd,89.7
983,Cr3SnN,77.9
984,KMgP,14.8
985,Pr2(Zn2Ge)3,48.8
986,TaAs,90.8
987,BeNbPb,15.4
988,ErSnAu,48.0
989,V2C,19.3
990,TiBeCo2,97.8
991,MnNiAs,49.7
992,Li3Al(BO3)2,58.5
993,MgSnRh2,83.6
994,ErClO,17.1
995,BaYMo2,1.7
996,Al2Au,50.0
997,Ni3Hg,72.2
998,Dy3SnC,54.9
999,Be2CoCl,12.5
1000,Rb2Fe4O7,55.6
1001,MgCO3,57.7
1002,ScAlO3,119.1
1003,SrCa2Be,15.2
1004,NaAg(CN)2,1.0
1005,KYbS2,24.5
1006,Sc2FeSi2,73.1
1007,NaBeRu2,82.2
1008,Al2CdTe4,24.6
1009,Ca3BiAs,4.8
1010,Mn2BeCo,141.2
1011,KNaNdNbO5,29.9
1012,YbGa2,46.8
1013,CeN,73.1
1014,Th2Zn,33.9
1015,HgSe,17.1
1016,HfCuHg2,32.8
1017,DyCo2,52.4
1018,Sm3InN,52.0
1019,DyMg,41.9
1020,KNaTe,15.3
1021,DyMg3,41.6
1022,MgGeN2,89.9
1023,VAsPt2,14.1
1024,MgScGa,37.0
1025,Nd2SO2,69.3
1026,Np3Sn,51.0
1027,CoCuO2,36.4
1028,PrMg,36.8
1029,SrZrS3,30.2
1030,AsI3,6.8
1031,Mn2BeNi,110.5
1032,K2NaScF6,21.4
1033,SmPd3,64.6
1034,TlBSe3,11.2
1035,K5As4,10.5
