,pretty_comp,dfpt_piezo_max_dij
77,HfZnN2,21.85147561
78,CdP2,1.413043478
79,GaCuI4,10.43475183
80,TiFeSe,19.54428365
81,BaZnO2,24.92535819
82,H2O2,3.325984252
83,Mo3W(Se3S)2,56.21102610000001
84,NbCu3S4,1.9
85,Na2ZnSiO4,13.74635452
86,NbCu3Te4,1.2784688999999998
87,Er2Be2GeO7,3.779917469
88,Sr(YS2)2,18.92040816
89,SmSnAu,11.59723757
90,Hg3(TeBr)2,44.61975309
91,TbNiSb,6.225165562999999
92,WSeS,9.2
93,Li4MoO5,33.09069055
94,Be(CN)2,3.1495016330000003
95,Pr5AgSe8,11.30475876
96,VFeSb,92.78969849
97,MgGeN2,5.431313627000001
98,ZrNiSn,0.848318043
99,Hg3(SCl)2,24.66875
100,H5NO,8.835135135
101,Ta3SBr7,8.878409675
102,KSrCO3F,15.32884615
103,KNiIO6,3.526836844
104,BiTeBr,14.75958656
105,ScNiBi,0.154938272
106,ZnCoF4,73.14738511
107,YNiBi,9.597058824
108,TlBSe3,70.08336589
109,TmNiSb,5.153728489
110,Al2CO,6.113295462999999
111,LiNbO3,69.43359090000001
112,Tl3AsS3,44.56862409
113,KHO,6.6609025210000015
114,GaPO4,17.63422268
115,FeSiW,8.937428804
116,VSbRu,58.94467005
117,CdCl2,133.0644497
118,IO2F,38.23271889
119,AlAgTe2,6.110138248999999
120,ZrSnPd,4.021661238
121,BiTeCl,28.262244899999995
122,Ca2YSbO5,125.29353259999999
123,CdSiAs2,7.631331593
124,GaTeI7,199.86818369999997
125,GeH3Cl,21.23728816
126,HgIBr,58.38837209
127,ErSbPd,6.421564482000001
128,Sb2TeSe2,37.78445507
129,AuCN,19.47391304
130,B2AsP,0.30092707
131,SeOF2,34.48896908
132,ZrSiPd,12.37248908
133,Al3GaN4,2.19221004
134,Ag3SI,20.59162405
135,NbBiO4,75.65628684
136,CaAlH5,6.197002725
137,GeF4,35.52692308
138,K4CO4,83.27549020000002
139,KCN,17.10382775
140,HgSO4,34.41538462
141,LiMgAs,3.175
142,SrP,3.855284553
143,TeOF2,111.63159009999998
144,KTbGeS4,6.491218167
145,CaP,2.6860317460000003
146,ZnS,2.391447368
147,BaSe3,6.204958678
148,In5AgSe8,10.31722222
149,Ga3BN4,0.6918552040000001
150,BaH4O3,25.14223359
151,H4BrN,3.384
152,PI3,20.08947368
153,Na2SiO3,6.170008595
154,WCl4O,24.67668206
155,ZrSnPt,1.479708029
156,Th3Bi4,7.641107872
157,Zn(InSe2)2,7.583745583
158,Sr(GaTe2)2,5.453225806
159,CdCu2SiS4,6.744489796
160,ZrSiPt,12.11491477
161,LiMn2F6,30.92937623
162,Al2PbO4,21.40038023
163,ZrFeTe,11.70141593
164,Ga3PO7,9.56687661
165,KAlSiO4,2190.7
166,TlHgF3,1936.7415440000002
167,FePH5CO4,3.4354175860000002
168,FeN3ClO3,30.16333333
169,Al3BN4,0.430693069
170,NaCaAs,0.864251208
171,RbPbCl3,711.228651
172,Al2ZnTe4,3.168446085
173,PrOF,15.83681102
174,Li3CuF4,40.63981481
175,NaNO2,29.75217391
176,NaNiIO6,2.741385549
177,Li3VO3F2,1059.430539
178,Sr7(HBr)2,3.8408560310000004
179,BaLiAs,9.853068592
180,H6CNF,6.639913105
181,Na2PdS2,14.902970300000002
182,BaTe3,7.303846153999999
183,HOF,2.797894737
184,Ta2ZnO6,49.59516755
185,SmOF,15.31654412
186,CdSe,7.806956522
187,LiSi2N3,2.265491194
188,BaSi6N8O,5.228613569
189,Mn(Sb2O)2,6.119021722
190,Zn(GaS2)2,2.949468085
191,TiSnPd,2.3456880730000003
192,BeTe,3.161584158
193,BaMgO2,15.97486315
194,TiZnN2,8.176209015
195,ScSbPt,4.878003383999999
196,MgTiSiO5,111.58202859999999
197,AgB(CN)4,9.357142857000001
198,NaHS,67.31162824
199,TiCoSb,18.70889236
200,Li4TiS4,7.87443609
201,Ga2PbO4,3.9242424239999996
202,HgTe,83.64532392
203,Y3CuGeS7,50.68217225
204,CuBr,25.19395973
205,RbBaSiHO4,2.0228118409999998
206,GeC,1.395538629
207,LiGaSi,1.5408502769999999
208,Si3NiP4,9.883512064
209,Dy2PbS4,35.44593023
210,LiCoS2,527.4191465
211,SrBe3O4,0.702615694
212,TbH3(CO2)3,6.608689636
213,Mg3Si2H4O9,5.870427338
214,TiFeTe,33.33169014
215,KH4O2F,10.14727273
216,ErCuSe2,11.26681674
217,AlAgSe2,17.44896907
218,NbTlBr4O,23.42422313
219,SrAlGeH,8.749268326000001
220,Sr2H5Rh,5.83131992
221,HIO3,31.55273632
222,NaV(OF)2,33.71655159
223,ScNiP,9.908077994
224,Mn(GaS2)2,7.691230614
225,Hf(B2H3)2,2.0
226,CaGaGeH,4.976080012
227,MgGeAs2,2.149726776
228,TbBS3,6.856674472999999
229,CdSnAs2,1.6880000000000002
230,AgHgAsS3,36.36641854
231,SrHClO,14.91888112
232,K2O2,10.704
233,CrHO2,16.58398365
234,SrGaGeH,5.613945657
235,RhF3,2.007173376
236,GeSe2,10.52212389
237,NaGaO2,15.43196437
238,Ca(SbO3)2,6.45393586
239,BaAlSiH,3.709005258
240,InPbCl3,27.78317201
241,W3(SeS2)2,1.599131944
242,WOF4,19.91029294
243,KNa(BH4)2,34.58187032
244,Nd4S3NCl3,4.139884393
245,Zn(GaSe2)2,2.342485645
246,KH8N3,9.582142857000001
247,Zn(InTe2)2,5.839805825
248,Zn2GeS4,5.8296052629999995
249,Rb3NbO8,26.6755102
250,NaScAs2O7,1521.457633
251,AlAgS2,16.06919643
252,Tl4SiS4,65.74710976
253,BaAl2O4,17.77717042
254,SrCa(CO3)2,8.133757962
255,ScSbPd,5.349714286
256,CaSe,39.20736842
257,Cu2WS4,5.762921348
258,K2Se3,24.93714286
259,PICl6,6.358730158999999
260,NaHo2F7,4.969530091
261,Al2CdTe4,6.019519525
262,ZrCl2,1.363436997
263,Li2MnSi3O8,4.456544621
264,KClO3,37.12739052
265,SiGe,1.04086758
266,ScGeAu,11.48103448
267,Sm3CuSnS7,70.03912313
268,CdSnP2,19.85907859
269,Ag2HgI4,40.51012658
270,LiNbWO6,23.47990971
271,CdGeP2,3.4961711710000003
272,RbSb,18.48539326
273,NaSb(PS3)2,41.21542065
274,AlB3N4,1.880656425
275,Na3MoNO3,33.53918809
276,TmH3(CO2)3,7.1023929789999976
277,Ca4Mg3H4,19.00574018
278,MoWSe3S,266.4514421
279,Na2CdSnS4,52.70689111
280,LiYMo3O8,8.255696187
281,InGeCl3,138.9708365
282,LiAlSe2,7.9993288589999985
283,K2Sr(P2O)2,5.111587983
284,ScHO2,6.622063099999999
285,Ba(NdSe2)2,14.21130435
286,BaZnF4,21.19835165
287,Li2ZnGeO4,7.516657314
288,Sr(PrSe2)2,8.996369637
289,CIN,13.64438768
290,Mg(InTe2)2,7.410857142999999
291,Mn2OF2,10.3047351
292,KLiZnS2,7.315315315
293,TlClO3,27.534552299999998
294,Ag3PS4,25.62706389
295,ZnSiP2,1.770089286
296,K2S5,10.12
297,Y(HO)3,1.702564103
298,TlNO2,107.1264231
299,SbIrS,0.367078189
300,GaB3N4,3.0647902869999997
301,NbBr2O,37.28648664
302,LiCdBO3,8.259714795
303,ReTeS,1.9268993840000002
304,ZrZnN2,24.69451005
305,KSnAs,12.17241379
306,Ba(InTe2)2,8.704605263
307,DyNiBi,5.173594132
308,Si4P4Ru,1.2781645609999999
309,Li2WS4,23.60869565
310,SbF3,168.07478989999996
311,P3N5,8.927972973
312,KLiBeF4,3.6742105260000004
313,KCrP2S7,137.1574179
314,SnS2,18.46814159
315,AlAsO4,10.06307151
316,Zn(SbO3)2,25.34957751
317,Te3MoWSe,34.77071274
318,HgHOF,1.4212328769999998
319,NaP,35.41489362
320,Au2O3,7.019710145
321,B4CCl6O,11.49498399
322,InPS4,15.93169662
323,RbCd(NO2)3,11.8327239
324,GaAgSe2,27.23546512
325,LiAlSi,8.63089983
326,Nd2PbSe4,20.26129032
327,Zn4P6N2O,0.314995035
328,BeZnO2,4.6257785469999995
329,Na2PtSe2,11.81111111
330,Na4S2O5,10.15460427
331,RbH3O2,10.56393443
332,BAsO4,3.873132502
333,Cu2HgI4,26.41636364
334,RbBe2BO3F2,1.050809908
335,Ga2TeS2,2.087162206
336,NaPN2,21.957652300000003
337,GeRu,13.20176644
338,LiMnO2,464.85993949999994
339,LiTaO3,24.85980759
340,Zn3CdS4,4.171122995
341,ZnGeN2,2.612870013
342,SiH8,19.14
343,Sn3As4,11.83736264
344,YNiSb,8.329487179
345,Ca2SnN2,22.15913982
346,Ag2GeS3,14.64333333
347,Li2Si2O5,5.2315882910000004
348,SrHgO2,0.232335719
349,TiSiPd,9.692347601
350,MgSiP2,7.044306931
351,LiCaRh,118.5090909
352,TiSiPt,6.898050458999999
353,CaTlF3,29.66979731
354,TiSnPt,3.4180064310000002
355,TlGeF3,89.604439
356,RbAs,18.48211382
357,Th3As4,7.250669216
358,Te2W3Se4,358.2866667
359,Na4SnS4,22.70897436
360,CaZnSO,16.82979943
361,Li3MnSi2O7,13.5516946
362,ScCoTe,3.709557522
363,TaCu3S4,3.2881081080000003
364,Cd(GaS2)2,7.8294519220000005
365,BP,0.510459413
366,Hg2P2S7,22.32754689
367,Zn(GaS2)2,3.147352877
368,LiSbTe2WO2,3.15427819
369,CaTlCl3,75.81291676
370,H4C,4.280769231
371,Li4CO4,12.07443424
372,ErAgTe2,17.56485014
373,H4NCl,4.874509804
374,SrGaSiH,5.491332526
375,Pr3CuSiS7,8.587972687
376,RbSrCl3,125.070298
377,CdSO4,18.64553967
378,AlAgO2,12.57944785
379,YN,5.655576923
380,TaSbRu,17.37919762
381,KNdGeS4,8.910514771
382,Tl3VS4,185.66400000000002
383,YAgTe2,18.19
384,Te2O5,35.63649547
385,Li7SbO6,2.654597878
386,Li7BiO6,2.8476960860000005
387,YNiP,29.02906977
388,YOF,14.4417603
389,VCu3Te4,9.499468085
390,FeSi,7.622710887
391,Tl3SbS3,22.46067585
392,HoHSe,5.161111111
393,K2MnF6,2.658783784
394,YH3(CO2)3,6.794433074
395,Ag2HgSI2,24.17666667
396,Mo(WSe3)2,2755.76
397,KP,20.03448276
398,Zn2GeSe4,3.99
399,AgH,3.25625
400,BiN,79.89764565
401,NaGe2N3,6.061889251
402,BPS4,133.1666667
403,CaZnSe2,369.2
404,VO2F,159.584324
405,Li2CdGeO4,14.77364341
406,LiAlO2,0.670675453
407,NaSrP,5.214028777
408,ScCuS2,9.243993441
409,Al2ZnSe4,3.579359844
410,Na6ZnSe4,16.73304454
411,LiAgC2,17.05189873
412,MoWSe4,57.95921726
413,Be2NbRh,77.02808056
414,YHSe,4.958253968
415,AgAsO2,13.97346587
416,SrH2O3,15.53954802
417,ZnSiN2,2.358595388
418,Sr(NdS2)2,9.271703297
419,LiZnAs,18.41685393
420,Cd(HO)2,194.04539330000003
421,Na6MnS4,12.75675676
422,Rb2Se3,17.57457627
423,Hg3AsS4Cl,2.876041924
424,BeSO4,4.612022946000001
425,CClF3,2.178742304
426,ZnSbF5,99.5460949
427,P4PtF2,7.162745097999999
428,Rb3TaO8,24.94400000000001
429,K4CO4,104.0861111
430,RbPbBr3,806.8442418
431,RbSrCO3F,1.498958333
432,LiMgBi,3.1715415019999997
433,ZrCoBi,14.83909465
434,Cd(CN)2,141.992223
435,Ba3Ti2O7,143.8609929
436,Te8Mo3W,1.82055117
437,Li3VO4,13.32289209
438,Cd2BiAsO6,13.42117647
439,Be4TeO7,0.225997151
440,RbLiCrO4,26.92275111
441,SnH8(CI)4,5.35
442,Na4SnSe4,25.125
443,Li2PNO2,4.634558486
444,Ce2Dy2O7,7.0588469179999995
445,Dy5AgS8,20.21681728
446,LiBF4,16.99815964
447,LiCrBO3,9.054516129
448,H3ClO,6.488538158
449,K2Pb2O3,2.543312102
450,MgSnP2,3.023976608
451,MgSiN2,9.298810535
452,Mg2PN3,19.39514609
453,Na4CO4,51.79700599
454,ZnCl2,18.77868852
455,PHF2,18.11320755
456,In2HgSe4,14.08281964
457,Li2MnPO4F,14.63892243
458,Zn2Bi2O5,73.1715338
459,TiOF2,28.15835246
460,Ni(PS3)2,7.37360903
461,NaBrO3,0.655813953
462,TaTlPt,5.7083916079999995
463,LiGaO2,8.017665457
464,AlSeBr7,15.86282231
465,BaBeSiO4,148.1746924
466,KCN,56.6
467,MgGeP2,4.438992042
468,Ge2N2O,7.080064309
469,PtO2,5.291875
470,Ge3As4,13.7637931
471,W3(Se2S)2,1.492870201
472,BiTeI,22.73248508
473,Li7SbO6,7.556262553
474,Al(IO3)3,33.33817568
475,BSb,0.326988922
476,CdGeAs2,3.5381231669999997
477,UCO5,10.94722222
478,VCuO3,116.8775835
479,Na2ThF6,10.50498668
480,Nd2Be2SiO7,5.206071871
481,CdTeMoO6,29.0734104
482,AlHO2,6.322620025
483,Ca(InTe2)2,2.629220779
484,AsBr3,5.912727273
485,NaHF2,79.33032978
486,SNF,7.87721519
487,Sm2PbS4,25.25555556
488,InAgSe2,21.02021277
489,Mo3(Se2S)2,2.755671642
490,CdSiP2,3.347248577
491,RbMgBO3,0.030141843999999997
492,MoWSeS3,35.28151568
493,LiGaS2,7.43480663
494,K2BaCdSb2,32.94649648
495,KTeOF3,32.84023637
496,FeP4,3.49980695
497,Ba(PrS2)2,11.93865815
498,Sm2CdS4,94.94855769
499,Ga(IO3)3,37.21767068
500,RbNO2,160.43829419999997
501,XeO3,38.76215278
502,Nd5AgS8,10.80496565
503,MgMnF4,7.017037037000001
504,H3NO,10.28307692
505,Mo3W(SeS3)2,7.105114017000001
506,Rb2PbO3,19.21040594
507,As2SO6,21.65714286
508,HgBr2,29.20925926
509,Li3SbS4,0.692105263
510,MnZnF4,7.153922687000001
511,KBi2F7,89.0448657
512,LiTlPHO3,9.497899493
513,Si3As4,6.9191532260000015
514,Tl3AsSe3,51.74612121
515,TiSnO4,53.23781818
516,AsCl3,4.1414285710000005
517,NdHO2,10.88549011
518,Ga2S3,4.702763837
519,Ca(PrTe2)2,12.71140351
520,Al2HgTe4,7.8736625510000025
521,Hg3(SeCl)2,27.80659341
522,HfSnPd,1.531957187
523,MoW2(SeS2)2,2.08482465
524,NaSi2N3,3.817333333
525,WSe2,5.31570997
526,SrAlSiH,9.603057971
527,KZnAs,8.879651163
528,KGeBr3,784.9342711
529,CN2,0.902681992
530,Mn(AlTe2)2,4.105027933
531,HoNiBi,8.436538462
532,Ho2Be2SiO7,6.775965131
533,Te2Mo,14.74559585
534,BeS,2.127529412
535,Li2CuSb,12.4937833
536,LiVPO4,5.741479946
537,HgSe,60.11800696
538,LiCoO2,20.42621951
539,Na7NbO6,183.2093608
540,Li2CaHfF8,5.5179204
541,CuCN,44.85473684
542,NaHg2IO2,15.90222222
543,MoSe2,9.355370612
544,RbPbIO6,1.666233766
545,GeS2,11.12272727
546,Zn4(B2O)3,1.915057113
547,Cd(AgI2)2,32.57972973
548,KAsSe2,15.33863784
549,BAs,0.638652675
550,Br2O,35.70487318
551,KBi(PS3)2,30.25059051
552,MgScGa,21.7972973
553,NaCN,134.53616369999997
554,ZnCdS2,7.364536741
555,Li2BeSiO4,2.011425339
556,MgBi2O5,24.96151995
557,IOF3,13.84490741
558,CdHClO,33.80679612
559,Ba2Ti3O8,66.78811777
560,Li4V2SiGe,7.0091222029999996
561,MgTa2O6,38.46751592
562,BaCO3,32.41207165
563,Tl3PO4,8.578910522000001
564,ZnCl2,19.66226415
565,Ba2Ti3Tl2,22.59767416
566,LiAuC2,20.07945205
567,CdS,53.45544888
568,YAgSe2,8.220085591
569,AlPS4,70.53333333
570,BeSiN2,0.715965347
571,ZnSnP2,1.908016032
572,KPrGeSe4,8.877981883
573,Cd(CN)2,6.470833333
574,KCaBr3,376.29953489999997
575,GeI2,99.88513514
576,AlTeI7,39.62341719
577,LiZnP,12.93992537
578,CuH,5.822324159
579,Li2CaSiO4,26.89268293
580,CaHClO,22.63494387
581,SnI4,16.56333333
582,TlCdF3,62.00823336
583,H8(NO2)3,67.70650784
584,H4NF,15.84871795
585,KNO3,27.12700926
586,H2SeO4,11.76666667
587,Nb3SBr7,6.3697097010000014
588,Cd3AsI3,17.20894784
589,GaSeBr7,92.38097318
590,SiGeN2O,3.627133904
591,KAg2PS4,5.741958042
592,Ag2HgI4,45.01449275
593,Li3PO4,5.520385857999999
594,Sm3CuGeS7,23.4871294
595,GaBN2,2.47329463
596,Ga2TeSe2,2.147567568
597,Na2NiO2,26.00545455
598,Te2Mo3WSe6,216.8212781
599,ThSbRh,8.076285713999999
600,HoNiSb,4.472040816
601,NaBeSb,18.52941176
602,KSnSb,9.129730876
603,NaLi3(H2N)4,35.77083333
604,MoH2Cl2O3,22.98396947
605,Li5P(S2Cl)2,75.70582524
606,LiZnPS4,14.14179835
607,Ca(HO)2,52.56284647
608,Ca(DyS2)2,12.97
609,CaBiAsO6,11.50356264
610,MoW3(Se3S)2,3.2528771610000002
611,LiGaSe2,6.615384615
612,NbFeSb,34.67468354
613,LiZnN,5.393571429
614,Na2MgSiO4,11.08619733
615,ErNiSb,3.538461538
616,DyNiSb,5.534388186
617,LiAlSiO4,0.35251641100000003
618,Ca2SiB2O7,2.226535948
619,Mg(BiO3)2,12.093531
