,pretty_comp,spillage
171,ScInIr2,0.23800000000000002
172,Nd3Al,0.865
173,Y2Ni2O7,0.027999999999999997
174,ScPPt,0.315
175,ZrSiSe,0.019
176,CuSnRh2,0.653
177,VHgO3,1.597
178,Pr(FeSi)2,0.27699999999999997
179,MoWSe3S,0.068
180,ErAs,0.46
181,Nb3Sn,2.408
182,RbAuBr3,0.084
183,Nd4Sb3,0.847
184,LuScRu2,0.294
185,NdAl7Au3,2.1830000000000003
186,BaPdS2,0.049
187,K2SrCdSb2,0.094
188,Tb5NiPb3,1.453
189,Er3Al3NiGe2,0.124
190,TaC,0.052000000000000005
191,Cd3P2,0.031
192,ZrGeSe,0.028999999999999998
193,Ta3Al2CoC,1.965
194,LuMg,1.599
195,Mg3As2,0.008
196,RuS2,0.027999999999999997
197,HgPd2Au,0.81
198,SmYIn2,0.038
199,SmSnAu,0.565
200,SbPdSe,0.09699999999999999
201,TbGa3Os,1.01
202,MgB4Os3,1.126
203,DyS,0.932
204,ZrCr2,0.34600000000000003
205,LiCd2Rh,0.455
206,ZrCuHg2,0.078
207,AcSbAu2,2.255
208,DyYZn2,0.602
209,Tm2HgOs,1.579
210,TlSb,1.199
211,Tl2Sn2S3,0.08800000000000001
212,NdTm3,0.887
213,Na2LiTa,0.941
214,AgBi2Se3Cl,0.515
215,TbAl,0.048
216,Sc2TcPt,0.239
217,Ba2N,0.015
218,HoIn5Rh,0.657
219,NdAgHg2,1.015
220,LiGaSi,0.003
221,Y3Al,0.428
222,LuTaOs2,0.489
223,SmMgZn2,0.017
224,HoGa2,0.027000000000000003
225,TbLuHg2,0.45399999999999996
226,ZrS,0.326
227,Rb2PdBr6,0.049
228,CaTe,0.094
229,SrAgP,0.013999999999999999
230,InAsPt5,2.214
231,Th3P4,0.419
232,BaTe2,0.081
233,PbAu2,0.737
234,YbIn2,0.41200000000000003
235,PmZn2Ag,0.75
236,DyRh3C,0.799
237,Sc2AlSi2,0.017
238,Cu2SnS3,0.18899999999999997
239,TiPt3,1.474
240,TaCuN2,0.024
241,CaTmCd2,0.075
242,Sc2AlOs,0.358
243,Sm2MgAl,0.713
244,Ca(As2Rh3)2,0.155
245,LiAc2Si,0.64
246,LiGa2Pt,0.581
247,ScPt,1.916
248,Ta3Sn,2.358
249,InSb3,0.858
250,Ca(PIr)2,0.308
251,MgNi2Sn,0.021
252,Yb3GeO,0.8220000000000001
253,Zn(InS2)2,0.013000000000000001
254,LuInCu2,0.513
255,Na2CdSn,3.696
256,TbAlCu2,0.10300000000000001
257,CuSe2Cl,0.039
258,YHoCd2,0.41100000000000003
259,LiCa2Tl,0.898
260,VFeSb,0.01
261,YbPrMg2,1.604
262,Tm3TlC,0.8220000000000001
263,Pm2ZnRh,0.07
264,NaFeAs,0.377
265,HfCoSb,0.613
266,Ba2YSb3O8,0.44
267,NaAgO,1.27
268,La3InB,0.7340000000000001
269,HoN,0.027000000000000003
270,ErNbRu2,0.16699999999999998
271,Er2ZnCu,0.14300000000000002
272,Mg2TiSbO6,0.055999999999999994
273,NaTlO2,0.016
274,MgSbPt,0.16
275,Be2Zn,0.002
276,Y2O3,0.42200000000000004
277,NaHg2,0.408
278,ScGaNi2,0.019
279,Hf3Al3C5,0.221
280,LuPaTc2,1.827
281,CdP4,0.004
282,KZnSb,0.048
283,YbNbRu2,0.08199999999999999
284,ZrZn,0.152
285,SmH3,0.426
286,LiCa2Rh,0.027999999999999997
287,Lu2OsPd,1.66
288,TaGeRh,0.6990000000000001
289,AgHg3SbO6,0.11599999999999999
290,Ba5Al5Sn,0.06
291,ZrNiSn,0.015
292,GaRh,0.155
293,LaTiO3,0.474
294,YPt3C,1.8419999999999999
295,ZrAlRu2,1.1179999999999999
296,Rb2HgAu,0.172
297,Li2PrP2,0.21100000000000002
298,Dy3TlC,0.804
299,NaCaTl2,1.218
300,BaNdCuBO5,0.15
301,ErPd3,0.046
302,BaTaS3,0.21600000000000005
303,AcSnAu2,2.137
304,Zr3Cd2,0.049
305,DySnPd2,0.24
306,Tl2Ge2O7,0.07200000000000001
307,FeSbS,0.057
308,CaSmCd2,0.13699999999999998
309,TmInPd2,0.052000000000000005
310,LiCaPb,2.141
311,Ba2AsAu,0.043
312,AgAuCl4,0.10800000000000001
313,SmCdAu2,0.7859999999999999
314,PrSbTe,0.489
315,SmZnAu2,0.828
316,DyBi,1.3159999999999998
317,Ca(CdSb)2,0.22899999999999998
318,CdSe,0.018000000000000002
319,ZrTe2,1.248
320,Te2MoWSe2,0.141
321,BaGeO3,0.35100000000000003
322,MgAlPd2,0.019
323,NbN,0.017
324,SbTe,1.982
325,BaBi2O5,0.08800000000000001
326,Pr(Fe2P)2,0.023
327,LiPr2Os,0.532
328,Li2TmTl,1.311
329,NdZnSn,0.691
330,P3Pd,0.7140000000000001
331,LiGa2Pd,0.21600000000000005
332,Te4Mo3Se2,0.098
333,Nd3PbC,0.8959999999999999
334,ErSnPt2,1.2570000000000001
335,SbTeO3,0.8759999999999999
336,Al2PdRu,0.051
337,AgRhO2,0.073
338,LiSmAu2,0.818
339,CaCuSb,0.585
340,BaPd2,0.113
341,ScBIr3,0.96
342,YMgCu4,0.023
343,TlN,1.047
344,BaSiTc2,0.067
345,SrCuSb,0.276
346,YbH3,0.024
347,LiEr2Os,0.26
348,CuAuSe4,0.105
349,YbAs,0.41200000000000003
350,NaZnSb,0.74
351,Yb2CdS4,0.8759999999999999
352,VSiTc2,0.055999999999999994
353,TaMoN,0.29600000000000004
354,TaS,0.35
355,PtPb2,0.6729999999999999
356,HfSb,0.45299999999999996
357,TiGeRu2,0.021
358,HfC,0.11
359,BaSnHg,2.075
360,PbAuO2,0.198
361,LaBi,1.341
362,LiTb2Ir,0.285
363,TbPd3,0.044000000000000004
364,InP3,0.011000000000000001
365,Ca2Bi,0.15
366,K2NaInAs2,0.016
367,Zn(Sn2O3)2,0.038
368,Sc2AlAg,0.012
369,CaSnRh2,0.452
370,NaSr2AlP3,0.013000000000000001
371,TiPtPb,1.026
372,Nb3I8,0.21
373,Ta9(FeS3)2,2.705
374,TiAlRu2,0.508
375,TiSiOs2,0.272
376,Nd(BOs)4,2.355
377,GaTc2W,0.426
378,SrTl2,2.1069999999999998
379,Ho2NiAs2,0.129
380,TaW3,0.9359999999999999
381,LiYTl2,0.5579999999999999
382,Al2IrRh,0.17600000000000002
383,DyFeSi,0.161
384,HoNbRu2,1.219
385,AgO,0.051
386,Ga2HgTe4,0.113
387,LiYb2Rh,0.633
388,LiSbRh2,0.541
389,AcYbGa2,2.08
390,Ca3Hg2,0.889
391,PmBiRh2,0.254
392,AgBF5,0.08199999999999999
393,Ba(MgSi)2,0.063
394,Al(SnO2)2,0.419
395,Ho6FeBi2,2.964
396,ScGaCo2,0.027999999999999997
397,Li2CdGe,0.45399999999999996
398,NdMgHg2,0.327
399,CdSnSb2,0.606
400,Nd2IrPd,0.615
401,Zr2NiAs2,0.298
402,CaBiO3,0.068
403,TmN,0.023
404,TaP,0.545
405,ScGa2Ru,0.382
406,VAuS2,0.061
407,SiHgO3,0.027000000000000003
408,BaPt,0.326
409,YNiBi,0.278
410,Nb3PbS6,2.06
411,SmP5,0.068
412,TmSe,1.032
413,TbP,0.126
414,LiCa2Ga,0.284
415,YbNiH3,0.03
416,NdSb,0.997
417,TbMgHg2,0.325
418,BaAsPd,0.026000000000000002
419,LaMgHg2,0.494
420,Li2YbSn,0.758
421,LiHo2Ga,0.875
422,LiGa2Ir,0.927
423,TbPb3,1.41
424,USnPt,1.801
425,Mg2Si,0.001
426,FeSe2,0.038
427,SrGe2,0.013999999999999999
428,Ag3Sb,0.555
429,ThTe3,0.429
430,TiTc2Mo,0.066
431,PmAlAg2,0.043
432,LiScPd2,0.9179999999999999
433,TmCuPb,0.428
434,SrAgO3,0.057
435,GaPt,0.816
436,Bi2SeO2,2.101
437,CuAgS,0.032
438,KSb,0.10800000000000001
439,Sn5(BIr3)2,0.6659999999999999
440,Pm2ZnOs,0.36
441,TmSb,1.08
442,Zn2Sb3O8,0.012
443,Sr2YTi2TlO7,0.11199999999999999
444,LiSm(CuP)2,0.013000000000000001
445,NbGaNi2,0.033
446,RuN2,0.447
447,Dy2ZnOs,0.18899999999999997
448,MgScAg2,0.087
449,Li2LaSn,0.87
450,HfNi3,0.941
451,Be2Si,0.002
452,Bi2Te4Pb,2.147
453,Pm2PtAu,0.752
454,Zr2CuSb3,0.883
455,Sb(IF3)2,0.306
456,HoErAl2,0.055999999999999994
457,ZrSbPd,0.237
458,GePd,0.046
459,HfSb2,1.2830000000000001
460,Ho2OsRu,0.402
461,NaInAg2,0.045
462,Na3In2Au,2.147
463,NbZn3,0.03
464,AlSnO3,0.003
465,Ta4GaSe8,0.391
466,Pr4As3,0.601
467,TbAlNi,0.48
468,PrGaAu2,1.297
469,Na2AsAu,0.129
470,Lu2AlOs,0.384
471,Ag2Te2O7,1.349
472,Tl5Se2Br,0.315
473,Dy2IrAu,0.213
474,Na3Sb,0.055999999999999994
475,CuIrBr,1.197
476,Tm2MgIr,1.004
477,Er2CuPt,0.27399999999999997
478,AlZnRh2,0.9640000000000001
479,Ba(ZnP)2,0.09
480,YPaTc2,0.4370000000000001
481,SmCd3,0.023
482,Nd3InN,0.893
483,Yb2AgBi,0.18600000000000005
484,W3O8,0.107
485,ZrCdO3,0.005
486,Ga2Te3,0.136
487,Li2Nd2Si3,0.047
488,Sb2TeSe2,0.24600000000000002
489,NbS,0.037000000000000005
490,LiVIr2,2.086
491,SmTlAg2,0.324
492,NiAu3,0.6709999999999999
493,ErCd,1.595
494,BaAgP,0.02
495,Ta2Se,1.295
496,LiTmIn2,0.061
497,Yb3In,0.155
498,Tl2PdSe2,0.244
499,Dy2AgOs,0.242
500,HfAsRh,0.601
501,SmSnAu2,0.13699999999999998
502,Zr2OsRu,0.23
503,Nd3In,0.467
504,Ti5Pb5O4,0.17600000000000002
505,TaGe2,1.093
506,HfSnPt,1.449
507,Sr2Ge,0.019
508,Ta2N,0.825
509,Dy2CdSe4,0.08199999999999999
510,Ag7NO6,1.868
511,Tb(BIr)4,2.231
512,Sc3BPb,0.149
513,AlPd,0.039
514,RbPrTe4,0.171
515,GeMo3,0.358
516,BaAg2GeSe4,0.155
517,Sr3BiP,0.64
518,Pm2CuPt,0.271
519,SiTePt,0.47700000000000004
520,DyN,0.032
521,TeO3,0.016
522,Rb4CO4,0.003
523,HfMgAu2,0.45799999999999996
524,TePb,0.97
525,ScTaOs2,0.47100000000000003
526,TaTe4,0.37799999999999995
527,SmPa3,1.012
528,TiSe,0.057
529,Te4Pt3,0.8740000000000001
530,SrGaSnH,0.043
531,Sm2IrPd,0.273
532,Bi2Os2O7,2.502
533,PrBi,1.18
534,Yb2SbAu,2.056
535,SiBPb,1.1440000000000001
536,Pm2CuOs,0.47100000000000003
537,Li2DyIn,1.3980000000000001
538,Ca(ZnAs)2,0.015
539,Na2Sn2O3,0.107
540,NdFeSi,0.297
541,Na2PtC2,0.10099999999999999
542,TmHfRu2,0.08
543,NaTeO3,0.013999999999999999
544,TcN,0.5379999999999999
545,Sr2Ni(N3O)2,2.4290000000000003
546,MgInPd2,0.121
547,Rb3BrO,0.005
548,ScN,0.188
549,TmTc2W,0.34700000000000003
550,CaCdPb,1.629
551,Pd3(PbS)2,2.063
552,SmAl,0.109
553,Bi2Se3,0.755
554,Ti3InN,0.856
555,HoAgSn,0.128
556,YSi,0.004
557,V3Sb2,0.449
558,BaBi3,2.186
559,Ho3AlC,2.62
560,MgCuAs,0.185
561,Sm2CuRu,0.18100000000000002
562,Hf2TcOs,0.307
563,ZnAs,0.018000000000000002
564,BaGaGeH,0.303
565,CoBiO4,0.109
566,Ho2CuRh,0.08
567,AlTc2Pb,0.955
568,TiSiRu2,0.027000000000000003
569,NdSb2Pd,0.48200000000000004
570,Y2NiIr,1.456
571,TaAlRu2,0.084
572,DyIn,0.04
573,CdSnO3,0.003
574,Pr3SnC,0.052000000000000005
575,TmP,0.145
576,YMgZn2,0.004
577,Zr3(Cu2Ge)2,0.34299999999999997
578,CaB2,0.002
579,ErCdCu4,0.384
580,Zr3Au,1.137
581,NiSb2,0.669
582,Sc2CdTc,0.085
583,ZrCu2Hg,1.192
584,PrH,0.033
585,Ta3AlC2,0.653
586,Tl4SnTe3,2.26
587,OsS2,0.479
588,LiPt2,0.821
589,Ce(Fe2P)2,0.066
590,SmInRh2,1.37
591,P2Pd,0.018000000000000002
592,TiRu,0.034
593,SrSi2,0.008
594,PrP,0.78
595,ErInPd2,0.05
596,Hg2Pt,0.231
597,Sr(SnAs)2,0.9990000000000001
598,CdSnAs2,0.4270000000000001
599,KCuSe,0.022000000000000002
600,LuBi3,1.0659999999999998
601,NbW5Se2,0.305
602,ScGaCu2,0.017
603,SrCaSi,0.006999999999999999
604,CaPb3,2.11
605,BaBe2Te,0.052000000000000005
606,Y(BRh)4,0.271
607,Pr(Re2Si)2,0.628
608,Tm2GaOs,0.27
609,KFeTc2,2.51
610,Pt3PbC,1.1540000000000001
611,TbPmRh2,0.281
612,InP2Pb,0.835
613,YErIn2,0.179
614,LiHo2Rh,0.08800000000000001
615,LiTmPt2,1.139
616,GeSb4Te7,2.075
617,LiCaSn,2.02
618,Tm2CuOs,0.225
619,ZnFePb,1.393
620,Ba2Ge,0.075
621,Rb3As,0.038
622,ErInRh2,0.5720000000000001
623,SmAgPb,0.87
624,Pm2SiHg,0.172
625,ZnNi2Ge,0.026000000000000002
626,Sr4Bi3,2.291
627,SiGe,0.004
628,NaPrHg2,0.57
629,PaAlTc2,0.597
630,SrSbPt,0.125
631,NdIr2,1.8430000000000002
632,Er2MgTl,0.39
633,Si2OsRu,1.472
634,InSiIr,0.379
635,HoNiBi,0.319
636,YSbPt,2.7939999999999996
637,TmSbPd2,0.643
638,ZrSb2,0.7390000000000001
639,Ti2AlMo,0.045
640,LaAs,0.064
641,Th6CoBr5,0.3
642,RbAsO3,0.092
643,Rb3Os2Br9,0.7070000000000001
644,LiSc2Os,0.22699999999999998
645,PrIn,0.026000000000000002
646,Ba(CdAs)2,0.081
647,HoCd,0.44
648,V3Sn,0.371
649,LiBiRh2,0.6920000000000001
650,WN2,0.387
651,Li2HgAu,1.923
652,Ni3SnN,0.516
653,Dy(CuO2)2,0.507
654,Te2Ru,0.165
655,PmSbPd2,2.043
656,ScSnPt2,0.787
657,TmCdPd2,1.167
658,Te2Ir,1.077
659,Ba3BiP,2.13
660,Sm(SiRu)2,0.345
661,RbCu3S2,0.013000000000000001
662,AlMo3,0.11699999999999999
663,LiYS2,0.002
664,SmSbIr,2.13
665,TaBeO3,0.611
666,ZnSb,0.11699999999999999
667,K4CdAs2,0.006999999999999999
668,LiGePd2,0.094
669,SrBiB,1.889
670,KSnSb,0.11
671,Ti2InCo,0.977
672,ZrB2,0.038
673,Ta3Sb,2.205
674,CaTl2Cd,1.464
675,HfHgO3,1.196
676,Lu2BeOs,0.315
677,Sb2O5,0.011000000000000001
678,CdGeAs2,0.263
679,SnAu3,0.368
680,CaAcZn2,0.813
681,Zn3(InS3)2,0.057
682,SnBiO4,0.034
683,PmGaCu2,0.644
684,MgBi2O5,0.14400000000000002
685,Dy2AgRu,0.083
686,AgBrO4,0.016
687,Lu2TlHg,0.494
688,Ni(BMo)2,0.557
689,LiTm2Ru,0.126
690,Bi2Pb2Se5,0.8390000000000001
691,ZrGaAu,0.626
692,NaLu(Pd3O4)2,0.9159999999999999
693,Li2PrAl,0.242
694,NbCrSi,0.429
695,Ti2TcPt,0.40399999999999997
696,TaInRu2,0.201
697,Sc2TcPd,0.441
698,OsC2,0.214
699,NbSeI3,0.215
700,Er3Ni7B2,0.457
701,RuCl2O,0.41100000000000003
702,Yb2AgSn,0.109
703,TaTe5Pt,1.3969999999999998
704,InAgO2,0.03
705,ZrFeSe,0.006999999999999999
706,TmZnRh2,0.456
707,DyInCu2,0.06
708,BaLiAs,0.01
709,GaCuRh2,0.195
710,Ca3AsP,0.027999999999999997
711,KAg3Se2,0.145
712,Ca3In,0.011000000000000001
713,SrN2,0.002
714,LiZn2Pt,0.579
715,Pm2ZnRu,0.08
716,LiCdAu2,0.087
717,TaGaOs2,0.8809999999999999
718,Ag3AsO4,0.06
719,HoAlAu2,0.191
720,Pr(SbOs2)2,1.043
721,LuGa3,0.039
722,CdC,0.008
723,AlTlSe2,0.039
724,PdAu3,1.006
725,NaSr2Tl,0.807
726,Cu2GeS3,0.045
727,Ag3Sn,0.18
728,DyYCu2,1.828
729,Rb(TeO3)2,0.051
730,TbTl3,0.9990000000000001
731,Er2In,0.218
732,BaYbCdSb2,0.159
733,Cd2PbO4,0.062
734,Lu2ZnIr,0.637
735,Te2Mo3S4,0.052000000000000005
736,SmS,0.446
737,HoInCu2,0.064
738,BaBiAu,1.4569999999999999
739,Ca2Sb,0.017
740,Sr2YTlSn2O7,0.028999999999999998
741,Pr(CuSi)2,0.013000000000000001
742,NdTeF,0.049
743,NaBi2AuO5,0.5770000000000001
744,Mg2PdAu,0.048
745,DyNbRu2,0.098
746,Sc2AlRu,0.055999999999999994
747,Yb2SeO2,1.21
748,Tb2SnS5,0.062
749,CaPmPd2,0.7140000000000001
750,Ti2Sn,0.015
751,MgInNi2,0.145
752,CaSnHg,0.6809999999999999
753,Na2TlSb,0.17600000000000002
754,NaAg2,0.028999999999999998
755,AgBiS2,1.775
756,Er3AlN,0.086
757,TmH2,0.022000000000000002
758,Mg2Pb,1.294
759,NaAu2,0.369
760,Li2NdSb2,0.7809999999999999
761,Li2InRh,0.435
762,Bi2Ir2O7,2.164
763,LaBiAu2,2.8710000000000004
764,NdC2,0.593
765,Bi2Te3,2.094
766,CaSi2,0.001
767,Be2IrPd,1.186
768,TbTlAg2,0.20600000000000002
769,Ag2O,0.019
770,InAsPd5,0.135
771,Yb(Fe2P)2,0.48700000000000004
772,Re3F,0.737
773,Yb2CdHg,0.536
774,Yb2Pb,1.3019999999999998
775,SmMgTl,0.9490000000000001
776,Sr2CdIn,0.29600000000000004
777,TiGaRu2,0.634
778,HfSnRh2,0.685
779,ErNiSb,0.057999999999999996
780,MgSbPd2,0.064
781,Li3HoSb2,0.384
782,KAuBr4,0.172
783,TmSnRu2,0.95
784,YbMgSn,0.5720000000000001
785,Hf2ReIr,0.40700000000000003
786,Sr2Sb,0.032
787,Ba(ZnAs)2,0.326
788,CaSn3,0.21
789,Al2W,1.147
790,BaCa(AgO2)4,0.29
791,NdBRh3,1.903
792,TlCuCl3,0.022000000000000002
793,BaBiO3,0.076
794,SrP3,0.004
795,TaTe4Ir,3.318
796,Ga3Fe,0.021
797,K2NiAs2,0.439
798,Y2ZnSe4,0.077
799,ScGaRh2,0.031
800,Ta2TcW,0.532
801,Tl6TeO2,2.089
802,Ca(MgBi)2,2.072
803,SrPb3,2.229
804,As4C3,0.77
805,In2AgSe4,0.667
806,YbBiPd,0.322
807,SnPt3C,1.479
808,Nb3Pt,1.739
809,Nd(NiBi)2,0.9840000000000001
810,Nd2Cd2O5,0.016
811,NdTe2,0.371
812,Ta2InC,0.626
813,TiPd2,0.040999999999999995
814,SrMgSi,0.044000000000000004
815,ScSbRu2,0.32799999999999996
816,WBr6,0.05
817,YPbAu,2.052
818,Sm2AgRu,0.087
819,PmInAg2,0.172
820,LiDy2Tc,0.374
821,SmZn2Ag,0.8079999999999999
822,PrAl2,0.5329999999999999
823,CuAsSe2,0.024
824,Rb6AlSb3,0.08
825,LiLu2Os,0.287
826,Bi4Te3,3.432
827,AcAgHg2,0.585
828,LuP,0.406
829,HfSiRh,0.34299999999999997
830,Pm2SiPd,0.29100000000000004
831,Sc2ZnSe4,2.01
832,TmNiSb,0.06
833,Sc3InC,0.273
834,GaTe,0.12
835,La2ZnAg,0.86
836,Ta3B2,2.2
837,GaAuO2,0.18100000000000002
838,PmCd3,0.027000000000000003
839,LuPaOs2,1.429
840,Mn2AlRe,0.115
841,LaBiPt,1.463
842,SmTh3,0.9670000000000001
843,AgPb3,2.376
844,ZnSnSb2,0.569
845,HoTaRu2,2.121
846,Li2AlRh,0.552
847,Pm2MgTl,0.172
848,Mo2W(Se2S)2,0.048
849,ScTc2Mo,0.165
850,BaTi2As2O,0.425
851,SmB2,0.008
852,HfZnIr2,0.292
853,ThSbTe,0.8440000000000001
854,SmPbAu2,0.9359999999999999
855,HoP,0.136
856,NbAlFe2,0.018000000000000002
857,Y5Ge3,0.036000000000000004
858,Sr3PbO,2.115
859,BaCuSb,0.45899999999999996
860,CaMgHg2,0.872
861,Sc2CuAu,0.706
862,YInAu2,0.747
863,YbPmPt2,1.402
864,LaAs,0.069
865,TlPPd5,0.392
866,TeMoSe,0.10800000000000001
867,YTlCd,0.986
868,LiZnAu2,2.044
869,ScPt3C,1.224
870,Pr4Sb3,0.8190000000000001
871,Tm2InOs,0.305
872,LuPb3,1.386
873,LuMgCd2,0.043
874,TiAlOs2,0.589
875,Sm2Se3,0.087
876,TiS2,0.02
877,SmSnPd2,0.659
878,Tm2ZnTc,0.247
879,Bi2Te5Pb2,2.194
880,BeSbAs2,1.7519999999999998
881,BaSi2,0.028999999999999998
882,YInRh2,0.42200000000000004
883,KCdAs,0.037000000000000005
884,Dy2PdRu,0.185
885,RhF3,0.092
886,SnP7Au3,0.321
887,HoCdPd2,0.7859999999999999
888,Yb2AgRh,0.268
889,LiDyTl2,0.675
890,TmHfIr2,0.4
891,Pr(AlZn)2,0.035
892,Ti2AlRe,0.10800000000000001
893,BaPPt,1.203
894,Li4SbS4,0.017
895,Sc2ZnOs,0.215
896,Pd3Pb,2.051
897,Ta3SeI7,0.38
898,Mg3Nb6O,0.012
899,NdAg,0.016
900,Ag3O,0.027999999999999997
901,LiLu2Ir,0.503
902,YbMgHg2,0.8540000000000001
903,HfSbRu,0.429
904,HfAlPd2,0.19699999999999998
905,ZnBi2O5,0.166
906,Tm2CdIn,0.8909999999999999
907,LiAl2Pt,0.29600000000000004
908,TbInAu2,0.441
909,AgPtO2,0.19699999999999998
910,ZrSbRu,1.093
911,AgF2,1.9769999999999999
912,AcAg2Sn,0.18
913,Ba(PPd)2,2.0069999999999997
914,BiI,1.275
915,Mg2AgRh,0.11199999999999999
916,ScNbOs2,0.273
917,Ho2Ge2Os,0.617
918,Ba3PN,1.155
919,Lu2AgRu,0.10300000000000001
920,TiSnPd,0.011000000000000001
921,NdB6,0.027999999999999997
922,PmCdPt2,1.716
923,GaRu,0.065
924,MgSc2In,0.006
925,Na8SnSb4,0.28
926,MgPd,0.057999999999999996
927,Ge2Te5As2,0.242
928,RbFe2S3,0.873
929,ScInCu2,0.021
930,Yb2SnHg,2.051
931,Dy2CuOs,0.203
932,LiNdGe,0.72
933,ZrGeTe,0.937
934,Ge3As4,0.023
