,pretty_comp,kpoint_length_unit
396,Tm2ZnHg,100
397,Hf2S,90
398,CaCo2O5,70
399,Ca2TlPb,95
400,NaGaHg2,110
401,UP2,70
402,Sr3(GeAs2)2,65
403,BeW2Cl,105
404,Dy7(TeIr)2,75
405,HgRhF6,50
406,VGaRu2,60
407,ZrBeTe,95
408,Zn(CoN)2,90
409,Li2BF5,40
410,Sr(NiSb)2,80
411,Bi2O3,85
412,SrZrCo,90
413,HoMgHg2,110
414,YbPmPt2,100
415,SiNi,80
416,YbB4Os,80
417,SrB4O7,50
418,AuBrF6,45
419,Li5Si2NiO8,45
420,Na2(CdSi)3,50
421,NpSi,85
422,Pa3H,95
423,Pa2SbTe,70
424,TbSi2Rh3,150
425,Nd(NiAs)2,100
426,SrGe,120
427,Ti3In3Rh2,110
428,BeNb2As,85
429,Pm2InAg,70
430,Rb4CdCl6,50
431,Ca(Ni2Sn)2,80
432,Ti(MnP)2,55
433,ThH2,65
434,BaYPd2,65
435,UCO5,45
436,AlCoF5,45
437,SrCuSF,60
438,CaCdGe,60
439,Ti(CrS2)2,60
440,NaBeBr,45
441,Zr2BeCl,75
442,Li7Pb2,90
443,CaGaSnH,70
444,Pm3Sc,105
445,Pt(SCl3)2,55
446,TaMnRu2,65
447,WF5,95
448,K2HgTe,85
449,Er(GeRh)2,75
450,NdPPd,70
451,Ca2ZrBe,55
452,LiAlB4,115
453,Ba2NbTl,75
454,LiScO2,50
455,FeF2,50
456,Be2MoBr,100
457,LiCuO,75
458,Mg2VBiO6,50
459,Ba2TiBi,70
460,SrAg5,140
461,BeCo2Te,55
462,Y2MgMn2S2O5,65
463,Cr2B,65
464,Ba2AlCu3O7,95
465,LuAsO4,50
466,LiCo2O2F3,95
467,YbMn4Cu3O2,55
468,KBaSe2,105
469,BeFe2Ni,75
470,AgSO4,60
471,UNiAs2,60
472,ZrBe2V,50
473,Ba4SnPt,80
474,GaRu,80
475,LiCaBi,70
476,Ba4MgTc,75
477,Ti2MoIr,80
478,Pm2CuRu,70
479,IrO2,70
480,LuGaCu2,65
481,Zn3P2,115
482,BeCr2Cd,55
483,Sr3TaAs3O,65
484,Ba(AgS)2,55
485,PrMg(NiO3)2,55
486,Ca3VN3,65
487,NaMgO3,65
488,Tm(FeB)2,65
489,AlBMo,85
490,LuReTc2,75
491,BeSnSb,80
492,Cd2AgAu,125
493,ErB6,90
494,Ba2TbIrO6,80
495,Sb2Au,80
496,Ba4LiSi,100
497,YBe2Rh,60
498,Yb2HgGe,85
499,CaLa2SnO6,50
500,BePbSe2,65
501,Al2BiS4,55
502,YCo3H2,70
503,La2ZnIr,105
504,BeGeRh,85
505,ScIO,55
506,BeNi2Pb,85
507,Li2Mn4O5F3,45
508,KV3(SeO)2,55
509,Y2SO2,50
510,Cu2As,120
511,SrMg2N2,55
512,Er5Mg24,95
513,Na4Ni3O7,55
514,TmInCu2,75
515,BeCrIn2,80
516,ScTe,80
517,BaCdHg,80
518,YbDyHg2,110
519,RbMnO3,75
520,HfRh,120
521,VClO,60
522,YbP5,90
523,Ca2SbAu,90
524,Sm2Ge2O7,45
525,Al2Cu,105
526,TmTe,95
527,KReO3,115
528,Zr6Al6Os7,90
529,Ni3(BO3)2,50
530,MnBePb2,100
531,TaTiRu2,70
532,TmAg,125
533,NaSr4(BN2)3,45
534,Ba4BeHg,90
535,Zn2CoIrO6,55
536,TiBe2Bi,55
537,TaInO4,50
538,LiGa2Au,90
539,Sc2BeRu,90
540,Ca(Ti4S3)2,105
541,Na3BrO,50
542,MoF6,45
543,YSc4Be,60
544,Ca2BeCu,75
545,NbIO2,50
546,HoBi2BrO4,55
547,Rb2HgSe,65
548,BaAlF5,75
549,LuSi3,100
550,RhN,75
551,Li2TiNi2O5,55
552,YbHfO3,55
553,Li3Nd,90
554,NaBeTl2,80
555,Te2Mo2WS4,65
556,LiAg,80
557,CoMoH2SeO7,55
558,NdN,60
559,Sb2S2O,55
560,Li4VFe3O8,60
561,Li2Fe(PS3)2,50
562,UB4,70
563,AlWO4,50
564,LaNdZn2,70
565,Rb2CrCl4,85
566,CePd,90
567,BaCdSe,55
568,CrInCo2,85
569,MnAl6,80
570,PaGaNi2,75
571,NiSeO3,60
572,PtSe2,55
573,InF3,45
574,BeMo4Pd,105
575,BaYCuSnO5,90
576,SrHBr,50
577,BeGeIr,110
578,RbSrSiHO4,50
579,LiClO2,45
580,Ba4CuIr,80
581,Sr4Bi3,80
582,Na3ScF6,45
583,YbCu,115
584,ZrGaPd2,90
585,NbGeIr,70
586,Li2MgGa,70
587,Cr3SnN,65
588,NbI3,105
589,HfSiS,80
590,Y2BeBr,65
591,BaAl2(SiO4)2,45
592,SrAuO2,55
593,Ba4SbW,75
594,HgH2(ClO2)2,45
595,LiFeCoO4,65
596,K4CO4,45
597,BaYFe4O7,85
598,HfAl3,85
599,Tm2MgTc,55
600,PrCoSi,65
601,Li3V2Fe3,50
602,InSb2S4Cl,55
603,Ti2In,80
604,AlH4(SeO4)2,50
605,Er2OsPd,90
606,Pd(Se3Br)2,50
607,Ba4CaP,85
608,PrRh3C,80
609,SrHI,55
610,Mn3(OF)2,50
611,ZrHgAu2,80
612,VCrO4,55
613,ZrMo2,95
614,CuSi2As,130
615,ZrNiP,75
616,Ta5Si3,95
617,ZrZnNi4,95
618,N2O5,50
619,MnVRu2,75
620,BaMoBr2,90
621,Mg2TiO4,50
622,Er8Ga3Co,70
623,B6N,50
624,Lu2AgHg,80
625,Mg2GeB2Rh5,115
626,DyPd,100
627,LiAg2Pb,120
628,NdInCu2,90
629,Eu2Ga3Ir,85
630,BeFeNi2,55
631,Pr2MgTl,100
632,Nd3Zr,115
633,TaBePd2,75
634,Tl2Pt,110
635,V3AuN,85
636,SmSi3Ni,105
637,TiNi(PO4)2,45
638,K2PbO3,50
639,PrMgRh,100
640,SmSe2,120
641,Na4SnO3,45
642,HgCN2,50
643,NiPtF6,50
644,YTlS2,50
645,SmZnAg2,105
646,Li2Mn2CoO6,45
647,DyAlZn,115
648,U8FeS7,60
649,RbCeS2,50
650,ZrNi2Sb,65
651,LiYb2Ir,85
652,Sr3Co2Cu2S2O5,60
653,HfGaIr2,65
654,ZrMoAs,95
655,HoBiPd,95
656,CaZrO3,75
657,BaPr2PdO5,50
658,PuPd,100
659,Be2HgMo,90
660,Dy(CoGe)2,65
661,Ca(TiN)2,65
662,Ba4NiSb,85
663,HfInAu2,105
664,HoSi,100
665,Ba2Bi6O,45
666,GaPt,90
667,HfBe2Ru,80
668,Cd(HO)2,55
669,AgHg3SbO6,60
670,Li4Co3(OF3)2,45
671,Sc3SnB,65
672,TaCuO3,50
673,MnCo5O2,55
674,U2Mo,85
675,PmSnPd2,95
676,BePd4Se,65
677,LiCuSi2O5,45
678,TaAlNi2,60
679,CaCdHg2,80
680,LiUO3,45
681,Mg(MnS2)4,60
682,SrBPO5,50
683,BaV4O8,60
684,Tb(SiOs)2,90
685,HoB2,70
686,UPSe,55
687,Tl2InGaF6,50
688,BeTeIr,65
689,SrTa2H2O7,50
690,GaSi(MoS2)4,60
691,AsRh2W,100
692,SrCrRh2,55
693,Nd2Te3,65
694,Eu(MgSb)2,85
695,Ti2MnAl,50
696,Tm3AlN,70
697,Co2HgO4,50
698,HoSI,60
699,Sm(MnAl2)4,65
700,Sc2AlIr,60
701,Cd(CN)2,45
702,LuRh2,75
703,Mn(FeO2)2,50
704,RbTa(CuSe2)2,80
705,Ba3PN,55
706,YbIr,130
707,YAl3,90
708,BiPbClO2,50
709,KLi6BiO6,50
710,DyCoSi2,120
711,BaWCl,50
712,HoAu,70
713,NiB,55
714,KRb2FeF6,45
715,Pm2IrRu,115
716,Nd2MgGe2,80
717,CaMgBe2,100
718,ZrBePb4,85
719,RbBiO3,100
720,BaPb2IF5,55
721,NaSr2Mg,90
722,Rb2NiF6,45
723,RbCuC2,60
724,Li5Fe2Cu3,55
725,Sr(CeS2)2,50
726,Ba4HgW,105
727,Li2BeSiO4,45
728,AgRhO2,50
729,GeS2,45
730,Be2CoCl,100
731,SrU,80
732,TiMnBe2,45
733,BeNb2Cu,95
734,LiVBO4,45
735,KWO3,110
736,DySi2Rh3,150
737,Y(CuSi)2,70
738,CaMnBe2,100
739,Cr2HgO4,55
740,NiMoP8,75
741,NiP3,80
742,PuRh3,90
743,Li2FeCu(PO4)2,50
744,Na3(GePt)4,90
745,Sr2FeCuSO3,65
746,Li2MnCSO7,55
747,LiMgBe2,90
748,MnPd3,70
749,ScBeCd2,70
750,Li4TiS4,45
751,BeCu2Tc,75
752,U2Co3Si5,85
753,SrCaPb,100
754,Zn3Os,85
755,YZn5,115
756,YbAu3,110
757,SmMgCd2,95
758,In5CuS8,65
759,Li2TlSn,85
760,BeGa2Br,145
761,LiAlO2,50
762,Ba(SiNi)2,100
763,ZnP2(HO)4,50
764,Li2AlVO4,45
765,Sc2AlGa,120
766,Tl2TeCl6,50
767,Li2NiBO4,55
768,Ba2YTlNi2O7,95
769,Sc3SnC,60
770,LiAc2Ir,100
771,InGaS3,55
772,NaSO2,45
773,Ba4NbTc,95
774,Ta3AlC2,70
775,ZrTiBe2,65
776,Ba3Te,80
777,BeMoSe2,60
778,Pr(CdP)3,70
779,CeMg2Cu,85
780,As3Rh,60
781,MnNbSi,90
782,Li4TiO4,50
783,Ca2Fe2O5,65
784,Sr2CuTeO6,55
785,Sr(CdAs)2,100
786,LiBe2Nb,105
787,Ba2ZnAg2(SeO)2,55
788,MgTi(GeO3)2,50
789,Ag2S,85
790,YbP3,115
791,Na3Ca3AlAs4,60
792,Tc2AsRh,65
793,Th3Mg,100
794,UTeP,60
795,Mo3O8,60
796,CdP2,80
797,TiCo2Si,55
798,LiGaSi,70
799,TbAgTe2,55
800,Na8SnSb4,75
801,LiBe2Pt,115
802,GeBi3,160
803,UCd2O5,45
804,LaSi2Ru3,100
805,NdAlCu,85
806,HoLuAg2,90
807,Re2MoAs,110
808,Cu(HO)2,60
809,PrPd2,70
810,ZrSi,100
811,NaFeS2,60
812,K2VCuSe4,50
813,PrMg,110
814,Ti5NbO2,60
815,PrGe3,120
816,CeFeAsO,55
817,MgTi2S5,60
818,PH4I,50
819,CePbAu,95
820,Ba4PtCl,95
821,Ca3MnO4,50
822,SbOF3,40
823,SrCeI4,55
824,Ca2Ru2O7,70
825,BeGa2Fe,75
826,Zr2Ag,65
827,Li4Mn2O9,50
828,BeVSi2,80
829,TlCu3S2,65
830,Li4Mn3Co3(SnO3)2,55
831,Mg2TlPb,115
832,LuB4,110
833,LiBeAu2,115
834,YBePt4,85
835,HfTiRh2,105
836,Rb3Sb2Br9,60
837,KIn9Ni2,135
838,CoSnRh2,75
839,Ba3SbN,65
840,K2NaAs,65
841,LiBeGa4,145
842,ZrAlPd2,70
843,W(OF)2,55
844,ScBe2Re,50
845,Mn2VGa,60
846,Tb2Se3,65
847,PmInPd2,75
848,BeCdSi2,160
849,Ba2Pd2O5,70
850,SrMg3,95
851,MnAg2GeTe4,65
852,Ba4SnCl,70
853,LaBeOs2,60
854,BeTcSn2,100
855,LiPr2IrO6,60
856,BeSn2Cl,95
857,Zr2Al3C4,120
858,HgN,70
859,Co4NiO8,65
860,Zn(CuN)2,65
861,KBeNb2,110
862,Pa3Si,90
863,Na2BeCo,90
864,ErF3,45
865,HfMnBe2,50
866,LiTbTl2,120
867,MnCN2,70
868,Mg(SbO2)4,85
869,SrBeBi2,120
870,MnBeGa,55
871,Sr3(AlSi)2,100
872,FeGe,55
873,Li5P(S2Cl)2,50
874,Nb(W3Se2)2,75
875,CuPt,90
876,Th3U,95
877,BaCuB2O5,50
878,Na2BeIr,60
879,CaHfZn,65
880,SnGeS3,60
881,Y(MnSn)6,95
882,Zn(GaSe2)2,55
883,ErCu5,115
884,Ba4CuPd,75
885,Ba(Si3N4)2,50
886,Na2SO3,50
887,TbZn2,75
888,Ga2PdI8,55
889,Ba4HfPt,95
890,BeP2Rh,80
891,SnH4(NF)2,50
892,Ca4CN4,55
893,Li5FeOF5,45
894,Li5BiO5,45
895,ZrCo2Sn,85
896,Hf5Sb3,85
897,Ba4GaTc,75
898,YNiO3,115
899,CuSiBr,70
900,TiTe3O8,55
901,PrO2,55
902,Be2CoPb,75
903,TbInCu,105
904,MnNi,90
905,Be2TlIr,65
906,BeNbPt2,125
907,Ca3Zn,105
908,Fe5B2P,55
909,Ba4PtW,75
910,KNaThF6,45
911,Ca3AlN3,55
912,TiBr3,50
913,LuBiO3,50
914,BeTcPd,80
915,ZrGaNi2,60
916,ZrSnRh2,60
917,Re3P4,100
918,ThSnPd2,90
919,Na3PO4,50
920,RbBaO3,135
921,Ba3Ge2(BO)6,50
922,MnAsRh,65
923,Be2GaP,130
924,U3O8,55
925,Pr2IrPd,100
926,Li4Ti3V3Cr2O6,50
927,As(IF2)3,50
928,Ti2MnRu,105
929,ThRe2,105
930,Na2SnO2,55
931,AsI3,75
932,Li4Fe3CuO8,55
933,InAgS2,90
934,Ba4CrW,75
935,Li2ScPCO7,50
936,CaGa2,105
937,Be2NbW,125
938,BeSn2Os,100
939,Li2VGeO5,55
940,K(BH)3,45
941,SmTlSe2,55
942,HPbI3,105
943,HgINO3,50
944,SrIrO3,95
945,BeNiPt,115
946,Sb5IO7,50
947,Mg2AgAu,110
948,LiAl3Si9(N2O)2,50
949,NaP,60
950,ErB2Rh2C,105
951,K3Co2F7,65
952,KrF2,45
953,YHoCd2,80
954,RbPbCl3,70
955,K2PtCl4,50
956,ScBe2Ge,70
957,Rb2MgH4,50
958,Ti6Si2B,60
959,LiGaSiO4,55
960,BaZnBi2,120
961,MoPH3O7,50
962,SmRh,125
963,YTlAg2,85
964,TaGa3,80
965,NaVO3,50
966,TbAg2,85
967,Na6FeO4,50
968,Re3Sb,80
969,SbSCl9,60
970,ThPd3,95
971,ZnRhF6,45
972,MgSbF6,50
973,CoAs3,60
974,Li4UO5,45
975,K3Na(FeO4)2,45
976,Ba2DyNbO6,50
977,K2LiAlP2,55
978,CeCdHg2,65
979,MgCoO2,55
980,Mn2PtRh,70
981,ScBeBr2,85
982,NdTi2CdO6F,55
983,CeCu5,85
984,Sr2LiReN4,50
985,BeSiTe,65
986,PuOF,45
987,Dy2AgOs,85
988,Yb3Tc,65
989,CaPd,85
990,YScBe,65
991,TaBe2Ni,60
992,Er2Te5O3,50
993,TbAs3,125
994,Sm2Ti3(BiO)2,55
995,Ti3Br,85
996,MgCdRh2,65
997,Li4Mn7(OF2)2,45
998,BeCdGe2,150
999,CeCd2Ag,80
1000,MgBePb,85
1001,Ti2AlFe,60
1002,Sc2TaBe,105
1003,ScBeGa4,120
1004,ZnSnP2,65
1005,NaCrS2,55
1006,BeV2Tc,65
1007,TmTlTe2,55
1008,NaBe2Mo,120
1009,NpN2,60
1010,BePBr,80
1011,Rb3CrF7,50
1012,CdHClO,50
1013,NaZr2AgF,50
1014,MnGaFe2,65
1015,LiInHg2,80
1016,SmSiAg,95
1017,Ba4TlSe,95
1018,Li3Fe3O8,50
1019,CeMg,100
1020,BaP2Ru,90
1021,Hf2P2O9,45
1022,AgHg2PO4,60
1023,NaHoS2,55
1024,TaNO,80
1025,Ti3Ni,100
1026,LiTm2Tc,90
1027,Na2TbPCO7,50
1028,Ba4YCo,65
1029,CaHClO,50
1030,BaTiOs2,95
1031,UPt4Au,90
1032,YZr5O,50
1033,TaBiO4,55
1034,Cd2BiAsO6,50
1035,ErSnRu2,85
1036,Nd3S4,65
1037,PmTlRh2,65
1038,MoPt3,90
1039,TmBiPd2,65
1040,Ba2Ti3AlO7,100
1041,KBe2Mo,100
1042,BaSrSc,85
1043,Mg2Sn2O5,85
1044,ZnNi2Ge,70
1045,BeRh,95
1046,LiZr2Tc,80
1047,Li2B2S5,55
1048,CaBe2Bi,90
1049,Sr2YTi2TlO7,85
1050,KBe2Pd,90
1051,CrFe(BiO3)2,55
1052,Zr3Au,90
1053,Cu2Te2Cl2O5,55
1054,Rb2ZnF4,45
1055,Dy3AlNiS7,55
1056,Ba4InCl,60
1057,K3Sb2Au3,60
1058,YbAgO2,55
1059,Nd4S3NCl3,55
1060,LuInPt,95
1061,AlBN2,50
1062,Lu2MgTc,90
1063,TlPt,110
1064,TmCuPb,95
1065,VGaFeCo,60
1066,Ga3Te,125
1067,KBePO4,45
1068,CrOF,75
1069,UCo2,65
1070,LiBe2Ga,100
1071,Li4Ti3V3(TeO3)2,50
1072,SiIr3,65
1073,Zr2BIr6,105
1074,AcAgHg2,95
1075,Ba4CaTc,75
1076,BaLiCa,65
1077,AuN,85
1078,Na4GeO4,45
1079,KTiPCO7,50
1080,Ba4TcGe,110
1081,K2NaScF6,45
1082,La3InB,100
1083,BeZnCl,75
1084,MnSn2,100
1085,LiPrSn,65
1086,Te3Pt2,95
1087,YbAgPd2,120
1088,Ca2Mn(PH2)2,40
1089,BaOsBr,55
1090,K4ZnP2,55
1091,LuPaTc2,70
1092,RbYbF3,50
1093,BeSb2Pb,120
1094,Tm5(SiSb)2,85
1095,HfNi,85
1096,YZrBe,60
1097,Sr3ErRhO6,50
1098,Zr2Au,85
1099,MgSbF5,45
1100,Ca2Sb2O7,55
1101,RbV2CrO7,55
1102,Ag2Cl3,55
1103,LaAlO3,50
1104,HoCdPd2,105
1105,Be2CrBr,90
1106,TbAu2,80
1107,Er(Ni2As)2,85
1108,Rb2AuBr,55
1109,ZnBSe2,120
1110,Be2PRu,105
1111,CuClO2,50
1112,Zr(NiP)2,75
1113,Cu2P2O7,55
1114,Zn2Mo3O8,60
1115,BeGaCo,70
1116,K4HgP2,55
1117,ScAl3,90
1118,Rb2CoS2,80
1119,RbTlO2,50
1120,Y(CrSi)2,60
1121,Rb2PbCl6,55
1122,Sc2BeCu,80
1123,Fe3Sn2,80
1124,SmInAg2,95
1125,BaYPb,100
1126,Dy(CuO2)2,50
1127,Ta3N5,60
1128,LiMgSnPt,100
1129,CaHg2,105
1130,Sc2CuTc,90
1131,U(CoB)4,60
1132,Li(Fe3Ge2)2,80
1133,Sr2LiMg,105
1134,KYGeS4,55
1135,CoSnO3,50
1136,PrP5,80
1137,AlCrCu2,65
1138,BeBiRu2,90
1139,NaV3O6,50
1140,CaCrF6,50
1141,YZr,75
1142,BeNi,90
1143,ZrIN,55
1144,AcEr3,80
1145,BeMoBr4,65
1146,ThSi2,105
1147,TbCo5,65
