,pretty_comp,mbj_bandgap
142,CuBi(PSe3)2,1.1445
143,KNa2BO3,6.3813
144,SmCoC2,0.0296
145,Bi2B2O7,0.6691
146,Ca2YSbO5,4.2275
147,Ba2LiTe,0.0395
148,Ba(AlTe2)2,2.1069
149,LiCrS2,0.0262
150,NaTlO2,2.0677
151,Y2SO2,4.2780000000000005
152,Al(MoS2)4,1.3992
153,MgSi2,0.0006
154,NaCaAs,2.5997
155,HfBrN,3.2428
156,NaAg3O2,1.3466
157,Rb2PtI6,1.1017
158,Ge4PbO9,8.2412
159,Sc2TiO5,3.6498
160,Ga3Pt2,0.0158
161,KCaCl3,7.0386
162,KAs2F7,7.117000000000001
163,PrAl,0.1061
164,Ca2AlSnO5,3.5786
165,Cd(InSe2)2,2.0998
166,KFeP,0.0266
167,CuBiS2,0.8784
168,TbGaO3,6.4008
169,PbCO3,4.8682
170,Nd2ZnIr,0.0297
171,Ga3NO3,2.8407
172,AcTlTe2,1.4652
173,Na4CO4,6.4206
174,BaNaCl,0.6888
175,TbBS3,3.2437
176,Li4PbO4,2.6045
177,TlInAs2O7,3.7521
178,MnBe2Pt,0.0067
179,SrH2O3,4.9986
180,Sc4TaBe,0.0331
181,Na2SeO4,5.7894
182,Sr2CaUO6,2.5522
183,HoHO2,6.3269
184,SrLi4N2,2.4879
185,Cu2SnSe4,0.0122
186,GePbO3,0.6665
187,YbO2,4.6275
188,Ag3SI,1.5761
189,FeAu3,0.0183
190,Yb(DyS2)2,2.8616
191,KBa4W,0.0114
192,NaNdTiO4,2.8898
193,Sr2HgPb,0.0699
194,LuHg,0.005
195,BeV2Tc,0.0035
196,TaCuN2,1.0173
197,K2B2Se7,2.6635
198,MnSnF6,0.0231
199,RbMgBO3,7.2614
200,V3Pb,0.0258
201,Na2Zr(CuS2)2,0.0237
202,Fe6O7F5,0.003
203,TlAgTe,1.1889
204,ScTlTe2,0.235
205,CrGaCo2,0.0069
206,Ta2Zn3O8,5.1696
207,LiMnCo3O8,0.0115
208,KHCO2,6.0379999999999985
209,Ba4YBe,0.0431
210,BiSeCl,2.5903
211,Ba2NaBe,0.0497
212,Ru3Cl,0.0083
213,ZnH8C2(SN3)2,5.2747
214,RbAuCl4,2.5156
215,BaTcBi,0.0212
216,HoB6,0.0291
217,Be2CoPb,0.0024
218,MgSiN2,5.4699
219,KSiH3,3.1985
220,K6Cu(SiO4)2,4.2479
221,ScTlO2,3.7433
222,Rb3AsSe6,1.8796
223,LuRh3C,0.0861
224,Ga2TeSe2,2.5925
225,Rb2H6Pt,5.2734
226,Be2TcSb,0.0078
227,Tl2SnCl6,3.2199
228,BiS2,0.0329
229,RbIO4,3.8229
230,BNCl2,3.0856
231,Na3Ca2TaO6,5.7093
232,K2Pb2O3,3.1292
233,AlAgTe2,1.9935
234,ScS2,0.5255
235,Sr(CdSb)2,0.5341
236,HfH3,0.0016
237,KCuO,1.7825
238,KPrO2,5.1974
239,ZnH4(CO3)2,4.5716
240,HoSI,3.3392
241,Tb3GaO6,5.823
242,Sn2OF2,3.7835
243,Hg2BrN,1.9804
244,Sr5(AuO4)2,1.9432
245,DyScO3,5.3774
246,Be2InTe,0.0077
247,HgI2,2.593
248,PPbSe3,2.3533
249,RbNa2BO3,6.0139
250,KBePd2,0.032
251,PmDyCu2,0.0568
252,H8(NO2)3,2.5865
253,KP(HO2)2,8.8897
254,Rb2Fe4O7,0.006
255,KBiF4,4.578
256,LuAsO4,5.3773
257,In4SnS8,1.3874
258,KSiBiS4,2.5871
259,Pm2CuGe,0.024
260,YAlSi,0.0142
261,BHC4NClF4,8.2171
262,VCo3,0.0153
263,Sr2SbAu,0.9751
264,ErHO2,6.2967
265,Rb2CdCl4,5.0716
266,K2Be2Co,0.0553
267,NaSO4,4.6998
268,CaZnSiH2O5,5.9206
269,Nd2Pt2O7,1.2506
270,HgO2,1.4724
271,BaRu2Pt,0.0037
272,In2S3,2.4688
273,KTeOF3,5.5941
274,KSmTe2,1.8825
275,BaTlBr2,0.0048
276,H6PbCBr3N,2.6525
277,BeCuBr,0.041
278,USb2,0.0006
279,KBaLi2,0.0033
280,CoBiO4,0.2229
281,Ti(SiO3)2,3.7048
282,InPO4,4.67
283,Ge2N2O,3.9607
284,FeCuS2,0.0021
285,NaNiO2,0.006
286,Mg(NiO2)2,0.0062
287,K3Ge4Au,1.1621
288,ZrS2,1.1723
289,Mg3TeO6,4.3036
290,Er3InN,0.0729
291,NbCrSi,0.0485
292,K3PO4,7.5169
293,YCu3(Sn2O)2,1.1315
294,Er3GaC,0.1368
295,BeSi2Ir,0.002
296,Tb2In,0.0057
297,Ba2NdBiO6,2.3932
298,Ba2Sc2O5,3.6797
299,YbOs3,0.0026
300,KAuSe2,1.5046
301,LaTeCl,1.1583
302,CaAg,0.0032
303,PdPbF4,0.6824
304,SnO2,1.5247
305,Ca3P2,1.2341
306,Sr4As2O,1.7967
307,Ho2TeO2,1.8002
308,Mg3BN3,2.5286
309,VB,0.0014
310,Pr5AgSe8,1.7732
311,Er(Al2Fe)4,0.0034
312,RbPbBr3,2.692
313,RbPbIO6,2.514
314,TlSbTe2,0.4244
315,Sr(PPd)2,0.0021
316,Al2ZnS4,3.3056
317,Hg2P3Cl,1.8882
318,KPt2Se3,1.4374
319,LiAg2F4,3.8911
320,HoPd,0.006
321,Mg5(HO3)2,6.3357
322,Nd2HgO4,3.3158
323,Be2InNi,0.008
324,Rb7Au5O2,1.3544
325,OsCl4,2.018
326,Pr2Zr2O7,4.6833
327,RbCaCl3,7.0752
328,Ge2Mo,0.0482
329,KNaMg2Si4F2,7.8681
330,Be2VRh,0.053
331,NaLuS2,3.417
332,Er2SO2,4.6642
333,KCl,8.394
334,B2Ru,0.0038
335,TaAlOs2,0.1093
336,LiNdSn,0.0803
337,CuH6BrN2,2.8809
338,Na4BeAlSi4ClO2,7.6506
339,TmHO2,7.1084
340,Ca4Al6SO2,6.3296
341,PrTe,0.0239
342,Be2TcIr,0.0055
343,Ba3Ge2(BO)6,6.1889
344,ErSi2,0.0172
345,BeNbMo,0.0048
346,CaCl2,6.7646
347,LiZnP,1.9278
348,TiAsP2,0.0102
349,MoP2,0.0293
350,RbBrF4,4.9875
351,P4Ru,1.3777
352,Ag6Mo2ClO7F3,2.5001
353,HoMgAu2,0.0104
354,Na2(CaSi)3,7.2129
355,TmP,0.3254
356,CoSnH2(OF)6,1.8723
357,Ba2SmSbO6,5.0592
358,ScIr3,0.0046
359,Mn2HO4,0.0172
360,Er2Si2O7,7.2587
361,PmTlAg2,0.0179
362,RbSmSe2,2.9684
363,ZrB,0.006
364,NaLi2N,3.4864
365,Th(SiNi)2,0.0051
366,TaPt3,0.0125
367,NaC,5.3249
368,CaSiSnO5,5.0578
369,NdOF,6.1518
370,Yb3Si5,0.022
371,TaAsO4,4.1021
372,Mg3P2(HO)6,7.5091
373,SnS,1.8831
374,Li2H2Pd,0.0892
375,KRb2NiF6,7.3299
376,GaF3,7.9687
377,SrBeBr2,1.3751
378,Mn3N2,0.0263
379,Rb2As3,0.7919
380,SnH8(NF3)2,7.2996
381,Li2MgSi,0.5446
382,Be2TlHg,0.0034
383,Sc2TeO6,3.8019
384,Sc2FeSi2,0.0093
385,ZrSiPt,1.4126
386,Be2ReTe,0.0239
387,CdInRh2,0.0754
388,AsIr2Rh,0.0334
389,NbAlRu2,0.1236
390,Rb2ZnF4,6.9756
391,LiCuO,1.7333
392,Ti2ZnTc,0.0204
393,Li4GeO4,6.3176
394,GaCuO2,1.1719
395,KEuS2,3.2762
396,K3VSO3,3.3982
397,ZnH4(ClO3)2,4.1998
398,BeTl2Fe,0.0043
399,TiGaPd2,0.0349
400,KH3C2O3,7.4189
401,Co3(CSe)2,0.0096
402,PrPt2,0.0261
403,Mn2SiRu,0.023
404,Sr4Bi2O,1.3088
405,K4P2O7,7.6121
406,Tl2Pt2O7,1.2844
407,UTeS,0.0009
408,Rb3BS3,3.9873
409,BeInCl,0.0125
410,XeIF7,4.7943
411,NaCSN,5.1965
412,Lu6WO2,3.7135
413,KBi2F7,6.3735
414,CoPH6O6F,4.2783
415,Sm2SiTeO4,2.698
416,ZrBe2V,0.0063
417,SnS,0.9011
418,Ba3AsP,0.7099
419,SrSeO3,5.0513
420,Si2SnO6,4.8844
421,Ba4ZrNb,0.0204
422,Mg(ScSe2)2,1.6832
423,Cr3Rh,0.0067
424,Er2CuPt,0.0199
425,AcInTe2,1.0771
426,Pb3O4,1.7273
427,Ti3Sn,0.0109
428,BPd2Br,0.1291
429,Ba2TbBiO6,2.4475
430,AgSbS2,1.7199
431,BaLiBi,0.8919
432,MnBeTl,0.0088
433,YTh4,5.0346
434,AlTl(MoO4)2,3.9249
435,Zn(AgO2)2,0.5695
436,Hg(AuF4)2,2.142
437,NaCaBe2B2O6F,8.1519
438,SrAl2B2O7,7.3878
439,PuCo2,0.0049
440,Na2Zn(SiO3)2,6.2792
441,TaBeRu,0.0064
442,HPbClO,4.3391
443,Er3Sb4Au3,0.6585
444,BaCoBr2,0.0679
445,Be2CuBr,0.0045
446,YBr3,3.5905
447,Ta3N5,2.1559
448,SnS2,2.7992
449,BaCa2I6,4.194
450,NaEuS2,3.3654
451,V4SiSb2,0.0015
452,VF5,3.079
453,Pm2Mg,0.0227
454,Li5CuSO2,2.6721
455,Ba2NaHf,0.0355
456,TcAsW2,0.0049
457,CdP2,2.0759
458,Be2CdFe,0.0268
459,CBrN,6.1859
460,RbScO2,4.5912
461,TaInO4,5.1479
462,Li2FeSiO5,0.1221
463,Ba(CuSe)2,1.1145
464,Rb2S5,2.6989
465,Ga2PbO4,5.0791
466,NaClO2,3.9761
467,H4NCl,7.0273
468,BeTcBr,0.0242
469,Nd3GaN,0.0296
470,MgO,4.7334
471,LuBrO,6.1942
472,AsOsBr,0.0023
473,Sr2MgH6,4.1306
474,BeIn4Mo,0.1116
475,Mg3V2O8,3.4458
476,LiHoSe2,2.2028
477,KGeCl3,2.1653
478,Er2CdS4,2.2279
479,Ca2IN,3.072
480,SrGaGeH,0.9693
481,BeV2Cr,0.0021
482,K2S3,2.5958
483,MgTiO3,4.0159
484,Tm2IrRu,0.0603
485,BeAlB,0.3057
486,ZnCdSe2,2.1892
487,Nb3TeCl7,0.8863
488,Li2CuAu,2.3015
489,SrTiSi2O7,3.7268
490,Te2Mo3W(SeS2)2,0.1924
491,KYbS2,0.0037
492,Pr2Te2O7,2.0194
493,TbY3,0.0054
494,TmCuSe2,1.612
495,Cd(InTe2)2,1.7152
496,Mg2SnO4,4.6551
497,TiAu4,0.0001
498,Li3YBi2,0.1071
499,KHgSb,0.1331
500,CaGeN2,4.299
501,Ca(CdAs)2,1.1421
502,NaTaN2,2.2363
503,Hg3AsS4Cl,2.6273
504,KNaNdNbO5,4.4119
505,LiDyHg2,0.0513
506,K8PO3,4.1229
507,KBe2Ga,0.0294
508,Zn(InS2)2,0.7486
509,MgSc2Tc,0.052000000000000005
510,SbBrO,2.4663
511,PuC,0.0133
512,CuH2(IN)4,1.1069
513,Ca6Sn2NF,0.35600000000000004
514,RbYS2,3.2821
515,ZrTiO4,2.9163
516,Be2SbW,0.005
517,MnAlCu2,0.0244
518,Na2AlH4ClO4,7.1341
519,Yb2AsAu,0.6758
520,CdHg2SO6,2.7181
521,SrO2,4.2485
522,Tl4SnTe3,0.3422
523,Ba(BIr)2,0.0097
524,Y3TlC,0.0987
525,K3Zn2F7,6.9803
526,DyP,0.3018
527,Th(CrSi)2,0.0032
528,RbCdAg3(CN)6,3.2251
529,K2YBe,0.0033
530,Ag2H2IOF,2.5669
531,SiH3I,5.1429
532,Lu(SiRu)2,0.0026
533,ThBrN,0.0007
534,SrBrF,6.8525
535,NaSmHg2,0.009000000000000001
536,KTiPSe5,0.8533
537,TiCu,0.0067
538,NaSmTe2,1.8186
539,Tl4SiS4,2.6236
540,Sm2AlNO3,2.4146
541,MgO6,6.2075
542,KMnRu,0.0569
543,SiRh3,0.0019
544,Sr3TaAs3O,1.7323
545,Li5InO4,4.8158
546,Ca4IrO6,2.7693
547,AsF3,7.6286
548,Li4Ti3V3(TeO3)2,0.0077
549,InAg(PS3)2,1.9441
550,BeCrO4,2.3244
551,Er2Te5O3,4.6989
552,ErAg(PSe3)2,2.2143
553,HoH2,0.0336
554,NdAgPb,0.0608
555,Mo(WSe3)2,1.3405
556,LiS,0.0383
557,LuIO,4.4861
558,BeCuHg2,0.0097
559,KAg2PS4,2.3727
560,NaNdS2,2.9485
561,Ba2HoSbO6,4.7413
562,Ca5B3O9F,6.8299
563,Cu3O2,0.0347
564,YSeCl,2.3699
565,ThNiSn,0.3721
566,Bi2SO2,1.7284
567,NbSiPd,0.0139
568,Nd2Sn2O7,4.2691
569,Co(C2N3)2,0.2595
570,NbBiO4,3.1106
571,Th2TeN2,2.0793
572,ZrCl2,0.8618
573,ErBi2IO4,2.7977
574,DyCuSeO,2.3015
575,Mn2OF3,0.0247
576,I2O5,3.878
577,MoH4O5,1.2817
578,InPF3,0.132
579,MnAlPt2,0.0084
580,BaZnO2,3.922
581,N2O,4.3948
582,SrH4O3,7.3225
583,CuBiO2,0.8844
584,RbErSe2,2.927
585,YbSbPt,0.0238
586,K2ScSi4F,5.9804
587,Pr(HO)3,6.3173
588,ZnSnSb2,0.2612
589,RhCl3,1.6656
590,Nd3PbC,0.0777
591,YAsO4,5.4718
592,SmSF,2.443
593,BiI,1.0145
594,BeSnBi,0.006
595,Sr(YS2)2,2.6925
596,Ta2PdS6,0.0418
597,Ag3AuS2,2.1557
598,TeHO3,3.3094
599,Te7Mo4S,0.7274
600,NaBe2Ru,0.0116
601,KTl2Bi,0.0186
602,SbI3(BrCl3)2,1.7412
603,Te3MoWSe,0.1965
604,Be2FePd,0.0086
605,Pr2PbSe4,2.122
606,RbN3,5.0555
607,CaBeNb2,0.0081
608,Sm(CoSi)2,0.0066
609,Ho2CuRu,0.0437
610,GePb3O5,2.857
611,Tb3BWO9,4.3036
612,BeFeBi4,0.0052
613,Ba3BiAs,0.2967
614,Sr(Li2P)2,1.6136
615,Tb2ZnNi2,0.0017
616,Ba4CrFe,0.0137
617,KNa2Bi,0.9381
618,Dy2Te5O3,4.5352
619,PAuCl8,2.2169
620,Re2SCl2,1.0585
621,Cr4InCuSe8,0.0929
622,KTlCl4,3.6214
623,As4S3,2.6927
624,HgPS3,2.5866
625,UTe,0.0079
626,PrGe,0.0051
627,BeMoP2,0.0349
628,Sr(ZnAs)2,1.1129
629,CrPt3,0.0179
630,Nd(SiRh)2,0.0027
631,Li4Ca3(SiN3)2,3.4085
632,CaBiO3,0.0712
633,K3Si,1.2595
634,Te2Br,0.6354
635,BaTlBi,0.6568
636,CrHgO4,2.0606
637,AsI3,2.4218
638,TiCo2Si,0.0502
639,HfBeCd2,0.0027
640,BaAl2O4,6.59
641,ThAs,0.0187
642,K2P2Pd,1.1465
643,UTe3,0.0013
644,BaH4(IO)2,5.3311
645,Ca4CN4,3.3132
646,Na2BeCl,0.0066
647,HoClO,6.4281
648,PbCl2,4.3027
649,CaCuP,0.0556
650,Ti5Pb5O4,0.0206
651,YClO,3.1657
652,CaHCl,5.0363
653,Na4CO4,6.1414
654,SrP3,0.9322
655,Co3Pt,0.0011
656,CaAgP,0.1838
657,VPbO3,0.0083
658,Na6P4W,1.7016
659,CeP3H8O7,3.1795
660,KGaS2,4.327
661,LaAs,0.3411
662,TaCuN2,0.5817
663,K3TaF8,4.5035
664,Yb(CuSi)2,0.0121
665,Sr2LiIn,0.0899
666,Ca4TiN4,2.8992
667,Nd5CuSe8,1.0061
668,MgNi2Sb,0.0256
669,Cd2PtRh,0.1114
670,BaCa2Bi,0.0067
671,MgMoN2,1.1371
672,Ag2MoO4,2.839
673,Y2TeO2,1.8251
674,YAgO2,3.3056
675,Be2Ag,0.0143
676,Lu2ZnIr,0.0308
677,Ga3BN4,3.5231
678,Ca(DyS2)2,2.8224
679,MnOF,0.0014
680,TaBi3O7,2.947
681,CdI2,3.3196
682,Rb2Al2Sb2O7,4.7342
683,Y3InC,0.0579
684,NbSeBr3,1.1206
685,CaO,5.0086
686,NaPrO2,5.2635
687,NbF4,0.0061
688,GaCuRh2,0.0543
689,NaAuO2,1.8512
690,YbCrO4,2.6085
691,InSb2S4Br,2.2197
692,TlPS3,2.4144
693,Rb2NaNiF6,7.9686
694,Li2YbPb,0.1044
695,YCl3,5.2828
696,BeCdIr2,0.0139
697,HPd,0.0697
698,Zn3Mo2O9,3.1318
699,Yb(MnSi)2,0.0102
700,Na6Sn2S7,3.4862
701,KAuSe5,1.507
702,Nd3SiAgS7,2.525
703,Pr2SO2,4.4255
704,NiP2,0.3766
705,Mn2AlV,0.0136
706,LiErSe2,2.2504
707,HoRh2,0.0119
708,GeF2,6.3069
709,Ho3CuSnS7,2.0595
710,KBa4Sb3O,1.5338
711,Rb2O2,4.2772
712,DySBr,3.5937
713,NaAg(CO2)2,2.4963
714,USnAu2,0.003
715,Ca4Bi2O,1.1983
716,Nd5As2Cl,4.7153
717,BeNiHg,0.0095
718,Ta3O7F,3.5463
719,Mn(SbS2)2,3.2015
720,SmCuO2,2.7999
721,Na4SrBe,0.0405
722,Sm2Ti2O7,3.1196
723,W(OF)2,3.3832
724,DySnRu2,0.0982
725,NpAl3,0.0017
726,SCl2O,4.8043
727,Ba2Bi6O,2.2604
728,CdBiS2Cl,2.7453
729,MgSnAs2,1.4345
730,Hf6NiSb2,0.0177
731,Mn(AlTe2)2,0.0007
732,Lu3Ga,0.0116
733,Sr2CuF6,6.7599
734,Zn2PtRh,0.0169
735,ScSbPt,0.7482
736,Na2PtO3,2.0546
737,BaHfO3,5.0629
738,Na2CrF4,0.4524
739,ZnSnO2,2.5329
740,Ca5W(N2O)2,3.4065
741,Th(CuP)2,0.4457
742,CdSiP2,0.0079
743,Cu3TeS3Cl,1.0717
744,Ce2AlNO3,0.002
745,TbAlAg2,0.062
746,Ca2Al2SiO7,6.5182
747,Ca2Mg5Si8(O11F)2,7.5070000000000014
748,Sr2UNi,0.0042
749,Rb2In4O7,3.1660000000000004
750,Pr2CdS4,2.7087
751,KTeAu,0.7792
752,Ti3TeO8,3.8337
753,Y3CuSiS7,2.1974
754,ThNCl,3.0481
755,TbOF,6.4081
756,Ba3SbAs,0.1449
757,LiHO2,0.002
758,CdHgO2,1.617
759,BaAuCl,2.5017
760,TiOF,0.0016
761,ErPbAu,0.1373
762,Ba4GaTc,0.0102
763,Ba4YV,0.0334
764,Er2Sn2O7,4.3799
765,ScBeCr2,0.01
766,BaS2,2.593
767,Pm3Sn,0.0061
768,Nd2O3,1.4102
769,Na2Se,3.9328
770,YAg,0.0315
771,Rb2CuCl3,3.2584
772,PtS2,0.9978
773,Ba2HfO4,4.9183
774,BeTc2Hg,0.0052
775,SmIn,0.0052
776,LuTlS2,2.0412
777,RhPb2,0.0012
778,RbAuBr4,2.0029
779,TbSb,0.1715
780,H7S(NO2)2,7.7277
781,BCl(OF2)2,2.319
782,Mn(NbS2)2,0.0171
783,Ba3Nb2ZnO9,3.4014
784,NdHO2,6.0837
785,HfGeO4,6.0645
786,Ba2Mn3(SbO)2,0.0077
787,YCd2,0.0192
788,Nd2SeO2,3.6273
789,K3SiTe3,2.6061
790,NaClO2,3.8848
791,Na2HF4,8.2341
792,RbBe2P3,8.5117
793,InGeCl3,2.0564
794,Cd2As3Br,1.5942
795,Pb5(SI3)2,2.5458
796,BaZnTe,1.8142
797,LiI,5.2516
798,Ho3ScO6,5.9411
799,AgSb2F2,4.8754
800,Ta3SeI7,0.8766
801,CaH2(BrO3)2,6.6157
802,HoAgSn,0.1133
803,PbCO3,4.868
804,V2P,0.0079
805,RbBiF3,2.7241
806,Sr2MgUO6,2.4788
807,WS2,1.5743
808,YNiSb,0.3093
809,Sr2CaBe,0.0091
810,TaBeOs,0.0076
811,Dy2Ti2O7,3.1146
812,PbO,3.3157
813,K2GeAs2,1.7622
814,Nd2SO2,4.4644
815,ScFe2,0.002
816,Cd(PtO2)3,0.4465
817,Zn2CoN2,0.0293
818,TiSCl6O,2.531
819,KAgO2,1.6076
820,InClO,3.959
821,NaHoO2,6.1993
822,Ba3(AlGe)2,0.0043
823,BiI,0.9824
824,TbCo5,0.0125
825,Na3CuO2,1.9824
826,Ca(MgSb)2,1.2267
827,MoH2Cl2O3,2.7254
828,Na2BePt,0.0226
829,HoCo5,0.008
830,BeP2Rh,0.0139
831,Si2TcOs,0.0209
832,Mn2CuSb,0.005
833,Dy3SnC,0.0653
834,Pb(SeO3)2,2.5078
835,HoTlTe2,1.0295
836,USe,0.021
837,HfSnO3,3.8457
838,MoWSe4,1.2874
839,MoW3(SeS3)2,0.7648
840,TmAg2,0.0076
841,TiBe2Ni,0.0086
842,Sc2AlRu,0.049
843,TiBe2Nb,0.0082
844,ZrBeBi,0.0017
845,Ti2AlO4,0.0269
846,Ca(HO)2,6.7585
847,Na2ZnS2,4.4437
848,TlN,0.2968
849,KPH2SO3,6.9737
850,Ir3Ru,0.0005
851,Ti3Zn,0.0212
852,ScGa,0.0006
853,Sm3CuGeS7,2.3767
854,TiInNi2,0.0469
855,CrCo3O8,0.1121
856,BH2N,6.1722
857,Sr3SiO5,5.7435
858,SrO,3.8865
859,TiSiNi,0.067
860,DyTlTe2,1.0214
861,Ag3N,0.0209
862,Bi2TeO2,0.4787
863,MoAs2,0.0014
864,TaBe2Cd,0.005
865,Rb2HgF4,4.0293
866,CO,7.3007
867,KCBr(NO2)2,2.4259
868,Ba2TbNbO6,3.7525
869,NaAlSe2,4.0777
870,K2HgO2,3.3782
871,U(CoGe)2,0.0027
872,Na5MoNO4,4.3637
873,Ba2H6Ru,2.152
874,Nd2TeS2,2.2169
875,Mg(VN)2,0.0025
876,CrSi2As,0.0108
877,Pm2MgAl,0.0514
878,BeSiP2,1.9369
879,TbCd2,0.0045
880,Ba2Zn3(AsO)2,1.1647
881,SiH,2.9479
882,Li2MnCuO4,0.0024
883,BaHfN2,2.2405
884,MgTiSiO5,3.3272
885,ZnRhF6,2.1203
886,ScTlRh2,0.0048
887,AlFe2Ni,0.0229
888,SrBeCl,0.0266
889,HfMgO3,3.4353
890,K2SnCl6,3.8606
891,Sc2ZnOs,0.0517
892,Tl2InGaF6,2.9039
893,YWN3,1.7944
894,Sc2S3,1.4952
895,NiN,0.013
896,Al2(FeSi)3,0.0081
897,NbAlNi2,0.02
898,Tm6CoBi2,0.0109
899,Li8HfO6,6.4358
900,K3Rh,0.0546
901,Sc3InN,0.0661
902,Ba4ZrTi,0.008
903,PaZnRu2,0.1255
904,U(SiNi)2,0.0036
905,CaCN2,5.1268
906,SrPb,0.0053
907,Sr2Sb2O7,2.6081
908,KNa(BH4)2,8.6564
909,CIN,5.0715
910,Hf3SnO8,5.5438
911,SrCuAs,0.4151
912,KMgH3,5.4997
913,S5N6,2.1285
914,LiNbTe2WO2,2.1984
915,Al2ZnSe4,3.5952
916,SiB3,1.9459
917,TiF4,5.2726
918,Co2B,0.0066
919,LuSb,0.217
920,KH2N,4.7043
921,CdCl2,5.5752
922,TePb2O5,2.8857
923,SbCl3F2,2.9703
924,PmInNi2,0.0237
925,ScSnPd2,0.0195
926,HfSiMo,0.0111
927,Be2TlRe,0.2043
928,HoTlO2,2.1253
929,Si2O5,4.5309
930,PH2F3,9.5788
931,Be2CdOs,0.0603
932,SiB6,0.0998
933,Lu2Pt2O7,1.8487
934,PrP,0.2459
935,SrTa2Bi2O9,3.3804
936,KAs4IO6,4.0854
937,PbI2,3.1383
938,Pr3Si2S8I,3.2703
939,PrClO,5.8751
940,LaSb,0.2178
941,CSNF5,6.7341
