,pretty_comp,kpoints_array_average
239,Rb3Cr,7.0
240,Ba2TlZn,15.0
241,NaB(CO2)4,3.6666666666666665
242,HoRh3C,18.0
243,Dy3CuSiS7,4.666666666666667
244,CaTl3,23.0
245,BaLiSi,19.33333333333333
246,BN,9.666666666666666
247,Be2SiPt,16.666666666666668
248,GaSnRu2,7.333333333333332
249,Ba4LiHf,9.0
250,Li3Cu,21.66666666666667
251,Li7Cr5O2,4.0
252,BaCaCr4,9.0
253,Ca(SbO2)4,6.0
254,Li4Co2OF7,4.333333333333333
255,NaNi3,18.0
256,K2ZnH4,4.0
257,Np(Al2Fe)4,5.666666666666668
258,Tm3Th,11.0
259,Ba2Mn3AlO8,14.0
260,ErBRh3,10.0
261,BePPt,28.0
262,SrPdF4,4.0
263,BaCu2SnSe4,6.666666666666668
264,Sr2BeCo,11.0
265,UO2,6.666666666666668
266,KLaS2,15.0
267,BaLu2O4,4.666666666666667
268,K2SbAu,6.0
269,CeTiGe,7.333333333333332
270,Ca2InN,14.666666666666664
271,RbH2OF,3.0
272,RuN,15.0
273,Zn(FeO2)2,7.333333333333332
274,UPd3,5.0
275,KBeNb2,7.333333333333332
276,Ba2Hf7O6,3.333333333333333
277,LiAg2F4,4.0
278,Li8PO3,6.0
279,VGeRu2,10.0
280,LaNdZn2,10.0
281,MnCo2Ge,11.0
282,LiBiS2,14.666666666666664
283,SmInAu2,18.0
284,Tb2Ti2O7,5.0
285,NaLi3,12.0
286,LiDySe2,10.0
287,KNa3WO5,3.6666666666666665
288,KLiO,4.666666666666667
289,YMgCd2,17.0
290,RbH,6.0
291,CdPd,23.0
292,BaTlCuO4,12.0
293,Ba4MoRu,9.0
294,KCoCl3,9.0
295,BaTeSe,10.0
296,Li3V3CoO8,7.0
297,CaCrF5,5.333333333333333
298,MgBe2Bi,23.33333333333333
299,Ba(Si3N4)2,4.666666666666667
300,BaSn2Te,12.666666666666664
301,DyMoClO4,4.0
302,Ba2Hg,15.333333333333336
303,Li5Ti2V3,4.666666666666667
304,LiPd3,15.0
305,VPt,13.0
306,CdAs2,9.0
307,SiAs2,6.333333333333332
308,Li2WS4,4.333333333333333
309,VMo2As,14.0
310,PrSn3,22.0
311,K2Mn(SeO3)2,4.0
312,Li2Fe2SiO6,6.666666666666668
313,CaZn(SiO3)2,4.333333333333333
314,VF2,4.666666666666667
315,AlPt,19.0
316,HgNO2,4.0
317,BeB2,26.66666666666667
318,HoAs,14.0
319,ErInPd,20.33333333333333
320,BeZnFe,12.666666666666664
321,LiV6O7F5,5.333333333333333
322,Ba4OsW,14.0
323,Tb3Si2S8I,3.0
324,Mg(BeAs)2,9.0
325,In2Ni3S2,8.0
326,YCoF5,5.666666666666668
327,LaBAs,19.0
328,Al2BiS4,3.333333333333333
329,KBrF4,3.6666666666666665
330,TbZrSb,14.0
331,Al2Te3,3.6666666666666665
332,K2TeI6,3.6666666666666665
333,SrGeO3,5.0
334,Ca(PRh)2,10.0
335,GaAs,16.666666666666668
336,BeSbP2,25.0
337,PuAs,7.0
338,Li2FeCuO4,6.333333333333332
339,ErGeIr,9.333333333333334
340,IrCl3,6.0
341,HfInAu2,20.0
342,Rb2CoI4,8.0
343,BH9(CO)3,4.0
344,Ba4CaRu,12.0
345,Yb(CoSi)2,10.0
346,BeTcIr,27.0
347,NaLiFe2(Si2O)2,4.333333333333333
348,NaMgO3,10.0
349,TlSbO3,4.0
350,V3Ga,11.0
351,Li2V3CrO8,5.0
352,NaCaBe,13.333333333333336
353,TlPdF3,14.0
354,LaBO3,4.0
355,Tb5Ge3,9.666666666666666
356,BaAlCrCuO5,20.666666666666668
357,Nd2ScSi2,6.333333333333332
358,PaNi2Sb,16.0
359,Sr3(GeAs2)2,4.666666666666667
360,Fe6O5F7,4.0
361,BaSrW2,17.333333333333332
362,Ba4VMo,9.0
363,NbCo2Sn,11.0
364,Zr2SnC,23.33333333333333
365,BeSe,12.0
366,Nd2Be2SiO7,3.333333333333333
367,Ce2Ni,9.333333333333334
368,Ba4LaTa,7.0
369,Ti3Be,14.0
370,NaH3C2O5,3.333333333333333
371,BaMnF4,4.333333333333333
372,Ba4ScCd,7.0
373,BaLiTl,10.0
374,Tl2(IO3)3,3.333333333333333
375,BeNbBr2,18.666666666666668
376,TiBeTc2,19.666666666666668
377,SiO,9.0
378,BaTlSn2,11.0
379,YMnAs,8.0
380,LiCr(CoO3)2,13.0
381,Ge3Rh,23.66666666666667
382,BeZnSn,29.66666666666667
383,Na3InCl6,3.333333333333333
384,Sr2ScIrO6,5.666666666666668
385,Li2Cr2O7,2.333333333333333
386,Li3Ca,15.333333333333336
387,NaV2O5,6.666666666666668
388,Ca2FeP2(H4O)2,4.0
389,Lu2CoRu,14.0
390,Ba4ZnTe,10.0
391,NdSmO2,13.0
392,NpAsS,7.333333333333332
393,Ta2MoOs,20.0
394,ThSb,18.0
395,Al2Re,10.0
396,TiCo5O2,6.666666666666668
397,LiHS,5.333333333333333
398,YCrO4,5.0
399,Sc2AlOs,9.0
400,BeCoTc2,17.333333333333332
401,InPd3,16.0
402,K2BaBe,8.333333333333334
403,Y3GaC,8.0
404,PaO2,10.0
405,TiF4,4.0
406,BaV2P,10.333333333333334
407,Y(SiOs)2,15.666666666666664
408,K3GeS3,3.6666666666666665
409,LiBF4,4.0
410,PbS2,6.333333333333332
411,BaSi3SnO9,3.6666666666666665
412,Hf2Si,13.666666666666664
413,AgAuS2,9.333333333333334
414,V(HO)2,6.0
415,Sm(CrSi)2,9.0
416,Ca(CoO2)4,5.666666666666668
417,Ba3Nb2CoO9,5.333333333333333
418,TbAgPb,14.333333333333336
419,YbCuSi,16.333333333333332
420,YMnB4,7.0
421,LiCa2Mg,12.0
422,Ga2HgO4,7.0
423,Sb2Pt2O7,5.0
424,ErSiPd2,11.666666666666664
425,Sc2ZnGa,13.0
426,Fe3W3C,6.0
427,LiNd2Ir,18.0
428,Na4BeW,10.0
429,BaYCuTe3,5.666666666666668
430,K2TaF7,2.333333333333333
431,NaYbS2,19.0
432,Li6VCrP2(CO2)2,4.0
433,Hf23Se25,4.333333333333333
434,BeTlRu,17.0
435,BaNaSr2,10.666666666666666
436,Ca2YBiO5,4.666666666666667
437,Pr4S3NCl3,4.0
438,KNaO3,8.0
439,TaSnRu2,20.0
440,Ca2CdAg,7.0
441,HfBeNi,12.0
442,TbB6,16.0
443,Nd2C3,11.0
444,Ba2SbI,4.0
445,Ca(BH)2,9.333333333333334
446,Ti2MnBe,12.0
447,RbAgCl3,11.0
448,Ba4TiTl,8.0
449,CaZn2(PO)2,15.333333333333336
450,PrIn3,21.0
451,Mn2SiW,10.0
452,CuSe2,14.0
453,HfGeTe4,7.0
454,MgZrO3,7.0
455,SrLuCuSe3,5.666666666666668
456,YErAl2,22.0
457,Be2VCr,7.333333333333332
458,CuGeRh2,19.0
459,Mn2S3,6.333333333333332
460,MgAl2Cu,9.333333333333334
461,PuB2,10.0
462,ScInNi2,12.0
463,LiCrP2O7,4.333333333333333
464,Ti2IrOs,8.0
465,ScSe,24.0
466,Sm(HO)3,4.333333333333333
467,Mn2BeCd,10.333333333333334
468,MgPd5,10.666666666666666
469,ThFe5,8.333333333333334
470,Ni3Sn(P2O3)2,4.666666666666667
471,BaOsBr,7.0
472,Li4Mn3,3.6666666666666665
473,BaScCl,7.0
474,Nb5Ge3,9.666666666666666
475,Rb2TeCl6,4.0
476,BeIr4Rh,17.0
477,TlGaTe2,6.0
478,Li3Al2VO6,4.666666666666667
479,BaTm2NiO5,11.0
480,Ba7(ClF)2,3.0
481,Be2NbW,27.66666666666667
482,LiFe3O3F4,6.0
483,Mg(AlS2)2,9.0
484,BaLiF3,5.0
485,LiCaNiF6,3.333333333333333
486,TmAl,11.333333333333336
487,Ba4FeMo,9.0
488,YAl3Ni,11.666666666666664
489,Y4GaCo4,13.0
490,CrRh3,18.0
491,Na3ClO,6.0
492,MnIr,20.0
493,Tm3(GePd)4,11.666666666666664
494,Rb3CrF7,3.333333333333333
495,BeGeRh,19.666666666666668
496,Li6MnCrP2(CO2)2,4.0
497,MnSnRu2,8.0
498,CaLaHg2,11.0
499,LiTiV3,4.333333333333333
500,Co2CuO4,5.333333333333333
501,Dy3AlN,17.0
502,BeV2Si,22.33333333333333
503,BeSiTc,25.0
504,AgTe4Au,7.0
505,NdFeAsO,8.0
506,NaBe2Se,19.0
507,PrBO3,4.0
508,P2O5,5.0
509,YbZrRh2,17.0
510,Ge3Bi2O9,7.0
511,Y6TeO2,4.0
512,Re2C,18.0
513,Ba4LiNb,7.0
514,TmInCu2,13.0
515,Sr2SnO4,4.0
516,Hf2TcIr,8.333333333333334
517,Hg2P3Br,4.0
518,TiFeTe,7.0
519,YIn,19.0
520,MnHO2,8.0
521,Fe3S4,13.0
522,Ba2LaV,10.0
523,Y2Cr3O9,10.0
524,Na6CdCl8,4.0
525,Ba2InNi,14.0
526,Yb4Bi3,12.0
527,Be2PdBr,22.66666666666667
528,Ta2CrRu,14.0
529,Li6I3N,5.0
530,TiCo2Sn,10.0
531,Na3PO4,4.333333333333333
532,K3SbO4,4.0
533,ReAsAu,14.0
534,CrOF,12.0
535,AlBN2,8.0
536,BaWO4,5.666666666666668
537,Sr2BeRh,11.0
538,Na2TiSiO5,4.333333333333333
539,BeFeBi4,12.0
540,ReW2Br,20.0
541,Sc2GaCu,9.0
542,TaTl3S4,5.0
543,Ti2Co2P7,6.666666666666668
544,PuCoC2,7.0
545,Sr(RuO3)2,14.0
546,Li5AgF8,4.333333333333333
547,NaGa(GeO3)2,4.333333333333333
548,Li2PtF6,3.6666666666666665
549,SiP2,10.0
550,Ce3Zr5O6,3.333333333333333
551,Mg4BeMo,10.0
552,KCu4Se3,12.0
553,Mg2TiBe,9.666666666666666
554,BaPPt,7.0
555,LuB2C,12.666666666666664
556,Ti2MnGe,16.0
557,USbTe,6.666666666666668
558,LiYb2Ga,11.0
559,NdPd2,13.0
560,KReO3,23.0
561,BeP2Rh,14.666666666666664
562,YCu,22.0
563,Li2InAu,19.0
564,Ba4PdO6,4.0
565,BaTbF6,4.333333333333333
566,Ba4Na(BN2)3,4.0
567,NiAsSe,9.0
568,YbIn2,18.0
569,BeGeSe2,20.33333333333333
570,CaBe2Se,17.333333333333332
571,ZrSbRu,16.0
572,Zn(AgO2)2,4.0
573,SrSn(BO3)2,5.0
574,Nb2P,2.333333333333333
575,Mn2VSi,11.0
576,AgPdO2,8.0
577,BeCrNi2,8.666666666666666
578,Ba2YCr3O7,7.666666666666668
579,Er2TeO2,7.333333333333332
580,BaZnBi2,15.666666666666664
581,HfAu2,18.33333333333333
582,InAgSe2,7.0
583,RbTmS2,7.0
584,HfRu,14.0
585,Zn2Cr3O8,5.0
586,Pr3Hf,17.0
587,CoS2,9.666666666666666
588,HfSe3,7.333333333333332
589,HfAsIr,18.0
590,Sn(SbTe2)2,11.0
591,Ba4GeRu,15.0
592,BaAsPd,14.666666666666664
593,MgTiF4,5.0
594,NaTmS2,9.0
595,TbInPt,17.666666666666668
596,Sc2CuOs,12.0
597,Sc7Cl2,4.0
598,Na6SbO5,6.333333333333332
599,BeGa2Tc,10.0
600,DySnRh2,10.0
601,Co3S4,13.0
602,NdBPd3,11.0
603,Ba4RuPt,10.0
604,LiCoO2,8.0
605,Be2CdGe,27.66666666666667
606,PtI2,4.666666666666667
607,Li3Fe4(B2O)2,5.666666666666668
608,Rb2TlInCl6,4.0
609,BaAlFeCuO5,20.666666666666668
610,Ba4FePt,8.0
611,KMn(SeO4)2,4.333333333333333
612,EuAl4,19.0
613,Ca(MnSb)2,6.666666666666668
614,Ba2YTaO6,5.0
615,W3O8,19.666666666666668
616,BaSr3O4,6.0
617,PaGaAu2,12.0
618,MgCo3C,9.0
619,ScBeTc2,10.333333333333334
620,Fe3Mo3N,9.0
621,NiAgO2,14.0
622,TiRe2As,12.0
623,Li2HoTl,18.0
624,HoCu4Au,16.0
625,TmCdAg2,20.0
626,Li2Mn2SbO6,5.666666666666668
627,Na8N3O,5.0
628,BeV2Mo,19.0
629,HoBr3,4.666666666666667
630,MnFeAs,7.333333333333332
631,HfTaRe2,15.0
632,NaVSiCO7,4.666666666666667
633,Cu2SnTe3,7.666666666666668
634,BeVOs2,12.0
635,LuBO3,5.0
636,BeVRu,27.33333333333333
637,Tb2Be2O5,6.0
638,Sc2AgRu,12.0
639,BaMgTe2O7,3.6666666666666665
640,Sr3AsN,7.0
641,YCr2O4,10.0
642,Pd2N,20.33333333333333
643,NaPr2IrO6,5.0
644,ThPd,10.333333333333334
645,Li2HgGe,23.0
646,InFeRh2,7.333333333333332
647,Mg(NiS2)2,8.333333333333334
648,Zn2BiSbO6,8.0
649,Na4Al3Ge3BrO2,3.0
650,Sc3InN,8.0
651,Te5Mo4S3,6.333333333333332
652,Be2CuSn,25.66666666666667
653,LaAs,14.666666666666664
654,NpPd3,8.0
655,MnAlNi2,19.0
656,Sm3TaO7,3.6666666666666665
657,VRh3,16.0
658,TbCrB4,6.333333333333332
659,Ba4FeHg,13.0
660,KTl2MoF6,9.0
661,PaCdPt2,18.0
662,HfBePb2,13.0
663,Li3Ti2Fe3,3.6666666666666665
664,RbNa7(CoO3)2,4.333333333333333
665,TmBRh3,18.0
666,BeNiGe,27.33333333333333
667,BeFePd2,18.33333333333333
668,LaSb,12.666666666666664
669,LiVCO4,4.666666666666667
670,Li4CrO4,4.333333333333333
671,Ag2PbO2,5.333333333333333
672,Yb2AgHg,21.0
673,BaAgAs,15.333333333333336
674,PmPd2Pb,19.0
675,PrO2,9.0
676,EuS,14.0
677,K(AsRh)2,19.0
678,Be2InMo,21.33333333333333
679,As2PdO6,13.666666666666664
680,Ce2Cu(NO)2,14.0
681,Ba4CuGe,13.0
682,Pr4Sb3,7.0
683,AsOs2Pd,14.0
684,Zn(SbO2)4,11.0
685,DyCd2,18.666666666666668
686,Ba4ReHg,14.0
687,Sr5(AuO4)2,4.333333333333333
688,KErO3,11.0
689,Na2CrH2F8,4.0
690,Tm2Al3Si2,9.333333333333334
691,Sm2Mg,15.333333333333336
692,HfCoSn,11.333333333333336
693,NaTeF5,3.0
694,KAg3S2,5.0
695,NdCu5,17.333333333333332
696,CeAl2Pt3,18.0
697,PrIn,22.0
698,Yb4Sb2O,7.666666666666668
699,Sm(MnAl2)4,8.0
700,UO,11.0
701,BeHgSb,19.33333333333333
702,TmRh2Pb,17.0
703,YbPb3,19.0
704,Er2IrRu,22.0
705,Th(SiOs)2,12.0
706,Ti3As,12.0
707,Li4H6Ru,5.0
708,Li3P,8.333333333333334
709,Sm4FeSe6O,4.0
710,BaSiTe2,15.333333333333336
711,FeS,14.666666666666664
712,Sr2Cu(PO4)2,6.333333333333332
713,Ag2HgI4,5.0
714,Si2N2O,5.0
715,KBe2Co,9.666666666666666
716,Ca6Sn2NF,7.0
717,AcMgTl2,21.0
718,SmNi5,16.666666666666668
719,SmSb,10.0
720,HfMgHg2,7.0
721,Fe9Co7,9.0
722,Ba4NaW,8.0
723,HfAgB,13.0
724,Ba4ScSn,13.0
725,ZrGaNi2,10.0
726,Zr3InF5,3.0
727,CdPdF6,5.0
728,CdSnO3,14.0
729,LiBeAu2,26.0
730,BeTcP,26.33333333333333
731,Lu2Sn2O7,4.0
732,Li2TiCo3O8,4.333333333333333
733,ThIr,17.0
734,NdTl,19.0
735,KNaTe,4.0
736,CeB2Ir2C,16.333333333333332
737,PdF3,11.0
738,V2Cr3(SbO2)3,5.0
739,Nd2Mo2O7,6.0
740,BeNbPb2,13.0
741,NiP3,10.0
742,Li4Cu(PO4)2,5.0
743,NbGeSb,16.333333333333332
744,CaCu2O3,14.333333333333336
745,KBaO3,22.0
746,TmH3(CO2)3,6.0
747,Be2RhCl,9.0
748,NaSr2Cd,6.0
749,TiBeMo,22.66666666666667
750,TiZnF5,3.6666666666666665
751,Li2H2Pt,13.0
752,ErGe,17.333333333333332
753,MgBe2Cl,19.33333333333333
754,BeSnBi,23.0
755,LaSiRu,15.333333333333336
756,PbF2,5.333333333333333
757,TiNiO6,6.0
758,MgIr2,17.0
759,Be2TcPb,18.666666666666668
760,U(SiIr)2,6.333333333333332
761,CuF2,7.333333333333332
762,TmPaO4,6.0
763,Cu2GeS4,7.0
764,Mg(AlSe2)2,10.0
765,Mn3SnO8,6.0
766,V4ZnS8,7.0
767,AgBrO4,4.333333333333333
768,TmNi,10.333333333333334
769,Li4MnF8,4.0
770,Tm(FeGe)2,9.0
771,BeFeSb,7.666666666666668
772,Lu(SiRu)2,16.0
773,TlCuAs,23.0
774,Na2TmPCO7,4.0
775,BeCu2Cl,21.0
776,CaPmCd2,9.0
777,Be2FeSi,14.0
778,Li2Cr3SbO8,5.0
779,NaGaHg2,9.0
780,SrCu2(BO3)2,3.6666666666666665
781,ZnGe3,25.0
782,In2HgSe4,6.666666666666668
783,Na4SiO4,3.333333333333333
784,Tm(CuS)2,17.666666666666668
785,PCl2OF,3.333333333333333
786,BeMo2Os,21.0
787,DySbPt,10.0
788,Mg2SiPt,19.666666666666668
789,CeMg3,20.33333333333333
790,Sn(BiTe2)2,17.0
791,Al2Si4O,4.666666666666667
792,LiNiO2,12.0
793,LiMgAs,8.0
794,Sr2PdPt,6.333333333333332
795,TbHg,13.0
796,Mn2GaCo,10.0
797,SmBi2ClO4,6.333333333333332
798,BeCuPt2,11.666666666666664
799,YNi,10.333333333333334
800,Ba2PCl,6.0
801,Tl(NiSe)2,12.666666666666664
802,Ca2Fe2O5,7.0
803,Rb2Sb4S7,2.6666666666666665
804,TbGaO3,4.0
805,YRh3C,11.0
806,Ba4HgIr,9.0
807,NaBeGa,27.66666666666667
808,Ba4FeBi,10.0
809,DyNi,10.333333333333334
810,HgSe,6.333333333333332
811,Lu2TlHg,16.0
812,Na2BeIn,17.0
813,V3Sb2,8.0
814,Hf6Al6Co7,11.0
815,Li3Mn(PO4)2,3.6666666666666665
816,SnF4,5.0
817,Ba5As3,5.333333333333333
818,GeTe,20.0
819,Mg2PN3,5.0
820,UPt4Au,15.0
821,Tb5Se2Cl3,3.0
822,Rb3Sb2Br9,4.666666666666667
823,HoTiSi,14.333333333333336
824,Li2Ni3OF6,3.333333333333333
825,Mg2BeNi2,19.0
826,NpNi5,12.333333333333336
827,Bi2TeO6,5.0
828,Hf2Hg,12.0
829,Ti2AlNi,8.0
830,Yb2GaHg,18.0
831,SBr,5.333333333333333
832,Yb2AgRh,15.0
833,LiVRh2,12.0
834,KYbSe2,18.0
835,TmFe2,11.0
836,CoSO4,6.333333333333332
837,ZrCd,20.33333333333333
838,AgBi(PSe3)2,6.0
839,Dy2PbS4,4.0
840,TbCdAg2,20.0
841,MnVNi,11.0
842,ErVB4,13.0
843,Zn3C,31.0
844,Pm2SnHg,21.0
845,ZnTe,25.0
846,TbSe,16.0
847,LiSbO2,5.333333333333333
848,BeVSi4,13.0
849,YErRh2,21.0
850,AgClO3,4.0
851,Ti2InFe,10.0
852,Be2FeNi,13.0
853,BaMnBi,9.0
854,Tm2TeO6,4.333333333333333
855,Li4Mn3Fe2,3.6666666666666665
856,SrCrO4,3.333333333333333
857,Li2CuSn,19.0
858,Ca(BN)2,4.333333333333333
859,Na2FeNiF7,5.0
860,YbNiC2,15.0
861,AcClO,4.333333333333333
862,Lu2TcAg,16.0
863,MnCl2,8.0
864,BeCrCo,26.0
865,HfBeSb,20.0
866,LiTbTl2,22.0
867,Rb3Hg,10.0
868,Sb5IO7,3.333333333333333
869,Y2BeIn,11.0
870,SiH6(NF2)2,3.333333333333333
871,Si3Os2,7.666666666666668
872,LiCu3,23.0
873,BaTlIn,12.0
874,BeNi2Bi,21.0
875,TaGe2,14.0
876,Al2CdCl8,3.0
877,PdF3,8.0
878,KBe2Mo,19.33333333333333
879,Fe2AsSe,10.0
880,Nb2NiO6,11.0
881,LuReTc2,14.0
882,Ba4HgMo,10.0
883,NdSi2,19.0
884,Na5MnO4,3.6666666666666665
885,SiP2O7,4.333333333333333
886,Li3FeSiCO7,5.0
887,DyNi2,11.0
888,YAl3Ni2,15.333333333333336
889,NaBeNi2,14.333333333333336
890,Mg3(HO2)2,5.666666666666668
891,ScTaFe2,14.0
892,TaBe2Hg,11.333333333333336
893,TlNi,13.666666666666664
894,Be(HO)2,4.0
895,BaSrIn2,16.0
896,Ba3Al3Ga2,11.666666666666664
