,pretty_comp,magmom_oszicar
301,Li6CuO4,1.9969999999999999
302,LiCoAs,-0.0
303,LuPPt,-0.0
304,LiNbFeO4,-0.0
305,MnCN2,4.9773
306,Li2BiAu,0.0
307,TiPRu,0.0
308,MnSbPd2,4.2665
309,Tl3SbS4,-0.0
310,Ca3AsN,0.0
311,Ga3Ni5,0.0
312,LiTi3O6,0.8229
313,UP2,2.7288
314,ZrTiF6,1.9996
315,YCu3(Sb2O)2,-0.0
316,Sr2TlCuO5,-0.0
317,CuHOF,3.7676
318,Ga3Os,0.0
319,HoAg2,0.0
320,Ba3GeO5,-0.0
321,Ba4YRe,-0.0
322,TiFeSi,0.0001
323,Mn2CoIr,9.9338
324,SbSI,0.0
325,Na2PtS2,-0.0
326,NaSr2In,-0.0
327,TiMnO4,3.0
328,BaCrO3,7.9978
329,NaNiIO6,0.0
330,Zn2RhAu,-0.0
331,BaYAgSe3,-0.0
332,Ti3O2,0.0
333,Dy2TeO2,0.0
334,LiCaGaN2,0.0
335,Li5CrO5,1.0
336,Al2ZnS4,-0.0
337,Cr2GaC,-0.0
338,Li4NbTe3O2,0.0
339,NbGaRu2,0.0
340,HfBe2Pt,-0.0
341,In2TeO6,0.0
342,Ag3Sb,-0.0
343,Li3BN2,-0.0
344,Be2SiBi,0.0
345,Tm2InOs,0.0
346,YbBiPd,-0.0
347,Sb2Pt,0.0
348,ErBiPt,-0.0
349,BaHgBr,-0.0
350,CeInPd,1.5033
351,Nd(CrSi)2,0.0
352,Al4Cu2O7,0.3391
353,HoCoC,0.2576
354,LiCuBO3,1.9239
355,SrGe2,-0.0
356,Mg3Al,-0.0
357,Fe2As,6.5009
358,HgBiPb2,0.0
359,Ba2TlCd,0.0
360,Ho2NiAs2,-0.0
361,YbPO4,1.9133
362,Na2Au,-0.0
363,MgB9N,-0.0
364,Mg3ZnO4,-0.0
365,Ti2MnAl,0.0
366,LuBPd3,-0.0
367,BaRuPt2,-0.0
368,Tm(SiPt)2,-0.0
369,Ba2AlCo3O8,3.3962
370,BeReW,0.0
371,LiZn2Au,0.0
372,MnBe2Rh,2.8937
373,AlN,0.0
374,U2SnPd2,9.2877
375,InAgSe2,0.0
376,Hg2P2S7,-0.0
377,KBe2Te,-0.0
378,Be2CrCu,-0.0
379,TeW2Se3,0.0
380,LiPt3,-0.0
381,LuInNi2,0.0
382,ZrSbRu2,0.0
383,Li2AgF3,0.0
384,WSe2,0.0
385,Na5CoSO2,2.0
386,CaTeO4,0.0
387,Be2CrMo,-0.0
388,Ba4TlIr,-0.0
389,DyNiBi,0.0
390,YbSe,0.0
391,Tm3Al2,-0.0
392,Be2SbPb,0.0
393,LiTiO2,-0.0
394,Sr3Ge2(BO)6,0.0
395,UAl2Cu,2.6073
396,YbB2Ru3,-0.0
397,Y2GaHg,-0.0
398,LiSiBiO4,-0.0
399,Cd4(B2O)3,-0.0
400,Ba4TcSn,0.0
401,U3Pa,3.5231
402,BaTiTe2,1.9905
403,Dy5SbAu2,0.0
404,Be2ZnGa,-0.0
405,CeIn5Rh,0.7534
406,BaSi,0.0
407,SrBe2Cd,0.0
408,ZrInRh2,0.0
409,La(Fe2P)2,0.0
410,Cu3(Ni2O)2,0.0
411,HoMoClO4,-0.0
412,Li3Co(OF)2,0.0
413,Yb(ErS2)2,-0.0
414,MgBeTl2,-0.0
415,Sr(CuAs)2,0.0
416,BeMo2Ru,-0.0
417,YbIn2Ni,0.0
418,BeBiPb,-0.0
419,NaDySe2,0.0
420,Na2TaBe,0.0
421,GaSe,-0.0
422,TeO3,0.0
423,V3Zn2O8,2.9748
424,BeCuSe,-0.0
425,KRb2CrF6,3.0
426,LiFeSbO4,8.1301
427,KCaCl3,0.0
428,Ba4TcPd,1.9925
429,TaPt3,-0.0
430,Ca5(AlSb3)2,-0.0
431,MgBeGa,-0.0
432,LiTiBe2,0.0
433,MgAu,0.0
434,Ni3Sb,0.0
435,BeZn2Sn,0.0
436,KMnAs,0.0
437,YErMg2,0.0
438,Y2PtAu,0.0
439,ThRu2,-0.0
440,BaZnSe2,0.0
441,K2BeSb,0.0
442,Cr3Ni(P2O3)2,0.2178
443,Ba4MnZn,-0.0
444,YBr3,0.0
445,Li2VOF3,8.0
446,Mn2AlW,0.8806
447,Li(VS2)2,5.9848
448,U(HO2)2,-0.0
449,Al2(BiO3)3,2.6433
450,BeRu2Rh,0.0
451,CaTl,0.0
452,VZnO3,0.0
453,ZrVGe,-0.0
454,BaZn2Re,1.3176
455,K2NaBe,-0.0
456,HgOs,-0.0
457,NpH2,3.93
458,AgPO3,0.0
459,BeTlCu4,0.0
460,Li2Cr3SnO8,7.997000000000001
461,LiCa2Tl,-0.0
462,Ba4TaHg,3.9132
463,Nd(SiOs)2,-0.0
464,Li2O2,-0.0
465,H3N,0.0
466,BeVP,0.0
467,YbDy3,0.0
468,SmAl3,0.0
469,Tl3VO4,0.0
470,Mg3Ti,1.4851
471,ZnS,0.0
472,TiFe2,5.0933
473,InHg,0.0
474,HoTlTe2,-0.0
475,Tm2MgTl,0.0
476,HfBeV,-0.0
477,SiO2,0.0
478,DyBr2,-0.0
479,BaCaIn,-0.0
480,BaFePd2,3.1142
481,Mn2CoAs,4.0047
482,InBiO3,0.0
483,RbCu2Br3,-0.0
484,PrH,0.0
485,Sr(P3Pt2)2,0.0
486,Rb3Mg,-0.0
487,BaLiSi,0.0
488,YbNi4Au,0.0
489,ZrCl2,0.0
490,Li2V3SbO8,7.9569
491,Zr5Sb4,-0.0
492,Sc2AlCu,-0.0
493,LiIn(I2O)2,0.0
494,Rb2ZnH4,-0.0
495,HfBePt,-0.0
496,AgPd2Pb,-0.0
497,AcYbMg2,0.0
498,KPF6,0.0
499,TaTl3S4,0.0
500,SrTl2,0.0
501,YBePt4,-0.0
502,Cr(BH)6,4.0
503,Hf4BeP,-0.0
504,Ba2PdO3,0.0
505,TmAgTe2,0.0
506,Li2CdHg,-0.0
507,FeSnRh2,3.7412
508,YB2C,-0.0
509,Ba4ZrW,-0.0
510,Sm2ZnIn,0.0
511,BeVPt,-0.0
512,LiMnF6,2.0
513,Yb3U,4.4571
514,Ca(GeIr)2,0.0
515,Sr2LiIr,-0.0
516,BaTbF6,1.9669999999999999
517,LiMnO2,3.9999
518,BaNdMn2O5,8.3439
519,MgNbRh2,0.0
520,Tb4Se3N2,0.0
521,Be2IrPt,-0.0
522,Ho6FeBi2,0.0012
523,Mn2SiNi,3.5424
524,NaS,0.9885
525,Er2NiRu,-0.0
526,CeRh3C,-0.0
527,MgBe2Tc,0.0
528,PrZr3F5,-0.0
529,NaInH8(NF3)2,0.0
530,Co3(SnS)2,0.6605
531,LiSbS2,0.0
532,Ba4SiW,3.5946
533,K2SO3,-0.0
534,KBe2Pb,0.0
535,Na2SnBAsO7,0.0
536,Sr(GeIr)2,-0.0
537,Li3Co2(GeO4)2,7.0
538,SNF,-0.0
539,Li8Cr3SbO2,7.0
540,TbBPd3,-0.0
541,Sm3BWO9,-0.0
542,NdTa3O9,-0.0
543,VOsCl,0.0
544,Rb2Pt3S4,0.0
545,K3Zn2F7,-0.0
546,Ca2AsI,0.0
547,Be3Zn4Si3SO2,0.0
548,Rb2PdN2(ClO2)2,-0.0
549,NdHO2,-0.0
550,HfZrZn2,-0.0
551,ZrTlCuSe3,0.0
552,TiAg,-0.0
553,MgTiO2,-0.0
554,SrSnO3,-0.0
555,RbBiF3,-0.0
556,Ca2YBiO5,-0.0
557,TcN,0.0
558,Mg(BeN)2,0.0
559,PaPd3,-0.0
560,Li2PmGe,-0.0
561,Be2CoBi,0.4419
562,Zn(InS2)2,0.0
563,BeCoTc2,-0.0
564,WCl4O,0.0
565,ScBe2Re,-0.0
566,Li2Mn3FeO8,9.0
567,BaPr2FeS5,8.0
568,HfCo2Sn,1.771
569,BeGaOs,0.0
570,PuO2,4.0
571,SrBe2Ge,-0.0
572,Rb3YF6,0.0
573,Sr3(AlGe)2,0.0
574,KAgSe,0.0
575,Yb(FeGe)2,2.1277
576,Sr2NiTeO6,-0.0
577,Tl3AsS3,-0.0
578,VIr3,-0.0
579,LiSm(CuP)2,0.0
580,Li2TiNi2O5,7.3869
581,RbBS2,-0.0
582,LiIn2Ir,-0.0
583,YbGaAu2,0.0
584,Ba4SiNi,0.2023
585,LiGaIr2,-0.0
586,CuAs2Pb6Cl7O6,-0.0
587,Mg2TiIrO6,1.2097
588,La(CoB)2,-0.0
589,CaTcN3,-0.0
590,SrSe,0.0
591,SmMg2Ni9,0.0
592,SrGa2B2O7,-0.0
593,CeHg,0.0386
594,Ti4MnBi2,0.0038
595,TbSc,0.0
596,Sm(SiRu)2,0.0
597,Sr4Al6SO6,-0.0
598,Na3GaSe3,0.0
599,NaBeBr,-0.0
600,Al2SiO5,0.0
601,Sr(NiAs)2,-0.0
602,Li2BeRe,0.0
603,FeO,0.0
604,USe,2.8459
605,Tm2MgGe2,0.0
606,Ba2CrBr,5.4293
607,ZrCdO3,0.0
608,Yb(MnAs)2,4.9946
609,Na3AuS2,-0.0
610,CaBe2Fe,1.9086
611,KBaSn,0.0
612,Mg2GeO4,-0.0
613,Ba2Mg(BO3)2,-0.0
614,Li2GeO3,0.0
615,Li8Co5,7.0
616,RbMgBO3,-0.0
617,BaCaY,-0.0
618,Er(NiP)2,0.0
619,ZnReO4,0.8689
620,Zn3Si3(BiO)2,-0.0
621,TaFeO4,2.0001
622,TiMnO3,9.9949
623,PbS,-0.0
624,Ca3Hg2,0.0
625,MgPbO3,1.9999
626,Zn(MoO2)2,0.0
627,BeNb2Sb,-0.0
628,Ba4CaIr,-0.0
629,Rb2TlInCl6,-0.0
630,Ba4LiCo,0.0
631,Be2FeBi,-0.0
632,BeFeTe2,-0.0
633,Li2PNO2,0.0
634,Ca3TeO6,-0.0
635,BaMg2Fe,2.4668
636,MgTl3,0.0
637,NaAsS2,-0.0
638,NdRhO3,-0.0
639,YZnAsO,-0.0
640,RbBF4,0.0
641,BeGeIr,0.0
642,MnNiGe,3.0465
643,SbS8Cl3,0.0
644,VCo,1.8352
645,Li2FeP2HO8,2.0001
646,Be2RhAu,-0.0
647,Al2IrRu,-0.0
648,YbGaPd2,-0.0
649,Zr3O,-0.0
650,Li2TlSn,0.0
651,AsIrW2,-0.0
652,TmSi,0.0
653,K4BeAs2,0.0
654,NdMnAsO,3.2143
655,KV5Se8,9.7199
656,AcGa3,0.0
657,Te4MoW3Se4,-0.0
658,Ba4ZnBi,0.0
659,BaCdIn,-0.0
660,LiMn(PO4)2,4.0
661,BaMnO3,8.9909
662,CaLaHg2,-0.0
663,RbFeO2,5.7094
664,Rb3As,0.0
665,SiRh3,0.0
666,UGa5Ir,1.5762
667,MnGeRh2,4.6224
668,Ho6CoTe2,0.0
669,BaZrNi,0.6484
670,NaHg2Pd,-0.0
671,YBPt2,0.0
672,TiCrO4,1.9998
673,ThAl2,0.0
674,Zn(CO2)2,0.0
675,Nb4O5,-0.0
676,NbRu3C,-0.0
677,ReAg3,0.0
678,YInPd2,0.0
679,YN,-0.0
680,NdCuSn,-0.0
681,CeInCu2,0.4644
682,SmAlGe,-0.0
683,YB2Rh3,0.0
684,Co4NiO8,3.9278
685,K5CuAs2,0.0
686,Dy(SiRu)2,0.0
687,Co2CuO4,4.845
688,BeCuRu,-0.0
689,Na2BeGe,-0.0
690,Ca(SbO2)4,0.0
691,Li4Ca2Mg(SiN3)2,-0.0
692,Ba4YTe,2.5938
693,Mg2TiBe,-0.0
694,Be2ZnBr,0.0
695,Na2BeIn,0.0
696,YSi2Ru3,0.0
697,USbSe,5.3349
698,Nd(Fe2Sb)2,0.6308
699,Zr3Zn,-0.0
700,YbSmRh2,-0.0
701,Sr2CdIn,-0.0
702,Ti3Be,-0.0
703,K2Th(CuS2)2,0.0
704,PrGeAu,-0.0
705,LiDy2Cl5,-0.0
706,Na8NO3,1.0
707,BaGeTe,0.0
708,InCuTe2,0.0
709,YbAu3,0.0
710,DyFeB4,0.0
711,DyPb3,0.0
712,DyTe,-0.0
713,Yb2CdIn,0.0
714,Na4TiO4,-0.0
715,Ba5Bi3,1.8484
716,P2PdO6,-0.0
717,Cu2Te2Cl2O5,3.6524
718,AlPPt5,0.0
719,Nd3BWO9,-0.0
720,NaAcHg2,0.0
721,TiFeCoSi,0.9865
722,BaAg2GeS4,0.0
723,Yb(NiGe)2,0.0
724,K2MnSe2,9.9999
725,Tm2FeC4,-0.0
726,BaSm2PtO5,0.0
727,FeCuO2,1.0018
728,Yb(SiOs)2,0.0
729,HoNi4Au,-0.0
730,Ba2RuO4,0.5954
731,LaZn5,0.0
732,SnBr4,0.0
733,Ce5Zr3O6,-0.0
734,KCaNb2O6F,-0.0
735,TiAsRu2,-0.0
736,BiB,-0.0
737,BaTl3,0.0
738,LiAlPHO5,-0.0
739,CrCdTe2,4.0
740,Sr2CdHg,0.0
741,NaGaH8(NF3)2,-0.0
742,GaGeTe,0.0
743,FeCuPt2,3.93
744,ScAlNi2,0.0
745,P4S5,0.0
746,LiBe2Ga,0.0
747,Ba2TiCr,-0.0
748,HgHClO4,0.0
749,BaVTe2,3.0
750,K2BaGa,-0.0
751,Zn2PHO5,-0.0
752,Zn2AsIr,0.0
753,SrTiSi2O7,-0.0
754,Sr4MgCr2(SO3)2,6.0
755,LiTiMnO4,4.1254
756,Cu2HgGeSe4,-0.0
757,BaPrMn2O6,6.9981
758,PrTe3,0.0
759,LiRh2Pb,-0.0
760,BeIn4Pb,0.0
761,VRu3,-0.0
762,Zr2O,0.0
763,LiMnBe,0.0
764,RbN,4.0
765,Ba4BeTl,-0.0
766,KGeBr3,0.0
767,ZnC2(SN)2,-0.0
768,HfSiS,0.0
769,MgWO3,0.0
770,YbPrRh2,0.0
771,Li2BeTc,-0.0
772,NbZnRu2,0.0
773,TaCl4,0.0
774,CuBO2,0.0
775,CaCdSi,0.0
776,TiFeCoSb,1.9969
777,LuFe2,5.7532
778,ErGe3,0.0
779,Fe(NiO2)2,3.9641
780,KBaTe,-0.0
781,Rb2TlGaF6,0.0
782,BeOsBr,0.0
783,Hg3(SeCl)2,-0.0
784,ZrBe2Ru,-0.0
785,LuTaRu2,-0.0
786,SnN,0.0
787,ZrNiP,0.0
788,BaHfGa2,0.0
789,AlP,-0.0
790,ZrBe2Os,-0.0
791,Y2CuRu,0.0
792,NdPb3,0.0
793,LaB2Ir2C,0.0
794,Ce2CdPt2,1.5416
795,Ag4SI,0.0
796,TmGa3,0.0
797,Sc5Pb3,0.0
798,Ca3(PO4)2,-0.0
799,PrBr3,0.0
800,K2PbO2,0.0
801,SrBe2V,1.2623
802,Re2AsPt,-0.0
803,K2CoPb(N3O)2,0.8586
804,Nd(PRu)2,0.0
805,Ca2CuSbO6,-0.0
806,NiTe2,0.0
807,Mg2NbFe,0.0
808,Sc2TiTl,0.2707
809,YGa2,0.0
810,Li7Ni(O2F)2,0.9982
811,HoCrO4,2.0
812,Ba2YZr,0.0
813,NdTlAg2,0.0
814,ScBe2Tc,-0.0
815,LiV3Zn2O8,3.9986
816,BeRuRh2,-0.0
817,TaCuN2,0.0
818,TiInRh2,0.0
819,Ti2MoIr,0.0
820,KCuO,-0.0
821,ZrCl,-0.0
822,PaTlAu2,-0.0
823,NaLi2N,-0.0
824,Dy2CuOs,0.0
825,BaCrCd,4.8925
826,V2TcOs,-0.0
827,Sr2ErRuO6,5.8742
828,TlFeF3,4.0
829,Yb(SiRu)2,0.0
830,Zr(I2O)2,0.0
831,CdCuAs,0.0
832,Li(MoO2)2,-0.0
833,Li3Cu2F8,5.9910000000000005
834,Si3CCl8,0.0
835,BaIn,-0.0
836,BaSr2Mg(SiO4)2,0.0
837,BaNa4O3,0.0
838,Ta2NbOs,-0.0
839,LuHO2,-0.0
840,NdBPd3,0.0
841,Ta2OsW,-0.0
842,Ca3(MnGa)2,6.0
843,BeB2,0.0
844,Yb4Mg3H4,0.0
845,KAsO2,-0.0
846,Ga2RuRh,0.0
847,YAl2Ni,-0.0
848,Rb4CdCl6,0.0
849,SiC,0.0
850,HfBe2Te,-0.0
851,Lu4Ge6Ru7,-0.0
852,BaPd5,-0.0
853,YBe2Cl,0.0
854,ErH2,0.0
855,Na5SiP3,0.0
856,PaPt3,0.0
857,LuH2ClO2,0.0
858,TiMn2,0.0
859,Ba3Yb4O9,3.9949
860,KYS2,-0.0
861,LiBe2Re,-0.0
862,Ca2AlBiO5,-0.0
863,CaP2(HO)4,-0.0
864,Na3CrF6,6.0
865,SnO,0.0
866,BePBr2,0.0
867,HfMoAs,0.0
868,In3Ru,0.0
869,Te2MoWSe2,0.0
870,ZnWO4,0.0
871,Rh3Pb,-0.0
872,BeCdGa2,0.0
873,NaSmTe2,-0.0
874,ReRh3,-0.0
875,V2PbO6,0.0
876,TaCuRh2,0.0
877,ScSbRh2,-0.0
878,U(SiRu)2,1.8514
879,HoAlAg2,0.0
880,NaPrTl2,0.0
881,KNaGeO3,-0.0
882,Ca3GeN,-0.0
883,NaZn4As3,-0.0
884,VP4,-0.0
885,FeNi2(CN)6,2.747
886,Be2CdGa,-0.0
887,Be2NbSn2,0.0
888,MnGaH4O2F5,10.0
889,LiTiTe2,0.843
890,LiBe2Cl,0.0
891,ReAgO4,0.0
892,LuSbPt,-0.0
893,Ba4BeTe,0.9259999999999999
894,NbTe4,-0.0
895,HfBeTc,0.0
896,DyAlAg2,-0.0
897,TaGaO4,-0.0
898,BaMgV4O8,7.9848
899,BaHfTe,2.0458
900,BeNbSe2,-0.0
901,TlI,0.0
902,CrN2,8.7799
903,LiMnAlO3,10.0
904,U(Mo3S4)2,2.085
905,NaInHg2,0.0
906,CaB2As,-0.0
907,Li2CoCl4,2.9999
908,Li3VCr(PO)4,6.0
909,Be2MoBr,-0.0
910,CaYRh2,-0.0
911,Nd4MnSe6O,-0.0
912,GaTc,0.0
913,CdInS2,0.0
914,BeZn2P,-0.0
915,LiMn3O6,8.0
916,Ta(TeBr3)2,0.0
917,Be2SiRu,0.0
918,Cd(RhO2)2,0.0
919,Th(PS3)2,0.0
920,TaBe2,0.0
921,Be2TlPt,0.0
922,YAg2,-0.0
923,PmZn2Cd,0.0
924,LaCu5,-0.0
925,P2O5,-0.0
926,U(BiO3)2,0.0
927,DyFe5,9.2459
928,Ba4CdRu,0.3021
929,Li2SmIn,-0.0
930,ErCl2,-0.0
931,LiTl2GaF6,-0.0
932,Cr3Os,-0.0
933,Ho3TlC,-0.0
934,Hf4BeZn,0.0
935,LiAgF4,0.0
936,LiBeSb,0.0
937,In2NiS4,3.2777
938,Zn2Co3O8,2.9341
939,Ca2Cu(BrO)2,0.0
940,Sr3Li4(GeN3)2,-0.0
941,BeCdSb2,0.0
942,BeP2Cl,-0.0
943,Li3Nd,0.0
944,ZnRh,0.0
945,Be2NiCl,-0.0
946,Pr3MnAlS7,0.0
947,ZrSi,0.0
948,H4IN,0.0
949,NbFeB,0.0
950,Li2VO3F,0.0
951,Sc2RuRh,0.0
952,Sr3InP3,0.0
953,Li3VF7,1.0
954,CF4,0.0
