,pretty_comp,slme
195,Yb(NdS2)2,6.334614003
196,Dy3SnC,0.011503558999999998
197,H2AuC4N,1.882978906
198,Hf(Te2Cl3)2,32.42588141
199,KBi(PS3)2,5.4710644739999985
200,InAg(WO4)2,16.08843529
201,K2B(CN)3,4.4716611980000005
202,CoHgC4(SeN)4,3.251858347
203,Ag6Mo2ClO7F3,10.82633638
204,B2AsP,21.97123166
205,Hg3(BO3)2,1.445046066
206,BaNaBr,12.22789666
207,GeClO2F5,17.51663091
208,Rb2CuCl3,2.514216197
209,HoNiBi,0.29178728600000003
210,RbNdTe2,9.080775388
211,Re2SCl2,31.59956969
212,K2Ge2PbS6,5.049261679
213,Al2CdTe4,6.582519209
214,ZnGeO3,6.62e-06
215,TeW2Se2S,4.354529642
216,Ag2H3IO6,33.19700482
217,RbLiMoO4,3.123704657
218,ErSF,14.82038629
219,Sr2PbO4,6.529009798
220,InAgO2,9.574924824
221,V2Te2O7F2,15.53161498
222,Ta2Tl3Cu3S8,14.681385999999998
223,Cd(GaO2)2,1.10583021
224,YCuO2,3.062069933
225,Mg2FeH6,30.57164383
226,Mo2W(Se2S)2,33.80556295
227,Ho2TiO5,0.711926981
228,LaWN3,8.973591329
229,SrPdF4,24.41333936
230,SrGaSiH,14.74864309
231,Rb2TaCuS4,8.761707074
232,K4BeP,3.4640307580000003
233,Li2AlVO4,4.585765859
234,KLiSi2O5,2.634266636
235,Se2NCl3,33.71477289
236,TiBeZn,0.001646418
237,InAsF6,8.904135859
238,ZnH4(ClO3)2,2.4e-17
239,PtF4,29.47075515
240,Tl6TeO6,16.25200186
241,Sm2ZnS4,12.68247515
242,Ta3SBr7,33.80301098
243,TlInCl3,6.311348112
244,Mg2H6Ru,3.128442667
245,LuBr3,5.71e-07
246,CS2NClO2,3.13633776
247,Y(AgCl2)3,6.31e-15
248,Ti3Zn2O8,10.00219444
249,Er2Pt2O7,17.12586062
250,Sm2Ti3(BiO)2,6.208264709
251,Rb3Ir,14.99042165
252,KAuN2,26.63112696
253,KOsF6,4.726481501
254,Nd5AgSe8,16.65941273
255,H2W2O7,12.58351242
256,Sr3P4,28.44040678
257,SrGaSnH,18.61090944
258,LiErS2,0.297564047
259,Mo2H2O7,7.481760952
260,K2Ag2SnSe4,26.14792874
261,Cr2OF2,17.55039039
262,NaB5,19.19210254
263,DySI,2.330638646
264,NaAlTe2,14.21061973
265,Sm2PbS4,5.589399617000001
266,Ca2HN,6.1302368839999986
267,Sr3Sb2,16.95558782
268,PbI2,3.209368842
269,Sr3As2,16.31940087
270,RbBiS2,9.208794379
271,GaI3,5.615228015
272,LiSmS2,30.44339017
273,MgTi4O9,5.313869621
274,CuAs2Pb6Cl7O6,6.393060666
275,Rb2U3(IO5)4,21.90662691
276,BiI,29.99371642
277,HoVO4,2.292838468
278,DyBi2BrO4,1.940576783
279,Rb2PbO3,15.72489196
280,Ba2TbBiO6,13.51912411
281,Li2CeN2,26.69624806
282,Rb4I2O,19.17316417
283,Zn(InSe2)2,20.81788335
284,VPbClO3,13.53212587
285,As4S5,7.271042676
286,Sr2LiIn,0.48931015
287,BiTeBr,25.16657414
288,Ba3Sb2,16.85811668
289,LiGaSe2,1.625748887
290,HoHSe,4.5805332430000005
291,MgSn2O5,1.655479146
292,NaTl2RhF6,24.3466234
293,BaCeO3,22.31966199
294,IF7,13.40092463
295,Hg2SeO4,6.396373587999999
296,Te2Mo3(SeS)2,0.99921462
297,ZrGeRu2,0.098121382
298,H4N2O3,5.43698042
299,LuTlSe2,4.154416845
300,K2SbAu,26.5908011
301,RbAuO2,18.99696889
302,Sn(HgSe2)2,33.38669602
303,Na2UO4,15.80716164
304,InTeCl,10.53225225
305,HoBr3,0.026325448
306,Li4Ca2Mg(SiN3)2,3.47e-14
307,Rb2ZrCl6,0.014610884
308,CaGaSiH,11.00052234
309,CaPS3,0.047383034
310,TmBi2IO4,2.320120198
311,Er(BiO2)3,1.065617055
312,CoH9(CN2)3,29.92781841
313,KV(CuS2)2,29.09152097
314,Na3LiP2O7,14.02105218
315,YNiSb,1.207500096
316,RbIO4,0.196438611
317,CaTiO3,5.194791808
318,SrC2,3.2139099
319,YVF5,3.364556535
320,Li8TiS6,33.60974949
321,AsS2NF6,8.982622497000001
322,KSnAs,33.98110225
323,HgPbF6,3.620232792
324,TaCu3Te4,19.7620213
325,TaO2F,0.715758048
326,Ba(InTe2)2,17.80541294
327,PrAlO3,0.002203615
328,LiTl2InF6,30.97823498
329,Li3AsO4,1.608340705
330,AlH3,0.07799824799999999
331,Rh(OF3)2,24.24215602
332,Ag3SI,7.996884385
333,K3AuO,25.50760281
334,Dy5AgS8,9.166171246000001
335,ZnSnAs2,26.38266257
336,Rb2TiCl6,12.10636853
337,SbF4,1.5891261630000002
338,TlGaO2,2.915937516
339,Ta(ICl)2,31.79714551
340,Sb2O3,6.981822115
341,LiBeH3,0.104553516
342,InPS4,0.340926675
343,Ca3BiAs,5.841769454
344,SrAuO2,21.49703414
345,Li4H3BrO3,0.511416126
346,NaBi2AuO5,22.53673583
347,RuCl(OF3)2,14.03733264
348,GaCuCl4,17.48473656
349,InCuS2,23.72352756
350,ScTlTe2,1.003862247
351,Ca2Sn,31.64600519
352,GaN,0.711642254
353,NaFe2O3,0.078317611
354,NaLuS2,1.23e-08
355,BaZrSe3,4.587158462
356,NaAuO2,13.73227674
357,K3Ag3As2,28.44350604
358,NaAuO2,16.16809468
359,FeN3ClO3,24.3906218
360,PbCl2,2.49e-17
361,Ge2O3,0.468763404
362,NaGe2N3,0.057088653
363,YbSe,8.53e-06
364,Ca2SnS4,0.8387496059999999
365,SbSI,28.21566312
366,KLiZnO2,5.71e-07
367,SnC,33.23896696
368,LiAuF4,33.60086429
369,Ba3In2O6,2.721165698
370,TbI3,11.31747982
371,Ta2I5,11.93951947
372,KCO2,9.84e-05
373,Ca3BiN,31.48425231
374,HoPbAu,5.841769454
375,LuAgS2,1.446789339
376,Na2TiSiO5,0.282869724
377,KYGeS4,2.738784805
378,BaHg2(ClO)2,4.2191719339999985
379,SeI2,28.67812699
380,HgF2,1.5835060769999998
381,Ca3(AlAs2)2,24.06557828
382,Hg2GeSe4,33.52186064
383,Zn(InTe2)2,27.07485646
384,MgB9N,21.78912926
385,MnAlAu2,0.275583619
386,Ta3O7F,0.001443209
387,BaSm2PdO5,17.92435565
388,Mg(BeP)2,0.885807763
389,UCd2O5,18.60004555
390,Si2B2O5,22.74145389
391,K2AgBi,23.11204601
392,K2HgO2,1.850559199
393,CuCN,5.704389471
394,PPbS3,4.081221115
395,Ca2PI,12.97798076
396,PrCuSO,6.674668365
397,PrPtF7,10.99174812
398,Tl3Ga9S3O2,2.834928892
399,K2P2Pd,33.11777164
400,Th2HN3,9.806880065
401,K2Te,0.01917362
402,K2Pd3S4,27.81169026
403,CoSiH2(OF)6,11.14579954
404,ZrFeTe,17.24607075
405,Li3BO3,14.02328084
406,PtI2,32.59709036
407,SrHgO2,1.705556964
408,BeGeAs2,21.12868321
409,Ge(PbS2)2,6.72991781
410,YP5,13.31856667
411,CuCl,31.01585052
412,NdTlTe2,15.13703138
413,NaNdTiO4,5.240864355
414,SnS,19.84145147
415,PPdSe,18.49116194
416,USeO5,18.26385436
417,KNbO3,2.061197716
418,ZnPdF6,29.25596752
419,Li8CoO5F,2.670931412
420,Li8IrO6,1.953235626
421,TlPS3,13.29376025
422,NaLi5N2,0.6274322170000001
423,Na2CrF4,12.70626002
424,BaHfS3,16.72336477
425,Pb(ClO2)2,0.930394667
426,CdSb2Se3Br2,27.88179764
427,LiAg2F4,1.267414445
428,Rb4CO4,5.69e-07
429,Li2CeAs2,19.11521043
430,BaS2,10.89324885
431,KNdGeS4,2.4753981
432,CaTe,19.09031974
433,MgMoN2,14.65921832
434,LiTlO2,11.75818468
435,Li2PNO2,6.032024162000001
436,AlVPt,5.841769454
437,PPbSe3,12.7548022
438,CaPtO3,30.76983579
439,K3Al2As3,14.96764954
440,Sb2Os,15.53780181
441,Pr2CdS4,8.688652464
442,Ba3Bi2,5.841769454
443,Ta2Zn2SnO8,2.414920419
444,SrLiP,18.08746902
445,Sr(GaTe2)2,19.15615899
446,KAuC2,3.869578457
447,Sb4I2O5,2.642164166
448,GaSeBr7,4.612774718
449,SrMgGe,7.102726455
450,Hg2P2S7,5.920639655
451,CuSnH2(NO3)2,21.21306917
452,Mg(BeAs)2,1.7394829790000002
453,Rb2B2Se7,6.347880438
454,Rb2BrCl6F,33.46257156
455,Yb4Sb2O,24.33527128
456,H4INO4,0.445094472
457,Rb2TeI6,18.4750482
458,SmBi2ClO4,3.875069161
459,Li2VGa3O8,11.98060648
460,Lu2MgS4,5.0075503
461,Li(CN)2,27.36452721
462,RbNaTiO3,0.038398857
463,Ba2CaI6,4.77e-21
464,K3GeSe3,5.658028119
465,Na3BS3,0.030066576
466,LiMoIO6,24.98997073
467,PbCClO2,0.024236997000000003
468,Rb2LiDyBr6,28.84030645
469,ZrInAu,16.887751
470,Ca3(GaN2)2,1.160193624
471,Ba2BrN,20.92262224
472,Ca(InTe2)2,21.05597019
473,TlIO3,0.07982141400000001
474,Te2O5,5.9168884460000015
475,BaNd2PtO5,6.175437577
476,SrLi2Nb2O7,7.851860367
477,Ca(AuF)2,27.3228278
478,KLiSO4,26.05331312
479,NbAlRu2,0.731132855
480,BrCl,5.151828708
481,LiNi(CO3)2,5.063848084
482,BaTe2,15.68355469
483,Zr(PS3)2,17.16224349
484,LiBr,0.431432519
485,ErTlS2,1.368802347
486,LiV(PO3)3,5.287965094
487,HoTaO4,0.003292986
488,LuVO4,2.515406554
489,IrF6,3.881560512
490,VZnF6,3.531363364
491,NaP,27.86923566
492,K2LiAlP2,3.23725502
493,Au2S,10.26489364
494,MgSnAs2,33.23896696
495,Li3Al(BO3)2,12.43662594
496,Rb2NaMoF6,3.258254009
497,TlBiP2S7,6.201104387999999
498,BaLiF3,4.2700000000000015e-05
499,KPrTe4,12.96374409
500,Ba4Tb2Cd3,8.120239016000001
501,KMgSb,23.15108482
502,LiAsO3,14.204893900000002
503,NaSr2AlP3,32.13557995
504,Mg2Ni3O8,15.08759811
505,KYSn,33.75422556
506,Zn(CO2)2,1.8e-15
507,Sm3BWO9,1.78e-15
508,KAuS,1.041744964
509,MgTe2,28.36282186
510,NbCu3Te4,24.47780848
511,CeZrO4,29.08460782
512,Dy2TeO2,1.985797165
513,CrSi2,3.114898843
514,Hg2IO,23.42046998
515,ErI3,11.52417059
516,PrN,22.59672154
517,Li3Nb3TeO2,7.628856027999999
518,PrBi2ClO4,4.679452513999999
519,Pr2SeO2,0.0008249560000000001
520,InGaO3,0.890877582
521,MgTi3O7,1.4448785780000002
522,BaSrO2,0.144168623
523,Rb2SnSe3,7.839454511
524,Na3BrO,0.016710055
525,Na2LiN,19.33268001
526,KZnAs,30.480285
527,Na3CuO2,20.47715306
528,SmCuO3,0.077366435
529,SiS,31.57941707
530,U(SbO3)2,31.36220848
531,LiAsS2,25.97076282
532,RbInTe2,16.79071401
533,GaCuSe2,33.81127379
534,NaFeO2,1.994820938
535,P3BrCl4,15.75661817
536,K3VSO3,1.589242934
537,Li7NbO6,1.01e-10
538,CdSnSb2,5.841769454
539,Tl2MoO4,0.7923305979999999
540,NaHoS2,0.01524513
541,LiGa(MoO4)2,16.02595317
542,Na2H4Pd,5.204929703
543,Hg2MoO4,12.80195792
544,SCl,0.754389671
545,PdI2,25.3509095
546,Cd2Bi6O,13.12946693
547,PdF4,30.45255639
548,CdBiSe2I,23.72270695
549,CrSiO5,30.40404642
550,Sb2S3,22.83084495
551,HfBrN,2.617432097
552,Tm2S3,24.78620728
553,LiB6C,15.98784534
554,ZrCoBi,14.62705534
555,BiClO,9.609999999999998e-11
556,K2AgP,19.73128295
557,CaNiF6,31.0462262
558,Na3AgS2,0.622994707
559,RbTbSe2,0.706283668
560,Tm2TeO2,24.83199762
561,Li2TiSiO5,26.63002535
562,K3GeS3,0.538256029
563,HgCl,0.2442384410000001
564,Zn(AgO2)2,16.58291478
565,SrP3,31.13770661
566,PtCl2,31.90763632
567,ZnCdS2,6.1362495710000005
568,Sc3InC,2.245024366
569,Zn2Bi2O5,13.05768661
570,NaBiF6,1.4515305669999998
571,TlAgSe,33.46818921
572,U(HO2)2,10.49640183
573,AcH2,30.97660369
574,Li6I3N,0.42099383
575,LiTeHO4,25.27402084
576,LiFe5O8,4.12616025
577,NaGaTe2,26.73544546
578,Y2TeO2,2.383023277
579,Ca4As2O,21.41543594
580,Th2SN2,10.64756271
581,V2ZnO6,12.00027071
582,InPbCl3,0.3750109820000001
583,Ba2Ga2O5,6.152499912000001
584,Ti(SiO3)2,0.512493035
585,ThNCl,1.974539209
586,K3MoF6,3.738696867
587,AsCl3O,0.95660373
588,KAg2SbS4,25.60132479
589,TaBi3O7,1.956326614
590,Ag3SI,17.83213326
591,LiMgBi,33.43473613
592,AgAsO3,31.76117193
593,Sr(CdSb)2,15.85347553
594,SnO,1.69801685
595,CaPbI4,0.68643816
596,Na3As,32.30782855
597,DyCuSeO,16.54153205
598,MoW3(Se3S)2,5.422456627000001
599,Mg2Sn3O8,2.07e-06
600,LiAgF2,0.147987251
601,XeO3,17.93998539
602,TaTl3Se4,9.423355713
603,SnF3,0.004066129
604,KSbS2,13.64240415
605,Li6V(OF)3,4.298440976
606,GaPS4,3.072837335
607,NbI2O,27.08610328
608,LiNO3,21.63383425
609,NbFeSb,12.81378682
610,Tb3CuGeS7,14.82038629
611,Ba3P2,27.5207843
612,AlVF5,20.06826799
613,ZrPbO3,4.17e-05
614,H8(NO2)3,14.4991343
615,RbAuS,1.542520065
616,MoWSe4,33.25699428
617,Nd3SiAgS7,8.335941273
618,Ti2MnIn,5.841769454
619,AuSeClO3,25.47920095
620,ZnSe,9.436553125
621,KTiPCO7,6.38072998
622,Rb2H4Pt,0.121325559
623,Na2PdS2,21.98310953
624,TlF,3.028906066
625,PbS,33.38011014
626,Na3VH6O7,2.92e-11
627,HfS3,23.99849489
628,TiO2,17.58339869
629,TeMoS,3.714904699
630,Li7VN4,12.37946212
631,K2NaAlAs2,7.409256991
632,Ba2NF,32.38315417
633,Te3As2,14.07312234
634,Nd3Si2S8Br,1.564459873
635,LiCuF3,3.131380338
636,ZrSiPt,15.07751502
637,Ga2TeO6,19.32785235
638,AlAgO2,11.19708352
639,Te2MoW2(SeS)2,5.849813941
640,Ba2DyNbO6,0.665777639
641,Bi2SeO2,12.3449332
642,Sr3N2,33.81743976
643,Na3UF8,1.3014033390000002
644,CaWN3,32.08929004
645,CaC2(SN)2,5.489999999999999e-25
646,Ag2HgI4,26.27759302
647,NbAlFe2,3.936203
648,AcI3,4.0536729939999985
649,Ca(MgAs)2,7.527355525
650,Sr4PdO6,27.3247407
651,NaPrS2,5.079166316
652,TlN,5.841769454
653,In2HgSe4,30.38038595
654,HoTlS2,1.678756947
655,Ba2NdBiO6,14.62437312
656,TmI3,8.05428233
657,Te2Mo3WS6,13.85991243
658,Na2ZnSe2,0.909650466
659,AlAgS2,3.095906254
660,SnH8(CI)4,0.0052518880000000006
661,NaAuF4,14.82038629
662,SrNiF6,24.82447079
663,K2PdF4,32.03670478
664,KTeAu,5.606869446
665,NbTeCl9,11.20727415
666,Na2CuAs,16.72205588
667,Cd(AsO3)2,0.091271902
668,Sm6Si4S7,2.530817866
669,Ba2SbAu,22.63510201
670,TmSbPd,10.85921963
671,ZnI2,2.600084348
672,Li4H6Os,3.463416688
673,Ca5W(N2O)2,1.5722181469999998
674,Sr(ZnAs)2,33.63422658
675,TiPbO3,28.83226744
676,Rb2MnF6,5.4659307639999986
677,Bi2SeO6,0.044708662
678,K2S,2.7300000000000003e-12
679,Li8Ni(O2F)2,15.05181266
680,Ba2H3I,2.53695851
681,TlBS2,7.424526244
682,KLiCO3,9.649703072000001
683,Rb2PbCl6,22.52466611
684,ScTaRu2,0.495705999
685,CrCdF6,4.617289411000001
686,K2NaTiOF5,2.93e-11
687,ZrSeO,32.15205373
688,KSb2,22.38319939
689,Na2V2ZnO7,2.243833606
690,LiCo(CO)4,24.28021374
691,Mg(PtO2)3,23.18478883
692,TiSnPt,20.3500161
693,K2PbO3,12.4776251
694,SnI2,17.39717781
695,Sr2HN,4.73688276
696,BaMo4(PO3)2,16.43894033
697,Mg2Al2Se5,16.88226347
698,CaBiAsO6,26.32595043
699,Si2Hg6O7,13.16047315
700,K2AgAs,19.23334346
701,GeClF,0.029575827
702,Tl4SiS4,6.574515319
703,K2NpO4,17.91106985
704,BeTe,1.4199999999999998e-12
705,Hg2SeO3,6.315443419
706,SrH2,0.000124844
707,KHo2CuS4,32.0668509
708,Mg(AuF4)2,14.5816499
709,Zn(GaS2)2,1.822885756
710,TlInTe2,24.52817466
711,Nd3PbC,0.900223958
712,Ga2HgS4,6.674668365
713,RbBS3,1.092504907
714,Si3As4,29.39307612
715,Li4TiS4,3.772624623
716,NaYS2,0.230753567
717,NaSmTe2,5.832143216
718,CuBiSCl2,19.52437263
719,NbAlO4,0.000475651
720,Sr3DyRhO6,19.55833814
721,Li3Sb,4.58452145
722,AlAgTe2,23.09568553
723,BaTi(BO3)2,16.30046459
724,Sr(AlTe2)2,12.1869555
725,BaVClO3,10.75162827
726,YNbO4,6.03e-09
727,Na2Zn3S4,0.000185603
728,LiHoSe2,1.347163752
729,Hf3N4,10.8479346
730,KCrP2S7,1.541197448
731,NdBiPd,0.777266087
732,TmBiO3,0.006334365
733,WBr6,33.82769582
734,RbCd(NO2)3,0.999950343
735,Li3VO3F2,4.942456798
736,NClOF4,4.73669705
737,NaDySe2,0.915411998
738,InHO2,0.15019955
739,LuBi2BrO4,1.562754942
740,HgSO4,0.334432519
741,KO3,21.57006343
742,ThSO,27.45635105
743,Pb3O4,15.51240211
744,TlSbS2,23.60661741
745,Si2Mo,8.638132339
746,SmH2,2.110038736
747,NbCl3O,6.17320561
748,LiAsO3,6.844203314
749,NdTe2BrO5,0.000622653
750,Ba2YBr7,0.35577568600000004
751,Ba2BiSbO6,0.393705735
752,RbHoS2,0.000804745
753,Y3CuSiS7,15.83837144
754,Li2MgCu2(Si2O)2,4.156423018
755,RbSmTe2,6.63391754
756,KLiSO4,26.19928132
757,Pd(Se3Cl)2,29.58282434
758,Hg2P3Cl,12.90579946
759,In2S3,13.25799933
760,SnS2,7.125440871
761,K3ClO,0.8380476729999999
762,SrS,4.03463432
763,KP2AuS7,22.55773355
764,KNdPdO3,11.10717387
765,VFeSb,4.044794474
766,MgIn2O4,0.17796038100000006
767,Ti2Al2O7,33.086762
768,Ba2MgUO6,16.39914615
769,S(IO3)2,1.485409721
770,Li4CuSi2O7,5.460554611
771,Rb7Au5O2,16.76110126
772,Te2I,17.348290300000002
773,TlCl,0.259827605
774,Ca2PbO4,5.067734864
775,InOF,0.6484784379999999
776,Tl2TeCl6,3.079511347
777,Mg(RhO2)2,33.41180841
778,KPrS2,0.703199192
779,RbAu,8.47653182
780,BaU(SiO4)2,11.32526391
781,RbNO3,3.6000000000000003e-16
782,CuH6(NO)4,24.16791648
783,ScCuO2,10.85584546
784,LiSiBi3O7,2.309837084
785,ZrSe2,9.017737486
786,Li8SbS6,31.28090051
787,TmTlTe2,10.11446213
788,LiIn(I2O)2,21.76125237
789,K2AsAuS4,28.75080532
790,Rb3BS3,0.00934255
791,Rb2As3,25.63394726
792,Sn3As4,31.82041783
793,BaTiF6,1.62e-08
794,HgI2,7.147059252000001
795,NiCO3,4.643028282
796,KCuC2,8.688740489
797,InSb2S4Cl,17.62606581
798,NbO2F,18.20104393
799,BiI,31.80514918
800,Li4NpO5,13.41817962
801,CaTcN3,12.92948882
802,K3AsSe3,2.571455557
803,Na2ZnS2,1.05e-10
804,Na2Ti2O5,0.8554963
805,MgSnP2,18.35218753
806,AgCO2,8.110082967
807,PbO,1.13840098
808,Ba3Ti2O7,10.31008911
809,Ho2CdS4,13.22342242
810,AcN,14.25638844
811,SmBS3,2.156107799
812,SbS2NF6,7.20084603
813,RbCaSb,15.21687415
814,LiAuF6,24.23107625
815,AgSbS2,29.23752887
816,MgSiP2,17.93228614
817,AlPS4,1.415339243
818,Ca3Pb,4.684915039
819,K4V2O7,0.632092933
820,CuBi(WO4)2,20.7518484
821,KAu(I2O)2,13.04776508
822,Al2CdS4,1.715336671
823,Li7BiO6,9.331381908
824,Ba2BiAu,21.5586086
825,SbS8Cl3,0.7991100240000001
826,YAuO2,0.497997604
827,Zn2Ni3O8,17.90154392
828,K2Pb2O3,3.267818255
829,TlI,3.94704203
830,Bi2SeO5,6.26e-09
831,NaTbS2,0.07200923099999999
832,SbClF8,0.01232857
833,NbAlPt,0.386649098
834,LiC,1.822885756
835,HoBi2IO4,2.685306483
836,Mg2H6Os,0.7213591020000001
837,AuO2F,25.07652306
838,RbV(IO4)2,2.459598
839,K3IO,7.516811837
840,KV(CuSe2)2,27.91904371
841,Rb2LiVO4,0.053509725
842,CaHN,0.480625411
843,Al2Os,4.33599656
844,GaAs,33.63780456
845,Yb3SiO,5.841769454
846,AuCl3,23.83371257
847,ThTaN3,26.21041161
848,Sr2Sb2O7,4.624255382
849,K4Ru2O,23.42952034
850,Ho2S3,1.045715835
851,Li2ZrTeO6,5.81344774
852,BiI3,5.352028837
853,Bi2Se3,32.28275542
854,ZnGeO3,0.34886481
855,HfZrO4,8.18e-10
856,Li3CuSbO5,8.862793952999999
857,LiAs,22.09878498
858,Bi2WO6,1.5204624880000002
859,MgPSe3,6.392262051
