,pretty_comp,optb88vdw_bandgap
224,CePmTl2,0.0
225,ZrAl3,0.0
226,LuIr2,0.0
227,RbSeBr3,1.6052
228,BeNb2Fe,0.0
229,TmGe2,0.0
230,La2ZrBe,0.0
231,SrBeGe,0.0
232,Dy3SnC,0.0
233,CaCrF6,0.0
234,VCdAgO4,1.9619
235,KTa(AgSe2)2,1.6597
236,Ca(GaS2)2,2.7073
237,DySb2,0.0
238,DyBiRh,0.0
239,K2SrCdSb2,0.38299999999999995
240,KTaO3,2.2284
241,Li2CoCl4,0.0
242,KF,6.4609
243,SrAgO3,0.0
244,YPb2,0.0
245,LuUO3,0.0
246,Sr2FeBrO3,0.0
247,Li2TeO3,3.942
248,Be2PtAu,0.0
249,BaNaTe,0.0
250,ZrV2,0.0
251,BaCuTe2O7,0.0
252,Ba4BiSb,0.0
253,CeSiO4,1.7163
254,PmCdRh2,0.0
255,RbBi,0.0
256,Sb2S3,1.318
257,Fe5SiB2,0.0
258,KVP2S7,0.0
259,CdCo2As,0.0
260,YbRh,0.0
261,CdTcAs,0.0
262,PuPt2,0.0
263,AlFeO3,0.0
264,HgBrN,0.0
265,CaBeCu2,0.0
266,TiAl3,0.0
267,TmP5,0.3116
268,CaTiF5,0.1632
269,Be2CrPt,0.0
270,CrNi3,0.0
271,AsH6NO4,4.3014
272,Cu4Si2NiS7,0.0
273,YbCo3B2,0.0
274,Sb3Rh,0.0
275,HfCuHg2,0.0
276,LiTi2Ir,0.0
277,Be2VHg,0.0
278,CaNdHg2,0.0
279,ThB4Mo,0.0
280,K(SnAu)3,0.0
281,DyInRh2,0.0
282,BaYCuWO5,0.0
283,LiGa(MoO4)2,3.4389
284,ScHgAu2,0.0
285,Ba4CrRe,0.0
286,Nd5AgS8,1.5984
287,In6TeO2,1.247
288,BaSnF6,5.2211
289,Th(GeOs)2,0.0
290,Ba4TlCu,0.0
291,BaMg(AgO2)4,0.0
292,MoF6,4.1506
293,ScCu2,0.0
294,VCrO4,0.0
295,SrCa(CO3)2,4.9267
296,Li4VFe3O8,0.0
297,BeNb2Ir,0.0
298,AlCrF5,0.0
299,RbH,2.9705
300,Ba4PRh,0.0
301,Zr3NiO,0.0
302,VSi2As,0.0
303,CeAs,0.0
304,LiBe2Tc,0.0
305,CaMn(GeO3)2,0.3789
306,CaTmCd2,0.0
307,TiBe2Os,0.0
308,CaBeIr2,0.0
309,VFeSb,0.5141
310,GePbS3,1.6579
311,TbSi2Rh3,0.0
312,YZn,0.0
313,Fe2CuGe2,0.0
314,Ba4TlCo,0.0
315,Rb3CuO2,1.6557
316,B3C2,0.0
317,TbMgHg2,0.0
318,CoMo,0.0
319,BeNbCu2,0.0
320,Ho2CuPd,0.0
321,SmSeClO3,4.3956
322,BaScGe2,0.0
323,Ni(NF2)2,1.6538
324,CaBePt2,0.0
325,Cd3SiO5,1.1253
326,Tl(Cu3S2)2,0.0
327,Y2SeO2,2.3286
328,Ba3Al3Ga2,0.0
329,HfCdAu2,0.0
330,BePBr,0.0
331,NaTaBe,0.0
332,K2NiF6,1.5348
333,Li2Fe5O5F7,0.0
334,Mo3P,0.0
335,U(PdS2)2,0.0
336,BeFe2Mo,0.0
337,Zn(CN)2,5.8964
338,UTeN,0.0
339,KTcO3,0.0
340,VCuO2,0.0
341,Na2Mg(CO3)2,4.5782
342,Sm2Ge5Ru3,0.0
343,Tm2Zr2O7,2.4957
344,ScBeTc2,0.0
345,Li2PmGe,0.0
346,Li2CeSb2,0.0
347,NaZnP,0.8346
348,BaCrIn,0.0
349,KUCuS3,0.0
350,CaYRh2,0.0
351,Li2UO4,2.2214
352,Yb(NdS2)2,2.0631
353,MgCo2S5,0.0
354,MgSiN2,3.7015
355,AlAgSe2,1.2191
356,TiSiPt,0.9698
357,CaBeSi2,0.0
358,SmGePt,0.0
359,Na2BeBr,0.0
360,TiZn(GeO3)2,2.0741
361,BaAlCuSnO5,0.0
362,Ba4NaSi,0.0
363,Li3Al,0.0
364,Tb3CuGeS7,1.7365
365,MnSbPt,0.0
366,U3Si,0.0
367,HoClO,5.2077
368,Zn(AgO2)2,0.4139
369,Er(HO)3,3.8085
370,LiNiF3,0.0
371,ErFe4B,0.0
372,Ca3GeO,0.0
373,NdF3,5.6229
374,NaVO2,0.0
375,BeTl2Cl,0.0
376,H2S,3.1514
377,NbAs,0.0
378,ZnSn2O5,1.0459
379,ZnF2,3.7701
380,YbAsO4,0.0
381,Cu2WS4,0.7872
382,Mg(CrS2)2,0.8981
383,Ba4SrCo,0.0
384,NiAsPd,0.0
385,NaAl3,0.0
386,Li7Ni5O2,0.0
387,SrCaSn,0.3217
388,YCdHg2,0.0
389,MnBe2Tc,0.0
390,Be2PtRh,0.0
391,BaCaMn4O8,0.0
392,BaTh3,0.0
393,ScNi2,0.0
394,ThB2Ru3,0.0
395,MnZnF6,1.9631
396,MgBeSi2,0.0
397,CaBe2Rh,0.0
398,K3Nb,0.0
399,RbErS2,2.3579
400,KBe2Sn,0.0
401,Li5Nb2Fe3,0.0
402,Cr2AgBiO8,1.3019
403,HfAs2,0.0
404,KRb2MoF6,1.9048
405,Ba2Si,0.0
406,Hf2CuGe4,0.0
407,Zn(CoS2)2,0.5814
408,MgVRu2,0.0
409,Li5Fe5(CoO)2,0.0
410,Y(SiIr)2,0.0
411,ScB4Os3,0.0
412,Sc2TcPt,0.0
413,Be2NbP,0.0
414,AgSbPd2,0.0
415,PrAsO4,3.9595
416,Li(FeO2)2,0.0
417,Be2Pt,0.0
418,Dy2CdSe4,0.5924
419,TbYRh2,0.0
420,BiTePd,0.0
421,Cu2GeS3,0.0
422,Li2SnIr,0.0
423,Ba4CaP,0.0
424,CeSi2Ir3,0.0
425,Ba2NaGa,0.0
426,Ba(BrO3)2,4.284
427,AlBr4,0.0
428,K2BeTl,0.0
429,Ho2NiAs2,0.0
430,ZrSnPd2,0.0
431,NaAgO,1.3858
432,NdCo2,0.0
433,BaAg2,0.0
434,BaAlGe,0.0
435,Be2Ag,0.0
436,BeReMo,0.0
437,LiCu3F7,0.0
438,Sr(GaAu)2,0.0
439,Ti2BeSn,0.0
440,HfGa3,0.0
441,Mg2BeFe,0.0
442,SrCaPb,0.39299999999999996
443,SrAl2B2O7,4.7263
444,K2NaGaP2,1.4397
445,NaRu3,0.0
446,ClO3,1.2206
447,Co5BiO2,0.0
448,NdTa3O9,3.3666
449,CaCr4O8,0.0
450,CaZnF4,5.4152
451,ThS,0.0
452,PmDy3,0.0
453,Ba9(NdS)2,2.1523
454,RbMgPO4,4.7755
455,NdCd2,0.0
456,BeRe2Bi,0.0
457,BaZn2Os,0.0
458,BaIrO3,0.0
459,KBeRu2,0.0
460,Ba(MgAs)2,1.1520000000000001
461,MgSn2O5,1.5992
462,KMn(SeO4)2,0.6522
463,Nd3Mg,0.0
464,Ti2MnIn,0.0
465,BeNi4P,0.0
466,UCo4Sn,0.0
467,Tb(CoSi)2,0.0
468,Th2Cu,0.0
469,Zn(MoO)6,0.0
470,K2ZnBr4,3.6819
471,Tl3AsO4,2.5815
472,Tb(CuS)2,0.0
473,Sc2GaRu,0.0
474,Rb3Ca,0.0
475,FePt3,0.0
476,EuIO,3.6446
477,Ba4SnSb,0.0
478,BaThBr6,2.8523
479,Li5Ti3O8,0.0
480,TbPb3,0.0
481,Dy2Be2GeO7,4.6009
482,K2SnO2,1.7789
483,MoAsW2,0.0
484,YP,0.0
485,RbCd4As3,0.0
486,Ba4IrW,0.0
487,K2Be2Co,0.0
488,Li2Mn(NiO3)2,0.0
489,Zr2ZnPt,0.0
490,DyGa2,0.0
491,KDyS2,2.3391
492,Rb2U3(IO5)4,2.1218
493,Na2VBAsO7,0.0901
494,Al4Cu2O7,0.0
495,MnNi2Ge,0.0
496,MgBeCu4,0.0
497,Pr2TlAg,0.0
498,YbFe2,0.0
499,K2SrV4O2,2.8306
500,Ca2BeBr,0.0
501,SbBrO,1.6989
502,Ba4HgOs,0.0
503,Sm3OsO7,0.0
504,ZrVGe,0.0
505,K2CuP,1.2482
506,Mg2BeNb,0.0
507,Ba2N,0.0
508,CoCuO2,0.6258
509,ErTlPd,0.0
510,Sr5P3O2F,5.6115
511,ScCuO2,2.4683
512,LiAlH4,4.2371
513,Hg2Rh,0.0
514,MgO,2.9944
515,TiInRh2,0.0
516,TbI3,1.6908
517,Tm2CdS4,1.1554
518,Pu3Sc,0.0
519,HPd,0.0
520,ErPt2,0.0
521,Nb4FeSi,0.0
522,TbTlPd,0.0
523,LiRhO2,1.5034
524,Ag3P,0.0
525,ScCrC2,0.0
526,NdCo9Si4,0.0
527,ZnPd3,0.0
528,YbAl3(B2O)2,0.0
529,SmZnIn,0.0
530,Th(CuSn)2,0.0
531,Li2MgTl,0.0
532,Ba4ReSb,0.0
533,TbMn2BiO6,0.0
534,PrRu2,0.0
535,TlAsRh,0.0
536,K7NbAs4,1.3187
537,Rb2LiInCl6,2.8517
538,SrTa4O,3.6193
539,LiCeSn,0.0
540,PuAl3,0.0
541,KCl,5.348
542,Li3Mn(CoO3)2,0.0
543,LuGeAu,0.0
544,UCuP2,0.0
545,La(MnSi)2,0.0
546,NbCo3O8,0.0
547,CaBeRu2,0.0
548,FeClO,0.0
549,BaLiIn,0.0
550,Ca2TlHg,0.0
551,Ba4CoBr,0.0
552,TiNiSb,0.0
553,BeTlIn2,0.0
554,BaTiF6,4.2841
555,Be2InTc,0.2858
556,YB6,0.0
557,PrSb3,0.0
558,Ba2CaTa,0.0
559,V3Si,0.0
560,Ba4GaPt,0.0
561,Ba2AlCu3O7,0.0
562,H2CO3,5.9416
563,Li4V3Ni3(WO3)2,0.0
564,Rb2ThF6,6.7545
565,AsSeBr,0.0
566,Mg(SbO2)2,0.0957
567,As2Se3,1.1358
568,B2Mo2Ru,0.0
569,Sr(NiSb)2,0.0
570,MnSnO3,0.0
571,Li3FeS3,0.0
572,LiMnPO4,2.0868
573,TlAu3,0.0
574,Sm2AlNO3,1.2319
575,Al2B2Ru3,0.0
576,HfZnO3,0.0
577,Y2TeO2,1.2354
578,CaCr2F2,0.0
579,YbCdPd2,0.0
580,Sn7Ir3,0.0
581,TaRu,0.0
582,Fe2B,0.0
583,Ga2Cu,0.0
584,BaIn2Pd,0.0
585,TaBeP2,0.0
586,KCrO2,0.0
587,TmAlCu,0.0
588,Sc2AlCu,0.0
589,NbPt,0.0
590,BeCdPb2,0.0
591,Sr6(RhO)5,0.0
592,GaAgO2,0.4541
593,Na5ReO6,2.3064
594,TiSnPd2,0.0
595,DySn3,0.0
596,AcGaTe2,0.5995
597,Li6WN4,1.7529
598,CaMgSi,0.0
599,Mg(AlH4)2,4.6643
600,Be2TlIr,0.0
601,Ba4P2O,0.9464
602,LiBeBO3,6.4989
603,YbBi2IO4,0.0
604,CaPmAu2,0.0
605,BaBrCl4,0.0
606,ErSeI,2.1941
607,K2NaAlAs2,1.2475
608,Ba4CoOs,0.0
609,U(CoP)2,0.0
610,BeInBi,0.0
611,BaAl4,0.0
612,Ca3(FeN2)2,0.0
613,Ba4CdPb,0.0
614,Na2MnAsCO7,0.3052
615,YNbRu2,0.0
616,NiSb2,0.0
617,B5Mo2,0.0
618,K3VSO3,2.9146
619,KNdGeS4,2.2719
620,Ba2VPb,0.0
621,HfPt3,0.0
622,Nd5AgSe8,1.4621
623,SmBi2BrO4,1.3685
624,PAuClF3,3.2509
625,KTe3O6F,3.107
626,NbSn2,0.0
627,ZrTi2Be,0.0
628,LiBePt2,0.0
629,LiNi(CO3)2,0.9358
630,CeSiRu,0.0
631,Mo3WS8,0.8579
632,ZrTlCdF7,5.1285
633,LuBr3,2.695
634,Ba4TlSi,0.0
635,ZrTe2,0.0
636,Mg3Sb2,0.2535
637,ZnCu2SnSe4,0.0
638,PrGaAu2,0.0
639,UO3,0.54
640,Sr2Fe2S2OF2,0.0
641,NdCd,0.0
642,Co2P,0.0
643,SmGaAu2,0.0
644,Li4Fe2TeWO2,0.0
645,Ag3SnP7,0.4472
646,CaCrF5,0.0
647,Sc2CuOs,0.0
648,Lu3BC3,0.0
649,WBr6,0.3401
650,ZrInPd2,0.0
651,NdRh,0.0
652,SrHIO,4.1168
653,Al3(Co10B3)2,0.0
654,BaZnP2,0.0
655,MnBeV2,0.0
656,Sc2CoRu,0.0
657,ZnRe2As,0.0
658,TbCuSn,0.0
659,PrMgTl2,0.0
660,Lu2AgOs,0.0
661,ReRh3,0.0
662,NaPrS2,1.9997
663,PrSbPt,0.0
664,Ho(GePd)2,0.0
665,TlV5Se8,0.0
666,Tb(SiRh)2,0.0
667,YSnAu,0.0
668,LiNiBO3,0.4427
669,Ba2SrNi,0.0
670,NaH2N,2.0595
671,CuAgO2,0.0
672,Re2O7,0.0
673,Ba3Si6N4O9,4.687
674,NdSiRu,0.0
675,ScTiRu2,0.0
676,BaLi2Cl,0.0
677,Sr(BIr)2,0.0
678,NdBPt2,0.0
679,SbCl4F,1.2156
680,Be2ReSb,0.0
681,Rb2Li2SiO4,4.3803
682,ScBeIn,0.0
683,ZrNi4Sn,0.0
684,Ni4W,0.0
685,Li2CaTa2O7,2.1717
686,LiTaBe,0.0
687,ErInRh2,0.0
688,MgCd,0.0
689,Ti2B,0.0
690,TaBe2Ni,0.0
691,KNd3,0.0
692,Sr4MgCo2(SO3)2,0.0
693,LuBi3,0.0
694,Y2Cl3,0.7059
695,MnTePd,0.0
696,Ba4HgIr,0.0
697,TiBeCu,0.0
698,Ho6FeSb2,0.0
699,SrAl4,0.0
700,Y4BeZn,0.0
701,Sr2CuTeO6,0.2466
702,SrBeIn2,0.0
703,Sc2GaTc,0.0
704,FeCo2Si,0.0
705,BePW,0.0
706,LiV6O7F5,0.0
707,Ba4CrCo,0.0
708,K3LiP2O7,5.3523
709,CrCdO4,2.0366
710,Hf2TcRu,0.0
711,MnCo3,0.0
712,SmMgIn,0.0
713,LiSi3Pd,0.0
714,Ta4FeP,0.0
715,Ni2Ge,0.0
716,DyMgIn,0.0
717,MgAgAs,0.0
718,SiSbPt5,0.0
719,BaNaB9O5,5.5613
720,DyScSb,0.0
721,ReAsIr2,0.0
722,Ba2TbIrO6,0.0
723,BaCoO2,0.0
724,TiZnF4,0.0
725,UAl2Cu,0.0
726,DyFe2,0.0
727,Y4Ga2Pd,0.0
728,P2Ru,0.5142
729,YbPmAu2,0.0
730,BeNi3,0.0
731,Li3Cr(CoO3)2,0.0
732,FeCu2Sn,0.0
733,KTbS2,2.369
734,Ho6WO2,0.4718
735,K2PaF7,4.3431
736,RbCoCl3,0.0
737,NaBiO3,1.0482
738,Ba2ZnPb,0.0
739,Be2NbSn2,0.0
740,Tl5Se2I,0.7734
741,LiCa2Sn,0.0
742,SrSbPt,0.0
743,Nd2SnS5,0.0
744,NaNdAu2,0.0
745,NaTcAs,0.0
746,PmMgZn2,0.0
747,FeAsS,0.6584
748,LiBeCd,0.0
749,LiV2O5,0.1429
750,Ba4GaSb,0.0
751,AlCoO3,0.0
752,Sm(SiNi)2,0.0
753,CaGe2,0.0
754,CaGa2,0.0
755,BeTlCr,0.0
756,TiBePt2,0.0
757,Te3Mo2S,0.2656
758,Li3AuS2,2.1259
759,AgPbO2,0.2025
760,YbZn2,0.0
761,BaCu2Ir,0.0
762,BaPb2C2(O3F)2,4.2332
763,K2RbAs,0.8548
764,Hg(AuF4)2,1.7227
765,BeCd4Mo,0.0
766,BeCdOs2,0.0
767,Ba2TiCl,0.0
768,Li2CrNi(PO4)2,0.0
769,BaInCl,0.0
770,Mg2Si,0.0
771,HfMgHg2,0.0
772,YInPt2,0.0
773,USnAu2,0.0
774,Mn2BeCl,0.0
775,TiBe2Sn,0.0
776,Er2Mo2C3,0.0
777,Li2VCo3O8,0.3382
778,SrZrCo,0.0
779,Nb3N5,0.7465
780,YBe2Cu,0.0
781,CsCeS2,0.0
782,NaBeV2,0.0
783,Pr2S3,0.8149
784,Li6PS5Br,2.116
785,Ce3Zn,0.0
786,NaAuC2,1.5238
787,Ba4ZrGa,0.0
788,TiGePd,0.0
789,LiBeV2,0.0
790,N2O5,0.9314
791,HoNi2,0.0
792,Tm2CuOs,0.0
793,BaGa2B2O7,4.2093
794,BePSe,0.0
795,NaLi2B(PO4)2,6.2051
796,YbLuPt2,0.0
797,Na2Se,2.1726
798,AcMg5,0.0
799,MoW(SeS)2,0.644
800,B2S3,1.3311
801,ScAl2,0.0
802,Sr4As2O,1.2211
803,BeBiPt,0.0
804,Li2CrCoO4,0.0
805,AsCl3O,2.3257
806,BaCa2I6,3.2653
807,Sc(AlC)3,0.1125
808,LiTi2Be,0.0
809,MnH4(CO3)2,1.0613
810,TiTc2Sb,0.0
811,GeCl4,3.7439999999999998
812,Pr3TlC,0.0
813,MnBe2Cr,0.0
814,TlAsOs,0.0
815,Y2Si4Mo3,0.0
816,Ni3(BiS)2,0.0
817,MnCo2Sb,0.0
818,Zr4Al3,0.0
819,PrSb,0.0
820,Ba4VMo,0.0
821,Ba2SnHg,0.0113
822,ZrFeCl6,0.0
823,ErCoSi2,0.0
824,Mn2BeRh,0.0
825,ScPRu,0.0
826,BaNa2Mg(PO4)2,5.3139
827,Rb2BeF4,7.3097
828,BeV2Se,0.0
829,Li2V(CO3)2,1.047
830,Ti2AlFe,0.0
831,MnAlFe2,0.0
832,NbPbS2,0.0
833,Tm3AlC,0.0
834,SmAs3,0.0
835,HfZn3,0.0
836,Mg2AgPt,0.0
837,K2BaBe,0.0
838,Li4Mn3Fe2(CuO2)3,0.0
839,LaBeW2,0.0
840,Er5NiPb3,0.0
841,Ba2YZn,0.0
842,LiAlO2,4.9632
843,BaSc4Mn,0.0
844,Yb2ZnGa,0.0
845,CeSe,0.0
846,BaH2O3,0.0
847,Lu2Sn2O7,2.8162
848,Be2BiRu,0.0
849,VO2,0.0
850,Na3YBr6,4.2742
851,CeCdAg2,0.0
852,KFeF3,0.0
853,Zr5Al4,0.0
854,Ti3Mn2(CoO2)3,0.0
855,HgNO2,1.7951
856,Li2BeSiO4,6.0278
857,ReO2,0.0
858,K2TeOF4,4.817
859,ThTe3,0.41700000000000004
860,YbGa4,0.0
861,CoF2,0.0
862,Sb2TeSe2,0.3997
863,BeTl2Se,0.0
864,SrCuP,0.0
865,LiBeO3,0.0
866,ErInNi4,0.0
867,TbH3(CO2)3,4.2483
868,Te8Rh3,0.0
869,LiCuS,2.0042
870,EuMoClO4,2.6166
871,Ga2RuPt,0.0
872,Be2InCo,0.0
873,Nd3CoB4,0.0
874,Be2WBr,0.0
875,SmDyRh2,0.0
876,LuIr,0.0
877,NaSc2Be,0.0
878,BeMo4W,0.0
879,Tl4CrI6,0.0
880,NdRu3,0.0
881,AgBiSCl2,1.0935
882,NpSb,0.0
883,SO3,5.3538
884,TaCoSn2,0.0
885,Cd(GaS2)2,2.113
886,CeCo2,0.0
887,SmSnPd2,0.0
888,Be2IrRu,0.0
889,Ba2TiTe,0.0
890,Ba4TlTe,0.0
891,TaVO4,0.0
892,ThFe2SiC,0.0
893,SmSiRu,0.0
894,YI3,2.676
895,KBaMn,0.0
896,Be2CdNi,0.0
897,Er2Ru2O7,0.0
898,Al5CuSe8,0.7348
899,LiHfPd2,0.0
900,BeInCl,0.0
901,Ni3SnN,0.0
902,CrReO4,0.0
903,BaMnBr2,0.0
904,V2HO4,0.0
905,Dy(SiNi)2,0.0
906,BaFeOs,0.0
907,Ba2PdF6,1.7458
908,LiNbO2,1.5802
909,Ti2InFe,0.0
910,AlTeI7,1.7737
911,PrTlO3,0.0
912,BeNbCo4,0.0
913,Li2BeBi,0.0
914,SrScBe,0.0
915,Li2CrS3,0.0
916,BaNaLi2,0.0
917,Ba2Hg,0.0
918,Ca2SbAu,0.4263
919,MgSiIr2,0.0
920,BiTe,0.0
921,LuThRu2,0.0
922,Ba2MgCd,0.0
923,YPt3,0.0
924,BaNaCl,0.6352
925,Li8PtO6,2.2448
926,Ba5As3,0.0
927,Nd(BRh)4,0.0
928,Be2MoRu,0.0
929,Be2Mo,0.0
930,MgVBiO5,2.9858
931,ZrBRh3,0.0
932,K2SnTe3,0.8299
933,Ba2YNi3O7,0.0
934,Li2CeAs2,0.7062
935,Al2Sn2O7,1.3204
936,RuC4(O2F3)2,0.2618
937,RbTiS2,0.0
938,ZnNiPd2,0.0
939,MnAlRh2,0.0
940,RbAc3,0.0
941,MnBeCu2,0.0
942,LiNd2Ir,0.0
943,BaNdFe2O5,0.0
944,PuFe2,0.0
945,Rb2O2,2.177
946,Mg(NiO2)4,0.0
947,Ba4CaOs,0.0
948,Mn4CuO8,0.0
949,BeFeMo2,0.0
950,TmGaRh2,0.0
951,KBaP,1.2182
952,HfMoAs,0.0
953,Tb2AgIr,0.0
954,Zn3Si3(BiO)2,1.956
955,Sm(SiPt)2,0.0
956,CeMnNi4,0.0
957,Li2Co3NiO8,0.0
958,SrGeO3,3.0204
959,Cr3Sb(P2O3)2,0.9441
960,CuBrO2,0.3831
961,Si3N4,3.5585
962,KPF6,7.5551
963,ZnCoO2,0.0
964,ZrCd2H2(O3F4)2,4.5429
965,InHg,0.0
966,Zr2InNi2,0.0
967,Sr2PrO4,0.0
968,Lu2CdAg,0.0
969,AgCNO,3.1803
970,BePb2Cl,0.0
971,K4CO4,1.951
972,Mn(CoO3)2,0.0
973,NaBeSb,1.1949
974,Ba4ScMo,0.0
975,IClOF,1.8459
976,YNi4Au,0.0
977,Y2CuAu,0.0
978,BeInPd,0.0
979,Ca6Al2NF,0.0
980,B2(CN2)3,1.4282
981,U(CuSi)2,0.0
