,pretty_comp,dfpt_piezo_max_dielectric_ioonic
242,Tb2PbS4,9.589814573
243,TlI,6.92855674
244,Li2MgBr4,3.388607677
245,CrHO2,5.1064120000000015
246,HIO3,4.43101562
247,Hg3AsS4Cl,7.857693617000001
248,BCl2,2.933356967
249,Ba(AgS)2,7.859084857
250,WSeS,6.816157822999999
251,ZnBr2,4.3814255630000005
252,Rb2PtF6,2.472884677
253,SiGeN2O,3.73121136
254,KMgAs,6.909410293
255,Na2CeO3,4.666203417
256,Nd3SiAgSe7,8.944087142999999
257,Ca7(HCl)2,4.121169597
258,Hg3(SCl)2,5.37909525
259,Au2S,7.19034776
260,Li4CuSi2O7,3.56330539
261,LiVSiO4,3.50633795
262,RbLuSe2,5.52180841
263,Zn4P6SN2,4.45049442
264,PBr3,3.85371117
265,Mg(SbO3)2,4.55561186
266,Ba3Si6N4O9,3.259127117
267,ErSCl,4.532026497
268,TmCuSe2,9.758605337
269,XeF2,2.85604869
270,Li3VO3F2,3.74226691
271,LiCoO2,7.994410202999999
272,NaSi2BH2O7,2.257323417
273,AlGa3N4,5.51656728
274,Rb2CaH4,2.932129087
275,LiSiBi3O7,5.598596402999999
276,AlSeBr7,4.605324697
277,Hg(AsO3)2,5.13455663
278,AsBr3,4.193823937
279,TlI,6.75694831
280,RbClO3,2.52046093
281,HgI2,5.815978527
282,ZrNCl,6.895658073
283,Te2Mo3WSe6,10.13749836
284,Ga2Te3,13.23544079
285,In2S3,6.568052933
286,Mg(CN)2,1.88310665
287,LiBC,11.01209311
288,ZnAgF3,3.03364644
289,ZrCl2,9.320459223
290,ZnSnP2,15.43679496
291,TmH3(CO2)3,3.100445097
292,RbBiS2,7.63919574
293,Na6P4W,6.386354673
294,ZnWO4,4.540059473
295,UO3,10.19137137
296,HgC2(SN)2,4.005825597
297,SrF2,2.22338173
298,BH5CN2,2.460980537
299,RbScO2,4.003396743
300,SrCl2,2.93146829
301,InPS4,5.856871767
302,PdCl2,5.710792712999999
303,AlClO,3.058712643
304,B4CCl6O,2.859647073
305,NbTl3Se4,8.18596421
306,Mg2PbO4,4.739672473
307,Ba2PCl,5.904262863
308,K2RbSb,7.44204519
309,RbTa(GeO3)3,3.27218524
310,GaP,10.96561918
311,Nd3CuSiS7,7.40926665
312,Cu2SiS3,8.607782293
313,HBr,2.927814807
314,RbScO2,4.02270279
315,MgNiF4,2.8098730830000003
316,KScO2,3.848908157
317,ThI4,5.471174907000001
318,Al2HgTe4,9.74920426
319,CaTlCl3,3.19736924
320,TlInSe2,9.602394077000001
321,BaHgS2,6.870077403
322,ThCN,7.044210487000001
323,Sr(CdP)2,12.61953916
324,BaSe,7.08218666
325,Li2SnTeO6,3.859614343
326,Na4CO4,2.77383733
327,U3H2,5.240957637
328,Na2Te,4.28307367
329,NaBeSb,11.76811789
330,Rb2SiF6,1.9495999
331,Mg4H2O5,2.953169877
332,Li3VS4,3.34779025
333,Nd2PbSe4,11.51812627
334,SBr,5.35766349
335,KV3(SeO)2,4.84881632
336,TbBS3,6.83789237
337,TaTl(GeO3)3,3.63655842
338,Li2Se,4.28847815
339,ZnH8(N2Cl)2,3.12646147
340,MnZnF6,3.301884063
341,CuH,12.37310377
342,KrF2,2.619302817
343,LiH2N,2.71694409
344,Rb2Pd,7.16824512
345,Ag5P(S2Cl)2,6.38682957
346,SrS,4.68336865
347,CSO,2.601376223
348,Te2Mo,6.6269070370000005
349,RbCaH3,3.0970763
350,LiNiBO3,4.45167907
351,K7NbAs4,6.181487897
352,Zn2GeSe4,8.757446843
353,HCN,2.22103937
354,Li3CrPCO7,3.108601247
355,Ca2BiAsO6,3.83436155
356,ZrFeCl6,4.604402627
357,Pd(SeBr3)2,6.777227107000001
358,LiHSeO3,2.856071437
359,ZrSnPt,17.91147279
360,SrBiBrO2,4.435109483
361,BeGeN2,5.28585992
362,Li4CoO3F,3.382255497
363,Li3Bi,12.6352427
364,Li2CaHfF8,2.298619993
365,AgBiSCl2,7.17137061
366,Na3Sr3GaP4,7.883249997
367,LiAuC2,5.622757947
368,K6Fe2O5,3.81959547
369,ErClO,3.268964667
370,KYSiS4,4.647211107
371,Al5CuSe8,8.6724463
372,Ba2ClF3,2.74492394
373,TaSbRu,20.49627141
374,Tl2Sn(AsS3)2,8.837263383
375,Li5MnO3F,3.082450267
376,NaNdSe2,6.271264477000001
377,IrCl3,5.09224688
378,RbSmO2,3.756385623
379,KHoS2,4.911251347
380,RbN3,2.498330803
381,TiOF2,4.015819463
382,MgH4(ClO)2,2.610814027
383,Li2O,2.85026468
384,Ca4Cl6O,3.278217713
385,Sr(PrS2)2,7.446570547
386,Li3MnSi2O7,3.423038483
387,LiMgAs,7.79855656
388,KP,6.407464647
389,Na4CO4,2.77455123
390,GaCuI4,5.504098497
391,Ho3CuSiS7,7.560601042999999
392,RbSnF3,2.79621964
393,CaAlH5,4.596307727
394,Ca2Sn,11.83409887
395,CN2,4.013217503
396,CaHfN2,9.34280189
397,Be(CN)2,2.410590843
398,AlAgS2,5.830345473
399,Li2MnBr4,3.832253423
400,CaHCl,3.77326194
401,Pm2O3,4.611772187
402,PbI2,5.97154914
403,Ba2H3I,4.45363038
404,Ba3BPO7,3.112888913
405,CaHI,4.466977017
406,HgPS3,7.310142312999999
407,Sn(CO2)2,3.56673479
408,SnF4,2.49669983
409,Ba2Ti3Tl2,6.09244268
410,Li2BeSiO4,2.730030123
411,RbYO2,3.647022163
412,Li2CuSb,19.42423949
413,CaPdF6,2.791962283
414,TlP5,11.72993447
415,GeC,8.15644312
416,PrOF,3.64998224
417,PrBi2BrO4,6.014160027000001
418,Ca(SmS2)2,7.636090227
419,Rb2TeBr6,4.272073217
420,SCl,3.73525861
421,Ce2Dy2O7,5.875180227
422,KLiS,3.660311113
423,NdSeF,6.726858322999999
424,Nd3CuSnS7,7.935015997000001
425,InCl,6.033810002999999
426,LiCoS2,12.86593195
427,Na2PtO2,4.46555432
428,SiC,6.938840882999999
429,LiAlO2,2.71511644
430,Ba(MgBi)2,14.79533608
431,KNO3,2.290017963
432,NaSi2N3,4.109635967
433,Al2HgS4,5.92981734
434,BH3NF4,1.997691753
435,NaC,2.6154641030000003
436,Ca2NCl,4.631122663
437,Ga2HgS4,6.973397147000001
438,Mo(WS3)2,7.664221387
439,Sm2AlNO3,5.754188922999999
440,MoWS4,8.486188193
441,Re3Se4Cl,10.53139432
442,PrCuSO,7.13723924
443,NdSF,5.739216803
444,Ca2YSbO5,4.74801761
445,LiBiB2O5,4.722781573
446,HoAgTe2,11.47156903
447,VNCl4,4.439123177
448,Cu3TeS3Cl,10.29901473
449,Li2Ge2O5,2.949886803
450,ZrCl4,3.44325923
451,Li2WS4,3.550583483
452,NbCl2O,5.386591727000001
453,HgBr,6.840516723
454,NaHoSe2,6.10027633
455,YbClF,3.145874413
456,Te6MoW2,10.11320605
457,Na4FeO3,3.98823705
458,NaHoS2,5.22842211
459,TaGaO4,5.163691293
460,ErAgTe2,11.44444553
461,Ga2Os,25.2408914
462,AlN,4.556123817
463,CdP2,9.865399097000001
464,Li2GeO3,3.052345317
465,ZnCl2,3.157570433
466,HgPSe3,10.12264602
467,Ca3UN4,7.52334863
468,NaYSe2,6.027863767
469,KMg(PO3)3,2.425856707
470,BeZnO2,3.784693783
471,YbS2,6.94691262
472,K2PdF6,2.565827253
473,RbHF2,1.97552548
474,TbH2Br,5.380235067
475,Y3CuGeS7,7.932764217000001
476,NbI2O,8.240845493
477,Al2CdTe4,8.20988419
478,K2HgSe,6.395718733
479,SrSe,5.19425607
480,TmIO,4.804464447
481,SbAsO4,4.403142753
482,Rb2MgF4,2.135841377
483,PHF2,2.709386787
484,Hf3SnO8,4.584881517
485,Li2AlFeO4,3.634755917
486,SrCa3O4,3.74761469
487,LiGaO2,3.310340717
488,NaMgAs,8.042967517000001
489,RbAuS,4.46813303
490,MnTlCl3,4.30219685
491,K2MgH4,3.10042094
492,NaHO,2.48714895
493,K2O2,2.570847443
494,XeF3,2.819209227
495,Al2CdCl8,2.877949473
496,LuTlSe2,8.160692537000001
497,BeCl2,2.71114066
498,SNF,2.970613123
499,BaSe3,8.479365800000002
500,LiCrS2,10.06823858
501,Sr(PrSe2)2,8.784604437
502,Na2LiAlF6,1.93847029
503,Ho2TeO2,6.528754083
504,Ba2BrN,5.506925197
505,YbSe,5.93158404
506,NdHO2,3.80960626
507,CdBiO3,7.938290107
508,FeP4,20.15165852
509,Ag2HgI4,6.175642907
510,BaClF,2.921181807
511,Ag2HgSI2,6.2636979870000005
512,LiTaO3,5.07052147
513,TiFeSe,21.88306785
514,RbAuO2,3.63696194
515,NaZnP,9.581256363
516,W3(SeS2)2,7.595141842999999
517,BaZnO2,4.162609497
518,Na3AsO4,2.450088197
519,Mo3WS8,8.729480837
520,MgTeH2O9,2.680599127
521,BaLi2Mg(PO4)2,2.897718217
522,BaP3,10.01647751
523,Na6MnS4,4.142588333
524,Ca(InTe2)2,11.94084392
525,BP,8.91334149
526,LiZnPO4,2.6965162730000003
527,Li2PdO2,5.352401513
528,PbF4,3.148128003
529,Ca(BeAs)2,10.29010992
530,InI,8.90413445
531,Al5HO8,3.150788177
532,RbCdF3,2.39570824
533,CuBi(WO4)2,6.695762023
534,MgGeAs2,13.93526075
535,ZnI2,5.769424247000001
536,Nd3BWO9,4.42677143
537,Li2MnP2HO8,3.765001967
538,KH3F4,1.82119777
539,Li3As,7.259016967000001
540,ZnSiP2,10.52118495
541,LiCoP2O7,4.582875213
542,Ca3PN,8.78133776
543,Tl3SbS3,9.863970457
544,MoH2Cl2O3,3.77935465
545,RbBe2BO3F2,2.23567624
546,Al3BN4,4.73901587
547,Ca2Si,12.32182946
548,LiY3WO8,3.996483197
549,MgGeP2,10.21551691
550,DyBi2BrO4,5.873217972999999
551,GaTeCl,6.32876069
552,Ca(HO)2,2.648845367
553,NdZnAsO,10.32381005
554,RbErSe2,5.543252017
555,AgCNO,3.48315891
556,Na3VS3O,4.137731733
557,RbGeIO6,3.14149014
558,NaP,8.04230447
559,LiNd2HO3,5.235294413
560,CaZnSO,4.795289417
561,SrCaO2,3.75787388
562,KH4O2F,1.94611186
563,K4BeAs2,4.744430947
564,Na5SbO5,3.267104433
565,NaHS,3.32779091
566,LiPF6,1.95239105
567,K4ZnP2,4.800997073
568,Ba7(ClF)2,2.63949976
569,GaCuO2,5.672840997000001
570,MgTiSiO5,4.412605063
571,Sr2BrN,5.007126867
572,KCaCl3,2.56383199
573,RbCaCl3,2.646101377
574,TeW2Se3,9.336147167
575,SrO,4.40095018
576,Ca4Sb2S,9.43158601
577,ThSO,7.201393173
578,ThBrN,6.280834877
579,Ba2SbBr,10.74020683
580,Li2V(CO3)2,3.169669983
581,NaInSe2,7.744240607
582,Rb2S5,4.256295363
583,SmCuO2,4.763971277
584,GaCuS2,9.253084113
585,Sr2SnS4,5.35158155
586,PSe,6.996893342999999
587,Ge3N4,5.93421237
588,NbIO2,7.327702307000001
589,CdSbS2Br,8.617786287000001
590,K2Sr(P2O)2,2.458917277
591,K2Mg2Si2O7,2.90674106
592,TbTlTe2,10.062639
593,Rb2S,3.27118776
594,MnH4(ClO)2,3.03558564
595,Na2SnO2,4.273419213
596,BaLiF3,2.55940099
597,Ba2H6Ru,4.40039422
598,V2ZnO6,6.213515687
599,KH2N,2.70274223
600,Zn(GaTe2)2,11.35862687
601,MoBr3,6.751156483
602,Al2Te3,7.1376043000000005
603,Li2ZnGeO4,3.29864783
604,NdO2,4.313825527
605,TlNO2,4.230196243
606,H3NO,2.643965583
607,AlBN2,4.728832443
608,SrIF,3.555891337
609,P2Ru,19.95982894
610,Mo2SeS3,8.959047413
611,RbAu3Se2,6.798003417
612,ScTlO2,8.161453923
613,Tl2S5,7.1889773770000005
614,RbCaF3,2.13176186
615,RbH,2.75085931
616,BaF2,2.32626778
617,RbTeAu,6.578020687
618,KLiSe,4.02667703
619,NaTmS2,5.18589052
620,Li2CeP2,14.11031864
621,KPrS2,4.972010293
622,KLuS2,4.834128727
623,LiErSe2,6.814784873
624,Sr2CuBrO2,3.739503873
625,Cu2O,8.38315275
626,Na2HgO2,3.66914182
627,LiVF6,2.67197208
628,LiAlSiO4,2.398896267
629,NbCu3Te4,9.98862189
630,K3BiTe3,6.34553812
631,NaMgF3,1.958299817
632,Ba(CuS)2,10.050968199999998
633,BaSnF6,2.417745573
634,LiBr,2.80026446
635,InS,10.08873612
636,TeMo2Se3,10.36470606
637,CaAlSiH,13.72105964
638,Li5P(S2Cl)2,3.90097619
639,ZnSiN2,5.06021659
640,NdOF,3.519029557
641,TePbO3,5.458119103
642,Tb3CuSnS7,8.03113939
643,USeO5,4.56067814
644,K2PtCl4,2.864873493
645,Li2Te,4.89752095
646,HfCl4,3.317782357
647,KBr,2.91186501
648,NaCl,2.71337688
649,PI2,5.950234373
650,K5ThF9,2.119929343
651,BN,4.26136053
652,BaAgTeF,6.2601559270000005
653,YZr5O,6.162767883
654,AlPNCl5,2.732058827
655,Zn(IO3)2,4.50287718
656,AcOF,3.46363426
657,Be2NbRh,30.44105969
658,SnC2(SN)2,4.868674283
659,Te8MoW3,10.68923946
660,MgH2SO9,2.356389787
661,MoF4,3.601111083
662,Ge3Sb2O9,3.854412857
663,K2AgAs,7.110499657
664,LiYS2,6.02947598
665,K2O,3.17900026
666,HoSF,5.769866417
667,Sr(AsO3)2,3.548728333
668,CaThBr6,4.531948347
669,PrTlSe2,8.153919132999999
670,Ba3NbGa3(SiO2)2,3.6028392730000003
671,AuCN,6.00460363
672,NaScAs2O7,3.402905467
673,K2H4Pd,2.86957169
674,SnBrCl,6.181757687
675,Ca4Bi2O,10.80108781
676,AgAuCl4,5.4941084270000005
677,TbBi5O9,6.77158987
678,RbNdTe2,6.699054877000001
679,LiBeBO3,2.717881563
680,ThIN,6.111600599999999
681,K3SbSe3,4.56826709
682,Dy3Sb4Au3,28.17203368
683,Rb2PdCl4,2.766122483
684,CdF2,2.80995901
685,Rb2SeCl6,3.68059336
686,Cd(HO)2,3.515224223
687,CO,1.77667617
688,GeF4,1.96688269
689,BaS3,6.201314123
690,Er2SeO2,5.4840654870000005
691,Ga3BN4,5.86060018
692,BiSeI,10.65452409
693,RhF3,7.410350357
694,SmCuSeO,7.85171453
695,Pb2O3,7.848751847000001
696,AlB3N4,4.62434986
697,Li3PO4,2.525354553
698,BiI3,6.758988522999999
699,CdCl2,3.297995227
700,Ca2MgSi2O7,2.877116697
701,Sr4As2O,7.944118613
702,PrCl3,3.827747973
703,BCl3,2.599818807
704,DySI,5.01603584
705,ZnCN2,3.628536633
706,Ta3SBr7,6.67143034
707,LiMn3OF5,2.97025471
708,MgSiN2,4.39827241
709,BaC2,4.570009947
710,K4ZnAs2,5.2476527000000015
711,K6HgS4,3.90353403
712,Bi2TeSe2,24.26785996
713,BaMnF4,2.5194899530000003
714,P2Os,18.45643051
715,KNdTe2,6.86383802
716,Sc2O3,5.114703107
717,Ba(CdP)2,14.04032222
718,HfIN,6.82435448
719,SmClO,4.317189473
720,Al2Se3,6.089161187
721,Pr3CuSnS7,7.879796867
722,PbIF,5.895706873
723,CrAuO2,11.41907798
724,Ag6Mo2ClO7F3,5.048820743
725,RbPbIO6,3.62134003
726,As2Os,21.58773046
727,HoAgSe2,8.93078879
728,HgPb2(ClO)2,5.32062792
729,Zn2Bi2O5,6.330726447000001
730,PI3,5.941855072999999
731,Li5V(SiO4)2,3.108497597
732,Hg3(SeCl)2,6.11117279
733,SbI3(BrCl3)2,5.17877827
734,K3SbSe4,5.097256113
735,TiZnN2,7.917415517
736,CBrN,2.786237793
737,PtS2,17.81439994
738,Nd4S3NCl3,5.745720273
739,KNaO,3.133735147
740,Ni(AsO3)2,5.32665329
741,Ti3TeO8,4.07380266
742,NaV(OF)2,3.48843095
743,ZnGeP2,13.037626800000002
744,GaS,6.398640113
745,LiSiBO4,2.70880614
746,Sm5AgS8,8.696691373
747,NbRhO4,10.71411591
748,SrHCl,3.508652243
749,YH3(CO2)3,3.08630411
750,IrF3,6.31864849
751,TaAlO4,4.614195513
752,WBr4O,7.770011447000001
753,BaNa2O2,3.683332953
754,As2Se3,11.52409724
755,KLi2As,6.253481847000001
756,CeTh2O6,5.845825842999999
757,BaCO3,2.914029257
758,CrOF3,3.681870823
759,TmTlS2,7.171154643
760,KPrS2,4.97201015
761,B2AsP,9.42752654
762,RbSb,8.5438705
763,SrCeN2,9.344547057
764,Ca3TaGa3(SiO2)2,3.475941363
765,SeCl,4.517069847
766,NaH,3.2248601000000003
767,K2PtS2,5.423473763
768,Ga2HgSe4,9.9187946
769,SrHgO2,3.77747443
770,CuBiO2,7.226421427000001
771,YbGeO3,4.22754822
772,BaZnF4,2.481895883
773,NaHo2F7,2.19500897
774,NaCoO2,7.339247507
775,Na3VH6O7,2.758639263
776,RbH2N,2.762369533
777,AlP,8.088026017
778,BaBeSiO4,2.937623867
779,BaNa2(SiO3)2,2.717601953
780,PrSF,5.70025338
781,ScSbPt,20.86129724
782,Rb2ZnF4,2.2772681
783,MgCl2O,3.064211747
784,SrBeF4,2.1454032000000005
785,TbAgTe2,11.52241032
786,Mg2TiO4,4.081622
787,Ca(PrS2)2,7.63669607
788,CaTlF3,2.82661998
789,KBe2BO3F2,2.222332693
790,CaI2,3.824467077
791,CS2NF5,2.449473743
792,Mo(WSe3)2,8.585519643
793,YbS,5.25498056
794,Al2Si2H4O9,2.558770347
795,RbBF4,1.880345373
796,Hg3(TeCl)2,7.6141281
797,K2Se3,7.71231719
798,RbCl,2.67766012
799,CaSe,3.92326983
800,YOF,3.49867875
801,NaTmO2,3.656121757
802,KPrSiSe4,5.601578533
803,NaTbS2,5.28232755
804,HfZnN2,8.069891647
805,SrP,7.409666117
806,P2Pd,21.16972722
807,RbNdO2,3.78976452
808,KCuC2,3.854038237
809,BaSr2Mg(SiO4)2,3.28746569
810,Dy3CuSiSe7,9.113636923
811,KMgF3,2.0695004
812,NdTlTe2,10.04999903
813,VCu3Te4,11.56668325
814,LiCuF2,3.91332595
815,PaTlO3,5.84572095
816,FeTeCl7,4.117741617
817,Mg(AlC)2,7.90753629
818,SnHgF6,2.694487353
819,Al2PbO4,3.65061196
820,Sr2InI5,4.962932443
821,Ca2PI,6.004819917000001
822,Y(HO)3,3.317322973
823,TbCl2F,3.453370703
824,Ho2Be2SiO7,3.55326232
825,RbGeBr3,4.725685077
826,LiSbO3,4.53495678
827,PrGeBO5,3.634793443
828,BaBrCl,3.344721827
829,NaAlO2,2.596316507
830,NaYS2,5.180867117
831,Xe(OF)2,4.093288977
832,K4HgP2,5.059482773
833,ZnTeMoO6,4.904310263
834,Na3Ca3AlAs4,8.154129003
835,LiZnN,9.2265112
836,K2CuP,6.276429547
837,KNa2BN2,3.179639593
838,KPF6,1.937133113
839,InBr3,4.199947877
840,SmBi2BrO4,5.943997947000001
841,SrTa4O,5.219288227
842,KAgO2,4.048708453
843,LiTbSe2,6.950402053
844,Tb3GaO6,4.14427218
845,AcCl3,3.428695827
846,ScAgSe2,12.52273034
847,Rb2PtCl6,3.45282542
848,Pr3SiAgS7,7.355019007
849,Th(TeI)2,7.171654897000001
850,RbSrCl3,2.43963522
851,TlBrO3,3.94217972
852,Li4MnSb2WO2,6.17266268
853,NdB2H,2.04863859
854,Zn(InSe2)2,8.84383151
855,Li5CuSO2,3.886150747
856,NdCuO2,4.741498163
857,BaAl2(SiO4)2,2.58189558
858,GeBi2O5,5.391422273
859,LiMgBi,15.45168491
860,Li2VGa3O8,3.49503834
861,DyCuSe2,9.98877836
862,ZnSbAsO5,3.911071877
863,LiYF4,2.31522218
864,BaSi6N8O,4.186241567
865,AcBrO,4.348513393
866,Mg(CO2)2,2.86816289
867,Ho2CF2,6.922150253
868,PNO,3.196425683
869,Pr2Be2GeO7,3.827438417
870,NaRhO2,6.624395083
871,MgAs4,14.12311584
872,As(S8I)3,5.28091425
873,KCaBi,7.09374348
874,SrHI,4.281559737
875,LuSF,4.8726185630000005
876,LiNi(CO3)2,3.98638352
877,Te(HO2)2,3.816549287
878,Ca3AsCl3,4.5605769999999985
879,Mg(AlSe2)2,5.883210472999999
880,Al2HgSe4,7.44781976
881,AlICl6,3.55596481
882,NaSnN,8.131647653
