,pretty_comp,min_mode
110,KBaRu2,-130.99078799999998
111,BaMn2Hg,-69.39213000000001
112,Mg2H6Os,-203.913304
113,YSi,-0.027607
114,GaAg,-0.065749
115,BaIrO3,-0.021963999999999997
116,K2RhF6,-0.13636600000000001
117,GaMo3,-0.035457
118,Ca2Si,-0.071729
119,K3NaCr2O8,-0.275171
120,ScBeSn,-1.3314110000000001
121,Ce(Fe2P)2,-0.11128699999999997
122,Nd3AlN,-197.847173
123,SmTaO4,-0.02412
124,Ba(PRh)2,-0.034588
125,AlCuO2,-0.771253
126,Ca2SiO4,-154.008734
127,CaAgAs,-0.01929
128,CoB,-0.037207
129,CaHCl,-0.24665
130,Ba(MgBi)2,-0.164892
131,MgCoF5,-0.062928
132,Sr3(AlSi)2,-0.027781999999999998
133,Tm2AgPt,-0.042124
134,Np(CoSi)2,-0.01031
135,RbCeSe2,-0.007804999999999999
136,BeAlH5,-3.9304989999999997
137,LiInSe2,-0.216665
138,Tl2SnF6,-0.07033400000000001
139,UNi2Sn,-0.030525999999999998
140,BaBeCo2,-286.882302
141,EuIO,-0.053765
142,GeC,-0.033043
143,Ti2BeMo,-0.633688
144,NbSeBr3,-0.090921
145,ThSnI6,-0.21262199999999998
146,Rb2NaMnF6,-0.433071
147,Pr2SO2,-0.024256
148,Al3GaN4,-0.006984999999999999
149,USn3,-0.072257
150,RbAu(SO4)2,-0.045286
151,NpAs,-0.04142
152,Rb2H6Pt,-0.057907000000000014
153,TcIrOs,-11.036000999999999
154,NaLi5N2,-136.505528
155,HfZrZn2,-0.17190999999999998
156,BrF3,-0.173381
157,VOF,-0.261801
158,Na4SrBe,-96.638688
159,GaBiO3,-203.610075
160,CaCdO2,-0.09400800000000001
161,BeNi2P,-63.006131999999994
162,Ba2ErNbO6,-70.822066
163,BeNiPd2,-0.5620149999999999
164,GaAsO4,-0.07362
165,Cd2Os(CN)6,-0.313346
166,BiAsO4,-0.041731
167,Rb2AuBr,-11.356239
168,Be2MoP,-17.642344
169,Hf2Ge,-0.282256
170,Sr2Sn,-0.142549
171,HoTlS2,-0.142784
172,BeCd2Fe,-142.359629
173,Cu2HgGeS4,-0.739978
174,NaCNO,-21.501343
175,Nb3Cr,-0.032867
176,K2AgAs,-0.142429
177,Ca(AsO3)2,-0.037074
178,SrSeO3,-0.045389
179,Cr3GaN,-0.17898
180,CoGe,-0.015933000000000003
181,NbF4,-0.15712
182,RbGeBiS4,-0.126443
183,Sr2MnO4,-0.109759
184,YAgTe2,-0.031560000000000005
185,HgBr,-0.024865
186,BaTaCl,-38.545854999999996
187,Ba3P2,-100.797492
188,TiMnBe2,-0.250189
189,RbLiSe,-0.167847
190,KBeCd,-0.44339700000000004
191,Li2MnO3,-0.517189
192,CePRuO,-0.14965599999999998
193,LiVIr2,-0.0797
194,ZrTaBe,-0.08237699999999999
195,SmNbO4,-0.091134
196,AlPS4,-0.2336550000000001
197,Li2YbSn,-0.070836
198,Ti3PO7,-41.867968
199,Y(HO)3,-0.225133
200,Li3ClO,-0.059808000000000014
201,ScPt,-0.082352
202,UGe3,-0.08519
203,RbFe(MoO4)2,-46.813132
204,Sr3(AlGe)2,-0.300094
205,BeV2Sn,-1.356271
206,TaTi2Be,-0.363723
207,LiLu2Ru,-0.114446
208,BeIn2Sb,-153.92916100000005
209,InPd,-0.043232
210,Ba2LiOsO6,-0.033235
211,Sn(CO2)2,-0.069426
212,BaSi,-0.016957
213,KNaICl,-93.99265799999999
214,CaCd,-0.151336
215,BaSr3O4,-0.068521
216,V3Se4,-0.108617
217,TcAsPt2,-44.987673
218,LiGaGe,-0.207249
219,Al2Au,-0.011019
220,SbS8Cl3,-0.206841
221,TiMo2As,-40.604597
222,ScS2,-0.07359299999999999
223,KTiBe2,-180.635569
224,YCu5,-0.246018
225,SrN6,-0.17092100000000002
226,KVP2S7,-0.24629
227,Y3Mg,-0.30738699999999997
228,MgBeRh,-0.86472
229,V4GaS8,-0.0841
230,ScBi3,-32.875566
231,ErTaO4,-0.061600999999999996
232,LiPd2Pb,-7.789228
233,YCoC2,-0.029954
234,NaMgBO3,-0.19847599999999999
235,KSmTe2,-0.054137
236,NpOsO3,-267.538834
237,SbPO5,-0.455963
238,MgCrF4,-64.282108
239,Ca4BeIr,-158.34901399999995
240,NaN3,-32.265211
241,ScBeTl,-0.7425229999999999
242,Mg(BiO2)2,-153.94062
243,Mo2WSe6,-2.770734
244,Ag3AuS2,-19.050380999999998
245,K2Rh2O5,-0.15257
246,BeGaRu2,-0.364713
247,PdO,-0.034586
248,CrAuS2,-0.18479
249,KTeHOF4,-0.23464000000000002
250,FePH5CO4,-0.15323399999999998
251,SrPd2,-0.004379999999999999
252,NbAl3,-0.065074
253,PmDyCu2,-0.262653
254,CuO,-44.424487
255,LiAg2F4,-63.751847999999995
256,Mg2FeH6,-0.856033
257,CrGaP2,-0.208089
258,YCu,-0.800176
259,MnB4,-160.467498
260,Dy(FeGe)2,-0.122214
261,BaSnO3,-0.017096
262,TbCd,-0.032697000000000004
263,Yb(NiGe)2,-0.358111
264,ThAl,-0.066136
265,VIrO3,-338.022378
266,PW,-0.014041
267,KBeGe2,-147.43118700000005
268,KNdS2,-0.12190699999999999
269,ScSi2,-0.058864
270,H3S,-0.130673
271,Th2Fe2Si2C,-0.061175
272,Co2SbO6,-23.106626000000002
273,Ba2NbTe,-28.275817
274,Ti2Rh,-0.045765
275,PmCdAu2,-0.126684
276,Ba2SnCl,-38.163843
277,FeCu2SnS4,-0.513475
278,GeMo3,-0.1553
279,Lu2Cr2C3,-0.162373
280,CaTi2O5,-45.228792
281,LiLuO2,-0.316714
282,MnGaIr2,-0.037839
283,MoO3,-0.188318
284,MgTa2O6,-0.08130599999999999
285,AcN,-0.0039049999999999996
286,UZnNi4,-0.233481
287,BeNb2In,-0.594372
288,Na2Mg(CO3)2,-0.14635399999999998
289,CdHgPd2,-59.860296999999996
290,Ca(TiN)2,-56.38751600000001
291,NaMgSb,-1.36255
292,ScAlAg2,-0.009266
293,GaPO4,-0.054363
294,Li6CrO4,-0.057963
295,K2IrF6,-0.09447699999999999
296,CdCO3,-0.185142
297,H4BrN,-0.110294
298,Li2BeSiO4,-0.11869
299,CaTiF4,-0.141965
300,Al8Mo3,-0.200954
301,BAsO4,-0.211606
302,Dy(HO)3,-37.353266
303,BeRu2Pb,-0.148668
304,K3NaP2(O3F)2,-0.173333
305,LiHfPd2,-0.013152
306,MgCrO3,-143.833622
307,CaTbF6,-0.688898
308,Hg2SeO4,-0.040729
309,Pm2MgAl,-0.086191
310,Na2TlBi,-18.706032
311,LiAuF4,-0.067643
312,Ti3Au,-0.031617
313,DyAlNi,-0.330638
314,CaGa2,-0.39624699999999996
315,GaNi,-0.007447
316,HfV2As,-62.001523999999996
317,NaBeCl2,-288.053088
318,K3Np(H3O4)2,-0.145218
319,AuCl2,-0.059562000000000004
320,RbGeI3,-64.543447
321,Y2Fe2Si2C,-0.05366
322,VGaNi2,-0.504698
323,V5S4,-0.217665
324,Rb2MnBr4,-0.134884
325,Tm2AgRu,-0.143077
326,ErNi2B2C,-0.40221599999999996
327,Yb(SiPd)2,-0.050455
328,ErGe,-0.119421
329,TaCo,-0.040844
330,TmPb3,-0.041866
331,MgRe3,-0.584044
332,MgBe2Co,-1.244202
333,Ca2ZnN2,-0.13094
334,NaErO2,-0.245079
335,Na4Al3Ge3ClO2,-0.083821
336,ZnFeF4,-129.433021
337,TmPPt,-21.717267
338,CdSiAs2,-0.111446
339,ZrSi,-0.026806
340,PrBi2ClO4,-0.022962
341,PHF4,-1.042935
342,PrTmMg2,-0.087594
343,CuAgS,-0.786225
344,ZnCl2,-0.6175149999999999
345,NdP5,-0.037489
346,BeInW,-55.48581400000001
347,SrCuAs,-0.505668
348,SmBr,-0.08051
349,ZrSiPt,-0.0257
350,FeB,-0.036456999999999996
351,Co(ClO4)2,-0.138708
352,Ba2BiBr,-0.081251
353,Zr6CoAs2,-0.102533
354,Be2CrIn,-72.284702
355,TaSbRu,-0.047108
356,Zn(NF2)2,-129.422263
357,Li4Fe2SiO7,-0.097182
358,AlCuPt2,-0.407183
359,Tl2MoO4,-72.592541
360,YbAgS2,-0.076861
361,MgAsOs2,-83.089388
362,K2RbPt,-18.12342
363,MnGaRu2,-0.195922
364,BaZrCu2,-1.353312
365,BaPd2Rh,-26.622914
366,Cr(BH)6,-0.36148800000000003
367,TiPd,-0.109345
368,LuScRu2,-0.098186
369,NiHg,-0.512288
370,BaTi4Br,-69.167891
371,VCo2Si,-137.00954099999998
372,Ti3InN,-0.028891000000000007
373,RbZnH2Se2ClO6,-0.22805
374,BaGaBi2,-0.281019
375,TlN,-0.018225
376,Ba2TlCl,-53.18376800000001
377,BeCoBi4,-159.041371
378,Tb3Mn3Ga2Si,-153.99137
379,SiTe2Os,-70.991398
380,TiSnPt,-0.10781700000000001
381,ZrBeTl,-0.076057
382,FeP2,-0.045299
383,Na4BePd,-116.20357800000001
384,SrP3,-0.047481
385,TaMn2Be,-0.219297
386,SrTi2Be,-0.034618
387,BaLi2Mg(PO4)2,-0.07788300000000001
388,ScAsO4,-0.031901
389,Sc2AlCu,-36.677737
390,Ti2BeCo,-0.587859
391,Al5CuSe8,-0.705383
392,Rb2NaCrF6,-0.224237
393,BaInIr2,-0.08479
394,EuMgH4,-0.42113
395,NbV3,-71.780579
396,BeAlH5,-0.8682209999999999
397,Ba4MgSc,-57.4776
398,Lu2ZnTc,-0.140826
399,BaSrCl,-85.198326
400,ErZn,-0.28284499999999996
401,SrSi,-0.013947999999999999
402,BeCrNi,-0.9895959999999999
403,YMn2,-104.481842
404,PbF2,-0.147321
405,Ba4InIr,-86.236795
406,MnCO3,-0.23918299999999998
407,LiHo2Ga,-0.071145
408,CaNiWO6,-0.09654299999999999
409,BaAg2,-0.09655599999999999
410,Li3CeSb2,-0.039359
411,LiBeFe2,-1.575521
412,Sm2In,-0.12231700000000001
413,PmSbPd2,-43.467636
414,Ca2GeO4,-0.06792100000000001
415,HoAu4,-0.039212000000000004
416,AgF,-20.076062
417,GaI3,-0.11399300000000001
418,NdGa2,-0.132648
419,TbAl2Ni,-0.353767
420,Ba4NaTa,-59.72878100000001
421,RbNa2NiO2,-0.262364
422,Al2CdTe4,-0.115651
423,PrAs2,-0.030343000000000002
424,SrBeV2,-1.070597
425,KSnSb,-0.15909
426,RbCl,-0.004176
427,NaCN,-0.16744
428,Ca2PI,-0.094512
429,SiNi,-0.686181
430,Ti3Ni,-0.235369
431,BaCdBr,-31.807551
432,SnPbF4,-24.769505
433,RbAgO2,-0.073737
434,NiO2,-327.864402
435,Ti6O,-0.030099
436,Li2SnBi,-146.916166
437,Ba(BIr)2,-0.027438
438,Ga3PO7,-0.183921
439,PmInPd2,-0.07735
440,SnS,-111.38453
441,SrSO4,-0.047023
442,DyRh5,-57.080001
443,Np(SiOs)2,-0.053999
444,USi,-31.369604
445,Si2Ni,-0.085061
446,Lu2TlAg,-0.084358
447,UAs2Pd,-0.019505
448,Pm3Pb,-0.057053999999999994
449,ErClO,-0.13613699999999998
450,Ni2Ge,-0.490492
451,Li2CuSb,-0.039819
452,SrScBe,-0.343248
453,LuBi2IO4,-0.018615
454,La2CuO4,-10.770648
455,LiBePb2,-115.023918
456,Ti2NiS4,-0.546013
457,MgBr2,-0.233891
458,SrBeBr2,-10.270781
459,Ba2HoRuO6,-0.27473000000000003
460,Ho2CuRh,-0.240564
461,TmSeO3F,-0.08292000000000001
462,Sr3Bi2,-56.39733100000001
463,LiGa2Ir,-0.151498
464,Sb2Ir,-0.009776
465,Tl3SbS3,-0.039845
466,CdAgPd2,-0.010584
467,AgTe4Au,-0.034638999999999996
468,WS2,-69.178336
469,Hf6CoBi2,-0.017508000000000003
470,HfAlFe2,-0.077885
471,BaTeCl,-23.83771
472,BaYSc2,-42.619791
473,Mn3SnC,-0.036354000000000004
474,RbUAgS3,-0.068089
475,K3Sb2Au3,-0.041663
476,Tl3PO4,-0.038862
477,TiOF,-0.10875699999999999
478,Er2NiRu,-0.317183
479,Na2Ni2O3,-69.947175
480,Pr2CdSe4,-24.103919
481,Ho(CuSi)2,-0.634339
482,Li3Mn3O5F3,-0.202786
483,BaBeF4,-1.081397
484,RbNaH2,-269.188833
485,Ce2ZnNi2,-0.21731199999999998
486,Fe5Si3,-0.058996000000000014
487,Li4TeO5,-465.748863
488,Ca4TiN4,-0.062485
489,LiTaW2,-41.401876
490,HfBeCo4,-2.158101
491,Be2PW,-0.07155800000000001
492,TiCo2,-67.66614399999999
493,BaSi2,-72.057289
494,CuH4(OF)2,-114.130803
495,Ti2AsRh,-41.915527000000004
496,MnNiAs,-0.293155
497,Na2Ti2As2O,-0.192415
498,RbCuF3,-0.7853760000000001
499,BeCo2Sb,-0.869769
500,UAs,-0.007927
501,Si(GeN2)2,-0.047475
502,Yb3V,-0.059127
503,BaHg2(ClO)2,-0.044029
504,ScIr3C,-322.704904
505,UGa3Ni,-53.202197999999996
506,Ho3Hg,-0.047563
507,UMnSe3,-25.333865
508,Rh3Pb,-0.078408
509,MgCl2O,-0.140416
510,SrCaBe2,-48.210978999999995
511,Ba2GeBi,-0.32092
512,Pr2(Zn2Ge)3,-0.099962
513,Be2CuMo,-0.26227
514,TbHg,-0.017467
515,SrTaBe,-0.11778599999999999
516,MnCo2Sb,-130.455433
517,CeSb,-0.050469
518,GaTeI7,-0.216193
519,ZnO,-124.327766
520,Ti2Si,-196.057154
521,Li2MnVO4,-170.76237700000001
522,Ta3B4,-0.022841999999999998
523,OsC,-0.039693
524,USb,-0.012126999999999999
525,V2ZnO6,-0.098152
526,B4C,-0.108403
527,Ho3In,-0.188055
528,AsI3,-0.009047
529,AsRh2,-0.000519
530,Ca(NO3)2,-70.421083
531,CrSb2,-0.132331
532,Li2NdAs2,-0.039674
533,KCN,-0.044605
534,PrAgSn,-0.070663
535,ScBe2Cu,-40.43999
536,SF6,-0.14800000000000002
537,YP5,-0.03138
538,BeHgRu2,-65.00963399999999
539,FeGe,-0.082174
540,Sr2BePd,-146.570648
541,Ba2ZnF6,-0.29998600000000003
542,PmY,-0.018050999999999998
543,Ti2BeCl,-0.293678
544,ZrVSi,-0.194919
545,Al2B2Ru3,-0.046018
546,ScBeSe2,-276.589678
547,CaAg,-0.051936
548,ErCuSe2,-0.318865
549,Si2Ru,-77.224216
550,Sc3GaC,-0.07372999999999999
551,BeCrCo2,-0.568654
552,BePCl2,-365.23285
553,NdAl2,-0.04467
554,MnTlF3,-0.141664
555,PbS,-97.94402
556,MgTaRh2,-0.048202999999999996
557,HfTc,-0.009831999999999999
558,KErO3,-0.027087
559,NiS2,-18.29415
560,Li2MnO2,-0.76851
561,UPt3,-0.026607
562,NdMnSbO,-38.382529
563,KClO2,-23.542074
564,Be2NbPt,-0.213198
565,NpNiSn,-0.10591400000000001
566,Ho(SiRu)2,-0.149854
567,RbFeO2,-154.76161000000005
568,P4S3,-0.084989
569,P2Rh3,-0.083499
570,Yb2SeO2,-0.011315
571,HfTaNO3,-133.046942
572,Te2Mo3W(Se2S)2,-1.426433
573,Sc2CuAu,-0.948147
574,Sc3SnB,-0.14916400000000002
575,NaRu3,-0.09322799999999999
576,Fe2C,-0.03639
577,SnF3,-52.083744
578,PrZnSbO,-0.212168
579,BaSrHf,-36.9147
580,YZrBe2,-0.386748
581,KNO2,-0.251512
582,TiSb,-0.01314
583,K2BaSe,-0.33907600000000004
584,BeRu2Pb,-101.525552
585,HfBeSi,-0.199374
586,VFeH2O5,-0.08613
587,TiCo2Ge,-0.019277000000000002
588,BeNbOs2,-0.619174
589,U4S3,-35.402194
590,YTlO2,-0.196761
591,InBr,-0.529222
592,NaBeRu2,-0.331757
593,CeBiPt,-0.085735
594,Ba2VBr,-0.151515
595,BeTlP4,-176.320828
596,Ti3O,-0.061324000000000004
597,CeTe,-0.002553
598,RbTl2Bi,-0.098215
599,Sr(SbPd)2,-42.987573
600,AgBiTe2,-10.483812
601,ScGaCo2,-0.037447
602,SrSiN2,-0.044642
603,ScBeZn2,-0.319635
604,MgCuAs,-0.125975
605,Ti2Cu,-0.679646
606,GaB3N4,-0.008921
607,CaTiF6,-0.098637
608,Nd2TeS2,-0.016186000000000002
609,Be2TePt,-310.586678
610,TmInRh,-0.06564400000000001
611,LaUO4,-4.447966
612,LiBeSi2,-1.501085
613,Li4BeW,-1.328825
614,FeCu2GeS4,-0.547529
615,UCuPO,-0.19578199999999998
616,PuB,-126.47153200000001
617,Lu(CoGe)2,-0.075042
618,PuCoC2,-54.909372
619,NbCl4,-0.277332
620,NaSb(PS3)2,-0.258412
621,Li4MoO5,-0.15600999999999998
622,Tb(MnGe)2,-0.13122999999999999
623,Rb2PbCl6,-6.556344999999999
624,RbAu5,-0.041746
625,LiCoS2,-0.09930800000000001
626,KIO4,-0.044537
627,NaIO4,-0.044885
628,Ca(GeAu)2,-25.703858
629,KSc2F7,-30.497734
630,NaBeGa,-0.71865
631,Np2InPt2,-0.029913
632,UCuGe,-39.83485
633,K2S,-0.063631
634,KBa2Pd,-0.078919
635,BaYSb2,-60.509251
636,TiSiRu2,-0.042434
637,HfBe2Zn,-0.280742
638,Sr(CdGe)2,-0.087837
639,TiFeTe,-0.142318
640,UTe2,-0.043223000000000004
641,KBeCo4,-119.54555800000001
642,Ti3Tl,-0.053903999999999994
643,Mg2P2O7,-0.111133
644,NaInS2,-0.297069
645,BeTcW,-0.086506
646,TeAsRh,-0.06988
647,MgInNi2,-0.677621
648,NaSr4(BN2)3,-0.034564
649,As3W2,-0.013819
650,TiCoSi,-0.030641
651,Be(CN)2,-0.075879
652,TiBe2Ru,-0.193655
653,AgAsO2,-0.139285
654,Li2BeBi,-1.773094
655,Tb(CoSi)2,-0.082025
656,ScBIr3,-0.024561000000000003
657,Be2CdOs,-194.536554
658,ZrAl3,-0.004162
659,BaFePt2,-88.721214
660,Rb2As2Pt,-0.066791
661,HfCuHg2,-21.610132999999998
662,K2SO3,-32.26559
663,BeCrSi,-117.61327299999999
664,Tb2In,-0.134602
665,MnAu2,-0.20118
666,CaBeTe2,-261.542475
667,MgMn2Be,-1.397063
668,Y2C,-0.008208
669,ScGaCu2,-0.513126
670,ScCdAg2,-9.8035
671,MnCu2SiS4,-1.241685
672,K2NaGaP2,-0.21091700000000002
673,Tl4SnTe3,-69.612698
674,TiAsPd2,-58.968718
675,W2NCl8,-0.065098
676,TaAsBr,-134.155581
677,ScBeCl2,-292.983979
678,Ba4MoSe,-76.03100500000002
679,NdTeF,-0.144111
680,CaBiAsO6,-0.034406
681,Ca2BeFe,-39.699555
682,ScAlCo2,-0.04467
683,ThInAg2,-0.041496
684,Ti2TcPt,-0.030456
685,Li3CeBi2,-0.077514
686,Tl3F,-98.97792199999999
687,NaH2N,-0.116684
688,NpO,-0.031967
689,PuRh3,-0.051155
690,Co2Sn,-54.773509999999995
691,NaBePd2,-0.32753899999999997
692,Zn(SbO3)2,-0.035622
693,KNa2Be,-1.3847639999999999
694,Li4Cr3FeO8,-0.066815
695,Cr3B4,-0.042268
696,Ba2CaTa,-24.730122
697,NaBe2Pt,-101.555911
698,SrSbPt,-0.003181
699,KMnCl3,-0.139632
700,Pr3Ag,-55.040779
701,BaLiBi,-97.206227
702,BaAgP,-0.051163
703,BePOs,-0.811446
704,Rb2Hg2PdBr8,-0.06625299999999999
705,BaCa3O4,-115.414505
706,YbBi2BrO4,-0.014418
707,KLiZnS2,-0.32658200000000004
708,MnBeCl2,-318.000567
709,KAgO,-0.036638
710,RbPbCl3,-0.14968900000000002
711,MnSbPd,-0.26654
712,Mg3Fe,-0.200714
713,DyIn5Rh,-0.048924
714,Sb2TeSe2,-0.07471900000000001
715,H2C,-0.19420199999999999
716,Ce(AlGa)2,-0.211767
717,KBeTc2,-152.028078
718,KHO,-0.429457
719,CdSbS2Br,-0.162852
720,CaPdF6,-0.043904
721,BaBiAu,-40.259826000000004
722,Zn(CO2)2,-0.20720500000000008
723,Be2CrBi,-130.605276
724,Y(AgCl2)3,-0.125081
725,Ca3AsBr3,-0.12256800000000001
726,Sc2MnGe,-54.75284
727,BaSO2,-0.124008
728,Cd(RhO2)2,-0.025244
729,ZrFeP,-0.077261
730,CrPS4,-171.731436
731,Zr(CoSi)2,-0.06708
732,AgPS3,-0.071724
733,BaAg,-0.062068
734,Hf2S,-0.030216000000000007
735,BaHfN2,-0.036424
736,Au7I,-0.10861900000000001
737,Sc(SiNi)2,-0.181375
738,ScZn,-0.347911
739,UOs2,-62.545025
740,MgMnF6,-0.267924
741,SnBrCl,-0.234483
742,SiNi3,-0.314337
743,MgBe2Tl,-147.1008
744,NaMnO2,-192.771995
745,KNa2Bi,-0.289869
746,MnSi,-0.068905
747,BaZnGe,-0.289642
748,GaCl3,-0.141862
749,NdClO,-0.033294
750,Si3As4,-0.019037000000000002
751,CaAl2,-0.038337
752,V3Cd,-0.262804
753,Fe8N,-220.825554
754,Ba2NaCu,-0.8373729999999999
755,HfBeBi,-0.433118
756,Hf2Pd,-0.063169
757,CuI4,-30.921621000000002
758,ZrSnPd,-0.058039
759,BaPr2ZnS5,-0.238821
760,TiGa3,-0.080149
761,KNaSmNbO5,-0.053922000000000005
762,FeSn2(CN)6,-0.450111
763,Ba4CaNb,-53.41904
764,TiZnF4,-0.10667599999999999
765,AlCrCo2,-0.126601
766,Li3TaO4,-165.420309
767,CaC2,-0.091907
768,MnZnO2,-70.864453
769,Er(NiP)2,-0.22949299999999997
770,LiTlPHO3,-0.05087
771,BaLi2Fe,-77.422883
772,SmFeSi,-0.115211
773,BaTm2F8,-0.180555
774,Zn2Ni3O8,-0.046068
775,TbAlCu2,-1.014368
776,LiVRh2,-0.075436
777,Sr(MnGe)2,-48.735423
778,HoClO,-0.025894999999999998
779,Sm2MgGe2,-0.281956
780,CoHg3,-18.831482
781,NdSi,-0.009125
782,CN,-0.065066
783,ZnCO3,-0.163401
784,Y2ZnRu,-0.44948599999999994
785,AlTlF4,-0.155095
786,CrSi2,-0.11034200000000001
787,VNi2,-0.597444
788,RbCeS2,-0.061858
789,PdSeO4,-0.10730999999999999
790,Mn2Ge,-173.435854
791,NaBe2Pd,-0.424599
792,PrH2,-0.00040300000000000004
793,PaO,-0.09936299999999999
794,HoCoSi,-0.074089
795,Mn2BeFe,-0.860049
796,ZnSeO3,-0.056985
797,ZnWO4,-0.067044
798,Pm2O3,-0.04905
799,YbSe,-0.008048
800,ScTlO2,-0.057375
801,MgSnAu,-0.108885
802,Dy3Y,-0.01649
803,SnAs,-0.19127
804,Sb2O3,-0.027902999999999997
805,ErZnAsO,-0.15199300000000002
806,CoH4(BrO)2,-196.788419
807,Fe2AsCl,-147.793033
808,HfSiNi,-48.613459999999996
809,InSb2S4Cl,-0.10654200000000001
810,BaCaBr,-73.52842
811,Ta2Co,-0.038593999999999996
812,BaInMo2,-67.109514
813,Be2SiW,-0.108944
814,CaSi2,-27.315269
815,TcO3F,-0.269889
816,Sr2ZrO4,-0.270996
817,Sm(GePd)2,-0.099897
818,GeO2,-157.624853
819,Ca(SmS2)2,-0.031188
820,ScSnO3,-190.439624
821,CaMg(CO3)2,-0.18349200000000002
822,Tb(SiRu)2,-0.079104
823,NdHg,-0.002139
824,InAsF6,-0.19116
825,UAu2,-0.0021739999999999997
826,LiCa4(BN2)3,-0.098258
827,HoCo2,-0.05775
828,Np(OF)2,-0.194179
829,Cr3Ni,-0.101255
830,TbSF,-0.06458799999999999
831,UCO5,-0.06008400000000001
832,BaWCl,-32.316764
833,Be2InTe,-0.227821
834,TiOF2,-0.077655
835,KSrCO3F,-0.072491
836,BeTlTe,-27.253798
837,Dy6FeSb2,-0.277059
838,HoPaOs2,-0.022605
839,HPd,-277.679536
840,Li2FeF6,-0.050713999999999995
841,UTeP,-0.017602
842,Tl4Te3Pb,-25.843491
843,Ca3PCl3,-0.274192
844,SrHgO2,-0.12553499999999998
845,BaNaPb,-49.783714
846,K4ZnAs2,-0.238378
847,B2Ru,-0.044037
848,Ca2MgBe,-41.483686
849,LiAsRh2,-0.042012
850,PrGe,-0.139174
851,CoAs,-0.036238
852,Ba2BiAu,-0.03166
853,Zn(RhO2)2,-0.015
