,pretty_comp,magmom_outcar
78,TbInCo2,3.9840867999999996
79,Sm2Se2O,0.0
80,TmZrSb,-0.0
81,ZrTe5,0.0
82,Li3TaO4,-0.0
83,Nd(SiPt)2,-0.0
84,Be2WSe,-0.0
85,Ba2TlTe,0.0
86,LiYS2,-0.0
87,MgBeOs,0.0
88,Yb(GePd)2,-0.0
89,NiTeO4,1.9992933999999998
90,PdF3,0.8707601999999999
91,NaCuPO4,3.9284125
92,BeTeW,-0.0
93,HgBiPb2,0.0
94,Tb5O9,2.985119
95,MoRu3,0.0
96,NaLi2Sb,0.0
97,DySb2,-0.0
98,ScRu3,-0.0
99,Th(GePd)2,0.0
100,BeNb2As,-0.0
101,LiCoPO4,5.999998400000001
102,ScRu3C,0.0
103,BeGaOs,-0.0
104,Pr2CuO4,-0.0
105,CoO2,0.7932557
106,Ca2PdRh,-0.0
107,KMnAg3(CN)6,1.0
108,Na2Ti3Cl8,5.9997041
109,SeBr2,-0.0
110,K4Ru2O,-0.0
111,DyAlO3,0.0
112,Li7VO5F,1.0
113,TiPN3,0.0
114,Nb3O7F,-0.0
115,LiNO3,0.0
116,Sb2Pt2O7,0.0
117,FeP2,-0.0
118,Nd2SO2,0.0
119,Bi4O3F7,0.7720903
120,MgCdHg2,0.0
121,DyYCd2,-0.0
122,Li2PbAu,-0.0
123,Zr2IrRh,-0.0
124,RbLiMoO4,0.0
125,Cu2Sb4S3,0.0
126,Sm2Sn2O7,0.0
127,AsH3,1.2724209
128,As2SO6,-0.0
129,H3S,-0.0
130,MnGaCo2,4.1321084
131,Nd(MnSi)2,3.5443092000000003
132,Be2CuTc,0.0
133,Ga2CuO4,1.9891048999999998
134,Lu2O3,-0.0
135,Ba2YF7,0.0
136,V2P7,0.0
137,Tb2InGe2,0.0
138,N2O,-0.0
139,Cd2Hg,0.0
140,CaBe3O4,-0.0
141,Mn3CoO8,8.0001297
142,Ti2TcPt,-0.0
143,Sr2IN,-0.0
144,Ba4GaP,-0.0
145,Ca2SnN2,-0.0
146,SiPt,0.0
147,Sr4I6O,-0.0
148,ZnB2(CN)8,-0.0
149,Re3N,0.0
150,NpOs2,1.4999999999999999e-05
151,Ba3SiO,0.0
152,Yb(ZnAs)2,0.0
153,Na2LuPCO7,-0.0
154,Sm3Ga,0.0
155,PrBPd3,-0.0
156,K4BeW,4.7319322
157,Lu3SnC,0.0
158,FeSbAs,-0.0
159,Nb2CrOs,0.0
160,PrSnPd,-0.0
161,BeBi2Pb,0.0
162,SrTa2Be,0.0
163,Li3V2F9,4.0
164,Li2PdF6,0.0
165,BeB2,0.0
166,Zr2InC,0.0
167,BaNbCl,5.812533999999999
168,Na4CO4,-0.0
169,TlFeSe2,2.9925362
170,YBeMo,-0.0
171,Mg3B,0.0
172,Er3Ru2,0.0
173,SmHoTl2,0.0
174,TaBi3O7,0.0
175,MgTaRh2,-0.0
176,CaCrO4,-0.0
177,Li3Zn2SbO6,-0.0
178,Pr5CuSe8,-0.0
179,SmHoIn2,-0.0
180,Mg5(HO3)2,0.0
181,ZrZnO3,-0.0
182,AcInAu2,0.0
183,BeTeIr4,-0.0
184,H6PbCBr3N,0.0
185,Ba4CuSe,-0.0
186,NaTeF5,0.0
187,NaCu3O4,-0.0
188,LiNbRu2,-0.0
189,BeAlRh2,0.0
190,TlSbTe2,0.0
191,Cd2AgRh,0.0
192,Be2CuCl,0.0
193,Ba4FeW,3.2192392000000005
194,Mg2VBiO6,0.0
195,SrC2,-0.0
196,As3HO6,0.0
197,TmInRh,-0.0
198,Li2DyPCO7,3.5000000000000016e-06
199,Sr3LiRuO6,5.9607027000000015
200,Ba2HfBi,2.6433983
201,Ba4ScMo,2.57e-05
202,PaN,0.0
203,KTaO3,0.0
204,ZrBeBr2,0.0
205,NdAg,0.0
206,NaTbSe2,0.0
207,GaCuS2,0.0
208,Na2Mg(CO3)2,-0.0
209,SmInO3,0.0
210,Mg2PN3,0.0
211,TmAg,-0.0
212,Li8SbS6,0.0
213,ErCoSn2,-0.0
214,TiFeCoGe,0.9998288000000001
215,ScFeGe,4.5433664
216,Al2SiO5,-0.0
217,Yb(MnAs)2,4.9946039
218,Rb3BP2,-0.0
219,KV(SO4)2,2.0
220,BaZn4Br,0.0
221,Cu2Mo3Se4,-0.0
222,MgGeP2,-0.0
223,ScTaFe2,0.0
224,Cu2GeAs,0.0
225,BePdCl,0.0
226,Li2V3F8,9.0
227,BeRu2Pb,0.0
228,Mg2AgRh,-0.0
229,DyInPd2,0.0
230,FeCu2SiSe4,3.9245184999999996
231,MgAsP,-0.0
232,Ce2Mo2C3,-0.0
233,ThAu,0.0
234,SrBePb4,0.0
235,SbAsF8,0.0
236,DyNi4Au,0.0
237,BaSn2Sb,0.0
238,Ag2HgO2,0.0
239,Nd2CdS4,-0.0
240,ScAlPd2,0.0
241,KTi5Se8,5e-07
242,Er(VGa2)2,0.0
243,LiZnP,0.0
244,DyPt3,0.0
245,Ce2AlNO3,1.5064636
246,Li3Co5OF,8.5809844
247,BaO,0.0
248,Ba4ScCd,2.0393816000000005
249,KCaBr3,-0.0
250,Cd2Ru(CN)6,0.0
251,Ba2HfO4,-0.0
252,LiSmAu2,0.0
253,SmCdPd2,0.0
254,Li2Co3TeO8,0.9621708000000001
255,Ca3SbAs,-0.0
256,Yb2AlSi2,-0.0
257,Fe3PH6PbSO4,3.0000687999999998
258,Rb2GeS3,0.0
259,Be2ZnSi,0.0
260,Ba2LaTi,2.3e-06
261,Be2BO3F,0.0
262,K2Dy4Cu4Se9,0.0
263,CdAuO2,0.0
264,GeAs,0.0
265,Li2GePd,-0.0
266,Be2FeSb,0.9639110999999999
267,TaTlO3,0.0
268,Pr(CoAs)2,1.5615587
269,Dy(BRh)4,-0.0
270,AuSe,0.0
271,CrN,2.3136611
272,HfMgO3,-0.0
273,BiPbClO2,0.0
274,CaSn,0.0
275,Ce2TeO2,1.9970651999999998
276,SrTaBe2,0.0
277,DyPd,-0.0
278,Cu2Te,0.0
279,LiYSi,0.0
280,K3Al2As3,-0.0
281,LiZnHg2,-0.0
282,BeTlTc4,-0.0
283,Sm4Sb3,0.0
284,TbPS4,-0.0
285,Si2MoAs,-0.0
286,MgTa,0.0
287,Sr2SnO4,-0.0
288,NbSnS2,-0.0
289,Pm2AgRh,-0.0
290,BeZn2W,0.0
291,Li2CeO3,0.0
292,Y2CdIr,0.0
293,CaUO4,0.0
294,CaCu(SiO3)2,1.9999206000000005
295,Ba4LiP,-0.0
296,Nd2Ru2O7,1.5335127
297,CdCo3N,3.11435
298,Tm2SO2,0.0
299,TiNi2Sn,6.1e-06
300,BeRe2Mo,0.0
301,MoBr2,-0.0
302,LuNiBC,0.0
303,CaZrBe,0.0
304,S3(NCl)2,0.0
305,Ti2TcNi,-0.0
306,Ba4YPb,1.8606078000000001
307,Ba2BiP,-0.0
308,Li2UI6,4.0
309,YbMn4Cu3O2,9.067546
310,BiSbO4,-0.0
311,Pr(AgGe)2,0.0
312,Li3CrSiO5,6.0
313,BaZnSi,-0.0
314,AgCSN,0.0
315,NbCrN,-0.0
316,LiBe2Pd,0.0
317,MnBe2Tc,-0.0
318,LuZnRh2,-0.0
319,Pm2IrRh,0.0
320,MgZn,0.0
321,H3OF,-0.0
322,Li6PS5Br,-0.0
323,TiZnIr2,-0.0
324,HoAgTe2,0.0
325,YbCl2,-0.0
326,Yb5Sb3,1.0676038
327,NaBeSn2,-0.0
328,La2Pd2O5,0.0
329,BeGeMo2,-0.0
330,RbCS(OF)3,0.0
331,NaTiS2,0.5453677
332,TbO3,5.9999997
333,NiSO4,3.9997601
334,Dy3Sb4Au3,-0.0
335,LiPb,0.0
336,CaMnSi,3.7872872
337,YbH2,-0.0
338,LiSiPd2,-0.0
339,HfSnPd,0.0
340,Ag2Cl3,0.0
341,Rb2Be2O3,-0.0
342,Li3Ni4O4F3,5.8703372000000025
343,Na2GeF6,0.0
344,HoTmCu2,-0.0
345,Th3B,-0.0
346,YbTlPd,-0.0
347,Tb3NbO7,0.0
348,Li4MnF7,8.0
349,AuBrO2,-0.0
350,SnC,0.0
351,CaGaAu,-0.0
352,TmIO,-0.0
353,Na3Cl2,-0.0
354,NaCu2O3,0.0
355,SmOs2,0.0
356,Sn(HgSe2)2,-0.0
357,Li3CoNi3O8,1.9886268
358,PaAlCu2,-0.0
359,KClO3,-0.0
360,Li6CrO4,8.0
361,CoCl2,2.9995762000000004
362,TlFeF3,3.9999997000000014
363,ErAgSe2,0.0
364,LiIn,0.0
365,Li3Nb3TeO2,0.0
366,Ba2YCo3O8,2.7259984
367,Ta2SnO7,-0.0
368,GaFeIr2,4.1793776
369,MgV2O4,7.9320144
370,UV2O6,3.9999974000000003
371,Li2ErTl,0.0
372,Ba2ZnN2,-0.0
373,CuNiSb2,-0.0
374,Sc2In,0.45981350000000004
375,V2CdO4,7.999517599999999
376,LaH3,-0.0
377,ErPt2,-0.0
378,TaSbO4,0.0
379,Hf2ReIr,-0.0
380,Tb3(CoGe2)2,-0.0
381,TbCuSe2,0.0
382,LiGePt2,0.0
383,BaAg5,0.0
384,ErPb3,-0.0
385,FeSnRh2,3.7411936000000003
386,Na3P,0.0
387,ZrAgMo,0.0
388,Li2(CoO2)3,0.8073916
389,UPbO4,-0.0
390,EuIO,-0.0
391,Ba4NiCl,0.2062344
392,Cr(SiO3)2,4.0
393,H3ClO,0.0
394,ZrSnRh2,-0.0
395,Ba2MgV,-0.0
396,NiGePd,0.0
397,BeCuRe,0.0
398,MgNiO2,3.9851765
399,TiAuCl,0.0
400,TmMgPt2,-0.0
401,BaSO3,0.0
402,NdTe,-0.0
403,V3NiS6,0.00045969999999999995
404,BiBAs,-0.0
405,BaZrO3,0.0
406,Nb2CS2,0.0
407,SmCl2,0.0
408,VFeSb,-0.0
409,Nd3Sb5O2,0.0
410,BCl(OF2)2,0.0
411,DyYAg2,-0.0
412,KTlHg2,0.0
413,BaAl2B2O7,-0.0
414,TcB2,0.0
415,SmAu,0.0
416,CuSnAs,-0.0
417,CaZnSiH2O5,-0.0
418,Fe2As,6.5009269
419,CrSi2As,2.824539
420,Ag2PbO2,0.0
421,BeCuBi4,0.0
422,Ba2SnSe,0.9969501000000001
423,YAlAg2,-0.0
424,PbClF,-0.0
425,PH6(NO)2,-0.0
426,BaPdF4,0.0
427,Li4V3Ni3(WO3)2,6.0064335
428,MgBe2V,-0.0
429,Tb(SiOs)2,-0.0
430,HfBeBi,-0.0
431,Ti(SiO3)2,-0.0
432,CaCrF4,8.0000002
433,NaCa2Tl,0.0
434,YNi3Se2ClO8,0.0
435,ZnReO4,0.8688572
436,TiF2,1.9999999
437,Na2BeNb,0.42727170000000003
438,U2Ga2O5,5.8855377
439,BaSrHf2,-0.0
440,TeAs,0.0
441,OsC4(ClO2)2,0.0
442,Nb5(AsPd)4,-0.0
443,Sc2NiRu,-0.0
444,Na3VBAsO7,3.9999998999999997
445,NaZnP,0.0
446,ErCu4Au,0.0
447,MgScGa,0.0
448,BaGaBO3F2,-0.0
449,Ce4B2N5,0.5161671
450,Cu3O2,0.0
451,BeNbW,-0.0
452,YCuO2,0.0
453,Li4Co5NiO2,0.6193026999999999
454,BeNbTe,-0.0
455,HfMg,-0.0
456,SrBeF4,-0.0
457,BaTlPb2,0.0
458,ScBeTc2,0.0
459,TiSiRu2,-0.0
460,CeFeSi,0.0007363
461,LiMgPd2,0.0
462,CaCdO2,0.0
463,Ca5MnO6,4.9999998
464,Lu2MgTc,1e-07
465,ScRh2Pb,-0.0
466,ErInAu2,0.0
467,Ti3Ir,-0.0
468,Na2NbF6,1.9999947
469,BaTcBr2,2.365442
470,Li4CO4,0.0
471,Be2SnSb,-0.0
472,HfBe2Rh,0.0
473,Rb3Ge,0.9655209000000001
474,Ca2CeO4,-0.0
475,BeCo4Pb,5.344436099999999
476,Ca3SnN,1.0452973
477,AsOs2Cl,0.0
478,Li2FeS2,3.9999946000000004
479,Ba4TlFe,0.2962514
480,NbGaRu2,0.0
481,Er2Re2Si2C,0.0
482,LiInSn,0.0
483,Na2La2Ti3,0.0
484,PmHgAu2,0.0
485,LiHoGe,0.0
486,BaLiRu2,-0.0
487,NdZnAu2,-0.0
488,Mn3Ge,1.0385695
489,Ba4BeHg,0.0
490,TbGa2,0.0
491,Ba3Mn2O8,3.999996
492,BaSbBr2,-0.0
493,MgBeMo2,0.0
494,AsOs2W,-0.0
495,ZrGeTe,-0.0
496,BaSr2I6,0.0
497,TeAsIr,-0.0
498,BeNbFe,0.8503978000000001
499,LiAsSe2,-0.0
500,SrLi2In,-0.0
501,AlCuF5,0.9999982
502,TaZnRh2,-0.0
503,KTm,-0.0
504,YCo5,6.7962512
505,BaTa2Bi2O9,-0.0
506,NaYbF4,1.9961688999999998
507,CdPd,0.0
508,AlCo3,3.7372345
509,ThAl3Ni2,-0.0
510,MnAlCu2,3.4703288
511,Al4Cu2O7,0.3391245
512,YbPrZn2,-0.0
513,CeP,0.6033038000000001
514,AlVFeCo,0.9030799999999999
515,Cr2FeSe4,5.9969297999999975
516,Ba4GaRh,-0.0
517,Al(BiO3)3,5.9506431
518,BrClO,-0.0
519,BaVS3,1.3777995
520,Pr(SiOs)2,0.0
521,Mn(AlTe2)2,4.9939572
522,K4Ba(VS4)2,0.0
523,VS,2.0046018
524,Pr3Cd,0.0
525,Ba4HfNi,3.6102345
526,LiTmO2,0.0
527,Y2TeO2,-0.0
528,CaBePt,0.0
529,Nd3Mg,0.0
530,H5CNO2,-0.0
531,Mo2C,0.0
532,Sm2(Zn2Ge)3,0.0
533,Ba4LaW,9.000000000000002e-07
534,ScHg,-0.0
535,Pm2ZnPb,-0.0
536,Sb2Te4Pb,-0.0
537,LiAl2Ni,0.0
538,K3VSO3,0.0
539,K2TaCuSe4,0.0
540,NaBeSi2,-0.0
541,SnBi3,-0.0
542,NiO2,3e-07
543,KBiF6,0.0
544,Nd2Zr2O7,0.0
545,LiYbO2,1.9993773999999997
546,Ce(NdS2)2,2.7285673999999998
547,Y(AlSi)2,0.0
548,CaSc2O4,-0.0
549,Tb3Yb,0.0
550,Nd5Ge3,0.0
551,Li3CuSbO5,2.15e-05
552,TlBiS2,-0.0
553,HoCu5,-0.0
554,TmMnRh2,4.4539379
555,ZnBi2O5,-0.0
556,Lu6Sb2Mo,0.0
557,Na2Cu2TeO6,1.8827038
558,Mg3AlPt2,0.0
559,Zn(FeS2)2,3.9902352
560,Rb2NpO4,0.9999998999999999
561,Pr(MnSi)2,3.5476151
562,NdVGe3,0.0
563,ThIN,0.0
564,TaW3,0.0
565,BaTi4O7,3.4730763
566,BaO2,0.0
567,Zn3Ge3(SbO)2,0.0
568,Lu2Ta2O5,0.0
569,CuP2(HO)4,3.9967417999999997
570,Mg3Co,0.0
571,LiCuF4,0.0
572,MgAl2O4,-0.0
573,ScIn3,-0.0
574,Tb3AlC,0.0
575,NClO,0.0
576,Ti2MnGe,0.9103346
577,Co2P2O7,5.9999999000000015
578,Cu2SnS3,-0.0
579,CuH4(OF)2,0.9958174000000001
580,Sm2Co2P7,3.9244324999999995
581,HoInAu2,-0.0
582,AlPO4,0.0
583,Na2SrBe,0.0
584,PrGa3,-0.0
585,CaMn2Be,6.3143413
586,Yb3In,0.0
587,Ca2FeSbO6,8.9052747
588,LiYAu2,0.0
589,BeVSe,0.0
590,Bi3Se4Br,-0.0
591,Rb2TlGaF6,0.0
592,YCdPt2,-0.0
593,Pm3Tl,-0.0
594,Y2SO2,-0.0
595,SrCuP,0.0
596,UGa3Ni,2.355325
597,Na2Cu2Si4O,1.9509918000000002
598,MgNiH3,0.0
599,TcAsPt2,-0.0
600,LiTcO3,-0.0
601,PuNi2,1.4499999999999993e-05
602,BeNbPt,-0.0
603,NaB(CO2)4,0.0
604,KSc2Co,5.550000000000003e-05
605,HfPRu,-0.0
606,Pm2ZnRu,-0.0
607,ThIn3,0.0
608,SrAl4Sn3,5e-07
609,Tm6CoBi2,0.0
610,ZrBe2Sn,-0.0
611,TeBr2,0.0
612,LiAgF3,5e-07
613,Cr2CoS4,6.2187177
614,ZrCo,0.00035380000000000003
615,LiHg3,0.0
616,Na4SnS4,-0.0
617,CrS2,3.9717422
618,NaScO2,0.0
619,Nd(NiP)2,-0.0
620,Th(Al2Cr)4,1.5018876
621,SmO,0.0
622,Sc2TcNi,0.0
623,CaSiO3,0.0
624,BaGe4Bi,0.0
625,Ba2NbTe,4.5453554
626,CaBeFe2,4.0255814
627,NaAsPd,-0.0
628,K2NaCrF6,3.0000001
629,SmAgAu2,-0.0
630,ZnCuMo,0.0
631,K6Cu(SiO4)2,0.9932889000000001
632,Pm2NiRu,-0.0
633,YTaO4,-0.0
634,Ni3Sb,0.0
635,Pr(NiP)2,0.0
636,BeV2Tc,-0.0
637,SrZnO2,-0.0
638,PrSnAu2,0.0
639,BePb4W,2.9393348
640,ScCu3,-0.0
641,Ba4TcPb,2.6568385
642,K2S5,0.0
643,Ho2CdIn,-0.0
644,RhCl2,0.0
645,NbAsIr2,0.0
646,Tb2Mg,-0.0
647,BeTl2Te,-0.0
648,CaTbF6,1.9432123
649,KNO3,-0.0
650,KLiSO4,0.0
651,TaSnS2,-0.0
652,Ba4PtRh,-0.0
653,Al5Co2,-0.0
654,BaCdO2,-0.0
655,Ba4MgSe,0.4997915
656,Ba(PRh)2,0.0
657,ZrAu4,0.0
658,Tb4InRh,0.0
659,CaTiO2,-0.0
660,UAs2Pd,3.0374868
661,Li4Co2S9,6.0
662,Ba2CrW,8.209999999999999e-05
663,SmYIn2,-0.0
664,CoSi,0.4293752000000001
665,Sr2MnCuSO3,8.0000217
666,TaBe2Re,0.0
667,MgAlRh2,-0.0
668,NdGeRu,0.0
669,GaS,0.0
670,Ca3Pb,-0.0
671,BeV2Cl,5.95e-05
672,Bi2Os2O7,-0.0
673,AlGaPd2,-0.0
674,VZnF6,1.0
675,Al3NO3,0.0
676,Rb2Te,0.0
677,KBaSn,2e-06
678,Ba4SnPt,0.0
679,Sr4PdO6,-0.0
680,Ho3Tm,0.0
681,Li2Fe3SbO8,3.0001226
682,CoNiSb,1.5202776000000002
683,LaBeSe2,0.00027160000000000004
684,AgSbF6,0.0
685,InReGe,0.0
686,KBeRu2,0.0
687,TaBeV2,0.0
688,BaCaSc,1e-07
689,PrB2Rh3,-0.0
690,KPt2Se3,-0.0
691,BeFeOs,1.8409328
692,TaAsW,0.0
693,TbYbHg2,-0.0
694,Mo3Pt,-0.0
695,K4SnO4,0.0
696,Be2Zn,0.0
697,Li3Re,2.1185462000000004
698,SiSnO3,-0.0
699,BeV2Ir,1.152383
700,Pr2ZnHg,-0.0
701,SmGe3,0.0
702,TbBS3,0.0
703,NaCaTaTiO6,0.0
704,ZrCuSi2,-0.0
705,BaBeCo2,1.2341387
706,Mg2SiO4,-0.0
707,DyIn5Rh,0.0
708,Ba3NaIrO6,3.9458756
709,LuSnPd2,0.0
710,ZrNi2,-0.0
711,KSmPdO3,-0.0
712,ZrBeCo4,2.7221702999999997
713,Ba(PrS2)2,0.0
714,YNiSb,-0.0
715,RbCdAg3(CN)6,0.0
716,BaC2,0.0
717,LiMnBe2,0.6296971
718,BeGa2Os,0.0
719,Ca2MgBe,-0.0
720,MnAlNi2,4.0133982
721,YbPaRh2,0.0
722,Na6MnO4,9.9741414
723,ZrCoSb,1.25e-05
724,K8NO3,0.9999998999999999
725,BeCoBr4,2.4679097999999997
726,TaGaCo2,1.713998
727,NpB2,2.3583892000000004
728,Ba4ScZn,2.0399408
729,NaYSi,0.0
730,KLiSO4,-0.0
731,MgSbF6,0.0
732,Al2FeTc,2.4813655
733,Nd3InN,0.0
734,SiC(ClF)3,0.0
735,Li5Ti2Co3,1.9555438000000005
736,Fe4N,8.8196924
737,Sr2Pb,-0.0
738,BaYCuSnO5,-0.0
739,LiCa2Ir,-0.0
740,YbTaRu2,-0.0
741,CdCu2GeS4,0.0
742,K(CoAs)2,-0.0
743,Ba4NaAuO8,0.0
744,Sr2BeTl,-0.0
745,BeGa2Co,0.239125
746,EuSb2,-0.0
747,Nb7(B2C)3,0.0
748,Hf2Ni2Sn,0.0
749,Mg(MoO2)2,0.0
750,Mg3ZnO4,-0.0
751,Th6CoBr5,0.0
752,NbSiRu2,-0.0
753,ScZnCu2,-0.0
754,Mn4ZnO8,8.0155841
755,Rb2NaCrF6,3.0000002999999995
756,Mg2BeCd2,0.0
757,VBiO3,7.9999755000000015
758,BeCo2Bi,1.1821273
759,CaHfBe2,-0.0
760,CeYIn2,0.849132
761,Cu2NiSn,0.0
762,BeVRu4,0.0
763,VAsW2,0.0
764,RbBe2F5,0.0
765,Be2PdPb,-0.0
766,Ca(MgSb)2,0.0
767,Li2V3CrO8,6.8028718999999995
768,KV5Se8,9.7198549
769,HfMnTl,4e-06
770,Be2ZnGe,0.0
771,BaGaBr2,-0.0
772,BaSnHg,-0.0
773,HfZrZn2,0.0
774,NbPt,0.0
775,BaSrMo,2.9605207
776,UF3,2.9999995
777,ZrNi2Sb,0.0
778,SNCl,0.0
779,SCl,0.0
780,BeGeTe,-0.0
781,LuCu5,0.0
782,Cu(IO3)2,1.9812948000000001
783,BeMo4Se,0.0
784,Be2NbTc2,0.0
785,ZnWO4,-0.0
786,CuO,0.0
787,AlV2O4,4.2888124
788,Ca3GeN,-0.0
789,MnTePd,4.837977099999999
790,LuAs,0.0
791,Ta2Be2Pb,-0.0
792,TbB2Ir3,-0.0
793,CaNiF6,-0.0
794,Pr(CoSi)2,0.0
795,InCu2,0.0
796,ScGa5Fe,0.0
797,BaBeGa2,-0.0
798,Li2InSb,1.9698155
799,Sr2SiO4,0.0
800,Mg2PbW,1e-07
801,LiSnRh2,-0.0
802,Ni3S4,-0.0
803,Ba4CrW,8.5663837
804,AlAsO4,-0.0
805,HfN2,0.0
806,ZnNiPd2,2.057287
807,PrRe2,0.0
808,Ho2ZnIn,0.0
809,K3ZnPCO7,-0.0
810,Ho4NiB4,-0.0
811,Zr2Al3C5,0.0
812,InCuO3,-0.0
813,Pr3SiAgSe7,-0.0
814,Sc2BeV,3.0670111
815,TbU3,4.511696700000001
816,HfBrN,0.0
817,Ba4TcTe,1.4e-06
818,AsPd2Pt,-0.0
819,TaVO5,-0.0
820,LiBeBO3,0.0
821,ZrCu,-0.0
822,ZnCu2SnS4,-0.0
823,Be2ZnRh,-0.0
824,PmSmMg2,-0.0
825,SmMoClO4,0.0
826,Na2SO4,-0.0
827,DyAl3,-0.0
828,TeWCl9,1.9935601000000005
829,Tb2Ti2O7,-0.0
830,BeZnO3,1.9733931
831,Ba2AlV3O8,2.7367941000000005
832,MnBeNi,1.389278
833,YBe2Cd,0.0
834,YbLuRh2,-0.0
835,Ba2Bi6O,-0.0
836,Eu(PRh)2,-0.0
837,SiAsW2,0.0
838,CrNi3,2.2293667999999998
839,MnBi,6.924419599999999
840,ZrTiAs,-0.0
841,AsPtRh2,0.0
842,LiV2F6,9.9999999
843,NaTiO2,-0.0
844,Nd2Te4O,0.0
845,SmTiGe,2.8129188
846,Ni4Mo,0.0
847,Tm2BeOs,-0.0
848,Sr3Fe2Cl2O5,7.5217334000000005
849,Sr6Cu3N5,0.0
850,OsCl4O,-0.0
851,TiFe(BiO3)2,4.0009377
852,LiAlTe2,0.0
853,Hf5Sc,-0.0
854,Zn3Pt,0.0
855,Sm3Hg,-0.0
856,TbH2Br,-0.0
857,Be2VGe,-0.0
858,BaNa6O4,-0.0
859,GaFeNi2,3.0353038
860,Be2BiBr,0.0
861,ScHgAu2,0.0
862,Li3GaN2,-0.0
863,Ho2Ru2O7,1.3701181999999998
864,Ba3(AlGe)2,-0.0
865,Li3MnO2F,9.9999993
866,Tb3Si2S8I,-0.0
867,CaAlAu,0.0
868,Re3Si,-0.0
869,MnBe2Si,0.3084951
870,BeZn2Ge,-0.0
871,BeTl2Ga,-0.0
872,Sr(AsRu)2,-0.0
873,SrPdF4,0.0
874,BaBrF,0.0
875,K2Te2Pt,0.0
876,CaBeBr,0.0
877,YBeMo4,0.0
878,Lu2S3,0.0
879,BaBiBr,1.9928776000000001
880,MgTi3,-0.0
881,HfBeP,-0.0
882,ZnSb3,-0.0
883,BaMnIn2,3.7430891
884,ErSnAu,0.0
885,ZrAlPd2,0.0
886,PrSbPd,-0.0
887,LuSnAu,0.0
888,LiCd,-0.0
889,ClF,0.0
890,TbAgSe2,-0.0
891,Rb2Pd3S4,0.0
892,RuCl2O,0.0
893,SnTe3,0.0
894,CN,0.0
895,Li3DySb2,0.0
896,NbV3,0.0
897,Ba2YBi3O8,0.0
898,MgMo2As,0.0
899,BaGaPt2,0.0
900,HgCl2,0.0
901,Ti2FeS4,2.1453652
902,Zn3Si3(BiO)2,0.0
903,KBePb2,-0.0
904,Tb2Au,-0.0
905,Li2BeGa,0.0
906,Dy4CdRh,-0.0
907,PrPd,-0.0
908,Li2ZnSi,0.0
909,TiNb3O6,0.0
910,Li2FeO2F,9.442488599999999
911,SiNi3,-0.0
912,Sm3TaO7,-0.0
913,V(WO4)2,0.8936584000000001
914,RbCaBr3,-0.0
915,MgInAg2,-0.0
916,VN,0.0
917,Li(CoO2)2,1.9163306
918,AcCrO3,2.9999773
919,AlFeRh2,4.1914424
920,Ca(AgO2)2,-0.0
921,LiCo2CuO6,1.9189903999999998
922,LiIr3,-0.0
923,Ba2CrTe,4.9173983
924,BeSnGe4,-0.0
925,HfPt,0.0
