,pretty_comp,n_Seebeck
208,Lu3TlC,-42.040722
209,Li2NiOF2,-22.57512187
210,NaAu2,-6.092549
211,LiCrO2,-58.336224
212,CdPOs2,-0.8299979999999999
213,H3AuC2NCl,-261.0756633
214,BaAlFeCuO5,-15.125308
215,NiAuO2,-5.576724433
216,SrCl2,-230.25528
217,RbSb,-128.618103
218,YbOs3,5.242308233
219,K2PuO4,-26.35989293
220,LiAl3,-2.572851333
221,Rb3Nb,-43.50764633
222,KSbO3,-78.518158
223,Tl2SnCl6,-116.83894
224,GeTe7As4,-256.6981767
225,V2O5,-299.6939700000001
226,Rb2Se3,-159.3790767
227,Tm5(ReO)2,3.5258665330000003
228,Al2Os,-323.3411733
229,TmGaO3,-120.61699
230,InBr3,-193.07846
231,Si(O2F3)2,-132.31925
232,Pd2O,5.348257
233,NdBrO2,-362.95939
234,Bi2OF4,-348.8172233
235,SiC(ClF)3,-304.4376767
236,Rb2NbF6,-18.68980867
237,Nd(CoP)2,0.6597373670000001
238,SmIn2Rh,2.345342705
239,Na2DyMoPO8,-348.5662333
240,Mg(AuF4)2,-363.1456567
241,Ca2CuO3,-2.2505941000000003
242,PuGe2,-25.43212333
243,TiAl2O5,-333.6337433
244,Ba3SrTa2O9,-294.2171600000001
245,Ti2RePt,-26.422539
246,TlFeS2,1.607322067
247,BeSnP2,-154.4547567
248,Na3Ni2SbO6,-366.2153067
249,Li3Co(N3O)2,-404.2243133
250,SmCu4Ag,6.007932733
251,TePd,-37.85922033
252,MgCdAg2,0.94497972
253,K3Na(SO4)2,-137.6331367
254,YbH2,-189.73349
255,LiCaN,-92.82228333
256,TlCr3S5,-12.21474467
257,Rb2Yb2O5,3.0162023330000003
258,LiFeSiO4,-383.94176
259,KAuSe,-210.8167067
260,Dy(Al2Cr)4,-12.25278453
261,CaPdF4,-354.4591433
262,SmZn,6.977530099999999
263,YPaTc2,-5.8220653
264,Hf3Ge2,4.0600344
265,Nd2Fe2Si2C,-9.4847654
266,Zn3Ni7,-57.796186
267,Th(MnGe)2,-12.95835233
268,Li2MnO2F,-305.9308133
269,H2S,-166.49093330000005
270,TmNiSb,-269.20366
271,LuAl2Ni,9.706338367
272,Sr2UZnO6,-419.80736
273,KNO3,-352.0115433
274,Zr3In,-3.3736251000000004
275,LiLa2Ir,0.14534671
276,Na6S2O9,-144.43341999999996
277,PbS,-133.82214
278,InCuO2,-117.4857367
279,Rb3ClO,-105.79734
280,Ba2YBr7,-272.11058330000003
281,Rb3InO3,-123.8622133
282,YAs,3.2649793
283,HfGa3,6.049099133
284,Ho2CuRu,-3.9327423
285,Sm3Ga,-0.37876429
286,Li3BiS3,-351.75916
287,Nb9PO25,-322.80370330000005
288,NbAlNi2,8.026461099999999
289,YUO4,6.822547332999999
290,Li2Cr2O7,-354.47189
291,TmCdHg2,-4.4565807
292,Ho(CrSi)2,-15.29061503
293,LuC2,-8.281095467
294,BeAlH5,-182.6976233
295,ScHO2,-470.60049
296,Yb(SbTe2)2,-225.4066333
297,CaTiO3,-333.5438867000001
298,SmSnF7,-135.5032633
299,Pm2IrPt,-7.5138994000000014
300,V2N,-4.7653686
301,AcMgCd2,-9.5063627
302,Tb(Al2Fe)4,-7.439215397000001
303,Si(CN2)2,-274.78503
304,YFe2,-10.63112633
305,SrCuSF,-104.6583193
306,LiSnS2,6.4381973
307,YSi2Rh3,-9.853671917
308,BaMg2FeH8,-206.21551330000003
309,Pm2AgSn,-39.998302
310,YHg2,-1.1594151
311,ErRu3,-3.89090326
312,ErCoSn2,-2.685063833
313,Co3(O2F)2,-5.914630732999999
314,Mn2GeO4,-48.96228867
315,TbPS4,-309.1883533
316,Li2CoGeO4,-392.9766867
317,AsH5COF6,-231.11474
318,Rb2PbO3,-138.7198533
319,LiNi(CO3)2,-440.1067533
320,UNiSn,-49.822141
321,Er3Rh,4.987590667
322,La2ZnIr,1.7335693
323,KSn2I5,-138.7503267
324,Mg5(HO3)2,-119.0258023
325,InSiIr,-9.9652683
326,HgF,-151.3052
327,ZrFeSe,-128.19905
328,LiLaNb2O7,-198.2804133
329,In5AgSe8,-40.42489333
330,Sm3Sb4Au3,-179.86431000000005
331,Cu2S,-84.17583333
332,BaAgP,-232.16195
333,Zr2CS,-35.844175
334,Ca2FeIrO6,-25.25558867
335,AlGa3N4,-68.00899
336,NdBi2ClO4,-85.68003633
337,CuSnH2(NO3)2,-297.7141933000001
338,Ti2RePd,-13.758444
339,TbGa3Os,-4.6839555
340,Ag3SbS3,-256.28493330000003
341,KLiZnS2,-83.16503767
342,LuIO,-335.1946233
343,Mn(SbS2)2,-258.80149
344,SmAsPd,-43.58597367
345,SnIrSe2,4.8861072
346,Li4Fe3Si3O2,0.294246667
347,LiHoSn2,3.1447645
348,Hf6CoBi2,4.372759667
349,Na2Zn2Se3,-54.24714167
350,KAg2PS4,-74.39906967
351,HfAlAu2,-1.850769233
352,Ga7Ni3,-8.37182
353,Ca(GePd)2,-2.61638423
354,LiNiSnO4,-37.032252
355,Sm6Si4S7,-319.2936433000001
356,HfIr3,8.3635654
357,AgHO2,-22.17003333
358,KRbS,-88.36195467
359,ZrPbF6,-333.40416
360,Ba2ZnF6,-149.3851867
361,KZnF3,-125.14958
362,TiAlRh2,8.2766163
363,Fe3O4,-13.4666529
364,Ca2NCl,-251.3595633
365,Ba2CuSi2O7,-186.1571187
366,TmMn2,-3.230504667
367,ScTlS2,-345.42512
368,Lu2CuIr,0.99889611
369,Li4MnV2WO2,-405.9546267
370,Na3SbO3,-424.60629000000006
371,NaV3O6,-2.219960967
372,BaBeF4,-103.7253937
373,Na3UO4,-78.66529333
374,K3Ta3(BO)2,-164.93327
375,Si3W5,-7.564450533
376,TaAlNi2,6.2468595
377,V3(PO4)2,-349.4828167
378,ScCdPd2,0.84577789
379,Sb2TeSe2,-185.5990033
380,Fe6OF,0.6879313
381,KTcO4,-346.3787267
382,Sc2CuRu,-3.2872725
383,IBr,-351.92226
384,Ni2Mo,5.889298905
385,DyTlS2,-313.9273967
386,Ta(TeBr3)2,-251.0894233
387,HoPd,-0.009796843
388,Np(OF)2,-97.54430767
389,Ca3BiSb,-50.272671
390,ReRuCl2,0.49723472
391,SrSeO3,-333.2644033
392,NaNd2RuO6,-305.9796567
393,CrB4,-27.07071567
394,Nd3Cu3Sb4,-107.64006
395,K3Nb,-34.11925667
396,ErInPd2,9.1730217
397,UAl2,2.2227541
398,HfZr,-14.64366733
399,Li2Pd,-10.9386352
400,SmTlO2,-327.3573233
401,BaP3,-154.15829330000003
402,UCd2O5,-412.9892733
403,Ca2Ru2O7,-5.043600233
404,Sc2O3,-205.10961
405,BaNd2PdO5,-392.73767
406,PbI2,-139.5999333
407,HgBrO3,-378.3494067
408,Na3HoCl6,-415.6148433
409,NbN,-2.4292932
410,Ta2Si,-14.99742307
411,HfRh3,0.47477231
412,SrCdO2,-53.853184
413,Sr3SnO,-83.055952
414,HoH3,-163.2116367
415,Ba2Ti3AlO7,-11.55638221
416,Yb4As3,-10.267615
417,Li4NbO4,-0.398383233
418,TbCuAs2,3.597135
419,PmF3,-126.83833
420,CaSmCd2,-5.1421461
421,PmBiPd2,-0.70312566
422,Y(NiGe)2,-12.92150533
423,RbCeSe2,-109.9018843
424,Fe3Ni,-4.5470305
425,Zr(Se2Cl3)2,-322.08882
426,SmIO,-266.8315567
427,LiMn2O4,1.1673368
428,Rb3LuO3,-119.4298207
429,CaAlSi,-6.270875067
430,HgTe,-183.6807067
431,MgI2,-271.8541967
432,HoO3,-68.78553133
433,TbTl,-2.2811426
434,Na2SnTeO6,-169.9629067
435,Nb2CS2,-11.0905932
436,TbBPd3,-7.088857300000001
437,MgTl,-3.0878301
438,AcClO,-107.5365067
439,RbLiO3,2.7262094
440,As3Ir,-157.00609
441,Y(AlSi)2,-14.21068223
442,HoInCu2,2.5528276
443,ThCdPt2,-7.9686685
444,PrFePO,-4.050248000000002
445,Yb2TlCd,-3.6446442
446,TiNi2Sn,0.802233203
447,Sc3Co2Si3,-22.39676697
448,Sr(YbS2)2,-2.9657124
449,LiCoCuO4,-3.4093207000000003
450,YHoZn2,4.2744064
451,Sr2SnHg,-309.5019200000001
452,Na4Ti3O8,-294.8930333
453,Zn(InS2)2,-6.29502
454,BaYI5,-251.1664767
455,Li3Mn3OF7,-356.99832000000015
456,LuNiSn,8.273549623
457,Y2SeO2,-357.7719633
458,Rb2PtS2,-297.39223
459,PbBr2,-286.72479
460,LiMoO2,-3.1370788
461,TiNbO4,-19.40358263
462,BaMg(CO3)2,-248.7752767
463,Y2GeRh3,-1.11583904
464,MnInPd2,-2.223321
465,CrN,-11.59770333
466,SnH8(NCl3)2,-115.38041
467,Nd3Ag,-10.29921387
468,Ba(InTe2)2,-97.87472967
469,TiS3,-201.3344733
470,PBr3,-360.66409
471,Li2VCr3O8,-32.87679267
472,Mn5O9F,-80.964547
473,UTe2,-20.646076
474,K2Ti(SiO3)3,-442.80921669999987
475,ZrCoBi,-352.47047000000015
476,Sr3BiP,-82.893585
477,KCa(PO3)3,-125.9089933
478,LiTaW2,5.4722296
479,Mn5As4,5.0322164
480,Na2TlSb,-126.29933
481,YbScO2,3.7440191
482,ScPPt,-7.747976867
483,LuAgO2,-151.72013669999995
484,CuAsPbO4,-186.50061330000003
485,Al4Bi2O9,-135.1058633
486,Be2C,-164.10343
487,Na2PtC2,-141.8891633
488,CaMgPb,-51.28556767
489,KGaAs2O7,-111.8148367
490,SnSe,-170.6774967
491,Ba3LuIr2O9,-0.771198367
492,Li4TiV3,-51.38361133
493,NdSmIr2,2.7961297000000003
494,K2AlF5,-153.1367467
495,MgCoO3,-21.08016833
496,Tm2CuRu,-3.0209556
497,Ba(NO3)2,-409.40251
498,MnS2(NO2)4,-405.78032
499,PrAgSn,-38.879181
500,K2Dy4Cu4Se9,-165.24164330000005
501,Rb2NaRhF6,-370.0187
502,Sm(SiPd)2,-7.391372232999999
503,Rb3SbSe4,-143.36817
504,ThMnSe3,-25.85898567
505,SbRh,-17.852214
506,NdFeSi2,1.3078432
507,HoB4Ru,-11.46213433
508,Rb3Li,-15.707562
509,TlSb,1.8038885
510,Li4Mn2Ni3,-18.7560086
511,Li4MnSb2WO2,-212.0282733
512,In2HgS4,-29.84508567
513,V2GeC,-5.484506967000001
514,K2Sn(AuS2)2,-139.6636933
515,PdI2,-318.2349833
516,HoSi,-4.073332700000001
517,VAs,-5.1110001
518,TmMg,-7.8412699
519,Ti3TeO8,-389.5806633
520,VCdO3,-16.524844
521,Mg2NiH4,-299.3939233
522,LiFeOF2,-6.705169333
523,CoTe,-3.2573630330000003
524,BaHg2(ClO)2,-78.29294067
525,Na5SbO5,-126.8846467
526,Ho3TlC,3.2933187999999993
527,P2Os,-241.07485330000003
528,Sm3CuSiS7,-213.08612
529,TmNpRu2,9.7224791
530,Y3CuGeS7,-201.43491
531,Zr2SN2,-160.88064
532,HfCoO3,-160.2228667
533,PrAs,5.602429732999999
534,TcIrOs,-8.3419577
535,Ho3AlN,-18.367281
536,Ti(GeO3)2,-296.3476567
537,Bi3O4F,-153.14815330000005
538,SmTa3,-4.9891947
539,Li2VFeO4,-28.844543
540,Ti4Cu3O2,-43.1639
541,YbSe,-192.61524
542,K4NbAl2O20F,-368.14015
543,KErTe2,-249.71183
544,InReGe,-15.02074
545,KBrF4,-261.3900267
546,RhSe,-15.389138
547,Ca2YSnO5,-251.0814267
548,ScS,-8.732698967000001
549,Cd(GaO2)2,-59.635278
550,Li2NbFe3O8,-8.239315933
551,V(CoSe2)2,-35.538882
552,BiBrO,-117.1460967
553,As2O3,-380.46803
554,NpSb,-48.454261
555,BiBr3,-153.6250267
556,Al5BO9,-120.63545
557,TiNi,6.9033012000000005
558,LiAc2Si,-21.615757
559,CoPt3,0.90819294
560,SbClF8,-291.54496
561,Ce2Nd2O7,-449.07072
562,NdCd,8.405962400000002
563,Sr3LiRuO6,-294.5611033
564,MgTiO3,-314.1627200000001
565,Rb2LiVO4,-420.3454533
566,CuAu3,-15.879533
567,KHoBeF6,-136.83104330000003
568,KH4O2F,-123.8913867
569,CeGeAu,-13.880409
570,MgWF6,-68.79255233
571,SiPbO3,-101.73917
572,Ho(FeSi)2,-13.89734567
573,VAu2,9.9623964
574,TlSbF6,-316.6468799999999
575,YbGa2,-3.3827503
576,Ni2Hg2SF6,-17.93887
577,KSm(P2O)2,-101.219908
578,BaC2,-205.135
579,BaTaCuO5,-15.55651767
580,SbSCl9,-148.8013867
581,K2Be2O3,-117.2341533
582,KMnP,9.154634932999999
583,SmMnSi,-1.0490942
584,SmGa,3.207065
585,Li4V7O9F7,-32.943555
586,KSnOs,-5.0265511
587,YGe,-5.909101167
588,Li2CrP2O7,-236.4249767
589,HgPd3,-2.9465892000000005
590,Ba2ZrS4,-97.823233
591,SbBr3,-277.03615
592,Li2TlPt,-5.3422458
593,Na3Au,-58.01016567
594,SnS2,-92.696827
595,Sc2ZnRu,5.3850388
596,PmDyMg2,0.34193078
597,Zn4(B2O)3,-159.10367
598,OsC,-226.20739
599,Fe2Ge,-8.480816133
600,CrCo2Sb,-1.7351740000000002
601,Li3Cr3SiO8,-166.40822830000005
602,BeRh,9.5932612
603,LaUO4,-30.72832933
604,NdMg3,-2.2064758
605,Ba(CuAs)2,-5.7091052000000015
606,TmCu5,-8.5430434
607,SmDyIn2,-7.9696398
608,HfSi2Br,6.3077882
609,U(HO2)2,-429.9023
610,Sb3ClO4,-177.4415633
611,SrHCl,-141.38793
612,Mg3Au,2.015200367
613,RhO2,7.498494900000002
614,MgSiO3,-113.19988
615,Cr2SbTe,-7.252085267000001
616,Ge3Bi2O9,-197.08957
617,HfSi,-25.06441567
618,YbCd3,-1.0876445
619,Cd(AgI2)2,-76.86844433
620,HoTh3,-10.488445
621,YMgAu2,2.5371295
622,CaLa2SnO6,-170.5906233
623,Li3YbPCO7,-405.8026467
624,YbPO4,-20.94487233
625,Zr3(Cu2Si)2,-1.5934555
626,Ba2Cd(B3O)2,-151.47774669999995
627,MoP2,-6.250902853
628,Mn(NbS2)3,6.162791232999999
629,SrMnSn,6.687746167
630,Ga4Bi2O9,-154.4449867
631,Mn2Sn,-14.71574267
632,MnGaPt,3.458875467
633,CdBiS2Br,-158.0395033
634,TiAgHg2,-3.175131667
635,Sr3P4,-243.3662367
636,Mo3Pt,8.1011771
637,Sm3Si2Cl5O6,-253.3405833
638,CaTl3,-5.8415205000000014
639,ScRh2Pb,-32.159033
640,MgCu2,-3.774954067
641,DyIn,-6.9532637
642,YMgAl,-37.029353
643,Pr(BO2)3,-379.7428933
644,ErAu,6.8766855
645,LiAlVO4,-103.7841123
646,Rb3Os,-47.067085
647,CaHBr,-213.00669
648,NaNb3(Te2O3)2,-288.49192
649,Sc2BC2,6.931659233
650,NiSe,-13.65913067
651,Ca2PI,-227.5971667
652,P2Pt,-292.25665
653,K3H5Pt,-298.6522367
654,CuP2,-251.1720467
655,HoAgSn,-26.13362933
656,TbScGe,-18.61026523
657,Hf(CuP)2,1.444835
658,RbNO3,-285.9792333000001
659,Zn2Cu(AsO4)2,-312.5349967
660,PrSn3,6.4680364
661,MnCoO3,-8.141490033
662,TlSbO3,-254.5742667
663,ScBPd3,-5.1614005
664,Sr2ZnN2,-302.9108133
665,SmGe3,4.170413267
666,LiVPO4F,-17.42624583
667,GaMo3,-22.988291
668,AcAl3,0.219170333
669,Mg(CoGe)6,-13.850461
670,CuN,3.9134582
671,Ta2Mn2O7,-82.480799
672,VN,-4.6922172
673,Y2B3C2,3.479570667
674,MgAl2Cu,6.8423292
675,RbSmSe2,-242.6182
676,SrReN3,-389.01484
677,SrNi2(PH2)2,-368.2114567
678,Zr2Ag,-2.643016167
679,K2PdF4,-418.7622433
680,NdRh,-8.231087333
681,HoH2,-1.857074667
682,Sc3Cd,-18.78542633
683,PICl6,-281.5877367
684,CaAl2O4,-178.98006669999995
685,Li2Cr3FeO8,-29.665199
686,Sm3Zr,-2.0002872
687,K2NiO2,-424.0336233
688,BH3NF4,-372.43392
689,Nd2CuIr,-1.1696906
690,Li2VBPO7,-178.0873007
691,Sr2LiReN4,-196.53608
692,BH4O2F3,-117.32696
693,BaZn(NiO2)4,-61.93864033
694,Sr(H2O3)2,-255.53864
695,KCeS2,-76.72024433
696,ErBi2BrO4,-79.36793633
697,ReSi,-2.0300779
698,H4C,-157.11162
699,TlCdS2,8.949790267000001
700,NdTe,-11.904562
701,MoF3,-257.48975
702,Rh3Pb,-39.913049
703,LiMnAs,-26.53402800000001
704,PuSe,-39.767585
705,Pr3Sb4Au3,-179.35723000000004
706,LuCd3,7.156613233
707,Ca5MnO6,-220.6252467
708,Ca(FeN)2,-1.6195303330000002
709,Sm2Be2GeO7,-116.2080767
710,Zr2Al,-3.453286733
711,ZnMo3,-1.2055163
712,Ta5Sb4,-7.679237667000001
713,Sr6Y2Al4O5,-109.50252
714,Sn3F8,-286.33255
715,K2O,-111.76419
716,RbPdF3,1.0765202
717,Li2Ti4VO8,-6.1961984
718,Yb3V,-7.326407667000001
719,Li2Mn2FeO6,-25.07952507
720,K3N,-15.76843033
721,TmTaO4,-253.91619330000003
722,ErP,0.11715408
723,HfCo2,-26.74343267
724,YPd3,-0.22310581
725,Ba(AgS)2,-65.09656733
726,MgTeH2O9,-365.1739667
727,HgB2(CN)8,-250.29804
728,ZrIr,-8.5009364
729,MnSbIr,-9.451223533
730,TaAl3,-4.7378277
731,LiZnAu2,-1.7213191000000003
732,Tl2Au,1.23323681
733,PaBr4,-14.536769
734,RbSbS2,-300.10149
735,Y6CoBi2,-0.114663667
736,GaCuO2,-99.37468433
737,Na2P2PbO7,-207.6606067
738,V3NiS6,-0.805905167
739,ErCuAs2,5.877117332999999
740,SmSe,-9.579731967
741,PrZnSbO,-57.768453
742,P2Ru,-246.89127
743,Cr3Ge,-13.457703
744,PI2,-297.0129467
745,TmHfOs2,6.4980075
746,PmB3,-13.12310433
747,ZnSiP2,-191.5515533
748,Sc2NiPt,6.5022258
749,LiBi,1.14596
750,SrF2,-128.55825
751,DyNbO4,-214.1276067
752,Ca(PIr)2,-334.3887333
753,Cr7Se8,5.6875141
754,Nd2Sb,0.470568842
755,PrSbPd,-48.39985933
756,YAgO2,-144.01461669999995
757,SiPt,-6.907494099999999
758,Nb3TeCl7,-381.7348667
759,BaMnS2,-255.19769
760,PdSCl,-336.05912
761,GaCl3,-154.2680467
762,ErTaRu2,-21.093617
763,Dy2SeO2,-306.5237567
764,BaAg2,-14.14864533
765,KNbF6,-495.8299967
766,Ca(InTe2)2,-146.9517333
767,VInO4,-364.0755267
768,RbTiS2,-33.49678883
769,TlV3(CrS4)2,-16.70108533
770,YbSi,-8.021761667
771,Li2CuSnO4,-337.4674167
772,Zn(AgO2)2,-305.6097433
773,HfSnS3,-264.5484867
774,Al2HgTe4,-138.1574467
775,Pr2AlNO3,-104.8233767
776,Ca2TiSbO6,8.325508667000001
777,V2P7,-61.25209200000001
778,AlPNCl5,-340.69908
779,K3NaFeCl6,-55.95612467
780,Tb(FeGe)2,-10.95342403
781,TiPCl9,-455.5977067
782,Yb(SiRu)2,-22.37761043
783,Cd3SiO5,-92.42038333
784,Li5P(S2Cl)2,-259.56726000000003
785,Co2CuGe2,-16.91132533
786,RbCl,-115.81565
787,PuSi2,-52.50809633
788,Nd3PbN,-24.020041
789,FeAgS2,9.446388167
790,HoThTc2,-15.253078
791,LiMn2NiO6,-84.36126
792,Ag3Rh,-13.088189
793,Li3Mn3O5F3,-201.8561467
794,Te2Br,-184.1557403
795,BeF2,-151.4153333
796,YB2,-9.305618699999998
797,AlSCl3O2,-357.5379
798,AlSi,-1.1292725
799,Cr3B4,7.31351379
800,SmTlAg2,5.4444589999999975
801,ScCrC2,-3.075276853
802,LiAlGeO4,-140.23271330000003
803,MnCr2O4,-216.92816
804,Li5(Cu2P3)2,-20.70426093
805,InSbS3,-121.6303673
806,LiBi3(BrO2)2,-130.7669467
807,CaSmRh2,-4.983159099999999
808,LaP,-27.59023867
809,ZnBi2O5,-198.1885
810,LiIn2Rh,-1.669740967
811,CrSi,-14.274913
812,LiNbIr2,-20.478832
813,HfH2,-10.15922397
814,NaSO4,-406.8290833
815,Nb2CrSe4,7.304771467
816,Np(MnGe)2,1.159420067
817,Al2CdCl8,-183.55392
818,KAuSe5,-209.8884633
819,Co2N,-2.335236533
820,MgScHg2,3.7663867
821,Zr2Co4P3,-63.80770093
822,SrLiBi,-224.61577000000003
823,Zn(CrS2)4,-0.127423333
824,Tm2ZnIr,3.0582456
825,Os(SeCl)2,-23.55084363
826,Hf2SnC,-10.31275087
827,Mg3(HO3)2,-285.4102467
828,SrCu2O3,-0.6005744000000001
829,V3(OF)4,-32.62666853
830,KLiSi2O5,-125.9915367
831,Na2MnCSO7,-421.2640133
832,BaB2F8,-208.14504330000003
833,RbCa2Ta3,-107.170955
834,HoNiGe2,9.514323367000001
