,pretty_comp,ehull
101,BaSrTi2,0.9263918866666668
102,MgMnAs,0.3405508804597699
103,BaMgCl2,0.00016740000000003974
104,NdAgAs2,0.0060762500000000035
105,NaReO4,0.0
106,ZrBe5,0.0
107,Nb(SeBr)2,5.209999999999937e-05
108,AsO2,0.0
109,NdTh3,0.05313482500000033
110,LiGaAg2,0.0
111,Li2GeAu,0.0
112,SmI2,0.021153533333333474
113,K2AgAu,0.0
114,LiV2FeO6,0.0
115,Bi2SeO5,0.0
116,Al2NiRu,0.0
117,MoF3,0.03242324374999938
118,YCd3,0.020105837499999942
119,Ca(SiAu)2,0.0
120,YbAlB4,0.002435083333328869
121,TiAsW2,0.0003036937499993897
122,LiHfPd2,0.0
123,CoN3,0.5247191249999998
124,LiTi2O4,0.021896285714286808
125,CuCl,0.124434255
126,Pr2TeO2,0.0
127,Rb2WCl6,0.0
128,BeCr2W,0.063251375000001
129,NbPt,0.0
130,BaMgMn4O8,0.0
131,In2Se3,0.0
132,BeNiBr,0.2508575683333335
133,CeIr5,0.03860330000000012
134,Li2Mn3SnO8,0.07584671428571442
135,Ce(AlAu)2,0.0
136,NdFe3(B2O)2,0.0
137,NbCr2,0.0
138,Y2ZnGa,0.0
139,BeInFe2,0.2441714674999997
140,BeGaSb2,0.2993363812500001
141,LiHfAs,0.0
142,CePaO4,0.0
143,Ag2Se,0.047697566666666635
144,Li(MoO2)2,0.0
145,TiFeCoSi,0.0
146,Pm2IrAu,0.0
147,BeInSe2,0.0
148,HfNiSn,0.7977616666666663
149,TmCd3,0.0
150,MnBeCo,0.16035985689655166
151,CdHgO2,0.0
152,Ho2V2O7,0.0
153,ZnGaRh2,0.0
154,CeReB4,0.0
155,Ca3(GaN2)2,0.0
156,BaSnSe,0.2556903777777777
157,MgCr4O9,0.011075321428572591
158,Be2SiPd,0.0
159,CuO,0.6583504999999998
160,Ba4PtRh,0.7071207966666667
161,BeTlIn2,0.49431561
162,BaScPb2,0.00028942499999984333
163,ZrCr2,0.01775583333333319
164,Ta6Si7Ni6,0.0
165,K3PO4,0.0
166,TbCo5,0.0
167,Sc2S3,0.0
168,ErBiO3,0.021379399999999826
169,Ba4Os6ClO8,0.0
170,Rb2ZrCl6,0.0
171,Ba2AlInO5,0.0
172,Li3Ti4O8,0.11793273333333952
173,SmCu,0.027159737500000003
174,YPd2Pb,0.0
175,IrOsW,0.3853762333333329
176,SrCuAs,0.0
177,Mn2AlRe,0.0
178,PbSeO3,0.0004959999999991638
179,ScReTc2,0.0
180,KCuSe,0.0
181,Na3VO3,0.10042297142857047
182,Cs2SnI6,0.0
183,SnO2,0.688072
184,AsPd2,0.01416644444444426
185,PrI3,0.0
186,BaSc2Cu,0.4616666550000002
187,HgTe,0.05834843333333339
188,NpAs2,0.0
189,MgO6,0.0
190,SrCa2I6,0.04842683333333397
191,Tl3PO4,0.0
192,Ce(SiRu)2,0.0
193,Mo6PbS8,0.0
194,Nb6C5,0.0
195,Mn(CoO2)4,0.0
196,BeI2,0.0
197,Zn2CuWO6,0.0
198,VCu3S4,0.0
199,MnAlNi2,0.0
200,TaZn2SbO6,0.0
201,Ba2YTi3O8,0.0
202,Ho2NiIr,0.0
203,CeInAu,0.0
204,Ho3Zr,0.07349855000000005
205,Rb2MnF5,0.0
206,Sc4BeZn,0.6452202916666663
207,Li4H3ClO3,0.0
208,Sm3IrO7,0.0
209,RbYbBr3,0.0
210,TaOsPb,0.7731843399999994
211,MnBePd2,0.07218075000000024
212,BeGe4Sb,0.6926681166666666
213,PaAgTe2,0.0
214,Sc2ZnIr,0.0
215,Dy(GeRh)2,0.0
216,BeFe4Pb,0.4354814866666668
217,NaTiBe2,0.5927743083333332
218,Re2AsRu,0.4811690625000002
219,HfMoP,0.0
220,Li2Mn4O5F3,0.03478878340516811
221,YInCu2,0.0
222,MnCoTe,0.0
223,TeMo6S,0.0
224,RbAu(SO4)2,0.0
225,Rb2S5,0.0
226,BeGa2Bi,0.3458578625
227,NdInRh2,0.0
228,SrPb3,0.0
229,TmPaRu2,0.0
230,BeVIn4,0.9440299075000004
231,Tb4CdRh,0.0
232,LiInPd2,0.0
233,Hf2MgBe,0.20365303749999966
234,CoCO3,0.0
235,YFe(WO4)2,0.0
236,Er4(Ga2Co)3,0.0
237,CaPdF6,0.0
238,TiAl2O5,0.0
239,LuCd3,0.0
240,MnBeV,0.10198755689655137
241,FeAgTe2,0.17943682333333322
242,Sc2CuIr,0.0
243,BaBeSiO4,0.0
244,LaCoAs,0.0
245,SmLuIn2,0.0
246,Bi2CO5,0.0
247,K2Cd2O3,0.0
248,Li3(CoO2)4,0.02272629999999953
249,YTmAl2,0.0
250,BaZr4Tl,0.4100620950000007
251,ErGe3,0.0
252,HoH2,0.0
253,CeGa3Pd2,0.0
254,Mg(VS2)2,0.00011607142857172903
255,LiBeCd,0.135589145
256,BaTiPd2,0.0
257,Sn3N4,0.12600079999999902
258,VAgHgO4,0.0
259,KNO3,0.032527599999996326
260,Mn2Os(CN)6,0.1044780655172408
261,HfBe2Zn,0.08601873750000033
262,NaLiS,0.0
263,NaAlO2,0.031311812500000265
264,NpAl2,0.0
265,BaLi2Fe,0.7259571924999998
266,ScAlIr2,0.0
267,NaSi2BH2O7,0.0
268,ZnPd5Se,0.0
269,CaWO3,0.0
270,BaIn2Te,0.13329444833333334
271,LaCdAg2,0.0
272,TiInPd2,0.0
273,KTl2MoF6,0.0
274,Na3FeO4,0.034404125000000015
275,Ca3(FeN2)2,0.0
276,BaOsBr,0.7734410250000001
277,Ta2I5,0.3857775482142851
278,SrBeBi,0.3764437000000001
279,SNCl,0.28151614287036963
280,Lu7(TePd)2,0.0
281,SiTc3,0.0
282,Hf2Al3C4,0.0
283,TlGeBr3,0.05489282999999978
284,NiB,0.015162197916666731
285,RbRuF6,0.0
286,Pr(NiAs)2,0.0
287,BP,0.014270999999999924
288,B6N,0.0
289,CNCl,0.06166505027777802
290,BeGaHg,0.4327190416666669
291,Li3V(OF)2,0.025051937499999788
292,Ce(MnAl2)4,0.0
293,MnBe2Rh,0.05889724999999979
294,ZrTiO4,0.0
295,CaCr2,0.0
296,MgRe2As,0.3817284499999998
297,Sc(MnAl2)4,0.0
298,Ba4CdPd,0.4495607383333332
299,KBe2Cr,0.6032618000000001
300,H2C5N2O,0.012052060000001141
301,LiTmTl2,0.0
302,K3Na2LiTeO6,0.0
303,BeGeSb,0.3090854833333332
304,Ca4Mg3H4,0.0
305,Fe2C,0.01094133333333325
306,Li8TiMn3O2,0.0
307,V3Ru,0.0
308,LiGa5O8,0.0
309,NaCd2Ag,0.03943782500000004
310,As4RuBr,0.8346401008333342
311,BaPr(CoO3)2,0.0
312,V3(OF3)2,0.024887924242405823
313,Nd(BOs)4,0.0
314,LiSi2BiO6,0.0
315,MgV2O5,0.06910452083331188
316,TiBrO,0.0
317,LiFe3O4,0.07633412499999802
318,Li2VOF4,0.0
319,ZnCr3,0.2682028999999999
320,CdPOs2,0.8471178125000005
321,SmFeB4,0.0
322,Sr5Ta4O5,0.0
323,PmCu2Sn,0.0
324,MgTl3,0.05288306249999997
325,YbScRh2,0.0
326,Ba4SbCl,0.15547818499999996
327,Sr2Sb2O7,0.0
328,Zn3Hg,0.16203432500000006
329,Ba4MgSi,0.6650178741666666
330,Sm2CdS4,0.0
331,UCuAs2,0.0
332,Sn3As4,0.02709997857142854
333,Be2TeSe,0.35252405
334,GaSiAs,0.4617980583333328
335,Na2WO4,0.0
336,CaPAu,0.0
337,BaPbSe,0.20727409777777786
338,Nb5Si3,0.06415624999999991
339,ZnSb,0.0
340,Be2InRe,0.2325240425000001
341,Er2InPd2,0.0
342,BaSrMg2,0.007510399999999917
343,Tm2CuOs,0.0
344,BaPr2CuO5,0.0
345,Mo3H,0.8771358999999999
346,Sr3Bi2,0.4209172866666668
347,SbPdSe,0.0
348,ThAg2,0.0
349,BH4O2F3,0.0
350,BaZrBi2,0.0
351,Sr2PdPt,0.0
352,Nd3I,0.33456896250000034
353,SnAsRh,0.0
354,Li4MoO5,0.0
355,Ba4CaIr,0.7738795849999999
356,Li2CePb,0.0
357,YbNbO4,0.0
358,CuBi,0.10231800000000002
359,Sm2MgAl,0.0
360,NaMoO2,0.1140332374999904
361,BePt2Cl,0.38776351687499977
362,Na3CrBAsO7,0.0
363,Ba(SnO2)4,0.0
364,NdBi2BrO4,0.0
365,SnF4,0.0
366,LiLuAu2,0.0
367,BeGaCl4,0.5418215425000001
368,MnGePd2,0.0
369,Dy4CdRh,0.0
370,LiMn2F5,0.029352874999999383
371,LiDyS2,0.0
372,K2TiF6,0.0
373,LaBeCl4,0.0
374,Tb2Pb2O7,0.0
375,Pr3Si2S8Cl,0.0
376,SmDyZn2,0.0
377,KTaO3,0.0
378,TcF6,0.0
379,YP5,0.0
380,BaSrZn2,0.0
381,Sr2Li2NiO4,0.0
382,Sr2ErRuO6,0.0
383,LiBi3(ClO2)2,0.0
384,Ho3Tm,0.006113737499999772
385,Ba4RuPb,0.777064505
386,Nd2CdS4,0.0
387,MnBe2Ru,0.0
388,BaZnCl2,0.0
389,Ca3Sn3Rh4,0.0
390,TaCo,0.16364766666666686
391,Ba4ZrBi,0.5559331991666665
392,Li2BeF4,0.0
393,Tm(SiOs)2,0.0
394,BeSe2Br,0.2672809416666666
395,K4BeP,0.9511595083333332
396,BeZnFe,0.1129227666666668
397,ZrZn3,0.0
398,BaTlRu2,0.3827957675000002
399,Mn2NiO6,0.0
400,Rh3(PbS)2,0.0
401,Ti2Ga3,0.0
402,Tm2MnS4,0.0
403,NaCu3,0.2434565375000001
404,Ta5Sb4,0.0
405,Be2BiBr,0.3223501262499999
406,Y2AlSi2,0.0
407,TiBe2Cr,0.00684623333333345
408,Sr2CdAs2,0.0
409,NpMn2,0.03578879425287251
410,Li2CdGeO4,0.0
411,Nb3PbS6,0.0
412,GaCu3,0.0
413,MnV2Cr,0.0
414,Lu(FeO2)2,0.0
415,Co2P2O7,5.45454545530788e-07
416,BPd2Br,0.966911972083333
417,LiFeSiO4,0.04985035714286568
418,CoMo,0.3420197166666661
419,NaMg3,0.060781837499999984
420,YMnB4,0.0
421,Ba2NaBi,0.0
422,Na2FeO2,0.0606367000000021
423,KCaBe2,0.7685652331249999
424,NaGaH8(NF3)2,0.0
425,RbGeCl3,0.0
426,BeNbRu2,0.17630524999999952
427,Li3Cr3CoO8,0.0
428,LiMnVO4,0.0
429,DyGaO3,0.0
430,Ag3SbS3,0.0
431,SmDyRh2,0.0
432,K3Na(FeO4)2,0.0
433,VCl4,0.0
434,LaCo5,0.0034617500000004853
435,Li3Pd,0.0002947749999999693
436,NaCdSb,0.0
437,In3Co,0.0
438,Tm2MnOs,0.0
439,TiBeCr,0.3160176111111115
440,Li2(CoO2)3,0.02205156818182541
441,Na3Ni2SbO6,0.0
442,AlCrRu2,0.0
443,CaNd3,0.07662448000000023
444,Er(NiP)2,0.0
445,NiPS,0.0
446,Ba2TbIrO6,0.0
447,BeTlHg2,0.648555925
448,Ba4GaSn,0.43876901833333337
449,KBeTe2,0.0
450,Rb3CO3F,0.0
451,Nb5(AsPd)4,0.0
452,BeSiW,0.4361007333333325
453,LiBeGe2,0.11818808749999987
454,BeCu2Cl,0.441137755
455,Ce(SiPt)2,0.0
456,Nb4C3,0.1592730714285686
457,ScAsO3,0.6476898999999996
458,HfFeP,0.0
459,Ti2SbP,0.0
460,Yb2AgPb,0.0
461,Ba4CuSe,0.6421494908333333
462,V3Co5O6,0.0
463,ZrPbO3,0.0
464,Al4CO,0.37636834999999946
465,DyIn5Rh,0.0
466,BaHBrO,0.0
467,BePRu2,0.0
468,Ag2HgSI2,0.0
469,Ba2SbTe,0.0
470,Ti3Se4,0.0
471,AcMg5,0.0
472,CuCN,0.3033412333333336
473,Ta3SeI7,0.0
474,LiHoO2,0.0
475,ZrI3,0.00021693750000029155
476,Y2Si2O7,0.03503745454545548
477,U(GePd)2,0.0
478,Ti3SiC2,0.0
479,Li3Fe4(B2O)2,0.0
480,SmPtF7,0.0
481,BeTeSe,0.0
482,YbIn5Rh,0.0
483,Li2PNO2,0.0
484,CeCrO3,0.11208639999999637
485,Ba4ZnSe,0.5009883241666666
486,TmAgPb,0.0
487,YBeCo4,0.0
488,Tm(FeGe)2,0.0
489,ErBRh3,0.0
490,DyZn,0.0
491,TbPbAu,0.0
492,K4IrO4,0.0
493,Rb2PtS2,0.0
494,Na3Ca2BiO6,0.0
495,BeSbAs,0.37853475
496,Te4Mo2WS2,0.06242499999999929
497,Ba2AlCu3O7,0.0
498,FeCl2,0.0
499,CaYHg2,0.0
500,Ba4CrPb,0.5775282666666666
501,BeCu2Os,0.27095996875000017
502,BeBr2,0.0
503,Ba(MnAs)2,0.0
504,ErSn2,0.0
505,K4CO4,0.04844711111111133
506,SmHoRh2,0.0
507,Be2OsCl,0.6420373168749998
508,Sr2CoSO3,0.0
509,DyCoSn,0.0
510,LiBeO3,0.0
511,SrFeO2,0.026794437499998658
512,LiTiRe,0.9408754277777778
513,BeGe2Pt,0.26423630625000016
514,Sr3(AlP2)2,0.0
515,SmAgAu2,0.0
516,UCd2O5,0.0
517,BeInCu4,0.19182634500000006
518,Al(FeB)2,0.0
519,Pr2Re2Si2C,0.0
520,RbHSeO4,0.0
521,YTmO3,0.0
522,CaIn2O4,0.0
523,ZrBePt,0.0
524,VGaO3,0.0
525,Sr2ZrO4,0.0
526,Rb2CoF4,0.0
527,BeBiF3,0.0
528,LiAlB4,0.0
529,YSeCl,0.0
530,NdVO3,0.11256330000000148
531,K2Mn(SeO3)2,0.0
532,NaLi2Tl,0.0
533,Rb3MnF7,0.0
534,NaRuO2,0.02178435416667224
535,Ti2CdC,0.0
536,YbNi2,5.000000014021567e-08
537,LiAl2Rh,0.0
538,SmGa,0.0
539,NiSnH2(OF)6,0.0
540,Ba5As3,0.0
541,HoCdPt2,0.0
542,ZrAl3,0.0
543,K6Fe2O5,0.0
544,NaReO3,0.0
545,Hf(B2H3)2,0.0
546,CaBeCd,0.0
547,HgINO3,0.0
548,Ni3O4,0.0
549,Al(FeS2)2,0.0
550,Ba4CdSb,0.5993925899999999
551,Th(SiOs)2,0.0
552,Mn3(PO4)2,0.0
553,Dy2TlAg,0.0
554,NpIr2,0.17212349999999965
555,BaBi4(BrO3)2,0.0
556,RbSnBr3,0.06692781999999986
557,CaSmZn2,0.0
558,CaMnSn,0.0
559,Ti6O,0.0
560,Sr2BePd,0.26845862750000005
561,SmB2Rh2C,0.0
562,BeBi4Br,0.5231291008333334
563,Be2P2O7,0.0
564,MgWO4,0.0115992499999944
565,Sc2TlOs,0.0
566,Zr(SiNi)2,0.0
567,ScBeTc2,0.0
568,Li4V3Fe,0.0
569,Sr2SnO4,0.0
570,Na3ScSi2O7,0.0
571,MnSnO3,0.009575799999999468
572,NaLi2PO4,0.0
573,NdFeSi,0.0
574,GeI2,0.13906517888888892
575,Li2CrNiO4,0.0
576,InN,0.009058609999999856
577,Ba4HfBi,0.5926986658333333
578,HoCuSn,0.05261461666666678
579,BeCrP,0.0
580,Ba(CuSe)2,0.0
581,HoNbOs2,0.0
582,MoW3S8,0.007260666666667248
583,ErTlSe2,0.0
584,MnBeV2,0.0
585,BeHgPd,0.10300143333333343
586,BaY2O4,0.0
587,NdFe5,0.00987033333333276
588,CeTlCd,0.0
589,BeInPb,0.4739410066666667
590,CdO,0.057809699999999964
591,LiNbRh2,0.0
592,Na3BN2,4.374999999168239e-06
593,BeFeSb2,0.17638195000000012
594,Hf2Ga,0.0
595,YCdPt2,0.0
596,VSnPO5,0.0
597,YZrBe2,0.0527867875000001
598,Ta3Sb,0.030092337500000173
599,K2TbF6,0.0
600,DyYRh2,0.0
601,Cr3O8,0.059172090909092034
602,YCu3(Sb2O)2,0.0
603,Tl(NiSe)2,0.0
604,TmThRu2,0.0
605,ErPbAu,0.0
606,RbTbSe2,0.0
607,Se2NCl3,0.04383519763888888
608,UAg3,0.3384089200000002
609,Li2NdAl,0.0
610,MnPH2O5,0.0
611,Mn2SiW,0.5494831706896548
612,ScBe2Re,0.14136953750000014
613,CeInPd,0.0
614,PrAs,0.4227175499999998
615,U3Si,0.016960874999999653
616,RbCrCl3,0.0
617,Y(CoB)2,0.0
618,ThGeO4,0.0
619,Y(CoGe)2,0.0
620,Mn2S3,0.0
621,SmTl(MoO4)2,0.0
622,V4(OF3)3,0.029421687500000182
623,PH6N3O,0.0
624,Sc2AlSi2,0.0
625,YbPd2Pb,0.0
626,Li2Cu2F7,0.0802886136363643
627,K3Ir(N3O)2,0.6489372999999992
628,ScCu2,0.0
629,CaH2,0.06223475000000001
630,YTlO2,0.0
631,Sr4Zn3F4,1.4285714300399374e-07
632,RbPO3,0.0
633,PrNiSn,0.001545388888888333
634,Al2Pt,0.0
635,Li2BeTl,0.09784447500000004
636,BeCoIr,0.2581581666666661
637,TiNiO6,0.5532338124999985
638,LiSnPCO7,0.0
639,Ni3SnN,0.0
640,Y(CoO2)2,0.2245522142857146
641,Ba4CoPb,0.7367478166666667
642,FeAs,0.002932374999999432
643,ZrScOs2,0.0
644,BeZn2Tc,0.13594744999999975
645,KNbS2,0.0
646,Na2MnO4,0.0
647,MnGa,0.00028987241379274664
648,Sr2BeCd,0.1739542925
649,RbSO2F,0.0
650,BaMnS2,0.0
651,BeCuPt,0.1963777333333332
652,Ba4GeSe,0.4660037054166665
653,Ca2Sb2O5,0.04332705042734908
654,LuGeAu,0.0
655,HfBeSb2,0.0825913250000001
656,BaSrCd,0.4200630633333333
657,Ge2Sb2Te5,0.0
658,HfTe5,0.0
659,YBe2Pb,0.3650378000000001
660,BSF7,0.0
661,Cu3Te2(BrO3)2,0.0
662,Tb(CuGe)2,0.0
663,CaP,0.0
664,CdHgPd2,0.3095058124999999
665,ScBeCo2,0.0
666,HoSi2Rh3,0.0
667,Li2ZnAu,0.0
668,TaBeSi,0.2983243
669,Dy3AlCoS7,0.0
670,ThB6,0.0
671,LiV2O2,0.0
672,MnGeRh2,0.0
673,Li2TlSb,6.224999999915326e-06
674,SmSbPd,0.0
675,Ba(CuS)2,0.0
676,NbNi2Sn,0.0
677,LuSBr,0.002794666666666501
678,YbZnAu2,0.0
679,BaNa2Ca,0.050017822500000086
680,KNa2As,0.0
681,Th(CoSi)2,0.0
682,MoW(SeS)2,0.11835050000000802
683,ErCoSi2,0.0
684,Ti2AlFe,0.0014122250000001555
685,PaGaTc2,0.0
686,BaCd2Se,1.780999999999311e-05
687,NaAuO2,0.0
688,MgScHg2,0.0
689,Ba4ZrO6,0.008029636363635184
690,ZrBeGa,0.10320076666666678
691,LiRh2Pb,0.0
692,Ho2O3,0.0
693,Hf2Ga3,0.0
694,K4ZnAs2,0.0
695,ZnAs,0.0
696,MgZrHg2,0.0
697,RbCdAg3(CN)6,0.2118427569117652
698,Sm3Np,0.2903513812499998
699,LuAgS2,0.0
700,Rb3H5Pd,0.0
701,YbDyRh2,0.0
702,HfAl,0.004179333333333091
703,Ba2TiSb,0.0
704,V2OF5,0.02466821875000047
705,AgCNO,0.6837644999999997
706,BMo,0.009443124999999776
707,HoHSe,0.0
708,LuTh3,0.03324213750000027
709,NaBeNi2,0.14085207500000008
710,Pr2Br5,0.0
711,Mg3Si4(HO)2,0.0
712,AgO,0.0005632499999999041
713,Rb5SiAs3,0.0
714,BaCuP2,0.4465269999999997
715,BaSc2Nb,0.2959562174999997
716,KBaP,0.0
717,YAl3,0.0
718,Sr2GeSe4,0.0
719,Zn7Sb8Ru9,0.0
720,PuSi3,0.04837389999999964
721,BaZn,0.0
722,NbRu3C,0.0
723,Ho2Ge2Os,0.0
724,CaZn,0.1828395250000001
725,BeSi2Sn,0.6741619499999998
726,AgSbS2,0.0
727,AlFeRh2,0.0
728,YGa,0.0
729,Li2Nb2Fe3,0.0
730,HBr,0.00032730000000014137
731,Mn3Cu3O8,0.0
732,Sr2ScBe,0.2359430425
733,MoPt2,0.0
734,NaZn3,0.0
735,BaCuSeF,0.0
736,AsSeBr,0.5231205072222223
737,Mg5(HO3)2,0.0
738,Sr3Tm,0.20347819500000008
739,Co(GeO3)2,0.0
740,Li5P(S2Cl)2,0.0
741,VSnPt,0.0
742,Y2GeRh3,0.0
743,KAlP4(HO)4,0.0
744,Rb3LuO3,0.0
745,Ba2SrNi,0.3853552625
746,BeCr2Hg,0.5782068750000007
747,CrRh3,0.0
748,Ba2LiHf,0.6000829225
749,ThGa2,3.33333333379926e-07
750,Sr3In,0.08329751583333322
751,NdAg2,0.0
752,Li2FeNi3O8,0.0
753,NaNb3O8,0.0
754,Be2SiW,0.0
755,RbCu4S3,0.0
756,K2CuCl3,0.0
757,TmBPd3,0.0
758,KBH4,0.3043127916666664
759,RuPbO3,0.0
760,ReN,0.009078416666664424
761,Pm2MgGa,0.0
762,YbS,0.0
763,ScPd3,0.0
764,Li2Co(SiO3)2,0.04781681818181749
765,Mn4Cu3O2,0.0
766,LiMnAlO3,0.0
767,CaHfN2,0.0
768,ErTl3,0.0
769,In4SnS8,0.0
770,HCN,0.3002300499999997
771,Mn2CuGe,0.10746897068965522
772,Co2B,0.031221383333333463
773,NdTi3FeCu3O2,0.0
774,HfVGe,0.011741000000000671
775,BaCoS2,0.0
776,Mg(TiS2)4,0.016091692307699468
777,HfB,0.2946710000000001
778,Cr3Co,0.21357015000000068
779,AgPb2Br5,0.0
780,CrNiAs,0.0
781,BaHgPt2,0.0
782,BaMgTe,0.0
783,TiBeTl,0.3200237444444445
784,Ag3SnP7,1.527272727042117e-05
785,Li2PtAu,0.0
786,TbNi4Au,0.0
787,TmAs3,0.3108396499999997
788,Nd(BRh)4,0.0
789,RbCuO2,0.0
790,Rb3BiSe3,0.0
791,AlPd,0.04744032500000017
792,In2Au,0.0
793,ZrTaBe2,0.08240972499999978
794,Li8PtO6,0.0
795,MgRe3,0.2286965125
796,K3Np(H3O4)2,0.0
797,MnAl,0.0
798,CrTe,0.16633431666666665
799,Lu6UO2,0.0
800,La(CoSi)2,0.0
801,AcAl3,0.0
802,VCdO3,0.11284927499999765
803,Sr3ZnRhO6,0.0
804,LiYb2InGe2,0.0
805,Dy2Sn5,0.0
806,HgCl2,0.0
807,PH6NO2,0.0
808,BeZn2Pb,0.365837155
809,ErCdAg2,0.0
810,Y2Al,0.0
811,ErHg3,0.03772128500000016
812,AlTlSe2,0.0
813,Zr2BeP,0.0
814,LiMnSb,0.09950726379310336
815,Ca2Mo3O8,0.0
816,YCuO2,0.0007592499999766744
817,Y6Os,0.0
818,Y(CoS2)2,0.14283342857142856
819,SiAsAu,0.2930638066666669
820,CaBeCr2,0.3659278300000004
821,Be2MoPd,0.0
822,Mg2Co3O8,0.0
823,KLiICl,0.0
824,CaBe2Si,0.3646283799999999
825,PrMgHg2,0.0
826,ErSnPd2,0.0
827,LaBeO3,0.0
828,Ba(AsPd)2,0.02065059999999974
829,Pm2PdRh,0.0
830,CaIn4Ir,0.0
831,Li6Mn5CoO2,0.002383749999999907
832,Li3Sb(PO4)2,0.0
833,AgPbBrO,0.0
834,Nb3Te,0.08393325624999992
835,KNb4O5F,0.0
836,KIO4,0.10380274999999717
837,VINCl3,0.0
838,GaAgS2,0.15762607500000006
839,YIn,8.270000000010214e-05
840,Tm2CdS4,0.0
841,NiH6C4S4(N4Cl)2,0.0
842,YTe,0.007169450000000133
843,Al(MoS2)4,1.538461633643351e-07
844,LiBe2W,0.016434687499999878
845,Ti(SeO3)2,0.0
846,Na2TiSiO5,0.0
847,BeHgIr,0.04934546666666639
848,Rb2Se3,0.0
849,Al2SiO5,0.10451549999999976
850,MnSbRh,0.0
851,CaLuRh2,0.0
852,Ca(PRh)2,0.0
853,Ta2BeOs,0.0
854,Ta2NbIr,0.0
855,Be2ZnCr,0.14656322499999996
856,ScCdRh2,0.0
857,CoPt,0.0
858,LaBe2V,0.5690273500000003
859,MgIr2,0.0
860,LiCdAu2,0.0
861,LiHo3,0.18822923749999987
862,Ho2S3,0.0212055333333332
863,Li2TiV3O8,0.0
864,LiNdSn,0.0
865,TlFeS2,0.10586850000000014
866,CdSnSb2,0.0
867,RbAgBr3,0.0
868,Al(FeO2)2,0.0
869,YbMgNiH4,0.0
870,CrCo2Sb,0.12927932499999972
871,Sc4BeW,0.7293237374999992
872,KCaO3,0.0
873,AlBi,0.004061500000000161
874,Ta2N,0.0
875,Sr2NdBiO6,0.0
876,Be4B,0.0
877,Sr3DyRhO6,0.0
878,Hf2MoRh,0.0
879,ThB4Mo,0.0
