,pretty_comp,p_powerfact
80,Na2TiO3,1188.917447
81,TiFeSn,784.1026548
82,Y2RuRh,998.9572267000001
83,SiB4,869.6204957999997
84,Li3VPCO7,271.5380066
85,Cd(GaTe2)2,2176.771107
86,YbBi2BrO4,1185.727202
87,LiYO2,1345.488703
88,Tb(BO2)3,1467.635455
89,Cr2Te3,57.44140361
90,Cr3Se,268.6959712
91,Rb3Cd,467.2952563999999
92,Ti2AlCu,218.62882909999996
93,Rb3Ag,583.7773217
94,SmTiGe,131.10693500000002
95,MnNi3,42.7509953
96,TmCo2,316.2661702000001
97,Ga2IrRh,25.6456827
98,PaGe3,209.5070979
99,SbCl5,576.2384772999999
100,Na2Ti3O7,275.1466095
101,HfSiTe,302.3586756
102,LaMgCd2,317.5608183
103,PrScSi,134.9288655
104,LuSiRu,1464.371862
105,La2ZnAg,1.41650974
106,LiSiPCO7,140.53342849999999
107,Na4CO4,936.9539662000001
108,SrCa2I6,525.7071973000002
109,Cr(CoO3)2,3017.972885
110,LiEr2Os,712.9143978999997
111,LiLu2Ga,94.27024232
112,PuH3,323.1717385
113,Ca2PrO4,1202.139859
114,AlH2PbO2F3,931.9494136
115,LiTiRh2,1577.325236
116,LiSbRh2,829.6718271000003
117,GaP,3528.282634
118,DyPbAu,225.8396438
119,TmZnPd2,227.61256469999998
120,Fe2TeO6,577.1764177
121,Nd3InC,91.1079121
122,LiSbAu,409.49504260000003
123,N2O,1117.860623
124,SrS3,992.6757107999999
125,SrCuSO,403.8225638
126,K2PaF7,182.4957424
127,BaZn(NiO2)4,852.5996458999997
128,MnAlIr2,13.17683881
129,Tm2Sn2O7,1567.66426
130,DyCo3B2,73.21846831
131,TiTl2F6,1967.664618
132,Be2IrPd,612.2282175
133,Na2Sn2O3,268.7097475
134,Ca(MnSb)2,98.11603435
135,LiAsO3,801.935975
136,ScIO,2785.9734829999998
137,Zn3Ni7,94.91150825
138,Cu3Se2(ClO3)2,482.8276278
139,KF,1222.996391
140,Ce(AlGa)2,3160.292063
141,CrSn(PO4)2,42.16668389
142,Mg2Bi3O8,251.4044293
143,NbPt2,50.59732429
144,BPb3O4F,973.6127669
145,PaPd3,1199.901643
146,Li4VFe3O8,114.7586162
147,Na2LiBe2F7,441.40486880000003
148,Sm3Cr,1980.6649940000002
149,ZnCu2SnSe4,427.0606444
150,SrAg5,15.63593816
151,TlCoBi,574.8449059
152,TmCdHg2,206.48282969999997
153,LiCoGeO4,274.7763248
154,Sr(BeN)2,1897.3957269999999
155,PmCl3,1249.91467
156,Na3Nd,708.474868
157,BaY2O4,552.8289307
158,Ba6HfO8,1860.2907670000002
159,LuBRh3,2836.905655
160,NaTeH6O6F,181.6393
161,Co3S4,489.8322552
162,SrAs,890.2182798
163,PmYMg2,9.881545127
164,K2MoCl6,36.67876414
165,Sr6In2NF,16.38973091
166,Na2ZrSe3,1907.325648
167,PrHoMg2,42.77886655
168,ErSb,156.93828359999995
169,YPO4,1389.6028210000006
170,CaNi5,516.4904144999998
171,Rb3Ru,709.51996
172,BaIn2Ir,451.6687906
173,Cu2Se,2240.122275
174,Sr2Mn3(SbO)2,654.7534226
175,CaPuRh2,138.25887780000002
176,GaBr2,322.94588139999996
177,KBeO3,686.1470317000002
178,Na3Tl,464.66977810000003
179,SrNb6O6,855.9776521
180,TbSiPt,68.8495537
181,Ho2CdIn,39.22117379
182,Li2CuSbO5,182.57712519999998
183,HPbIO,1182.136348
184,SbRh3,0.417446285
185,Cd(InS2)2,1549.661212
186,CrBr3,306.9929037
187,Li4AlCr3O8,222.8173085
188,AlTeO4,502.14496030000004
189,Pm2ZnSi,160.5307065
190,InN,584.8198835
191,H4NClO,590.9014277000001
192,BaH4(BrO)2,831.6986257
193,ScInAg2,393.41292169999997
194,Mn2PtRh,1316.2281289999999
195,KCuO2,1287.9270060000001
196,ZrH,25.80155678
197,YbNdSe3,321.9894848
198,AlPO4,7.172387932
199,FeF2,1550.9033630000001
200,Te3WO2,715.3486044
201,P2Pb3O8,967.7877174
202,NaBF4,617.6747691
203,BeS,2985.3436920000013
204,CdCu2GeSe4,1233.14633
205,TiInFe2,405.1959137
206,Er2MgAl,174.772107
207,Mg4H2O5,853.0682734
208,Nd2ScSi2,84.68849058
209,NdAg,88.14719058
210,Ba2Ti6N2O,579.7139867999998
211,Ga2PdBr8,261.2354265
212,Li5CuF8,343.54580539999995
213,CdNiP,95.51928252
214,ReSn3,201.0114541
215,Tb3BWO9,753.8953047
216,CoCl2,101.0146031
217,NaZnSb,596.1075512
218,BeAu3,3609.515118
219,Ba2ErNbO6,2213.60763
220,Na3VH6O7,341.40713569999997
221,CaCuAs,1232.983033
222,MgSc2Ru,887.4452652999997
223,DyBiPd,1261.727039
224,K2NdPCO7,55.476812699999996
225,KTl,62.19012251
226,Al2CuO4,64.7064303
227,TmCd3,761.0543918
228,LiCa2Ga,1193.778483
229,Ca2PbO4,965.380209
230,Hg3(SeCl)2,1445.0361130000001
231,LuAsO4,1488.782789
232,PaO2,58.72355889
233,LiGaPt2,3568.706201
234,PuRu,376.62438080000004
235,Ba3SnO,1046.933348
236,AgClO3,659.9107577999997
237,ZrP,366.6391341
238,Pm2AgIr,14.59866881
239,YbBi2IO4,3350.565874
240,Tb2Ti2O7,2118.707345
241,Sc2Al,48.39088195
242,PmAgAu2,311.3062232
243,V3NiS6,17.68427071
244,ErPaRu2,56.59294783
245,ErTiSi,835.2925315
246,Ca2HN,505.43045650000005
247,Li2WS4,1698.9100879999999
248,KO3,302.9117540000001
249,Ca(FeP)2,41.13367221
250,ZrVSi,83.56719477
251,ScSiRh,103.19841269999999
252,PrBi2ClO4,1375.930132
253,Mn(GaS2)2,1236.123399
254,ZnBSe2,397.9875512
255,Li2Ti(CoO3)2,369.2197171
256,LiCrPO4F,618.1599707
257,NpO,1015.3906910000001
258,USi2,39.26191438
259,Ca(FeO2)4,250.58634849999999
260,Sm3Er,0.00114456
261,Li7VO5F,177.824368
262,ErBRh3,2683.828335
263,YbAs,1574.67139
264,Sr2YTi2TlO7,344.563148
265,NaPrTe2,2199.354969
266,NdAgSn,491.9799953
267,NdMgZn2,151.9095102
268,Ba2Lu(CuO2)3,31.65925478
269,Er2ZnTc,1430.5548410000001
270,CeIn2Ir,2954.361139
271,TaIr3,0.002345018
272,Ti2Co3(TeO2)3,274.6938412
273,Hf3Si2,69.07078894
274,KNa2Sb,1911.901406
275,SbF5,1094.101674
276,SrLiH3,1617.202718
277,Sm4Cl6O,1097.5466689999996
278,Al2CdSe4,4270.211558
279,SmAs,3983.253282
280,LiAu3,371.91828860000004
281,Ca3UO6,667.3928125
282,NdH2ClO2,1497.60521
283,LaC,481.36882860000003
284,InGaTe2,426.2915722
285,CeSbAu,3602.4212079999998
286,LiH3O2,975.0661636
287,VZn2O4,77.91755874
288,Pd(SeBr3)2,1087.6546050000004
289,Li3CrSiCO7,472.90612360000006
290,TiF2,550.0208191
291,Cs2NaYF6,575.3466252999998
292,MgSbPt,251.51414219999998
293,LiMn5O5F,679.1134702
294,Rb2Sn2O3,478.7653149
295,LiAl2FeO6,1060.153535
296,DyFeSi,285.4118216
297,Mg2Cr3O8,148.6933333
298,Dy3TlC,212.06580669999997
299,AlGeRu2,314.0919302
300,CuBiO2,1736.9838300000001
301,HgRhO3,149.866144
302,Ce2CoSi3,1143.8302720000004
303,Mn(CuCl2)2,1245.0717140000004
304,LuZrSb,648.8740215
305,Mo2N,257.4658292
306,BaCo2P2H2O9,21.90610047
307,TaH2,1073.635344
308,Y3Sb4Au3,1953.028223
309,Hf2CoTc,37.60236034
310,NdCu5,1058.084643
311,CaInBr3,843.9590562000003
312,MnAlRh2,216.9163897
313,NbAsPCl3,267.8962946
314,Yb5Ge3,150.3524486
315,RbAcTe2,3697.673383
316,NaClO2,931.8008375
317,DyMg3,18.69632478
318,HfTc2W,4865.5704049999995
319,Tl4V2O7,1587.0406890000006
320,BaCaGe,1356.5300300000001
321,BaZnSO,1248.046209
322,LiYb2Cl5,1045.714883
323,Sm(Al2Cu)4,158.0303269
324,InHO2,1245.784383
325,Al2IrRu,191.4073256
326,U2InPd2,711.5757539
327,TiO,37.17235536
328,CClF3,333.1072372
329,TmGe,146.4943471
330,Zn2CuSbO6,687.1490978999999
331,TiNbO4,128.9650548
332,BeAlB,2821.142929
333,Li2AgF5,1198.779534
334,K2SnSe3,699.6520415
335,Ca(YbS2)2,55.705383
336,LiVCuO4,164.4279479
337,Rb3SbSe3,221.42002680000002
338,SrP3,1691.187621
339,TbGeO3,408.9405312
340,C5N4,760.8256525
341,Ba(AlTe2)2,1858.8252309999998
342,Rb3(FeSe2)2,73.51451048
343,Nb3Pt,603.0947537000002
344,Rb2NaGaF6,749.4384263
345,Ba2CuF6,5.818890959
346,Zr(TiGa2)2,727.9398277
347,ErLuMg2,702.3468461
348,LiCaNiF6,2.738257305
349,V3Ru,1455.674112
350,ZrSe2,2578.62765
351,LuScRu2,55.38083194
352,Pr2Be2GeO7,205.1812211
353,HfU3Sb5,678.3826888
354,LiCd2Rh,652.5475150000002
355,KPF6,702.9012743
356,ZnCuMo,416.8188232
357,NbAlRu2,127.4823727
358,ScBrO,3097.7767059999996
359,Ni2SbTe,600.2667673
360,Y2TlAg,974.6655812999999
361,Li2TiCoO4,437.8606859
362,SiBiO3,856.1061885
363,K2PdBr4,1051.019526
364,Er5Ga3,399.0263735
365,Li3VS4,1860.938956
366,U(HO2)2,947.384295
367,TmMnGe,27.63566009
368,CaTiPO5,1671.232814
369,CaSiO3,2550.74329
370,Li3Co5OF,186.47968459999998
371,Na4Mo(NO)2,534.8264051
372,KSbO3,1174.818036
373,NaZr2CuF,35.65753701
374,MnAg2GeTe4,96.83288622
375,Li5TiAs3,1801.267613
376,H2PbO2,1720.0962960000006
377,PrSe2,33.79333822
378,Tl3CoCl5,36.48407088
379,Ca3Tl,8.445716743
380,YbAu4,129.5320182
381,LiPrO2,1143.4249630000004
382,ThOs2,6.84808353
383,PdF4,523.3974197
384,ZrZnO3,28.73100784
385,CoAuO2,1334.269478
386,As2Pb4S6ICl,1519.2816289999994
387,Nd3Si2S8Br,709.227571
388,K2S2O5,251.92877349999998
389,Li2PbAu,46.47883970000001
390,ErTlO2,3121.543321
391,LiCuSbO4,820.8880869
392,BaYCrCuO5,319.2482627
393,HoTmTl2,4.635484995
394,Tl2SiNi,194.2876664
395,CeSiO4,2035.807057
396,Ba2Nd2Co4O,460.5481028
397,BaGaGeH,1997.7378760000001
398,Fe(CoO3)2,47.70702756
399,Ba2DyReO6,621.0600551
400,HgOsPb2,1603.922923
401,Zn(CrSe2)2,253.55929440000003
402,Nb4FeSi,81.54270749
403,GaTc2W,801.5708983
404,Hf2RuRh,3680.691961
405,LaBeO3,1990.0652260000002
406,Li3Ni(OF)2,784.0227456
407,CoS2,105.4064075
408,SnCl4O5,114.7970905
409,Na2MnO4,38.27980916
410,PmSnAu2,3.867673407
411,UIn3,228.2755
412,Zr5Te4,582.4641558999998
413,Li5Fe2Cu3,345.8622021
414,KTi2F7,5.248593608999999
415,MgAl2O4,1336.899889
416,Hf4Al3,157.7258104
417,NiMoO4,451.1363268999999
418,Li4MnCo3O8,12.01764036
419,ZnMo3,6.39431777
420,LiCaMgSiN3,1416.639983
421,Ag2O,1167.995127
422,Nd2Sb,0.507995775
423,SiF4,1053.180245
424,RbC,607.5737439
425,Th2Co7,65.312342
426,DyCoSi,345.8993524
427,Cu4Si2NiS7,324.4774175
428,TiBeRh2,119.58533770000001
429,ZrRh3,3.6047530919999997
430,TaGaRu2,46.04295521
431,HfGa2,629.2600947999998
432,In2Ni3S2,12.48007408
433,Sc3AlC,9.265812872
434,SiSnO3,4310.289184
435,TePdI2,270.7259389
436,NaTl3(SO3)2,2990.5852010000012
437,LuPb3,1026.9181019999999
438,NaCrS2,1401.5722050000006
439,KRb3,167.1384937
440,Tb2SnS5,551.3257904
441,NpGaRh2,3.294248811
442,LiRu2W,1314.3591900000001
443,Ba(CuSe)2,2368.045794
444,TlGaTe2,1305.613431
445,LiSi2BiO6,600.7212792
446,Ce(YS2)3,21.67236085
447,SrThBr6,585.5133882
448,Dy2Tl,977.8556426000001
449,Tl2Au,74.20328812
450,Na3SbS4,1813.047893
451,Yb2InPd2,792.4864169
452,Ca3P2,1562.932168
453,Pr2InAg,1449.345234
454,Er2O3,835.1260392
455,ScPd3C,134.62298710000002
456,RbF,1694.326853
457,TmMgCd2,35.31809775
458,Ti2CoSi,3.4790615039999997
459,NbTlO3,2170.8043
460,Sr3Ge2(BO)6,170.68612869999995
461,Ba(CoAs)2,1210.9429539999999
462,SmRh,2896.129748
463,Be5Au,101.2266527
464,SbRh,714.6228474999997
465,LiGe2N3,1087.320992
466,Nd(GePt)2,497.4078182
467,KAs,1174.240112
468,HoIn5Rh,610.8528602000001
469,CaGa2,694.4868058999997
470,BaPr2MnS5,919.9376868999999
471,SrCN2,2178.238856
472,Ac2CuIr,16.70212191
473,MgInRh2,954.6104648
474,YRe(WO4)2,67.49131475
475,Li(MnS2)2,232.2519464
476,ErInAu,1380.011966
477,CuBiSCl2,1641.506281
478,TbSiIr,193.82461469999998
479,UAg3,45.81601482
480,GeF4,938.7522936
481,PmTm3,909.6225775
482,YbIn2Au,215.6492679
483,SmCd,370.0292816
484,ErS2,4.6412112389999995
485,Sr3ScNiO6,1211.930537
486,K2RbBiSe3,318.6477695
487,Ba3V2O8,773.0055247
488,CeSiI,978.7396989
489,Yb(As2Rh3)2,1105.2896050000004
490,BaCdO2,1959.2818690000001
491,MgPPt5,397.56792189999993
492,Cd(In2I3)2,939.4115241000001
493,Ca4PdO6,895.9189017000001
494,K2PdF6,611.4123837999998
495,NdAgAs2,4190.103586
496,UNi4Sn,280.2058522
497,LiNi3O3F,57.53228282
498,MgTaRu2,481.9290873
499,LiSbS2,877.7121442
500,ThSi,875.2279412999999
501,SrZrS3,1371.112732
502,NaCO2,398.6251602
503,TbInCu,406.8503475
504,VS2,180.87328180000003
505,Li5Ni5(SnO)2,167.88034919999996
506,LiMgSbPd,40.54807073
507,LiP2WO8,17.50278054
508,Er(NiGe)2,1575.134983
509,Y(SiRh)2,853.8610958999999
510,LiAsF6,193.8206728
511,LaAgSO,1630.083009
512,HoIO,4706.015461
513,TaNi2,366.0527626
514,Ta(TeCl3)2,987.2485655999999
515,Na2YPCO7,327.10019480000005
516,LiV(CO3)2,11.73636022
517,K2CN2,884.1997026
518,PrAgAs2,429.2162358
519,Fe3OF5,25.86572471
520,Ba2YSb3O8,306.8174025
521,TbMn2,109.16395619999999
522,NdCuSb2,2263.8382699999997
523,NdGe2,30.95600757
524,TaTl(CuS2)2,1350.7835220000004
525,K2ErF5,127.93904779999998
526,Li8NO3,572.4988012
527,LuMg3,207.0408755
528,LiSc2Tc,1704.7148079999995
529,Li3CoOF3,64.45546368
530,HfSi2Br,265.4145839
531,Ni4W,150.20477659999997
532,ScIn3,1786.3906359999999
533,LiMn(PO3)3,85.68143563
534,Ba(BeN)2,1530.6205730000001
535,USnPt,3.7698337360000003
536,Zn3Mo2O9,697.3116951000003
537,Ho2CF2,1935.5293600000002
538,ErCl2,702.5754926
539,SrAu5,276.2782185
540,LaB2Ir2C,1153.505816
541,OsS2,84.16348394
542,Na2Pd3O4,2116.905210000001
543,MnFe3(P2O3)2,502.44562710000014
544,TaGeRh,229.2782478
545,YbGa5Co,207.3385139
546,CdSnAs2,2075.7205050000002
547,LuInPd2,409.38783689999997
548,K3Zr,77.05579197
549,Th2BiTe,56.44111162
550,Ba3BAsO3,3129.320653
551,Pb(ClO3)2,877.5610649
552,Li3Cu3TeO8,1226.887283
553,Nd2Cd2O5,1116.662873
554,Cu2Hg2SF6,90.86314182
555,Tb3Al2,6.318454591
556,MgCl2,1685.1094260000002
557,NdTlS2,801.9448668
558,GeSe,2200.10656
559,Sc6NiTe2,2101.904989
560,Nd3GaN,1782.3380899999993
561,CaCu3(Ge2O)2,125.85661280000001
562,Ba2S3,1574.1785949999999
563,NbRu2Cl,1921.119384
564,Y3AlC,3.68436886
565,HgB2(CN)8,216.72370159999997
566,Sr2FeO4,122.12838870000002
567,BaYTiCuO5,539.842084
568,Lu2AlZn,2.900354727
569,Tm2Ga8Fe,133.3867516
570,GaIr,10.63872265
571,Ti3Bi,109.17954750000001
572,YSnPd2,570.8624677
573,SbSBr,1304.999032
574,HgPd2Au,629.3892582000002
575,ErNiC2,1005.2782880000001
576,ZrGe2,2742.207162
577,KMnF3,722.9965683999999
578,CaFeO3,0.630096277
579,PuSe,1763.7530940000001
580,Sm3Pd,61.44615901
581,LiSO3F,192.0858371
582,Ta3Br7,135.95151030000002
583,DyAg2,39.35423366
584,Sr(AlCl4)2,493.5131568
585,Nb2C,911.4835491
586,AgCO2,1225.394689
587,H2CSO4,532.4006067
588,YbOs3,228.731925
589,CBrN,1519.810467
590,Sm2ZnHg,322.55677189999994
591,SnF3,2753.277246
592,Ta3O7F,1250.88426
593,ThAu3,1757.246503
594,PuIrO3,516.9746771
595,Rb3BAs2,1076.678895
596,Ho2CuRu,106.11347179999999
597,Sc2Ni2P7,206.7437071
598,Ho(TiGa2)2,74.36462443
599,Li4CuF5,783.0518427000003
600,AlCuO2,2812.554761
601,Rb3H5Pt,815.8796135
602,PuS,985.8158716
603,Sc6Te2Rh,1400.4229269999994
604,NaErSe2,2111.890721
605,RhN,441.38048169999996
606,Rb2Be2O3,733.0000011
607,Sr(BiB2)2,537.7023875
608,Rb4CO4,397.762937
609,K2ZnH4,798.4347576
610,Ta2Be2O5,328.00700539999997
611,YMgCu,6.227754289
612,Lu(FeGe)6,91.55708888
613,Ta2InCuTe4,131.48079429999999
614,Li2Fe5,68.55172924
615,ZrCdO3,190.9599939
616,ScBi3,120.0871038
617,AlB3N4,3144.802682
618,Er3Rh,378.16069839999994
619,Be3Tc,14.34995463
620,VIrO3,248.8383988
621,Dy2AgIr,45.49312004
622,MnNi2Ge,77.15789386
623,TmMgAu2,16.15769535
624,TmCrO4,373.9275536
625,TiSi,353.5985213
626,RbCaO3,136.04244930000002
627,Mo3O8,25.51195652
628,CeB2Rh2C,2872.610943
629,ZnBiF6,4.1290991089999975
630,AlB2Pb,107.85468290000001
631,CeAl3Pt2,2698.417915
632,Al2ZnS4,4245.139186
633,HoFe5,255.1038389
634,ThAl2,21.71150377
635,MgMnO3,0.684338552
636,FePd3,708.1350715
637,NiBTe,438.26047860000006
638,Tb2Ti2S2O5,1391.005765
639,SiPdO3,2.276126176
640,TbCu5,2257.23207
641,NdS3,1477.354055
642,Sc2GaIr,1433.3876710000006
643,TmPaRu2,1063.785375
644,Ho2V2O7,268.9504812
645,Li2MnBAsO7,146.2324724
646,ZrS3,1718.696761
647,Na2ScPCO7,60.99992523
648,LiHoPd2,800.3548784
649,NaTmO2,1699.223318
650,LuCdHg2,158.2402669
651,NdSbO4,463.54097469999994
652,Mn5As4,79.99300915
653,FeCo,128.2803355
654,CaSn3,154.9307216
655,HfAl2,37.76174229
656,KH,2629.873485
657,Cd(CN)2,728.5448531000003
658,KYS2,1656.649918
659,Sm2Au2O5,25.33599627
660,Al2Te3,1306.2989599999999
661,DySe,201.4307852
662,GaPt,1717.678239
663,Na2P2PbO7,277.3047204
664,NaBeH3,3078.8691
665,ThSe,36.50591611
666,HBr,1334.240647
667,Hf3N4,770.9083558
668,Sm3V,159.675972
669,Pr2CrS4,593.0572311000002
670,SrAlGa,239.01108969999999
671,LaSb,1239.344205
672,B6O,3030.248947
673,LiSnPd2,429.2196946
674,Li4Ga3Si3BrO2,45.12433414
675,V4O3F5,569.5106007999998
676,Ba3Ga2(GeO)4,495.3822073
677,Er(FeGe)2,1107.825494
678,LiAl3,97.0458475
679,Er2S3,908.3134957999997
680,P3Pd,650.2377141
681,Ca3Co2Ge3O2,271.18305360000005
682,Li4V3Fe5O6,239.77691349999998
683,HoCuO2,1825.674862
684,CaHoTi2O6,1103.366548
685,Li3Cr2(NiO4)2,74.58491764
686,RbSnIO6,212.3466747
687,Ti(SeO3)2,735.9945637
688,CaSc2O4,944.2812203999999
689,AuN2,22.48731005
690,CrCuSe2,751.8786884
691,Bi7(S3Cl)3,481.7780443
692,YbCdAu2,114.1163378
693,Li2CrPCO7,266.19648709999996
694,PrNdZn2,136.8831709
695,Sm(CoGe)2,1303.727396
696,SnO2,1307.792412
697,Pr(CuSi)2,624.8386637
698,Zn2CuWO6,490.0164088
699,Tb(SiOs)2,274.4884857
700,SrPt3O4,61.54228825
701,CuI,1725.7588649999998
702,YBi2BrO4,2246.5584670000007
703,NaH2N,1245.299857
704,HoZrSb,751.0123472
705,V2PC,284.5252267
706,Na2Cu(HC)4,9.203027381
707,Ac2O3,1343.572236
708,PtPb4,507.7502072
709,NaDySe2,1969.761855
710,NdSi2,12.11995436
711,Pr2Tl,178.02251950000004
712,Li3(CuO2)2,252.1965975
713,NpB6,45.80923558
714,Zn2NiWO6,1652.716323
715,Na4SiO4,124.6377729
716,AcMgHg2,385.78891339999996
717,Ta3SBr7,290.81064669999995
718,K3Sc,1.5322404019999998
719,Mn(CoO3)2,1744.3439600000006
720,NdTh3,209.46701000000002
721,NbTeI3,664.8271437000002
722,Hg3Au,398.0641452
723,InAgTe2,2369.0724179999997
724,Li2FeOF3,204.0415627
725,HfZn,1755.146949
726,YAgSe2,1782.7364690000006
727,CoP2,2327.125625
728,TmNp3,327.3264792
729,CaPt2,447.84038569999996
730,SrC2,2697.6032210000008
731,HgO2,745.7044218999997
732,Li2TeO4,305.02597119999996
733,NdTi2CdO6F,1486.704892
734,Li3SiNi3O8,1026.7684
735,HoInPd,1711.006214
736,Sc2RuRh,1392.641152
737,Rb3Sb2Br9,1562.144804
738,MgPaRu2,1400.878187
739,Nd2Si3Rh,252.453161
740,Ta3SiTe6,82.35419008
741,TiCo3O8,3314.867672
742,Sm3Ag,143.40649340000004
743,BaAgSb,136.0774364
744,Mg3(HO2)2,1050.534207
745,Er3CuSiS7,849.2782632999997
746,TbNbO4,1073.043702
747,ErAu2,10.90496689
748,SrTa2Bi2O9,871.9252488
749,HfH2,318.6576995000001
750,Nd3CuSiS7,652.4126906
751,Er(TiGa2)2,54.29666457
752,ReSeCl,305.2921101
753,Tl2O,3631.0347549999997
754,CuSnH2(NO3)2,406.24358010000003
755,NaTl2MoF6,4.182866519
756,SmBr,1082.833428
757,KLiS,1348.092806
758,SrCdHg2,801.8806847
759,LuAl3,2080.591465
760,ZnSbF6,134.18669609999998
761,Rb3InO3,219.9910471
762,LiCo3(OF3)2,234.2436753
763,Ce2Ni2Sn,989.2568527999999
764,Li3FeO4,834.511359
765,TaZn2CuO6,403.75358450000004
766,Yb3Ge5,336.2300753
767,Y2Ni2O7,927.5438935000001
768,NaVSiCO7,393.40813710000003
769,LiTlPd2,132.080015
770,NaEr(PS3)2,784.9731506
771,PrHo3,424.4703085
772,Ba5Nd8Mn4O2,106.604759
773,V2ZnO4,246.1075515
774,Pm2PdPt,0.7447497340000001
775,Sr3(BO3)2,1210.224643
776,HC,1965.169393
777,SiPbO3,3458.394707
778,Ba3(BO3)2,295.5189742
779,HoGeRh,52.84713212
780,TaPt3,294.2541457
781,NdCuS2,1078.582738
782,Li3LaBi2,1293.4001640000001
783,Ba2InBrO3,1235.36176
784,AlFe3,1545.175514
785,SmTmZn2,29.217288500000002
786,Ba2ZnCd,692.3288116
787,MnGaH4O2F5,103.73129250000001
788,Ce(GePd)2,4453.142959000002
789,Nd(SiNi)2,1194.8364
790,PaN,176.4712176
791,Li3CoO2F,218.812598
792,Ga4GeO8,566.1822275000002
793,SrTlHg2,268.48448080000003
794,Dy3Mn3Ga2Si,50.46793417
795,Mn3PtN,5.4700073510000005
796,TbAg3,132.0603303
797,Ti3SnC2,368.0506762
798,Nb3Pb,4329.418659
799,Tl2(SeO3)3,37.27983211
800,K3GaS3,218.8764631
801,Na6CdCl8,802.3892708
802,LuFeC2,280.10929
803,Rb2Mo3,248.3238603
804,Ba3(HIr)2,157.5628116
805,DyS2,182.37688369999998
806,Li2AcSn,1282.684536
807,K5P2Au,874.6843558
808,GaAuO2,2113.672225
809,Mn2GeO4,94.61659986
810,SiH6(NF2)2,319.96821620000014
811,Ce2Nd2O7,1084.089278
812,TmCl3,949.2979637
813,MoPCl9,88.38434631
814,LiSiRh2,717.758178
815,HfNi2,349.2731541
816,SrBiB,431.7445131
817,Ac2ZnSi,540.2351597
818,In2Au,7.988602457000001
819,Sm2Ti2S2O5,1418.444283
820,LiY2Ru,1853.5215620000001
821,CaCo2O5,893.8712773
822,K3CrO8,295.6055911
823,ThIr,361.1983242
824,VO,638.2737463
825,Yb(HO)3,239.9136935
826,TlCoW,39.10456232
827,AcInTe2,3412.291842
828,Tl2S,1319.4077630000004
829,Li3Mn4O8,109.2741773
830,Rb2VCuS4,1405.909416
831,ZrNi2,41.36897204
832,Mn5(SiO)4,122.9780101
833,Li2CuO2,319.8124696000001
834,Pr2SnHg,63.79251403
835,SrSnP,375.1034792
836,MnSbAu,1059.385779
837,CdPPt5,425.8493289
838,Sb3O4F,954.6052914999999
839,CuBiSeO,2841.426205
840,PrAsO4,1616.954636
841,V4P2O3,11.14349165
