,pretty_comp,dfpt_piezo_max_eij
109,NaSm3SiS7,1.06739
110,KH8N3,0.08048999999999999
111,KBi2F7,2.35606
112,Dy3CuSiSe7,1.48118
113,Cd(HO)2,0.57206
114,K6Fe2O5,0.25362
115,Rb3TaO8,0.37416
116,WBr4O,4.0456400000000015
117,RbGeBr3,0.70621
118,K2PbO3,0.45589
119,ScZnMo3O8,0.38462
120,MgGeP2,0.16735
121,Li8FeO5F,0.44398
122,CaH2(BrO3)2,0.0284
123,H3NO,0.20052
124,SiBi2O5,3.7643
125,BaAl4S7,0.43997
126,Al2CdTe4,0.12949000000000002
127,HgS,0.24708
128,RbAs,0.2273300000000001
129,NbCoSn,1.56584
130,SeOF2,0.77456
131,NaCdF3,0.36256
132,Sm2Be2GeO7,0.21369
133,MgScGa,0.8065
134,Th3As4,0.37921
135,Li2MnSi3O8,0.27476
136,K6MgO4,0.19987
137,P3N5,0.66067
138,ClO3,0.52637
139,InAgSe2,0.39518
140,S3(NCl)2,0.20077
141,ZrSnPt,0.10136
142,CdGeP2,0.15523
143,MnTeMoO6,0.30247
144,MgNiF4,0.35083000000000003
145,K7NbAs4,0.34927
146,Ca4Cl6O,0.13789
147,Rb2Se3,0.33965
148,BiTeBr,0.39576
149,ErSbPd,0.30374
150,Ce2Dy2O7,0.35506
151,LiCaAs,0.65387
152,HgBr2,0.15773
153,DyNiBi,0.2116
154,NaSi2BH2O7,0.73775
155,LiZnPO4,0.16232
156,BeZnO2,0.53474
157,MoW2(SeS2)2,0.16346
158,BSb,0.03247
159,TeWSe,0.02419
160,Sr7(HBr)2,0.09872
161,LiCaRh,1.04288
162,TiSnO4,1.46404
163,Zn4(B2O)3,0.18442
164,Sr2CdAs2,0.6473399999999999
165,Li2GeO3,0.91464
166,LiVOF3,0.71392
167,HoAgTe2,0.66761
168,Cd(HO)2,0.55299
169,ZnCl2,0.20842
170,Sm3CuSnS7,1.33153
171,NaNO2,0.17112
172,InPS4,0.22861
173,CuBS2,0.1299
174,AgHgAsS3,0.36325
175,LiCoO2,0.66998
176,SbF3,2.00009
177,KCaBr3,1.46877
178,Zn(IO3)2,1.09372
179,BeTe,0.15966
180,Ca(HO)2,0.32419000000000003
181,CdTeMoO6,0.50297
182,ScGeAu,0.59931
183,PtO2,0.08467000000000001
184,LiV3O8,1.27857
185,SiP,0.04331
186,CaB4O7,1.04131
187,NdOF,0.79696
188,AlBiO3,4.63497
189,LiB6C,0.29449000000000003
190,BrN3,0.06483
191,LiAlSe2,0.23773
192,PdF4,0.44588
193,GeC,0.2565
194,TiMnO4,2.27418
195,Li3AsO4,0.65987
196,Te3W2Se,0.04956
197,TlP5,0.23255
198,NbCu3S4,0.03477
199,KMnPH2O5,0.26028
200,Tb2PbS4,0.5808399999999999
201,Hg2P2S7,0.20855
202,Li2TeO4,0.08269
203,LiCoP2O7,0.30584
204,Ag3PS4,0.70397
205,NClOF4,0.41452
206,Mn(Sb2O)2,0.52273
207,Hg3(TeBr)2,0.36142
208,Ca2CoSi2O7,0.11007
209,Li5P(S2Cl)2,0.77977
210,Mg(CN)2,0.03912
211,PICl6,0.040060000000000005
212,GaP,0.3026
213,ThNiSn,0.82625
214,ZnCdS2,0.23051
215,KYSiS4,0.34618000000000004
216,CrHO2,3.4649400000000004
217,H2C5N2O,0.04884
218,AlPS4,0.03407
219,MgBi2O5,2.03952
220,FeTeCl7,0.08807000000000001
221,VSbRu,2.32242
222,Zn3CdS4,0.156
223,Y2Be2GeO7,0.25036
224,Y(HO)3,0.17855
225,Sm2CdS4,1.97493
226,Li4TiS4,0.10473
227,Li5V(SiO4)2,0.29408
228,MgGeAs2,0.07868
229,MoW3(SeS)4,0.23748
230,SmOF,0.8332200000000001
231,InPbCl3,0.22404
232,SiSn,0.03291
233,Na3Sr3GaP4,0.44564
234,GaTeI7,0.21517
235,SrTa4O,0.19105
236,Al5HO8,1.22959
237,Li2V(CO3)2,0.59529
238,AlB3N4,0.53862
239,MnZnF4,1.0339
240,LiGaO2,0.90177
241,Ho3CuSiS7,1.45969
242,BaCO3,0.66692
243,Sr2SnS4,0.56567
244,BAsO4,0.16588
245,Rb2LiAsO4,0.08484
246,Dy5AgS8,0.39277
247,YCuSe2,0.29191
248,Na4MnO4,0.21329
249,TaCu3Se4,0.07586
250,ZnCl2,0.21947
251,MgTa2O6,3.62364
252,BC2N,0.8265399999999999
253,Nd3SiAgSe7,0.5858800000000001
254,Li2VGa3O8,0.61685
255,Tl9SbTe6,2.03145
256,W3(SeS2)2,0.09223
257,NaClO3,0.04114
258,KTe,0.01288
259,VCuO3,0.63334
260,BrO2F,0.46568
261,TeOF2,0.80402
262,Be2NbRh,4.04397
263,Sr4CaCr2(SO3)2,0.50027
264,GeI2,0.7391800000000001
265,TbBS3,0.29278000000000004
266,KMg(PO3)3,0.07275
267,SnS2,0.20869
268,RbTa(GeO3)3,0.020630000000000003
269,LiAlSiO4,0.01611
270,KSnAs,0.29842
271,Ca(SbO3)2,0.61597
272,H2O2,0.04224
273,NbBi3O7,3.04361
274,K3ClO,0.02168
275,Nd5AgS8,0.29341
276,SeBr,0.66337
277,MgSiP2,0.28459
278,Rb3SbSe3,0.01012
279,CdP2,0.07561
280,Cd(CN)2,0.42631
281,Na6ZnSe4,0.44759
282,TaSbRu,1.16962
283,GaBN2,0.52886
284,HgTe,0.66332
285,Er2Be2GeO7,0.2748
286,ZnGeN2,0.42697
287,TiFeTe,1.8932400000000005
288,TaBe2Rh,3.93666
289,RbSrCl3,0.7229800000000001
290,GeSe2,0.12962
291,Li8VO5F,0.34835
292,Zn(SnO2)4,0.51745
293,H5NO,0.0353
294,Ba3Bi2F2,0.99181
295,Te8Mo3W,0.14152
296,CaZrSi2O7,0.77578
297,HoNiBi,0.35096
298,Mo(WSe3)2,1.37788
299,Nd2PbSe4,0.37686
300,LiMnSiO4,0.19621
301,Li5GaO4,0.07442
302,Na5Li3Ti5O4,1.06774
303,HgB4O7,1.21681
304,Li2SiO3,1.10499
305,Ta2ZnO6,3.95763
306,NaS2,0.0359
307,NaSnN,0.57603
308,BaGaGeH,0.34832
309,LiY3WO8,0.49198
310,Na4FeO3,0.6766399999999999
311,AlGa3N4,0.23223
312,Ho3CuSnS7,0.8377
313,SbIrS,0.026760000000000003
314,TePbO3,0.61679
315,Tb3BWO9,0.63355
316,CuBr,0.37539
317,Ge2N2O,0.32878
318,BaSi4O9,0.03565
319,KBe2BO3F2,0.02435
320,LiV(PO4)2,0.41527
321,Cd(CN)2,0.01553
322,CSO,0.13155
323,Sr(NdSe2)2,0.29197
324,ZrFeTe,0.66113
325,MgTeH2O9,0.7368
326,NbRhO4,1.14169
327,TmH3(CO2)3,0.29053
328,Dy2PbS4,0.6096699999999999
329,ZnCu2GeS4,0.02839
330,H4NCl,0.07458
331,ThSbRh,0.28267
332,ZnSiAs2,0.18617
333,Te2Mo3WSe6,0.22718
334,GaB3N4,0.83301
335,Cd(GaSe2)2,0.16064
336,P4PtF2,0.07306
337,Bi(BO2)3,0.86656
338,CrBiO3,2.99161
339,LiAlAs2O7,1.18149
340,BaLiAs,0.27297
341,LiZnAs,0.81955
342,BaHgS2,0.49232
343,Pr3AgGeS7,0.63484
344,MoWSe4,0.06253
345,Ca(SmS2)2,0.35349
346,Th2HN3,2.35409
347,H4BrN,0.0423
348,Pr3CuSnS7,1.51177
349,V2MoO8,2.78608
350,AsCl3,0.02899
351,ScCoTe,0.20959
352,In2S3,0.21632
353,Mo3(Se2S)2,0.18479
354,KTeHOF4,0.33814
355,Al2Si2H4O9,0.7218
356,AgNO2,0.38542
357,TiFeSe,1.35051
358,BaAl2O4,0.55287
359,LiMn2F6,0.69275
360,NbFeSb,2.19144
361,BaZnF4,0.65793
362,Li7BiO6,0.13671
363,MoSe2,0.5908100000000001
364,LiMn(CO3)2,0.20767
365,Ti(CuS)4,0.13327
366,RbMgBO3,0.00085
367,TaTlPt,0.32652
368,K3BiTe3,0.02972
369,Mo3WSe8,0.56283
370,RbSnF3,1.0236
371,Th3Bi4,0.26209
372,MoWSe3S,0.21298000000000009
373,KCN,0.14483
374,Dy3CuSnS7,0.87471
375,BaMnF4,0.52249
376,Mn(AlTe2)2,0.07347999999999999
377,BaAl2B2O7,0.26664
378,Te8MoW3,0.30916
379,CdSiAs2,0.29228000000000004
380,Al2PbO4,0.56283
381,Sm3CuGeS7,1.2039
382,ZnCu2SnS4,0.8290700000000001
383,Cu2SiS3,0.15664
384,SBr,0.42934
385,YNiP,0.74895
386,Si3NiP4,0.73731
387,Sn3As4,0.32316
388,Al2ZnTe4,0.08678
389,LiAuC2,0.14661
390,BaGaSiH,0.44796
391,Ba(PrS2)2,0.37368
392,Te4W3Se2,0.09444
393,AlAsO4,0.18509
394,Li2H2SeO5,0.11657
395,LiMn(PO3)3,0.23176
396,Li4CuSi2O7,0.36481
397,SnPSe3,2.19582
398,LuNiSb,0.28572
399,TiOF2,0.56598
400,ErNiSb,0.1794
401,AlTeI7,0.17255
402,Zn(GaS2)2,0.13202
403,CdSnAs2,0.05064
404,BaSe3,0.19707
405,LiSi2N3,0.7227899999999999
406,ReTeS,0.09384
407,MoF4,0.17727
408,Pr3CuSiS7,0.47742
409,Na4CO4,0.8650100000000001
410,Na2SiO3,0.56862
411,Al2Se3,0.12265
412,K4CO4,0.74942
413,Li2ZrTeO6,1.09575
414,KH4O2F,0.14225
415,Tl3AsS3,0.6845600000000001
416,CoSnC4Cl3O4,0.09573
417,KGeNO,0.13888
418,YNiSb,0.38982
419,LiBiB2O5,1.51952
420,SnF2,0.12423
421,Li4CO4,0.6545
422,Li2CdGeO4,0.89546
423,BaCrF5,0.10285
424,Li5MnO3F,0.13796
425,CdSiP2,0.1764
426,Cr3WO8,1.4777
427,Al5CuS8,0.0723
428,Rb4SnO3,0.40356
429,TlNO2,0.75844
430,HoHSe,0.33444
431,Cu2WS4,0.10258
432,Al(IO3)3,1.27481
433,ScNiP,0.7114
434,ThSnPt,0.51917
435,ReNCl4,0.53105
436,CaGaGeH,0.29531
437,Na2PtS2,0.10446
438,BaAlSiH,0.30858
439,KBrO3,0.8145399999999999
440,HfZnN2,1.7969
441,Y3GaO6,0.3006
442,AlAgS2,0.35995
443,Cd(GaS2)2,0.22553
444,Ti3MnO8,0.81716
445,BaGa4S7,0.19812
446,BH5CN2,0.12707000000000002
447,Na4S2O5,0.4259
448,KNO3,0.33866
449,BaSi6N8O,0.8295799999999999
450,Tl3VO4,0.4041
451,BiTeCl,0.31523
452,WOF4,2.39819
453,BaBAsO5,0.1425
454,LiZnN,0.37755
455,NaLi2AsO4,0.69422
456,Na2CdSnS4,0.55766
457,Ag6Mo2ClO7F3,0.16392
458,SrMgH4,0.75033
459,HgSeO4,0.8918200000000001
460,NaHo2F7,0.28985
461,CaAlH5,0.22743
462,MoH2Cl2O3,0.54445
463,Ho2Be2SiO7,0.54411
464,MgSiN2,1.09447
465,CdSe,0.2144800000000001
466,GaCuI4,0.10317
467,LiAlSi,0.50836
468,Li2GeF6,0.1246
469,MgGeN2,1.06123
470,W2Se3S,0.05627000000000002
471,KV3(SeO)2,0.27149
472,K2BaCdSb2,0.74658
473,NaScAs2O7,3.41589
474,BNCl2,0.03906
475,GeRu,1.34526
476,IOF3,0.29905
477,K2Se5,0.04581
478,YAgTe2,0.65484
479,Ca3TaGa3(SiO2)2,1.25736
480,Tl3PO4,0.33949
481,Cd(InSe2)2,0.24545
482,NaGe2N3,0.45616
483,SrBe3O4,0.06985
484,AlP,0.06442
485,Li2GePbS4,0.94713
486,BPS4,0.040060000000000005
487,CdSO4,0.99913
488,Sm2AlNO3,2.16882
489,B2AsP,0.05537
490,CaZnSO,0.65804
491,BaFeF4,0.41914
492,LiNiBO3,0.26845
493,ZrCoBi,0.72118
494,Ga3BN4,0.12232
495,AsBr3,0.03252
496,Sm2PbSe4,0.42455
497,Al6Cd4SO2,0.14672000000000002
498,LiMn3OF5,0.14833
499,TaCu3Te4,0.05548
500,Cu2HgI4,0.29058
501,Li2CrP2O7,0.29599000000000003
502,CuH,0.22234
503,KTeOF3,0.5143
504,K6MnSe4,0.37037
505,MoWS4,0.08177000000000001
506,Dy2Be2GeO7,0.25932
507,Rb2SnO3,1.6304
508,Li2CuSb,0.7034
509,FeN3ClO3,0.25644
510,TiSiPt,0.60151
511,TlGeF3,0.7800199999999999
512,YH3(CO2)3,0.30905
513,H2SeO4,0.15179
514,YbMgSn,0.01198
515,SrHClO,0.32671999999999995
516,NbOF3,0.28966
517,YbB4O7,1.09325
518,BP,0.221
519,Y2Be2SiO7,0.53789
520,KAsSe2,0.22727
521,Sr(PrSe2)2,0.27259
522,ZnCoF4,1.0355299999999998
523,Nd3CuSiS7,0.52957
524,Mg(InTe2)2,0.23068
525,NdHO2,0.8982600000000001
526,Bi4O3F7,3.89357
527,Mg(SbO3)2,0.70628
528,SmZrF7,0.22363
529,BaNaP,0.06805
530,CaTlCl3,1.04726
531,Li2Si2NiO6,1.21508
532,Te(HO2)2,0.44636
533,Ag2HgO2,0.02406
534,WSeS,0.00613
535,NaMnCrF6,0.04749
536,Na2PdS2,0.15052
537,Li4Si2NiO7,0.35954
538,TlHgF3,1.36773
539,VCu3Te4,0.17859
540,GeH3Cl,0.29624
541,Li2WS4,0.0543
542,Ca2SiB2O7,0.18001
543,Ba3Ti2O7,4.0568800000000005
544,Li2CrO4,0.36164
545,TbBi5O9,1.88796
546,ZnS,0.10905
547,LiVSiO4,0.0112
548,BaBe2Si2O7,0.7075899999999999
549,Na3Ca3AlAs4,0.53859
550,KSnSb,0.29100000000000004
551,HgIBr,0.25107
552,Rb3BiSe3,0.02134
553,DyNiSb,0.26233
554,Zn4B6SeO2,0.09693
555,NaPN2,1.47775
556,PrGeBO5,0.26582
557,Si3As4,0.34319
558,Li2AlFeO4,1.01334
559,ErAgTe2,0.64463
560,FeSeCl7,0.08195
561,Ga2TeS2,0.10139
562,Ag2HgSI2,0.25188
563,CO,0.01738
564,In2HgTe4,0.20559
565,Pr3SiAgS7,0.45806
566,SiGeN2O,0.24842
567,ZnSiN2,0.54855
568,NaSi2N3,0.34356
569,CaSe,0.37247
570,InGaS3,0.20378
571,Nd4S3NCl3,0.07729
572,ScNiSb,0.1089
573,YNiBi,0.39156
574,H7NF4,0.20232
575,FeSi,1.0572700000000002
576,Mn(GaS2)2,0.18905
577,ZrSiPt,0.8528899999999999
578,AlHO2,1.58244
579,Ag2HgI4,0.36893
580,H6CNF,0.21293
581,Lu3AlO6,0.43271
582,Cd(InTe2)2,0.15544000000000002
583,Cd3AsI3,0.20345
584,YHSe,0.31237
585,Ga2HgS4,0.28308
586,Te6MoW2,1.25121
587,Ag5P(S2Cl)2,0.50668
588,Na3Mo(OF)3,0.58423
589,B4CCl6O,0.06393
590,PrBS3,0.32265
591,Li3SbS4,0.00263
592,K2Pb2O3,0.03993
593,Dy3BWO9,0.65888
594,ZrSnPd,0.24693
595,Hg3(SF)2,0.46745
596,Zn4P6SN2,0.04397
597,H5CNO2,0.16028
598,Na3VO4,0.60742
599,KZnSb,0.26611
600,Zn2Bi2O5,3.5421400000000003
601,Li2CaSiO4,1.43338
602,Mo2SeS3,0.028030000000000003
603,Rb2LiVO4,0.0635
604,LiSiBi3O7,1.94044
605,FeP4,0.36258
606,MoW3(Se3S)2,0.04186
607,Pr2PbSe4,0.36249
608,Hg3AsS4Cl,0.09793
609,RbCaCO3F,0.04192
610,TeW2Se3,0.12052
611,ZnCN2,0.35247
612,AlSCl7,0.08943999999999999
613,TiSnPd,0.12784
614,AgB(CN)4,0.03275
615,SrAlSiH,0.61365
616,Sr(NdS2)2,0.33749
617,NaSrP,0.14495999999999998
618,CdHClO,0.8512200000000001
619,BeS,0.18084
620,BaBeSiO4,0.8043399999999999
621,Mo3(SeS2)2,0.14264000000000002
622,HoNiSb,0.21913
623,H4CN5Cl,0.20675
624,Li4WO5,2.96
625,AlAgTe2,0.13259
626,TaTl(GeO3)3,0.08753
627,Tb2YbS4,0.40762
628,CaHClO,0.7931
629,LiBr,0.31264000000000003
630,SrAlGeH,0.56912
631,CaMgNiH4,0.4441
632,Li3VS4,0.05786
633,GaAgSe2,0.46845
634,SnH8(CI)4,0.02055
635,Li3VO4,0.8925299999999999
636,BrF3,0.8785299999999999
637,AcOF,0.6781699999999999
638,K3SbSe3,0.01313
639,CN2,0.04648
640,TiSnPt,0.2126
641,Te2Mo(WSe2)2,0.13168
642,Mo3W(Se3S)2,0.16205999999999998
643,KYGeS4,0.2646
644,K3TaF8,0.34178000000000003
645,SiC,0.10845
646,Ca2YSnO5,0.72964
647,ZrC,0.17607
648,KNa(BH4)2,0.32285
649,GeBi2O5,2.75597
650,LiYMo3O8,0.52559
651,Ba3Si6N4O9,0.24411
652,Te4Mo3WSe4,0.21524
653,MoWSeS3,0.14182999999999998
654,Li7SbO6,0.33492
655,CSO,0.14182
656,Ca4Sb2S,1.31511
657,GaCuS2,0.05969
658,BaNa2(SiO3)2,0.15837
659,KAlSiO4,0.39155
660,KClO3,0.55095
661,BeSnAs2,0.03497
662,Na6BeO4,0.46912
663,LiSbO3,0.4601
664,Ge3As4,0.47898
665,ZrZnN2,2.19403
666,Na2ZnGeO4,0.851
667,MoW3Se8,0.08032
668,P4S5,0.20723000000000005
669,RbClO3,0.27922
670,Tl3VS4,0.46416
671,Si4P4Ru,0.18151
672,Tl2CdTe4,0.48922
673,Na2GeO3,0.91366
674,TlClO3,0.43316
675,Li4CoO3F,0.27515
676,Rb3NbO8,0.39213
677,Li3VO3F2,1.66553
678,LiNi(CO3)2,0.17498
679,Ca7(HCl)2,0.16183
680,K2LiBO3,0.13275
681,NaP,0.38418
682,Sr2H5Rh,0.45785
683,LiH2N,0.1761
684,BH6CN3F4,0.11179
685,AgHgSI,0.08806
686,K5ThF9,0.22237
687,TbNiSb,0.282
688,WSe2,0.17599
689,LiSiNO,1.02286
690,Te6MoW3Se2,0.04663
691,NaPH3NO3,0.41303
692,CuB(CN)4,0.08146
693,VFeSb,3.69303
694,BCl(OF2)2,0.06139
695,Ag3P,0.19073
696,Li6FeO5F,0.76074
697,BeGeAs2,0.08367000000000001
698,ScCuS2,0.37771
699,Li7NbO6,0.40217
700,SrHgO2,0.0017
701,Al2HgTe4,0.19133
702,HCN,0.96142
703,HgSe,0.42018
704,Nd5AgSe8,0.25872
705,Ga3PO7,0.66867
706,Li2VBO4,2.15046
707,In2HgSe4,0.29709
708,K2Se3,0.3904
709,NaSrAs,0.10317
710,Li4MnSi2O7,0.45736
711,ZnSeO4,0.6359899999999999
712,Mo2Se3S,0.1044
713,MgTiSiO5,4.05435
714,Mn2OF2,0.59672
715,Zn(InSe2)2,0.21462
716,Na7NbO6,0.53017
717,RbBaSiHO4,0.06985
718,MgSiAs2,0.1744
719,ScSbPt,0.28829
720,AlAgO2,0.57957
721,Be4TeO7,0.03173
722,YAgSe2,0.50339
723,GeF4,0.27711
724,Zn(InS2)2,1.09833
725,BeSiP2,0.15058
726,VF5,0.19732
727,Yb(NdS2)2,0.3107
728,KBaSiHO4,0.1493
729,Mo2H2O7,1.13745
730,SiC,0.15761
731,H2SeO3,0.04674
732,SrB4O7,0.65275
733,Ga(IO3)3,1.24848
734,K4CO4,0.84941
735,Li2CrPO4F,0.47615
736,HfSnPd,0.10019
737,Zn(CN)2,0.02679
738,Be(CN)2,0.04368
739,Th3P4,0.42732
740,HgBr2,0.00106
741,K3SbSe4,0.47477
742,SmTaO4,2.00036
743,Mo3WS8,0.04096
744,NaBeSb,0.4725
745,ZnTeMoO6,0.06411
746,RbAgSe4,0.36884
747,H4IN,0.23408
748,RbPbIO6,0.02566
749,SnC,0.013619999999999998
750,KTbGeS4,0.27562
751,KNdGeS4,0.4757
752,Ba3BPO7,0.3953
753,Li8SiO6,0.11973
754,Na2NiO2,0.30592
755,Ba(H2O3)2,1.56341
756,TiCoSb,1.19924
757,TlIO3,1.44547
758,GaP,0.21131
759,Hf(B2H3)2,0.009000000000000001
760,TbAgTe2,0.71463
761,LiZnP,0.69358
762,AsF3,0.68335
763,LiSiBO4,0.45545
764,LiBF4,0.09726
765,V2ZnO6,3.20471
766,W3(Se2S)2,0.08177999999999999
767,SrP,0.09488
768,CuCN,0.57115
769,Lu2(CN2)3,0.09722
770,Yb4Cl6O,0.14808
771,LiFe(CO3)2,0.58423
772,Li2Ge2O5,0.46678
773,Ca(PrTe2)2,0.28982
774,Ca(NdTe2)2,0.30729
775,NaHF2,0.40121
776,Al3GaN4,0.37991
777,Ba2Ti3O8,6.35155
778,Li2NbOF5,0.31337
779,AgAsO2,0.69662
780,Li2BeSiO4,0.17781
781,Hf3SnO8,0.38724
782,LiInP2O7,0.16684000000000002
783,LiNbP2O7,0.28848
784,BPO4,0.25005
785,Na6MnS4,0.36108
786,ZrNiSn,0.05548
787,Mg3Si2H4O9,0.55647
788,Na2ThF6,0.19993
789,Ba2Ti3Tl2,1.6262299999999998
790,NbTl3Se4,0.45485
791,Na3VS3O,0.37825
792,ScHO2,1.44241
793,Al2HgS4,0.36206
794,SnI4,0.09938
795,Na6MnTe4,0.34668000000000004
796,Li8TiMn3O2,0.30947
797,CaP,0.08473
798,Tb3GaO6,0.30117
799,Na5SbO5,2.1918
800,LiZnPS4,0.2169
801,Yb(PrS2)2,0.30124
802,NaAlO2,0.83791
803,AlICl6,0.09961
804,BeGeN2,0.1149
805,RbV(CuS2)2,0.26076
806,Ga2Te3,0.16186
807,K2MnF6,0.10603
808,CdBiO3,0.5406
809,Li3PO4,0.5877600000000001
810,Na2PtSe2,0.09567
811,Al2Si2H4O9,0.72111
812,Pr3SiAgSe7,0.51273
813,Li2ZnGeO4,0.79415
814,SiGe,0.04559
815,Te2Mo,0.28473000000000004
816,TlCd(NO2)3,0.13282
817,KYSn,0.11891
818,RbSrCO3F,0.04317
819,BeSiN2,0.17355
820,Zn2Sb2O5,0.62617
821,VCu3Se4,0.18603
822,PrOF,0.8045100000000001
823,Ca4Al6O3,1.59967
824,Na3MoNO3,0.8710399999999999
825,SnB4O7,1.26359
826,Tl3AsSe3,0.8125
827,NdH3(CO2)3,0.31396
828,BeSnP2,0.043460000000000006
829,KTa(GeO3)3,0.04845
830,GaSeBr7,0.28655
831,Ga2HgSe4,0.20549
832,CIN,1.46363
833,AgH,0.06252
834,FeSiW,1.09841
835,WCl4O,2.02429
836,H8(NO2)3,0.24616
837,LiGaS2,0.20305
838,TaCu3S4,0.06083
839,Te6Mo3WSe2,0.14816
840,PI3,0.21821
841,LiTaO3,2.55446
842,LiVF6,0.16677
843,ScSbPd,0.28086
844,KSrCO3F,0.3985800000000001
845,Te2W3Se4,0.53743
846,TiSiPd,0.74728
847,Sm5AgS8,0.31916
848,Sr7(HCl)2,0.10409000000000004
849,LiNbO3,3.61987
850,LiTeHO4,0.57932
851,KHO,0.20485
852,LiNbO3,3.65655
853,Ga2TeSe2,0.08755
854,BeGeP2,0.10622
855,MgH2SO9,0.19455
856,TlBSe3,0.49499
857,RbNO2,0.82401
858,Hg3(SeCl)2,0.25304
859,Nb3TeI7,0.25034
860,Au2O3,0.43837
861,Hg4OF6,0.49643
862,Sr(PrS2)2,0.31712
863,KBi(PS3)2,0.98969
864,Yb(SmS2)2,0.34217
865,IO2F,0.99476
866,KP,0.26873
867,KPrGeSe4,0.40665
868,BaH4O3,0.49427
869,Fe(SiP)4,0.17575
870,Zn(SbO3)2,2.09123
871,Sr(Si3N4)2,1.00995
872,K2Sr(P2O)2,0.12204
873,K2Mg2O3,0.01624
874,HgHOF,0.02075
875,Zn2GeSe4,0.09975
876,Li2NiPO4F,0.36469
877,Sr4I6O,0.08298
878,Na5MnO4,0.34509
879,TiZnSiO5,1.86762
880,Al2HgSe4,0.2855
881,XeO3,1.11635
882,BeSO4,0.15743
883,Mg2PN3,2.41361
884,CaTi2,0.20988
885,BaSi3SnO9,0.15539
886,Li2MnPO4F,0.91581
887,MgCN2,5.4442900000000005
888,KCrP2S7,2.92662
889,B4PbO7,0.98725
890,H4NF,0.1202
891,Mo3W(SeS3)2,0.04078
892,Ag2GeS3,0.25369
893,Zn4P6N2O,0.03172
894,RbLiCrO4,0.19798
895,NbTlBr4O,1.46002
896,Ca(NdS2)2,0.32699
897,Al3BN4,0.087
898,BAs,0.2149
899,Na2MgSiO4,0.79701
