,pretty_comp,p_Seebeck
149,Mg2NF,380.4152533
150,Dy2AgRu,-4.4054154
151,Rb2ZrO3,403.7313033
152,Sr5Bi3,28.69475843
153,RbSO2F,412.7514167
154,K4Na2FeH3F2,75.19523367
155,RhF3,408.7764133
156,Li2YbSi,54.78961500000001
157,PrS2,-0.8978870170000001
158,Sb7Mo3,6.813777767
159,H3Pt,3.062994333
160,Li2(CoO2)3,-2.01847625
161,Na2SO3,359.20621
162,TlAgSe,288.4853367
163,CoCu2SnSe4,23.85831567
164,Ba2BrN,373.8438867
165,Ni(RhO2)2,43.84217433
166,Li2InAg,-1.371716833
167,K2ZrF6,412.89567
168,Ca(MoO2)4,5.582812367000001
169,ScTiRu2,15.040173
170,TiC,-7.8264046
171,NaAlSe2,266.1658667
172,Ni(BMo)2,19.3582172
173,Ba3MgRu2O9,41.81894033
174,DySi2Ni,1.309475
175,Li4Mn3OF,286.99229330000014
176,SnPt3,7.5025777
177,BPO4,493.02796669999987
178,Zr2TcPd,-4.3197757
179,Na2MgAlF7,468.5499567
180,TbPb3,11.815898
181,OsSe2,24.924462
182,CaCrF5,412.8793667
183,CrPO4,407.6565833
184,Ba4Br6O,351.85139
185,DyMnSi,14.11012813
186,Ti2Sn,9.651839667
187,ZnCrO4,411.50145
188,Er2CuRu,-3.681097
189,Ti2N,9.353533
190,NaFeO3,6.265986667000001
191,Sr3CaIrO6,16.73526867
192,InFe2CuSe4,29.85821467
193,Ca4SmB3,350.0416667
194,Tm(Mg3Al)2,12.12600833
195,Li4P2O7,328.7864600000001
196,CuCClO,343.3668600000001
197,YbF3,4.117993667
198,SrAl9Co2,7.2033244000000005
199,BaSn3,-4.028562633
200,Al3Ga,-0.37635861
201,BaTm2F8,405.8975267
202,Ba(FeP)2,-0.43600935
203,Mg7Al2,2.425289733
204,ZnCoF4,466.99133
205,Al2Cu,-0.8158709
206,AsF3,271.3901233
207,HfZnCu2,7.5023301999999985
208,VCuO3,445.8471967
209,Nd5As2Cl,341.95939
210,Ce(NiSn)2,42.47835467
211,ScOs3,1.7056673999999998
212,Lu3Ga,8.046360667
213,LuTe2,9.229875413
214,NdAl3Br2,418.02349
215,Ti2Te2P,10.52906983
216,Mg(AlC)2,289.9070633
217,Na6S2ClO8F,529.11689
218,HoP,-6.637159167
219,Tb2S3,211.1792667
220,ScAlO3,310.0542
221,Dy2Al3Si2,8.2287912
222,Pr(Al2Fe)4,-9.5977749
223,SnC2(SN)2,342.2549433000001
224,Tm2AgRu,-3.3704611000000004
225,TlGaTe2,197.5281333
226,Tb2InPd2,6.379188
227,Na4CoO3,123.74568329999998
228,PrErZn2,6.89998
229,Ca(AlZn)2,8.7306838
230,MgScRh2,11.617022
231,LiNiPO4,279.3592733
232,Sc2RuPt,3.2959372000000005
233,Yb(SiPd)2,-2.49365961
234,LiAl2Os,-2.4430718
235,Ni3N,11.32824767
236,TaGeRh,15.691452599999998
237,Ba3P2,134.13053
238,Tl3SbS4,293.2285867
239,LiMnF6,25.188513
240,Co3(SnS)2,-5.5126467
241,Pr5AgSe8,311.8268333000001
242,Mn2Al2O7,388.08044
243,CeZnGa,45.997993
244,Ba(GaSe2)2,301.7904533
245,NaCeAu2,26.233167
246,TbSiPt,-0.297483033
247,Pr2Zr2O7,370.12318
248,Hg3Se4O5,272.01156000000003
249,Rb2MgF4,524.3016267
250,HoH2,-1.937379367
251,CuBS2,373.1930133
252,Tb7O2,40.16390033
253,Li2Mn(CO3)2,311.4919367
254,TaMoN,1.1346923
255,Ca(VS2)2,9.129749633
256,ClF,397.80359330000016
257,Yb(BiTe2)2,267.33614
258,TiZnPt2,10.240532
259,SeBr,364.1508767
260,LiBiS2,233.4490033
261,Rb2Cu2SnS4,388.5868167
262,ZnSb2(XeF4)6,406.55706
263,As2Pt,178.63971999999995
264,NaBeH3,195.1687
265,NaCrH8(NF3)2,446.3077433
266,Th3Mg,-6.8492798
267,SrN2,2.313484917
268,NiSbS,10.84392
269,Rb3Na(RuO4)2,347.5692267
270,In2ReB,-2.1145112
271,CoSb,-4.7657095
272,NaTeH6O6F,475.0642367
273,CuS,8.3039908
274,Ca(CoS2)2,466.8215933
275,Pr(FeSi)2,-6.8508628
276,HoPd3,2.0758235000000003
277,TiInFe2,17.754748
278,Li2CrCo3O8,25.95542533
279,Zn3TeAs2Pb3O4,460.3035367
280,Fe3Re,12.46954493
281,Ta2H,7.911442967
282,AlTc2,8.2286711
283,Li2B4O7,370.72972
284,Zn3Cd,-1.6217899
285,Y3Al3NiGe2,-6.720947333
286,Th3Be,-6.3298368
287,Sr5P3O2F,428.8417533
288,NdH2,-1.8495042
289,VBO4,466.51439000000005
290,YbPmZn2,7.7686194
291,Li7CuO4,497.8674367
292,TmCdPd2,-1.9698751
293,Cr2AsSe,-2.557506333
294,Nb3PbS6,36.90633733
295,SnSe,164.9687733
296,NO2,302.97967
297,PmMgZn2,-6.0665942
298,LiCuO,363.3201633
299,LuMg,-5.2119008
300,Ta3Sn,43.907009
301,IrC,2.413065
302,ErPb3,11.488277
303,YAs3,-6.179602
304,KTm,-8.787154267
305,Li5Ti2Co3,47.468894
306,FePbO3,-9.7010883
307,TbS,-6.871545967
308,LiYAu2,-4.6027227
309,Sr2MgReO6,8.553478
310,Co5CuO8,8.6145641
311,CdSbAu,-4.841882467
312,NaCaAs,523.01181
313,LiSmSe2,405.6395067
314,KAgF4,435.2994767
315,ErTe3,8.740855499999999
316,VBrO,-8.370535
317,TbBi2IO4,387.0326067
318,LiYS2,314.39779
319,V3Pd,4.5667538
320,Cr2O5,272.2595967
321,Li5(FeO2)4,62.80005767
322,FeP4,281.9508133
323,NaAuC2,336.7331067
324,RbCuO3,-2.8193054
325,CdBiClO2,408.97549
326,ZnSi2SnO6,390.44465
327,Sr2Mn3(SbO)2,20.45921913
328,PHF2,334.0258833000001
329,LuGa3,18.899519
330,ZrNiSn,322.62983
331,Sn2OF5,369.8556267
332,Ag3BO3,3.482650633
333,Tl(CuS)2,25.034752
334,Ca2CuO3,-2.1475799330000003
335,SO3,364.5248133
336,TbHg,11.456186
337,Ba3Nb2O8,436.2600233
338,ErAlAg2,3.1246999
339,PrInAu,23.72102833
340,CdPdF6,420.93113330000006
341,Ho2CuO4,17.79359976
342,AgCNO,335.19337
343,Zr2Al,3.619668333
344,Y2O3,407.21356
345,Ti(BiO3)2,47.20345867
346,V(ZnN)2,26.64821467
347,MgSbRu2,6.1251623
348,Li2PmGa,-1.09469
349,LiMnVO4,319.8163933
350,K2O,275.15644
351,Rb2SBrCl6,24.568092
352,SmNbO4,368.6097667
353,Sr5As3O2F,413.23305330000005
354,ZrU3Sb5,55.36867067
355,BaHCl,408.01661
356,Mo3O8,-1.994103067
357,Ba2In2O5,327.9266133
358,HfNbTc2,37.042245
359,KTeF5,364.5647067
360,Sr3(InP2)2,192.0149333
361,BeGaCo2,8.986875099999997
362,KI(OF)2,224.1650233
363,CaCu3(Sn2O)2,376.05076
364,KHg,15.84162173
365,NaO3,357.00489
366,LiCoSbO4,24.4616
367,Ba(AgSn)2,-1.972479204
368,TlBiS2,183.74255
369,Cr3Ni,4.1773718
370,DyCuSb2,0.938572333
371,LiMnP3H,253.37342
372,P3BrCl4,429.9298033
373,SmYIr2,0.52526573
374,MgIn,0.14312011300000002
375,Rb3YF6,392.2024933
376,GaH3NF3,475.4890533
377,ZrBe5,20.00095433
378,LiAg2F4,5.281796733
379,Ba2CuHgO4,16.32796933
380,Li2GePbS4,305.2619433000001
381,CoAs,-0.2495309
382,Ba2MnMoO6,3.2711165330000003
383,Ce(AgGe)2,62.32493267
384,Mg2Rh,3.30961126
385,NdCrO3,7.722913099999999
386,MgTl3,4.6051552
387,ScTlSe2,99.60909333
388,Zr3In,-3.5433193
389,AgHgO2,4.612309099999999
390,P2O3,397.8970767
391,AlCrRu2,42.677114
392,Li3Tl,-1.659330267
393,Li2Mn3WO8,25.51375
394,UGeAu,9.785762533
395,RbDyO2,465.8814067
396,MgCo3C,3.9978639
397,Mn2N,-9.782925833
398,Ho2ZnOs,5.8082626
399,Li2HIO,408.7399033
400,CuBiPbS3,210.5592367
401,Ba3BiAs,121.01217
402,Nb9PO25,322.65788
403,ZnCoO2,31.34845267
404,Sr2SO,393.2238
405,Li2V2F7,-2.752980233
406,YLuTl2,-0.13709085
407,K3BAs2,296.2511667
408,CaRe2Si,4.842717
409,SiSn,188.13699
410,K3SbO4,403.21379
411,CaYRh2,-6.599677400000001
412,Al2CrCl8,283.2817167
413,CeGa3Pd2,38.917771
414,Y3TlC,16.192203
415,PmTlAu2,-3.0047023
416,TaTl(CuS2)2,328.3248633
417,NaSbF6,481.33399
418,Ba3Ti3(BO)2,418.79809
419,LiS,16.94085267
420,SbTeO3,18.643183
421,MnHg,16.713867
422,TmZrOs2,7.058965400000001
423,Ni3SnN,13.157779
424,CdFeO3,2.443622567
425,Li8BiO6,46.317381
426,YbNiH3,3.3032883
427,FeBO3,-4.734447663
428,Li2FeSiCO7,114.03786
429,K5V3,390.0928633
430,ScAg,14.638839
431,CoP3,33.432116
432,CeIn5Ir,37.950048
433,Na2ThF6,481.96283
434,Mg2As,5.263443667
435,ScCo3C,23.654036
436,U2Ga2O5,5.710379
437,CdO,87.42696567
438,MgSc2In,-1.2263349
439,Lu2TcAg,32.809157
440,MoAs2O7,288.23797
441,Lu2MnS4,231.55106
442,V4ZnO8,23.68842267
443,TiBeZn,-8.0100533
444,H4N2O3,60.5323336
445,BeAu,30.168559
446,YbCu,-1.07279867
447,PmF3,540.4168833
448,Li2CrNiO4,17.50759267
449,DyAgSb2,4.953476333
450,ZnP2(HO)4,333.0330533
451,Na5CrO4,-3.511801667
452,LuNi2Sn,7.789692967000001
453,TbH2Br,57.63871833
454,TiAu4,-2.552826467
455,YbZn,3.1488625
456,LuGaPd2,6.258858
457,MgSbF6,53.15544467
458,BeSiOs2,8.6360451
459,TiMn5O2,-0.1177459
460,K2PtCl4,421.9407633
461,CaB2(H2O3)2,384.7479233
462,Na3PS4,303.24433
463,KErO2,443.1434067
464,MgC2,351.8427
465,Tb(FeB)2,-6.154754647000001
466,Nb2Tl5S4Br9,303.0416067
467,NiSnF6,11.13501767
468,KSmPdO3,394.1610733
469,LiLuHg2,5.584069
470,Sm2Be2GeO7,521.1499
471,Ti3Tl,0.9426658
472,LiSc2Ir,13.441399
473,Pm2CdSi,-7.9742267999999985
474,NpC,-1.033170267
475,CaGaBO4,473.2170567
476,PrTl3,14.994339000000002
477,Y2ZnRu,2.219269167
478,RbCa2Ta3,446.7248067
479,SmTlTe2,80.18382167
480,K3TaO8,393.5985333
481,Co(BW)2,8.528125367000001
482,KAlTe2,315.74912
483,YB2C,30.99733333
484,Sr2YTlFe2O7,9.481524633
485,K5ThF9,437.54212
486,Sr2YIrO6,10.25406887
487,NaMnCl3,395.0105667
488,H6CNF,466.9598067
489,NdVO4,446.4623267
490,NaBiF6,563.9254333
491,ErNbO4,359.06865330000005
492,ThCdPt2,-7.3855319
493,Li4MnCo3(P2O3)2,7.851261667
494,CdSb,91.52157467
495,ScGa3,15.837828
496,VSe2,17.4904503
497,ScCu,14.60435
498,Na2SbAu,276.7082667
499,K3SbSe4,316.27512
500,LiLu2Ir,10.631563
501,VRu3,17.01548367
502,KBaSiHO4,408.68224
503,UFeS3,12.679562
504,P6SO24,345.2353833
505,CsTaN2,312.14799
506,Ge3N4,460.68114
507,NdInO3,342.01869
508,TbAl4Ni,18.824072
509,Tl6TeO6,349.7271567
510,V2CrSe4,8.319665132999999
511,Cd(AgI2)2,295.23285
512,LiSnPO4,420.3769367
513,ScBrO,400.6985767
514,SmZn2Cd,-7.7593546
515,FeSnRh2,12.20349867
516,TbAlPd,-3.937363967
517,Ba6HfO8,398.38455
518,Pr2MgNi2,-4.581354767
519,Al5Co2,-6.242584882999999
520,SrCrW2,-8.868222900000003
521,MnB,-9.9921229
522,NbNi3,1.83351731
523,Sr(CuO)2,363.88141
524,Re2P,-5.2779984330000005
525,HfBrN,219.8530267
526,In3NO3,270.2357767
527,NaV2O4,22.413135
528,Li2CdCl4,409.95668
529,Si3Ru,-7.3911515
530,InPd,1.1460976
531,Ho2Hf2O7,381.26124
532,YbClF,464.93531669999993
533,Sr3P4,338.92339
534,Zr2N,5.505035333
535,FeAgS2,9.368756433
536,TbSnAu2,-0.51084798
537,SCl,368.5486033
538,NbGaFe2,17.367251
539,Sb3O2F5,363.6604267
540,ThSb,-8.152477133
541,SiSnPt5,6.243856667
542,Na3GaSe3,354.2552467
543,LiMn2O3F,8.397935767
544,BaBiClO2,357.8587033
545,Ca(GeAu)2,-1.538530337
546,K4Sb2O3,405.6271333
547,ScBe5,5.4078288
548,TiCrAs,6.441199233
549,CeRh,19.25712
550,AlTlO3,327.4751333
551,Ho(Mo3S4)2,36.08676867
552,CuO2,-3.474348333
553,Na3BN2,370.4251333
554,KAcTe2,205.68382
555,Co3Bi,-6.794024833
556,CeRh3,1.2558251
557,Sr2Co(ClO)2,39.2695834
558,BC,4.597651633
559,ScCuSi,-0.4049426
560,Mn2CoGe,6.697252400000001
561,Nd2Te3,125.78615
562,TmIO,345.08951
563,LiTm2Pt,9.9980293
564,TaAlOs2,8.9538153
565,ReTe3Br5,315.77939
566,Na2ScPCO7,415.09724
567,Ta2TiN3,20.9120243
568,FeCl3,13.45275267
569,DySnAu2,-0.22800109
570,Be(HO)2,479.2525
571,SrHg,-0.39543487
572,LiTlO2,382.7410167
573,BaSrSn,159.64334
574,YB2,-6.304239432999999
575,UPS,8.068167667
576,SrTa2Bi2O9,413.2240833
577,ZnNiF6,438.9828533
578,TbAu,4.5171545
579,SbSI,319.7127700000001
580,Mg2ZnB2Ir5,1.875313333
581,Si3N4,367.28228
582,TiV2Cr,368.7544467
583,SrAgSb,17.55882293
584,CrP2S7,38.74791233
585,ThSn3,-8.9649263
586,YS2,1.562419533
587,Na2ZrO3,471.68943330000013
588,RbP(OF)2,420.13492
589,DyMn2,10.35403567
590,Sr2In2O5,269.67556
591,CdSnAs2,225.9518567
592,Sr3Sc2Cu2S2O5,358.9474833
593,TmNi2Sn,5.9702993
594,Li2ZnSiO4,442.3652567
595,NaTl2InF6,438.58236
596,AlFe,5.13005
597,ErSeI,285.3174633
598,PrZn(FeO3)2,27.94298505
599,TiGa3,16.725889000000002
600,SmCo2,25.926556
601,Hg3AsSe4Br,329.7547433000001
602,Cu2NiSn,-5.4072113
603,Cu3N,289.1498
604,NaLuS2,299.0911200000001
605,CaSiSnO5,384.9480733
606,K2TcCl6,337.1194
607,Lu2Sn2O7,372.2746933
608,Al2ZnS4,338.22392
609,GeSe,105.30585
610,YHoCd2,18.715226
611,Na3Mn2SbO6,29.6703624
612,SrAs,151.55703799999995
613,Rb3Mo2Cl9,298.9424433000001
614,Li3MnO3,57.03095
615,LiCrS2,349.02925
616,Sm3GaC,3.6186682
617,Yb(Fe2P)2,13.575088
618,LuTe3,-0.119522193
619,Ca3PCl3,223.96853
620,HoPbAu,35.541403
621,KSbS2,220.3297067
622,TaN2,-4.8242174
623,ErB4,-2.360409667
624,NaHCN2,412.5413867
625,ErMgHg2,0.96404613
626,BrO2F,324.72094
627,Yb3V,-7.2028106670000005
628,Yb(GePd)2,-2.783615493
629,TmSnPd2,12.694271
630,NaCeO2,15.82248967
631,YbAs,18.476211
632,Li2P2WO8,13.66320333
633,NbNiB,8.690540333
634,K2OsBr6,-9.185920333
635,NbO2F,413.88246
636,RbBiO2,312.2794133
637,Er2CuPt,12.536846
638,TbBi2ClO4,348.1569767
639,BeIn3,0.62963915
640,SmRhC2,-8.527750433
641,NbCuTe2,6.028340417000001
642,Na3Mo(OF)3,497.3677
643,ZrTi2O,1.8200204
644,MgSeO3,348.9239067
645,ThS2,255.4672933
646,YBr3,282.7660133
647,LiMn2(BO3)2,59.37036479
648,Li5MnF8,379.36478
649,Tm2MgIn,-9.4064245
650,BaBeF4,488.8253467
651,CaTl2O4,216.3786267
652,Dy2IrRu,12.528511
653,Tl2PdCl4,149.01241330000005
654,Al3Os2,14.3506034
655,ErCoO3,2.56388
656,Sr2Pb,138.5153233
657,TmIr2,7.758927567000001
658,K2SnCl6,384.22317
659,Nd2TeO2,317.4718033000001
660,Co(BW)3,9.662431067
661,NdHO2,334.6403067
662,Rb2LiVS4,337.4488433
663,RbPr3,6.156982932999999
664,Li3Fe(OF)2,64.91642667
665,Sm2InAg,48.052138
666,KCdSb,53.08467967
667,BaS,373.41128
668,SmPt3,16.484389999999998
669,Ba2AgSb,231.89404
670,Sr2NCl,518.3544967
671,YGa2Ni,6.0924709
672,DyAl2,9.2161066
673,PmZn2Cd,-8.6206977
674,LiSmO3,5.3611948
675,BaCa(CoO2)4,24.06782433
676,CeSi2Mo2C,10.78945467
677,Sc2CdTc,-6.273466
678,SrTe3O8,318.0105933000001
679,Ca2AsAu,158.43907
680,Sb3Pb,-0.856548667
681,Li3TiCo3O8,417.2188333
682,SiPbO3,304.13401
683,TaS,-7.506568067000001
684,SrLiBi,151.87729330000005
685,CaNiN,16.79391733
686,FeNiMo,-5.5819544
687,CoCu2SiS4,3.935944267
688,Mo5As4,-1.60230167
689,Sn2Rh,-6.178343067
690,BaCo2P2H2O9,47.89410733
691,RbPdF3,1.087832
692,AlBr3,370.2549767
693,LiAsRh2,-2.0093343
694,PtS,320.4327467
695,TaMn2,8.417614432999999
696,YbCuGe,6.2859625
697,Pa3Al,15.50403033
698,KHF2,484.3952033
699,ErInAu,40.82278271
700,LaNdZn2,6.986109
701,Sm3Y,-6.706236
702,Zr6Al2Ni,-9.931604633
703,B2CN,9.4619261
704,KTeOF3,442.00793330000016
705,RbNdTe2,209.7128167
706,Li8CeO6,433.7808633
707,Nb3Co4B7,10.8667554
708,NaYbAu2,-7.1080505
709,CeMg2Cu,24.696969
710,Be4TeO7,424.63469
711,Tm(AlC)3,140.36108000000002
712,Lu2ZnGa,-4.7493279
713,SrMnSn,6.130906532999999
714,VSnPd,4.558395467
715,Ga2HgTe4,245.206
716,LiFeCoO4,9.312180067
717,ErRu3,-3.871050333
718,BNF8,506.66084000000006
719,SrTeO4,400.7019
720,Al2CuO4,7.966047267
721,HgBiO3,-6.9981198
722,NaHS,386.9310967
723,KPt2S3,337.5469067
724,K3Tm,19.939955
725,NdPt2,28.726316
726,KCuF3,92.82367567
727,Li5Mn2V3,51.97325733
728,DyCd,16.342017000000002
729,Yb2Ni2P7,-8.845728167
730,HoCoC2,-6.026971333
731,ThAl,4.022195
732,Dy2TeO2,300.31795
733,NaSi,306.5152333000001
734,PrPbAu,37.745479
735,Li3MnSi2O7,400.4001067
736,LiTiIr2,12.681031
737,NiO,13.293037
738,RbTa(GeO3)3,353.02815669999984
739,UTlO3,187.99735
740,TiP,4.310150433
741,Pm2IrAu,1.7076285
742,Y(SiRh)2,14.142878
743,Sm3NbO7,312.1252
744,Ba2YBiO6,407.17845
745,Li2BPd3,-5.9101596
746,Al2(FeSi)3,192.3168033
747,TmHfOs2,6.3789696
748,SrZrS3,250.2037467
749,BeBr2,388.4452867
750,Ba(ZnSb)2,77.80719767
751,BCl3,428.7580233
752,CuCO3,9.795538533
753,HoCd2,1.793076067
754,Ba(AlGe)2,0.027185533
755,Tb2In,-7.865579767000001
756,NaAsS2,317.5706833
757,ZnP2,5.332854673
758,PrPd3,-3.2246859
759,K3ReClF6,424.3409667
760,Rb3PdF5,515.18775
761,Sn5(S2Cl)2,299.1790867
762,SmMg2Ag,-1.437629367
763,Li2PrAl,-0.457999003
764,Cu3O2,13.54758293
765,SmNi,-1.180896967
766,MnF4,22.42732167
767,Pa3Sb4,20.182228
768,ZrSbPd,1.535031667
769,Mg3H4O5,307.2539567
770,USn,-2.285176177
771,Na2Ti2Sb2O,3.290973733
772,RbLiO,480.60489
773,Ce(SiPt)2,27.78066733
774,LiGa2Pd,-1.5311768330000002
775,HoZnRh2,5.9438986
776,Sr(FeP)2,0.96823248
777,TbAs,-7.6354343999999985
778,Zr6CoAs2,-2.3971991000000004
779,Ta(TeBr3)2,265.11001
780,Ni4Mo,6.206252367
781,KPF6,429.0368667
782,YbP3,3.316266
783,Li4CuNi3(P2O3)2,77.03926233
784,Tl2Pt2O7,377.18358
785,UAl2,1.820384533
786,Hf3Al3C5,-4.223844157
787,KBa4Bi3O,300.8274767
788,HoIr2,8.4428507
789,Sr2GeS4,231.7893667
790,K2ReF6,424.9338967
791,NaCuO2,358.07644
792,Ba3(BrO)2,368.31473
793,NaAuO2,401.1544867
794,Pr2O3,464.44917
795,Li2MgTl,1.9194212
796,Ba6In2NF,54.782485
797,NaAcTe2,218.57547
798,NbSiRh,2.903759039
799,BaGe2B,4.0520071
800,FeO2,-1.234209733
801,MgGeRh2,-6.0586689000000025
802,Ca3BiAs,146.06446
803,PaSnPd2,5.659146132999999
804,AcInTe2,208.13161
805,NbCrSi,0.465685
806,CeNi,43.91963933
807,Al2CO,307.2995533
808,KTbGeS4,308.7422466999999
809,LiMoO2,-3.3971433330000003
810,UPt2,26.74084033
811,LiNdHg2,2.452413
812,Li2MnBPO7,420.41274
813,LiC,445.75442
814,Sm2CdIr,4.938846
815,Ti2Be7,11.07916343
816,P2PdO6,470.01693
817,BaTiO3,346.9576233
818,Ti2CoSi,-4.700493700000001
819,Sr2BiAu,217.04314
820,LuB2Ru,5.763562967
821,TbIr2,6.775262067000001
822,LiLa2Al,23.665964
823,LiSO3F,415.3497567
824,YAlNi,-4.2604612
825,LiH,347.80742000000015
826,SrLiH3,320.62491
827,Ba3NaRuO6,286.7663367
828,ZrBTe,-7.8973007
829,OsN,8.882695367
830,Li2Cr3CoO8,-4.687896667
831,USi,-1.5099158330000002
832,GeClO2F5,511.7795467
833,CeAl4Co,-9.061795967
834,Mg(AlSe2)2,347.73971
835,In6Ga2PtO8,480.71863
836,Rb2TeI6,364.8497967
837,GaBN2,289.47256
838,Ti3Al2NiO,21.109397
839,SmYZn2,4.646356233000001
840,Er(SiPd)2,-8.4609045
841,KTb3,496.6183
842,Na2Mg(CO3)2,466.42678330000007
843,K2MgF4,478.0269467
844,LiNi3O3F,0.741533367
845,Tm2TiO5,293.3111367
846,Yb3SnO,26.989285
847,K2PtCl6,409.23414
848,MnSbRh,-5.036754667
849,YHg3,7.397572067
850,Tm2CuOs,-3.0071819
851,SrSi2,0.34556172
852,TmScRu2,-2.9921288
853,Li2Ni3WO8,-3.857594933
854,CuAu,-9.9884221
855,Sc2GaIr,18.745141
856,SbTePd,6.7545329
857,Li2CeGe,9.810003567
858,ZrTlCuS3,301.8524133
859,TaCr2,23.79059467
860,Pr2TeO2,320.6385667
861,LiHo2Ga,31.410269
862,LuSbRu2,41.200605
863,Pr2CdSe4,320.2288633
864,CdNi3N,0.57990796
865,BHC4NClF4,318.8899333
866,VP2(HO)6,336.89353
867,Pr4S3NCl3,337.83624669999995
868,Rb3As,-1.3819702
869,Rb3TlF6,317.9316567
870,KSn2Br5,357.7786867
871,Mn3IrN,-3.1419019
872,RbFeSe2,9.3282183
