,pretty_comp,shear_modulus_gv
84,Nd(FeSi)2,79.367
85,Np(MnGe)2,4.12
86,Tl4Te3Pb,15.787
87,Na3ClO,25.2
88,Be2HgRu,51.02
89,Yb3V,12.853
90,K3BrO,15.78
91,Tm2MgTc,28.02
92,Y(SnO2)2,28.56
93,AlHO2,141.253
94,TbB2,139.47299999999998
95,BeBr2,8.88
96,HfVGe,89.10700000000001
97,BaCeO3,55.82
98,Na4BeTc,8.64
99,AlClO,49.273
100,Y(HO)3,30.147
101,BeBiIr2,8.947000000000003
102,TiSbRu,29.86
103,CaBO3,85.68
104,KSnOs,20.9
105,Ba2NbFeO6,101.42
106,ZrGeRu2,88.04
107,Cr(FeSe2)2,40.367
108,AlCuF5,34.173
109,Rb2PbO3,19.133
110,Ba3SiO,27.84
111,Pr3SiAgS7,35.687
112,Tb2O3,70.26
113,MnH4(ClO)2,12.387
114,TmBi2BrO4,46.427
115,TbNi5,68.46
116,V3Sb,71.2
117,Be2VTe,56.08
118,LiBeCd,45.126999999999995
119,NaErS2,35.653
120,Te2I,11.073
121,BSb,85.06
122,TiPtPb,0.32
123,HoSi,67.85300000000001
124,Ca6Ge2O,39.62
125,SnO2,94.38
126,HfInCo2,74.3
127,AgPF6,8.18
128,SmRe3,81.82
129,NiTe,32.133
130,Sm2O3,62.287
131,AgBr,10.84
132,InGaTe2,15.253
133,SiTc2W,98.14
134,VSbRu,44.26
135,RbAuF4,8.173
136,KO3,6.3870000000000005
137,ErNbO4,69.14
138,Dy3TlC,22.36
139,BeCuBr,17.647000000000006
140,Mg2Ni3O8,65.153
141,V2InC,98.787
142,Al2CoIr,92.58
143,LiCu2Pd,1.6130000000000002
144,TbCl3,20.327
145,Tb3(CoGe2)2,57.626999999999995
146,HoFe2,25.16
147,RhPb2,30.2
148,KBaSiHO4,29.46
149,Ba2NbTe,10.12
150,BaZn(FeO2)4,36.227
151,UBrO2,43.227
152,U2InPd2,31.34
153,ScF3,41.367
154,SmCdAu2,14.32
155,SrMgGe,33.933
156,UGeSe,59.433
157,BaBeF4,23.02
158,LiHS,5.492999999999999
159,K3Zr,4.14
160,AcH2,34.52
161,BiAuO2,25.213
162,BeZnCl,11.32
163,AlH3,48.586999999999996
164,Er2AlSi2,60.44
165,Ca2B4Rh5,84.60700000000001
166,SrLi2Pb,19.86
167,MgCuPd2,1.72
168,DyCoSi,65.16
169,TiMnO3,48.04
170,UCO5,47.107
171,Na3DyCl6,11.6
172,CuAu,34.207
173,Na2CdHg,9.02
174,KHgF3,16.24
175,ZnSiP2,55.96
176,Zr2NiP,81.667
177,BeTc2Pd,2.9530000000000003
178,KHgSb,15.227
179,TmB2,165.613
180,IF3,13.633
181,ScBeRu2,40.187
182,Ce(MgSi)2,52.7
183,NdMg3,29.06
184,TiInCo2,61.1
185,Cr2NiSe4,30.647
186,RbSnS2,16.833
187,Tm(CoSi)2,90.92
188,CaTa4O,66.733
189,BaCdGe,25.353
190,MnSnPt,8.98
191,As2Pt,86.2
192,V2P,99.02
193,Pm2CdSi,21.72
194,VAu4,37.953
195,YbAgS2,27.767
196,CaBeFe2,41.853
197,Ba2InClO3,35.946999999999996
198,TiBeIr2,115.4
199,NdBiPd,35.68
200,HoBRh3,90.66
201,K3Nb3(BO)2,66.3
202,Na2NiO2,36.667
203,Au2O3,46.507
204,PI2,6.82
205,MnBeCr2,56.287
206,Mo(WSe3)2,24.573
207,DyB2,148.28
208,PbCl2,10.152999999999999
209,CrCuSe2,18.92
210,DyBRh3,89.1
211,NiBr2,9.28
212,HoCo5,68.12
213,YI3,7.687
214,LiAlVO4,23.08
215,NaVAs,24.36
216,Zr2Zn,39.547
217,LiAgF2,13.98
218,BeV2Ge,58.747
219,CaF2,44.06
220,V4GaS8,47.74
221,Th2In,28.29300000000001
222,H4N2O3,0.027000000000000003
223,CrSb2,39.12
224,Sr2Mn3(SbO)2,33.507
225,NaMnBe2,39.12
226,BaSrO2,47.88
227,TiZnN2,55.84
228,MoIr3,186.033
229,Ho2CuRu,40.08
230,Ho(CuO2)2,68.14699999999999
231,PmAgHg2,20.32
232,RbMnSe2,19.36
233,ZnCoPHO5,30.587
234,KNaSe,14.913
235,ZnBi2O5,22.666999999999998
236,TaGa3,74.933
237,Be2CdFe,55.853
238,ZrNiSb,53.76
239,BeV2Cr,74.06
240,Li5CrCl8,17.08
241,NdC2,57.813
242,Ti2NiIr,40.66
243,AgN3,18.313
244,Na2Mg(CO3)2,46.74
245,Zr(TiGa2)2,68.967
246,HoCuP2,68.033
247,SrAlGeH,43.347
248,Rb4Br2O,8.587
249,TlP,24.2
250,BeTe,42.22
251,Li(CO)2,23.88
252,Tb(FeB)2,76.84
253,Be2TlFe,52.773
254,Er(NiP)2,81.68
255,Th3Bi4,38.46
256,In2HgSe4,16.153
257,Pd(PbBr3)2,10.913
258,BaSi2Mo,15.2
259,TlAuCl4,6.2
260,Li3VS4,8.08
261,BeV2Hg,45.147
262,BeVRu4,43.36
263,TaBe2Ni,13.48
264,BaSrPb2,6.86
265,TlBiTe2,22.647
266,Ca2As2O7,40.687
267,NiAuO2,47.7
268,LiLu2Ga,40.0
269,Li2InSb,0.613
270,LuRh2,71.3
271,ZrCuF6,20.533
272,Tm2BeOs,54.28
273,YAl2Co,48.607
274,Ca(PPd)2,45.567
275,NbRu3,134.16
276,TbRh5,78.227
277,CaCrO4,38.87300000000001
278,PH2F3,8.513
279,B2O3,164.76
280,DyTlPd,31.713
281,Ca3N2,55.46
282,Tl3F,7.0329999999999995
283,BeCoBr2,12.833
284,RbCeSe2,22.92
285,HoLuAg2,31.96
286,SbCl3,8.033
287,PrTe,35.96
288,Sm2Ti2S2O5,65.507
289,Cr2CoTe4,30.753
290,Pr2SiTeO4,54.027
291,KRb2FeF6,24.2
292,RhF3,47.507
293,Lu3Ga,27.313000000000002
294,LuNi2B2C,81.913
295,RbBeH3,5.347
296,PrNbO4,54.18
297,Yb3Mn,4.36
298,BeCo4Hg,21.54
299,Be2CrCd,50.247
300,CaSc2Be,24.96
301,SmH3,53.94
302,DyTl,21.3
303,GaIr,39.56
304,Li3Nb,2.34
305,GaPO4,20.16
306,VP,43.967
307,Mn(GaS2)2,22.607
308,Nb3Cr,35.94
309,Ga3PO7,62.02
310,BeSiN2,189.267
311,U(GePd)2,31.927
312,Ti2B,88.18700000000004
313,TaRu,13.14
314,ZrBe2Te,41.306999999999995
315,WCl4O,13.933
316,Li2PdO2,52.907
317,Be2ZnRu,88.647
318,NpOsO3,66.04
319,Ba2Bi2O5,28.02
320,SrCeN2,69.12
321,BaCd,15.1
322,SmFeAsO,55.167
323,Yb(CuSi)2,52.48
324,BaSeO3,27.893
325,SmS,24.893
326,Li2BeW,39.473
327,Na2SnF6,19.333
328,CoO2,44.14
329,Be2NiCl,7.787000000000001
330,TiBe2Sb,20.08
331,USe,37.2
332,Be2RuPb,32.053000000000004
333,NdCoC2,83.713
334,NaClO2,16.413
335,Li7SbO6,60.14
336,Mg(NiN)2,50.92
337,LiYMo3O8,83.367
338,PrPO4,62.173
339,VRu3C,162.0
340,MgPdF6,38.287
341,Ti(MoS2)2,71.047
342,BaCeO3,57.68
343,KTbGeS4,17.993
344,NaTeAu,11.673
345,Cu2SnHgSe4,19.68
346,Tl3BSe3,6.8329999999999975
347,DySi2,23.087
348,BaCrBr2,13.552999999999999
349,Th3Sb4,44.28
350,Sm3InN,57.76
351,TlAsS2,10.34
352,UTe2,21.893
353,PrFe2,7.68
354,Dy2C,32.733000000000004
355,SrSiN2,41.46
356,Li7Br3O2,28.833000000000002
357,SmTmMg2,28.54
358,CaTl,22.6
359,PCl2OF,6.56
360,Co2B2O5,37.306999999999995
361,RbAuBr4,6.5470000000000015
362,ErCu,38.5
363,MnSbO4,69.74
364,Ba4HfSb,1.06
365,Sr2ZnCu2(SO)2,44.853
366,TlSe,13.127
367,CeFeGe3,50.313
368,CuO,35.167
369,ScZn,47.68
370,TmMg2Sc,30.9
371,MgNiSb,44.66
372,Yb3InC,14.9
373,MnCdO3,32.38
374,Er(FeGe)2,58.69300000000001
375,HfCoAs,87.75299999999999
376,Y3Al,32.64
377,Sm3Ti,22.826999999999998
378,CeGa2,62.5
379,BaGaBi2,16.307000000000002
380,LiScAs2O7,49.2
381,SmMgZn2,35.02
382,HfCuSi2,86.0
383,MnAlCu2,49.42
384,Al(CrB)2,168.2
385,PrCuSe2,32.173
386,NiMoO4,49.007
387,Sc3P,23.64
388,XeF4,9.213
389,BeMo2W,58.607
390,LiMnPH2O5,8.74
391,CaCuF4,33.26
392,BaP2Pb,5.827000000000001
393,CaNiN,61.36
394,KLiBeF4,18.04
395,ThP,66.28
396,Sr2AuN,25.526999999999997
397,HAuO2,33.907
398,HfMg,32.086999999999996
399,Y(CuO2)2,66.667
400,WN,42.56
401,HfBeNi,40.567
402,LiMnIr2,55.96
403,RbHF2,12.547
404,SmC2,61.327
405,NdBPt3,64.953
406,SiRh,11.76
407,PrIn,25.24
408,Ti4As3,74.82
409,Hf2Ni,21.66
410,BeCoBi2,4.207
411,Al2Se3,22.68
412,SmCoC2,93.193
413,NdAl4,18.44
414,LiBe2Au,64.587
415,HoAg,31.62
416,CdSnP2,29.467
417,KAgO2,17.327
418,Ca2ScBe,11.607000000000001
419,Ca(GePd)2,26.1
420,LiGaRh2,66.56
421,Sr(AsRu)2,44.153
422,LiCrP2O7,71.66
423,ZrSbRu,44.84
424,Lu2HgAu,37.4
425,HfZnNi2,45.64
426,MnAlNi2,52.16
427,ZrNi2Sn,50.3
428,KTmO2,62.946999999999996
429,TiTl2F6,13.767000000000001
430,Nb3Os,91.48
431,Pu2W2C3,71.013
432,BaWN3,41.353
433,Rb2Zr2O5,45.36
434,Li2MnBe,40.467
435,BaClF,21.406999999999996
436,ScGe2,56.173
437,Ta2Si,103.18700000000001
438,BaC,3.56
439,DyTlTe2,23.373
440,KRuO4,13.073
441,NbInNi,64.96
442,Li4BeW,0.76
443,Pd2Cl2O,14.993
444,SmPd,28.566999999999997
445,BeI2,7.407
446,CeB6,135.18
447,Ca2BeFe,23.166999999999998
448,BeCoNi2,78.52
449,GaCuSe2,29.733
450,SmFeC2,79.013
451,HfZn,53.72
452,Mg2FeH6,61.12
453,Be2FePb,30.666999999999998
454,RbMgF3,47.98
455,Nb(SCl)2,22.3
456,ZnNiSb,34.28
457,Ti2Te2P,30.12
458,ZrC,39.78
459,Ba2Mn3(AsO)2,41.87300000000001
460,YbTlS2,24.706999999999997
461,CoRe3,168.36700000000005
462,MnBe2Sn,80.113
463,XeF2,11.98
464,BaMn2Cl,13.3
465,LaCN2Cl,41.667
466,NiSnF6,31.193
467,PaRh3,88.92
468,Pu2O3,58.9
469,NaAlSe2,18.533
470,Ta2Ni,78.033
471,NbBr2O,27.32
472,Li3CeSb2,35.367
473,SrS,36.84
474,HoP,67.0
475,YbAgO2,20.627
476,TiI4,8.467
477,SrGe2,31.853
478,Li5CuSO2,29.63300000000001
479,GeF4,5.26
480,Zr2Fe3Ge,60.64
481,HfGa3,72.053
482,Be2InIr,39.42
483,AgSb2F2,10.552999999999999
484,NaZrBe,21.026999999999997
485,Tl2Pt(CN)4,8.06
486,NpSO,58.607
487,NaYb(PS3)2,10.587
488,DyN,128.3
489,TbBi,38.72
490,BeGeAs2,53.453
491,KV(CuSe2)2,11.887
492,MgH2SeO5,29.29300000000001
493,Zn2NiN2,34.747
494,PrGa2,56.667
495,NdCoSi,42.22
496,LiMn2(BO3)2,35.37300000000001
497,DyAlNi,39.82
498,Ba2SbI,0.9670000000000001
499,Rb3Tm,3.553
500,MgTaOs2,100.84
501,Mg3V2O8,66.893
502,HoAsPd,52.48
503,AgCl,8.7
504,FeB,101.807
505,BeCl2,10.493
506,NaSmO2,54.34
507,Be2ZnCo,82.053
508,TaNO,80.993
509,TmTaOs2,99.92
510,AcFeO3,88.44
511,Pa2SbTe,54.36
512,Ho6FeBi2,33.613
513,Tb2Fe2Si2C,80.5
514,MgCO3,73.92699999999998
515,CrAgO2,32.493
516,MgSiO3,131.19299999999998
517,SrH2O3,27.686999999999998
518,Co(AsO3)2,79.167
519,HoScO3,87.34700000000002
520,LuTiGe,56.833
521,Si2Mo,140.54
522,VNi2,95.3
523,TePb2O5,37.567
524,NiO,53.28
525,BaN6,13.767000000000001
526,MnSbRu2,90.62
527,Ba2NCl,23.346999999999998
528,LiGaS2,23.34
529,USi2,54.69300000000001
530,Th(SiPt)2,56.153
531,BaCaY,1.36
532,SiO2,139.58
533,LiBe2Co,72.227
534,V2CuBr,18.88
535,Sm3TlC,50.42
536,NaH,21.2
537,TePb,11.96
538,CaTl2O4,45.2
539,PaAs,65.2
540,UBN,145.833
541,Li3N,49.986999999999995
542,VBiO4,47.06
543,Cd2Ru(CN)6,21.686999999999998
544,Nb3SBr7,22.713
545,Zn(GaS2)2,33.28
546,TiFeCoGe,59.72
547,Zr2OsRu,88.56
548,LiSbAu,3.7
549,Zr2Te2P,31.753
550,Ta2OsW,132.72
551,Rb3Th,3.26
552,CoH4(BrO)2,11.0
553,CrGe,91.32
554,CrSi2,161.567
555,MnIr,193.48
556,K2PtCl6,11.02
557,Sm(CuSi)2,72.253
558,Ba2SrWO6,40.687
559,W3(SeS2)2,28.7
560,CaBeGe,13.14
561,Sn(WO4)2,37.073
562,K2PdBr4,8.727
563,Tb2Cu(Ge2O)2,42.273
564,Li3NdSb2,35.907
565,ZrAsRu,83.39299999999999
566,Na2PtS2,20.546999999999997
567,Sm(HO)3,25.153000000000002
568,DyScO3,86.96700000000001
569,Xe(OF)2,12.26
570,Mg2PN3,92.74
571,ErSb,45.3
572,TmAlAg2,22.92
573,Zn(GaTe2)2,21.413
574,Li2DyIn,37.08
575,BeSe,72.46
576,Ag2SnHgSe4,11.16
577,CdBiSe2I,16.14
578,SbS2NF6,7.84
579,ZnO,69.68
580,Si2W,138.52
581,ZrB2,228.80700000000002
582,Ca3AsCl3,29.74
583,NaO3,13.232999999999999
584,BrCl,7.733
585,Pr3InC,16.3
586,AlVFeCo,75.98
587,Ho(CoGe)2,66.067
588,TiBe2Ge,104.6
589,Dy(SiOs)2,82.273
590,BaPaO3,23.08
591,BaS2,14.767000000000001
592,YBr3,5.807
593,H3BrO,8.972999999999997
594,ScVO4,49.9
595,NaHg2,10.047
596,CrGaCo2,87.34
597,FeCu2Sn,29.36
598,TmCuSi,63.113
599,GaF3,55.86
600,TiFe2As,23.84
601,LiCa4(BN2)3,51.22
602,Ba2SmSbO6,78.46
603,Mg2H6Os,54.3
604,BiSeI,9.18
605,ScBPd3,26.06
606,LiPb,12.58
607,SmB6,120.46
608,BaN3Cl,20.833000000000002
609,ScBe2Te,35.86
610,Ba3LuIr2O9,56.867
611,Ba2H6Os,21.96
612,AgI,12.453
613,Te2Mo2WSe4,20.213
614,Sc2BeTe,19.86
615,Co3(SnS)2,54.753
616,BaIr2Pd,21.226999999999997
617,DyPb3,13.6
618,NaAcTe2,19.54
619,BaSe,25.82
620,ZnCu2SnSe4,24.593000000000004
621,AsI3,9.84
622,YbP,17.92
623,LiBeSi,30.846999999999998
624,Sr3P2,26.16
625,Li2PrAs2,20.967
626,Ba4TiCd,3.74
627,ZnCrF6,37.833
628,BaNi2Br,3.9130000000000003
629,Ba2ZnF6,31.733
630,LiCd,20.3
631,Mn(InS2)2,27.32
632,Ba3BiP,13.78
633,Na2S2O3,16.027
634,Tb(SiIr)2,104.25299999999999
635,RbScO2,64.64699999999999
636,ZrBe2Cu,16.26
637,Rb2MgF4,25.906999999999996
638,CaClF,32.22
639,SmP5,40.78
640,Ho3GaC,28.3
641,Sr2MnClO3,48.446999999999996
642,Li4CO4,37.56
643,DyAl3,58.88
644,BePdPt2,16.413
645,ThSO,69.14699999999999
646,Sr(AlSe2)2,22.173000000000002
647,LiHF2,26.72
648,ZnCu2SnSe4,24.79300000000001
649,Li4VGa3O8,41.753
650,Sr2GaSbO6,97.0
651,NbCo3,89.413
652,AgF,2.6
653,TiHg,44.167
654,YbSb2,26.44
655,TaTlO3,113.3
656,UAs,59.72
657,Pm2SiHg,18.98
658,Ag2HgI4,5.767
659,CrCl3,12.833
660,NdGa2,57.667
661,Be2CuBr,3.88
662,Be2VRu,86.25299999999999
663,TmRh,40.44
664,Nb2C,93.647
665,KCaO3,17.4
666,PW,112.947
667,Al3Mo,93.98700000000001
668,LiI,12.713
669,MgCo3C,113.68
670,ScIr3,127.46
671,CuCl,8.26
672,TiC,180.36
673,Na3BS3,16.54
674,Li2YbSn,33.22
675,TbCuS2,43.32
676,Rb3InS3,9.447000000000001
677,Nb3Au,73.42
678,Rb2RhF6,16.36
679,Rb2TlInF6,11.02
680,NaHS,11.373
681,PrTm3,23.74
682,LuBi2IO4,46.086999999999996
683,ErCo2,49.6
684,Ba4MgCd,1.46
685,FeB2,105.633
686,BaSrTi2,12.92
687,Dy(FeB)2,79.66
688,NaBeV,20.56
689,DySi2,32.06
690,Li2YbPb,29.2
691,VCl3O,5.48
692,BaNa2Si,6.02
693,ThTe,54.08
694,CaSn2O5,40.94
695,Na6MnCl8,15.1
696,ZrCoBi,62.7
697,NdBPd3,10.26
698,Sr2BBrN2,18.32
699,Ba2TiBr,2.26
700,K6Ge2O7,19.7
701,MgSnO2,25.653000000000002
702,V2ZnO4,56.08
703,Hf3Si2,95.287
704,K4Na2TeO6,28.36
705,Sr3MnN3,36.107
706,PrN,92.28
707,AuCl2,6.64
708,Ba2CrSn,13.7
709,ScS2,16.42
710,BaCo2Cl,4.493
711,SrCl2,16.46
712,NaBeCo4,17.9
713,Be2HgPd,43.86
714,SbRh3,95.62
715,CoPtF6,33.74
716,CuH2SO5,21.307
717,BeNb2In,12.987
718,BeInW2,39.6
719,CdSnSb2,17.3
720,TaBeGa,4.2
721,HfBe2Fe,66.613
722,Na2CrO4,23.553
723,CaHBr,23.886999999999997
724,Zn4P6N2O,86.98
725,ScBi3,12.107000000000001
726,TbAgHg2,23.92
727,Te2Os,87.1
728,Ni4N,9.26
729,H3AuC2NCl,7.2929999999999975
730,CuAs2,26.366999999999997
731,Tm3GaC,30.74
732,Ta2N3F,94.03299999999999
733,ErSe2,39.793
734,Th(MnSi)2,44.16
735,Mg2As,17.567
736,BaYPd2,23.313000000000002
737,Cu2WS4,21.4
738,MnAlF5,52.44
739,Sm(SiPd)2,55.22
740,CrSi,116.42
741,Ba2BiAu,17.06
742,MoP,133.893
743,GaFeCo2,37.1
744,Ba2Cd,10.127
745,BeVSe2,28.353
746,Rb2MnCl4,8.947000000000003
747,LiBeW2,17.74
748,BePIr,12.42
749,CrAsPd2,5.8
750,SrHfO3,107.9
751,Ho(HO)3,31.47300000000001
752,Pa3Si,61.3
753,WS2,7.8729999999999976
754,SrTi2Be,24.84
755,Ba2MnMoO6,70.7
756,LiMnSbO4,47.573
757,SiH,25.093000000000004
758,HfOs,115.88
759,BaSn2(HO2)2,15.34
760,PrP5,35.86
761,KVF3,32.14
762,SmNbO4,61.507
763,TaMoN,172.30700000000004
764,USe2,31.287
765,P2Pt,121.94
766,BCl3,5.607
767,KYS2,32.42
768,ZnSnF6,32.247
769,Na2PdC2,31.95300000000001
770,FeSeBr7,3.867
771,Y2Cr2C3,73.6
772,DyBr3,5.8870000000000005
773,NiPbF6,20.067
774,HoTiSi,48.86
775,PrBS3,28.873
776,KTeF5,10.027000000000001
777,Ca(SiAu)2,34.547
778,CuCl,11.26
779,Sr4CaMn2(SO3)2,35.28
780,DyPS4,25.74
781,BaC2,27.02
782,Fe4N,101.3
783,Ba2MgSb,12.9
784,SbAsRh,24.18
785,BeV2Tc,61.967
786,Ni3C,69.153
787,ErSe,46.92
788,CaCO3,23.173000000000002
789,UCoAs2,59.88
790,Dy2SeO2,45.69300000000001
791,SnF2,9.5
792,HF,8.36
793,RbMgAsH2,9.32
794,PrPtF7,30.093000000000004
795,Cu2HgI4,9.28
796,Na2SO3,24.487
797,Rb2ZrCl6,9.48
798,MoAs2,85.72
799,K2RbPdF5,15.3
800,BeV2Si,97.96
801,ErRh2Pb,20.98
802,NbSbRh,35.44
803,YbNdAg2,22.32
804,NdCuTeO,22.213
805,HoNiBi,49.72
806,Ba2TlBi2O7,8.793
807,CdCu2SnSe4,20.787
808,HfAlPd2,7.48
809,Li2PbO3,53.626999999999995
810,SnRh3,77.767
811,U(HO2)2,26.686999999999998
812,ZnPt3,70.56
813,AlVRu2,119.24
814,Pr(FeGe)2,63.433
815,Mn2SnW,100.92
816,Dy3SnC,63.98
817,Pr2AlNO3,110.273
818,V3Co,104.48
819,Na2CoS2,15.96
820,Be2FeP,95.51299999999999
821,UCuGe,54.52
822,GaCuO2,71.513
823,CeTe,33.08
824,PrCo5,53.633
825,LiPF6,25.087
826,MgAsOs2,36.76
827,BaRu2W,27.386999999999997
828,MnAu2,37.68
829,KBeTe2,10.527000000000001
830,Al3Ni5,78.42
831,Ni2H,71.487
832,Yb3SiO,47.067
833,Sr2BeZn,20.753
834,MoAsW2,5.9
835,YOF,62.446999999999996
836,Li5FeF8,30.74
837,TiZnF5,19.713
838,Pm2MgAl,32.12
839,PaO2,108.58
840,YbMnGe,28.233
841,Be2FeBr,27.506999999999998
842,TlSn,6.5329999999999995
843,NbTl3Se4,8.52
844,Ta3SeI7,21.987
845,SrAu2,20.833000000000002
846,Tb(FeSi)2,81.193
847,BaNa2Ge,5.607
848,FeCu2SnS4,16.04
849,PaTlO3,64.66
850,PrAlGe,51.2
851,LuBO3,76.893
852,KAlF4,36.19300000000001
853,H2C,26.62
854,K3Ag3As2,14.34
855,HoO3,0.40700000000000003
856,ZnAu,26.2
857,TmAs,61.52
858,MgV2O6,21.1
859,Zr2Ni,23.346999999999998
860,Dy2AlZn,40.96
861,BeMoSe2,37.086999999999996
862,NiHO2,14.4
863,Er3InN,69.56
864,CoBr2,11.887
865,Nb2VAs,19.72
866,NaIO4,18.953
867,CoNiSn,50.547
868,TbBPd3,20.16
869,CaBeNi2,33.507
870,LiMnPd2,47.3
871,Tb(SiAg)2,52.313
872,Ca(MgAs)2,38.733000000000004
873,HgSO4,21.133000000000006
874,KPrO2,46.44
875,DyIr3,109.0
876,Sm2PbS4,36.993
877,LiBeV,43.593
878,K2NaInP2,15.687000000000001
879,KNaH2,14.487
880,LiZnAs,40.44
881,BaNaSr2,7.0070000000000014
882,TbN,124.54
883,FeCu2SnS4,25.24
884,Mg3P2,39.98
885,Te3As2,25.78
886,Ce(AgGe)2,33.733000000000004
887,BeGaSi,16.987000000000002
888,YbAsO4,38.42
889,CaZnSi,26.16
890,Ba2CaUO6,44.593
891,Na2CeO3,53.553000000000004
892,KMnRu,1.38
893,K4ZnAs2,9.033
894,LuTlTe2,24.046999999999997
895,LiSiBO4,75.6
896,Sc2IrPd,45.88
897,CaBe2Ru,56.887
898,Hf3Bi,46.653
899,ZrAsCl,24.88
900,Zn2AgSbO6,52.073
901,Er(MnGe)2,45.0
902,SnBr4,5.28
903,NbCo2,111.44
904,TbAu,32.46
905,Ce2ZnHg,16.2
906,Ca2AlSnO5,45.7
907,Na2ThF6,29.807
908,ZnFe3C,119.74
909,CaCl2,16.147000000000002
910,Sr2As,25.18
911,PbAu2,19.48
912,UTeO,41.126999999999995
913,LiHfPd2,13.0
914,Rb2Pd,5.513
915,SmMgGa,44.19300000000001
916,NdTlTe2,21.88
917,Ti2Co,6.72
918,TbAl2,57.86
919,Ce(SiRh)2,88.4
920,FeSiW,118.46
921,SmCuSe2,33.793
922,UIr3,122.68
923,ErInAg2,30.36
924,Fe(HO)2,56.94
925,USeO,62.086999999999996
926,Be2TcIr,68.5
927,VFe3,8.86
928,RbBS3,13.007
929,Ca3(SiIr)4,51.22
930,PrCuO2,34.393
931,P4Ru,107.87299999999999
932,Ti3Si,40.8
933,SO2,7.212999999999999
934,BeNi2P,29.826999999999998
935,Tb(MnGe)2,64.3
936,DyTe,36.54
937,ZrSnPt,62.28
938,Zn(BH4)2,10.767000000000001
939,HfSiMo,104.46
940,Mg5H8O9,45.233000000000004
941,K2NbCl6,8.667
942,Sc2ZnPt,43.94
943,ErHg,28.82
944,Ba2LiV,11.5
945,RbNaH2,12.067
946,Pd3Pb,46.62
947,DyCd,28.28
948,DySi,66.54
949,NdScGe,35.91300000000001
950,Al2CdSe4,30.72
951,CaTl3,14.44
952,K3YF6,14.74
953,PbBrCl,2.4930000000000003
954,RbNa2BO3,25.46
955,Be2VZn,39.347
956,HfZnCo2,73.92
957,Sm3CuGeS7,37.207
958,CaTbF6,7.4670000000000005
959,BeNiPd2,31.94
960,NaPrS2,33.14
961,BePbCl2,3.213
962,BaTe2,17.947
963,YbPO4,49.853
964,Pr(ZnP)3,45.207
965,NaVO2,57.56
966,MnBeIr2,83.353
967,UH3,77.38
968,BeGaOs2,55.5
969,CeTh2O6,89.16
970,Li2VOF5,18.1
971,PrO2,25.96
972,Ba2YZr,9.88
973,ErTiSi,51.633
974,KBe2BO3F2,52.207
975,Be2FeGe,94.44
976,Na2MgCl4,15.187000000000001
977,BeNbTl,18.153
978,IrN2,224.02
979,MgBeNi2,57.3
980,MnGa,36.613
981,Sr2IrO4,65.053
982,LiBC,169.487
983,K2LiAlP2,21.826999999999998
984,Li2SbAu,24.88
985,NiS2,14.8
986,Tm2O3,72.78699999999998
987,Y(FeO2)2,31.087
988,Rb2Mo3,11.667
989,Lu2NiOs,54.66
990,Ho(FeB)2,80.42699999999998
991,HoVO4,62.327
