,pretty_comp,encut
167,CrSn(PO4)2,1300
168,Rb2V3O8,1250
169,Ba3Hf2O7,1250
170,Li3Co2(GeO4)2,1250
171,Nd2Ta2Cl2O7,1200
172,K2ScSi4F,1300
173,Ca2BeIn,650
174,CaMg2,1050
175,VSnPO5,1250
176,NaMgBe2,1000
177,LiGaHg2,800
178,PaFe3,800
179,MgSnF6,650
180,Ba4ScZn,650
181,K3Sn5Cl3,1250
182,Th(FeSi)2,750
183,Ti2Cd,500
184,Ba4AgAuO6,1300
185,FePH6NO5,1250
186,Hf2Tl,500
187,TmInAg2,500
188,HfSi2,500
189,Ba6HfO8,1250
190,Nb2O5,1150
191,Y(FeGe)2,750
192,HoGa3,600
193,LaBeCr4,1950
194,RbInBr3,650
195,Rb2Ti(CuS2)2,900
196,Co3NiO8,1150
197,Na2NiO2,850
198,Li4Co(OF)2,1250
199,KSc2F7,750
200,Sc6Al6Os7,750
201,PAuS4,650
202,Al5C3N,1050
203,I2O5,1300
204,Li3Cu,1150
205,V2MoO8,1200
206,Li2CrS3,1200
207,HoMgAu2,650
208,LiNdTiO4,1250
209,NaNi3,650
210,RbTeO3,1100
211,LiOs2W,800
212,FeSb,700
213,RbSeBr3,650
214,BePPt,950
215,LiCuO,600
216,Sc6Te2Os,500
217,PIr2,500
218,Nb4AlC3,900
219,Li3Al2VO6,1250
220,RbZrMnF7,1250
221,HfMg2Be,750
222,Ba(PIr)2,600
223,Mo2SeS3,650
224,Zr(MoO4)2,1200
225,SrAl4O7,1300
226,Li5FeS4,1200
227,KNa2BN2,900
228,ScF3,700
229,ZrSnPd,500
230,PrHoZn2,600
231,KCaNb2O6F,1250
232,VBO4,1100
233,ScPd3C,750
234,Lu2NiIr,600
235,Li7(SbS)2,1350
236,Li2NbCr3O8,1250
237,SmCoSi,550
238,KAu(I2O)2,1250
239,Nb4CoSi,600
240,YInCu2,650
241,NiSe2,700
242,ErFeC2,900
243,Fe3O4,1150
244,Sc2BeBr,700
245,Rb2NaErF6,1150
246,Ba4YBi,550
247,NbIr3,500
248,KNaICl,650
249,K5V3,1300
250,LiSiAg2,750
251,KBaW,500
252,Cr(CoO3)2,1250
253,Ca(As2Rh3)2,650
254,VCoTe,500
255,Lu4B6O5,1300
256,SiP2O7,1350
257,MnBe2Rh,1050
258,CdAs2,500
259,SiAs2,850
260,Cd3PCl3,800
261,Hf2FeIr,500
262,Li2GaRh,700
263,TaMnP,700
264,Ho5Pb3,500
265,Nb2P,800
266,YN,800
267,BeNb2Si,900
268,CaVO3,800
269,FeCuO2,850
270,Ca3FeRhO6,1250
271,ZrNiSb,600
272,LiV6O7F5,1250
273,Sr2BeRh,1000
274,Sc2CdTc,1050
275,Np(FeSi)2,800
276,Pr2O3,1200
277,TbSiIr,500
278,K2CrH2F8,1250
279,NaSe,500
280,MnPH6NO5,1250
281,Li2CuSiO4,1250
282,NiPRh,750
283,Li4VFe3O8,1250
284,Rb2Se3,500
285,Ba4InCo,600
286,GeS,600
287,NbS3,750
288,Ce(AlGe)2,1250
289,Sr3Co2Cl2O5,1150
290,Er2CdIn,500
291,Li2BeIn,800
292,K2BaCdSb2,500
293,Ba2YF7,1250
294,Mg2NiSbO6,1250
295,Sr2Ta2O7,1250
296,Na2BeFe,600
297,BeTcIr,1000
298,Li5CoO3F,1350
299,CaHCl,600
300,HfMo2,500
301,LiMnOF2,1250
302,WS,600
303,Tb3(CuSi)4,950
304,Tl3AsO4,1200
305,BiF3,1250
306,CuAsW2,650
307,TaBe2Nb,1000
308,InCuRh2,650
309,Li6FeO6,1250
310,Ti3PO7,1250
311,Mo2WS6,650
312,Na2Nd2Ti3,1250
313,CdGeP2,500
314,Li4Fe3TeO2,1250
315,TbCuPb,850
316,NaEr3,500
317,BaNdO3,800
318,TmNbRu2,500
319,AgClO3,1300
320,CeC2,700
321,LaCuO2,1600
322,ScS2,600
323,Lu2Fe2Si2C,850
324,CeCoC2,850
325,TmPt3,800
326,NbNiAs2,700
327,InSb2Se4Br,550
328,Re3Sn,750
329,Sc2C3,950
330,BaGaSb2,600
331,KBa4Mo,500
332,UCrC2,950
333,LaBe2V,1850
334,Li4Mn3Fe2(CuO2)3,1250
335,Rb2Li2GeO4,1250
336,AlN,900
337,NaV2O5,1250
338,AgCNO,1100
339,Na2Al2As3,1300
340,Fe2GeO4,1150
341,CaTiF6,850
342,Ti2CoSe4,600
343,NdCo4B,950
344,ErCd3,650
345,BePdBr,900
346,CO,1200
347,Ba4LiSb,700
348,FeP2O7,1250
349,Ag2O3,850
350,ErCoSn,600
351,Y2IrRh,550
352,PrGeAu,550
353,Sc3CoC4,900
354,Sr3LiIrO6,1250
355,KMnCl3,900
356,SrBeCl,950
357,Er(AlGe)2,500
358,TaBeZn2,600
359,LiBF4,1250
360,Ba4TlIr,600
361,ThSO,800
362,PuC,800
363,GaIr,500
364,Y2(NiB2)3,700
365,BaAg2GeS4,650
366,LiNiOF2,1450
367,Rb2Al2B2O7,1900
368,TiZnN2,950
369,Np2InPt2,750
370,BCl(OF2)2,1250
371,LiCa2Mg,750
372,BeZn2Mo,600
373,TiGaNi2,600
374,SrCaI4,500
375,DyTaO4,1200
376,AcTlAg2,500
377,Zr2Au,500
378,CaTi4Cu3O2,1250
379,AgHO2,850
380,WSe2,500
381,SrBeCl,950
382,Sn2IF3,850
383,GaSnRu2,500
384,CdNiP,600
385,SmAs,500
386,TlCd(NO2)3,1250
387,SbS2,600
388,Hg(SbO3)2,1200
389,Bi4Te7Pb,500
390,Er6Te2Ru,500
391,SnAsRh,500
392,K3Ir,550
393,HoErAl2,500
394,MnCo,500
395,HfGaAu,550
396,Dy3Co,550
397,InS,600
398,Na5Co2S5,800
399,TmNiGe,750
400,Pm2SnPd,500
401,Mn2SiW,500
402,PrSmMg2,600
403,Hf2MgBe,800
404,Sr7(HCl)2,900
405,Na5CrO4,1200
406,SrReN3,1250
407,MgTiF4,1200
408,Si2O5,1250
409,Cr3O4,1200
410,NbH2,600
411,Y2SO2,800
412,DyHg,500
413,Sr3(AlGe2)2,750
414,Li2Ti3FeO8,1250
415,Fe2AsSe,700
416,MgBiPO6,1250
417,P2PdO6,1300
418,DyBi2BrO4,1100
419,Np3Be,800
420,HfAsIr,500
421,NpAs3,700
422,Ba2HfTe,600
423,RbYbO2,800
424,AgBiSe2,550
425,K2BeNb,950
426,MgScBe2,1000
427,Ba4VSn,600
428,Dy(Ni2P)2,700
429,Li2UO4,1300
430,Ni3S2,700
431,Zn3P2,700
432,Li9(CoO4)2,1300
433,Al6Cd4TeO2,1250
434,Be2Ag,1100
435,NaCaBe2,1050
436,LaF3,2000
437,Tl2CuAsO4,1200
438,YbSmPd2,500
439,HfMoP,650
440,BaSc2Ni,600
441,KAgBr3,650
442,AlCu,600
443,K2NaFeO3,1150
444,Ba4NaSn,700
445,BeGeRh,650
446,NdBrO,800
447,MnSnRu2,500
448,HfBeBi,950
449,Ba2YZn,600
450,Tm2MgIn,600
451,HfBe2Fe,1000
452,Li(MnS2)2,800
453,AgTe4Au,550
454,HoSiIr,550
455,SrZrO3,800
456,Li4Ti5(FeO2)3,1300
457,Pm2ZnSi,500
458,Ba2YSb3O8,1250
459,Cr2AgBiO8,1100
460,KAuO2,800
461,Re2C,850
462,Be2IrRh,1050
463,TaGaNi2,600
464,Sr2SnO4,1250
465,Li4BeOs,1200
466,Hg2P3Br,500
467,RuN,800
468,CaSbRh2,600
469,BaScSb2,500
470,Ba2YCo3O8,1250
471,NbGaRu2,500
472,Be2FeCl,1000
473,Sm(AlZn)2,650
474,Ba2InNi,600
475,Ba4RhW,550
476,ZnRhF6,850
477,SmBr,500
478,HfSiRh,650
479,BaCaSi,750
480,Be2P2O7,1300
481,KBeCd,1000
482,Li5ReN4,1300
483,RbHSeO4,1300
484,TbTl,500
485,CaY2O4,1200
486,NdI2,500
487,Li2Ti(BO3)2,1300
488,BaHf2Cl,600
489,CaAlAu,650
490,Li2SiSnS4,800
491,PdAuO2,800
492,Sr(Ni2Sn)2,1950
493,Sc2CdAg,600
494,Na2MoO4,1250
495,Nd(MnSi)2,650
496,Tb(HO)3,1200
497,Be2InPt,1050
498,LiBO2,1300
499,YP,500
500,LiV2O5,1250
501,Na2Te4MoO2,1300
502,NaSrO3,800
503,Ti2TcIr,800
504,LiHf2Tc,750
505,Ca(SbO2)2,1200
506,LiRuO2,1200
507,Sm(BRh)4,1200
508,Li3TiCo3O8,1300
509,Dy2TeO2,800
510,Be2ZnCd,1050
511,LiNbFeO4,1250
512,Be2Re,1100
513,BeFe4Ir,750
514,YCoF5,850
515,Rb4CO4,1100
516,TiCdAu2,600
517,Nb2ReO8,1250
518,TiPRu,600
519,BaNi2Br,600
520,SrSn(BO3)2,1250
521,CaBeFe2,600
522,Yb2ZnRh,500
523,YNi4Au,650
524,BeGeIr,650
525,Ba2YCr3O7,1200
526,HfZrTc2,1050
527,BaTcCl,800
528,Si3CCl8,700
529,KBeGa2,650
530,Ag2Cl3,900
531,Ba3NaIr2O9,1300
532,Ta2BeCr,1000
533,TbC2,900
534,BeCo2Pt,800
535,Ta(BeIr)2,1000
536,PdS2,850
537,BaSi2Br,500
538,Ba4MnOs,700
539,Nd(BOs)4,800
540,Sr3CuPtO6,1200
541,NaHCO3,1300
542,NdCoP,600
543,PaNi2Sb,650
544,Sr2NiTeO6,1100
545,BaTi2Ga,550
546,Mg3Hg,1050
547,Pm2SnHg,500
548,AgAuF4,1100
549,Zr6Al6Pt7,1100
550,U7Te2,600
551,TiBr4,650
552,KMn(SeO4)2,1250
553,LiFeRh2,600
554,AlPPt5,850
555,NaCl,600
556,CaCN2,950
557,Al2Si4O,1300
558,LiBe2Bi,900
559,LiTcO3,600
560,ZrCu,600
561,Na3ScF6,1250
562,Ta2O,800
563,TbTe,500
564,MnBe2Tl,1050
565,NiI2,600
566,HfBeRe2,650
567,Be2CoPd,1000
568,RbAuC2,900
569,Ba4SbPt,600
570,RbTl2Bi,500
571,Co3(SnS)2,650
572,SnPbF4,1200
573,K2O2,1100
574,Li2CeTl,850
575,HgBr2,700
576,YWF5,850
577,BeVIr,1000
578,K2BeGe,650
579,YbIn2Au,600
580,Ce3Tl,1400
581,BeVOs2,650
582,InCl,600
583,NaMgBe,700
584,NaAsP,500
585,ErSCl,600
586,BeNbP2,700
587,BeTcW,1000
588,Cu4O3,1000
589,BeTl2Ga,650
590,TiBe2Pt,1000
591,NaSnPd2,500
592,Be2RuAu,1050
593,ZrGaNi2,550
594,Be2MoCl,1000
595,Ba2YbTaO6,1200
596,Li2CuNi(PO4)2,1250
597,DyB2Ru3,550
598,Ba2CrIn,600
599,Li3Be,800
600,BeTcNi,1050
601,Fe(PO3)3,1300
602,HgMoO4,1200
603,Nd2O3,1250
604,ErTa3O9,1250
605,CeMg2Cu,850
606,HfNbP,800
607,SrLi4N2,1300
608,Rb2HgTe,500
609,BaYIn,500
610,V3(As2O3)2,1300
611,ZnPd3,500
612,KCaNi2,600
613,K2S5,650
614,Ba2Mg7,1100
615,YbAu,500
616,K5V3F4,1300
617,TiI,500
618,Ba2CdBi,550
619,Li5CoO4,1350
620,Ca2Mo3O8,1250
621,Na3BN2,1250
622,Li3Re,500
623,LiFe(SiO3)2,1250
624,Y4SiS3,600
625,Yb(FeO2)2,1050
626,K2ErF5,1250
627,TbSb,500
628,TiAgSe2,500
629,Sr3Lu,500
630,VZnF4,1150
631,HfAlIr2,500
632,CdBiClO2,800
633,NaCNO,1050
634,CaCr2O4,1150
635,BaNa4O3,1200
636,Th(CuSn)2,950
637,Sc2AlCu,600
638,Sm2Mg,650
639,LiInAu2,750
640,LuPaTc2,1000
641,Be2NbBi,1000
642,Te2Rh3,650
643,CaTiO3,850
644,BaSiO9,1350
645,Ca(SbO3)2,1250
646,Cr3S4,1050
647,Dy(HO)3,1200
648,TiBe2Pb,1050
649,LiSbS2,800
650,Li4Mn2Cr3(CoO2)3,1300
651,CS4,1050
652,Li2CoBO4,1300
653,PrGaO3,800
654,LaScSi,1900
655,Ba2TbIrO6,1200
656,U2FeS5,650
657,Tb6Br7,650
658,CaCdSi,500
659,Rb3Nb2Br9,700
660,Rb3Sb,500
661,IrW,500
662,PrMgCd2,600
663,KZnF3,800
664,BeGa4Tc,1000
665,NaTaO3,1250
666,Fe9Co7,1000
667,HfVGe,650
668,VS,600
669,Pb2O3,800
670,BaCO3,1200
671,TiCl3,850
672,Li2CrSiO4,1250
673,Ti5Ga4,750
674,CaBiF6,850
675,Ba4TiZn,650
676,BaNa2V,700
677,Sr2CaUO6,1250
678,Dy2PbS4,600
679,SrCd2,600
680,Ce(PRh)2,1350
681,BeTc2Ru,1050
682,Mn2CrO6,1200
683,Cr3Rh,550
684,Er3(In2Co)2,600
685,MnBeSn2,600
686,Ba2YMn3O8,1200
687,Fe(NiSe2)2,600
688,Dy2IrRu,500
689,Y3Sc2Al3O2,1300
690,RbSmO2,800
691,Zn2CoN2,950
692,Be2RhCl,1000
693,MnPd2Au,550
694,InPH2O5,1250
695,MgBeSn,650
696,SmSi2,500
697,HfC,800
698,LiNi2Sn,650
699,GaNiRh2,600
700,LiVF4,1250
701,Cu3Sn,950
702,HoPd2,500
703,V3Cu,650
704,Rb2SiAs2,500
705,Ba4CrMo,550
706,Mn2Al4Si5O8,1300
707,Nd(CuSi)2,650
708,LiBe2Pt,900
709,Dy6FeTe2,550
710,SmGa,500
711,SrAgAs,500
712,Dy2AgOs,500
713,RbAu(SO4)2,1250
714,TbGeAu,550
715,ZrBe2Pb,1050
716,K3Bi,550
717,Sb3O4F,1250
718,La2MgNi2,1100
719,V2NiS4,600
720,BeRe2Pb,650
721,KCuCO3F,1250
722,BeSb2Pt,850
723,PrSb,500
724,BeAgW,950
725,ScGa5Co,700
726,Sm9Ga4,600
727,Sm(ErS2)3,750
728,Dy(SiRu)2,500
729,NbCo3O8,1300
730,SnBi3,550
731,Yb(SiAu)2,550
732,AgC,500
733,Ag2S,500
734,HoPb3,500
735,Co5CuO8,1200
736,MgAlIr2,700
737,Ba2DySbO6,1250
738,H2CSO4,1300
739,AsIrOs2,600
740,Cu2PdAu,650
741,LuAlGe,500
742,NdCu5,950
743,CaZnSn,700
744,BeBiMo,950
745,Na3VO3,850
746,LiVFeO4,1250
747,Be2VRe,1050
748,Ba2HgS3,650
749,MgCoPO5,1250
750,SrMn2Si,650
751,Li4PbO4,1300
752,TbO3,800
753,ZrSi,550
754,IrC,800
755,HfCr2,600
756,Mg2H6Ru,600
757,Pr2InAg,500
758,LiGaCl4,1250
759,Ba3Fe3Se7,1000
760,NaCdIn2,500
761,MgPd3,850
762,Cr(GaS2)2,650
763,Nb3O7F,1200
764,YBeZn,950
765,Tm2CuRu,650
766,MgSn2O5,1250
767,MgBe2P,950
768,Be2GaOs,1000
769,CBrN,1000
770,Hf2Hg,500
771,BaNaTl2,650
772,Sr(H2N)2,950
773,SBr,600
774,AuN,800
775,Cd(GaTe2)2,500
776,LiNbIr2,550
777,GaFeIr2,500
778,CrNiO4,1150
779,TiPtPb,500
780,FePt3,600
781,Ca(Ti4S3)2,650
782,YGa,500
783,CaPdF4,1200
784,ThB2Ru3,550
785,Mn(BeCl)2,1050
786,MnGePd,1050
787,Li2NbS3,1250
788,Ba2YbNbO6,1200
789,Ba4CrRe,600
790,LiMoO2,700
791,SrMg3,1000
792,Ti2InFe,700
793,YbCo2,550
794,TaGaCo2,600
795,Ba3PrRu2O9,1250
796,LiMnFeO4,1250
797,Sc2AlHg,500
798,ScTaTc2,1050
799,SmBiAu2,550
800,Be2HgW,1050
801,SnCl4,850
802,SbRh,650
803,BaZn5,750
804,Li(VS2)2,800
805,AlTlSe2,500
806,PrNdO2,750
807,Rb3Hg,500
808,SmAl2,500
809,Cr3Os,600
810,NbZnRh2,500
811,LiCaTl2,750
812,LiCu3,950
813,MgAs,650
814,CaZrGeO5,1100
815,BaNa2Tl,700
816,Rb3Ga,500
817,Sr3BPO3,1250
818,Ba4MgPb,550
819,Hf4BeIn,1000
820,ScGa2Ru,500
821,CrRh3,650
822,LuMgCd2,650
823,Cu(HO4)2,1350
824,Ba2SrIrO6,1150
825,Ba4SiTe,650
826,ThSiO4,1200
827,PrIn,500
828,Pr2UTe4,550
829,LiBeTc2,1000
830,Lu(CrSi)2,600
831,UCo2,550
832,K6CdTe4,600
833,TbPt,850
834,Tm2CdS4,600
835,YbIr,500
836,MgCdAu2,650
837,KHoS2,600
838,ZrCrF6,850
839,Mn(GaSe2)2,650
840,KNdTe4,500
841,ZrBe2Sn,1050
842,TaPt2,850
843,BaPr2CuO5,1200
844,Zr3Cd2,650
845,Hf2ReOs,650
846,V4S9Br4,1050
847,TiP3,500
848,Zn2CuRh,550
849,SiHg3,550
850,LuMgHg2,600
851,LaS,1350
852,Pr2CuIr,650
853,Be2NiBr,1050
854,TbGaPd,900
855,SmBiRh,650
856,KSnPCO7,1300
857,BaAlSi,500
858,Yb(NdS2)2,600
859,PbCO3,1350
860,SrO,700
861,Ca(Fe2Sb)2,950
862,K4V2O7,1150
863,BaCrF5,1250
864,SrNd2O4,1150
865,BeSnBi,650
866,Ba4CoMo,600
867,K2RbSb,500
868,LiLa2Os,1500
869,Nd2Ti2O7,1250
870,Tc3N,750
871,ZnCr4O6,1200
872,Sm2MgTl,650
873,BaSrNb,500
874,TiGePt,500
875,CaGa3Ni2,600
876,Be2NbW,1000
877,AlSn,500
878,RbS,550
879,ReTe,600
880,Na2TlBi,700
881,Ho2OsRu,500
882,TlCu4S3,950
883,Ce3Mg,1800
884,Te4MoW3Se4,800
885,Li5Nb2V5O2,1250
886,Yb2Nd2O5,1150
887,KBe2Tc,1050
888,LuNiBi,600
889,HfCo3B2,1000
890,K3Rb,550
891,NaC2N3,1300
892,SmAu,500
893,Ba4InGe,650
894,LiNiO2,550
895,Mg2CuSbO6,1250
896,TlBSe3,700
897,Tm3PbC,800
898,NaGeSbO5,1250
899,SrMnGe,700
900,Na3CrBAsO7,1250
901,Yb(SiRu)2,500
902,TaRu,500
903,BeFeNi2,650
904,HoNiO3,1450
905,Na3Co2SbO6,1200
906,Al3Mo,550
907,TbSnPd2,500
908,Ca2YBiO5,1200
909,Yb2Sn,550
910,BeSiRh2,650
911,CuCSN,1000
912,Tb2Tl,500
913,Sc3SnB,600
914,SrCdSi,500
915,Sm3Ho,500
916,Y3Tm,750
917,V3Pt,500
918,Nb3Fe,550
919,Sr3In,500
920,BePdPt2,1000
921,Na2BeRe,600
922,CaBeIr2,950
923,HfPd,500
924,ZrPbO3,750
925,ThTeAs,500
926,Be2GeP,1000
927,Cu2H3ClO3,1200
928,NaYbAu2,550
929,TlPd3O4,800
930,Be2GaW,1000
931,Er2Te5O3,1300
932,CrO2,800
933,LiTiBe2,900
934,Mg3Nb,750
935,Li8CoO5F,1300
936,ScGa,500
937,MnTe,650
938,Na5Pb4,950
939,MgTc2As,800
940,Ni2SbTe2,700
941,CaGe2O5,1250
942,MgBe2Sn,1000
943,Be2CuIr,1000
944,ErTaRu2,600
945,TcN,900
946,LaPd3S4,1000
947,K2NaBe,650
948,NaVS2,600
949,YRu2,1100
950,RhSe2,800
951,Al2FeIr,500
952,CeAl4,1200
953,Mn2Au5,550
954,ZrBe2Fe,1050
955,Lu2OsPd,500
956,Ba4ZnBi,650
957,BeOs2Ru,650
958,Ba4MnW,650
959,TcTeAs,750
960,Ba4ZrV,500
961,ZnMo2O5,1200
962,BeZn2Fe,600
963,Co2Mo3O8,1300
964,TaCoSb,500
965,Ho3Hg,500
966,BeOsPb,650
967,EuGe2Ir,700
968,Pr4Ge3,700
969,Te2Mo3WS6,650
970,Ta4BeTe,950
971,CrN,850
972,Ba4ZrTi,500
973,Hf2N,850
974,Pa3Zn,600
975,Dy5Sn3,600
976,HfInAu2,550
977,MnGaPt,500
978,LuAsO4,1200
979,BaZnIr2,500
980,LiTiPt2,750
981,NdHoIn2,550
982,Tc2P3,1150
983,CrSi2,650
984,Ce(SiPt)2,1300
985,Zr2Fe,500
986,Zn(GaS2)2,650
987,Ba4NiSb,550
988,Ba2YV3O8,1200
989,Be2TeP,1000
990,Li7Cr5O2,1300
991,K3AlH6,700
992,RbSmTe2,500
993,NbN,800
994,TbBi5O9,1200
995,RhPb,650
996,Rb2Hg2PdCl8,850
997,Ba4CdRh,500
998,ScHg,500
999,Ba2YV,500
1000,Al2ZnTe4,500
1001,Al3Cu,600
1002,CaMn2O4,800
1003,Cd2Hg,550
1004,Zr6Al6Os7,1150
1005,BaCdIr2,500
1006,SmGeRu,500
1007,Mg(FeN)2,950
1008,HfBe2Ir,1000
1009,Sb2Au3F8,1300
1010,Li4Al3Ge3IO2,1350
1011,Tm4InRh,650
1012,BaSr2Tl,500
1013,MgSiAs2,650
1014,Tb4CdCo,650
1015,Ba4SbOs,650
1016,CdAsPd5,900
1017,ScCo,500
1018,Ba4TcGe,550
1019,Zr5Sb4,950
1020,MgNiH2,550
1021,LiAg3,850
1022,ZrBeCl,950
1023,LiTiSiO4,1300
1024,P4PtF2,1250
1025,DyAlO3,1150
1026,Al2(BiO3)3,1250
1027,Nd3PbC,600
1028,BaCdTe,500
1029,Hf2FeOs,700
1030,BaSrSc,500
1031,Zn2SeCl2O3,1250
1032,Zr2BeCr,1000
1033,Rb2Se,500
1034,NdNi4B,900
1035,BeSi2Os,650
1036,YCuSn,650
1037,Li3BrO,1200
1038,MnBeCd4,650
1039,ThSnPd2,500
1040,K3Nd(AsS4)2,750
1041,LiAuS,1200
1042,LaBe2Cd,2000
1043,FeN,850
1044,Rb2SnCl6,800
1045,ErAgSe2,850
1046,TiAl2O5,1250
1047,Be2FeNi,1000
1048,BeTl2Ge,650
1049,RbLiSe,800
1050,Ba2CaNi,550
1051,SrPdF4,1150
1052,Pr3SiAgS7,850
1053,Ga3PO7,1200
1054,TbHg,500
1055,MgBeTc2,1050
1056,ZnWF6,850
1057,YbTmHg2,550
1058,B3Ru2,750
1059,SrLi2Tl,750
1060,BeGa2Br,650
1061,Li2NiBO4,1250
1062,PmBiRh2,600
1063,YV(WO4)2,1200
1064,TmRh,500
1065,BeTlTe,700
1066,ScInIr2,500
1067,Sc2MnC,800
1068,YbAg2,500
1069,ZrBeRh2,1050
1070,HfP,600
1071,NdI3,500
1072,Ti2BeMo,650
1073,TaMnAs,500
1074,LiPH2,750
1075,ScBeCr2,1050
1076,SrZrBe2,1050
1077,BaTaHg,500
1078,Ba2TlTe,600
1079,KBe2Cu,1050
1080,K2SnCl6,800
1081,CaSnRh2,600
1082,Ba2LiOsO6,1200
1083,LuOs3,750
1084,YFe2,750
1085,Ba2AlV3O8,1200
1086,ThAu2,550
1087,Pr2Co2I,500
1088,MoF4,850
1089,YNbO4,1200
1090,CuSnAs,550
1091,SrCrRh2,650
1092,Ba2SnCl,600
1093,Nd2IrRu,600
1094,Li2YbPb,800
1095,K2TeO3,1100
1096,DyHO2,1100
1097,TlPPbS4,650
1098,Ba4CaV,550
1099,LaB2Ir2C,1150
1100,BaNaSr2,500
1101,Ni3S4,650
1102,PmCdPd2,850
1103,Ca4Cl6O,850
1104,BePdRu2,1000
1105,Pm2IrPt,500
1106,Pr5NiPb3,700
1107,Th2Al2C3,900
1108,TlCoCl3,800
1109,Y(CuO2)2,1150
1110,Ba4TiPb,600
1111,AsRu2Au,600
1112,Li4Ti3Co3(NiO3)2,1250
1113,CIF7,1300
1114,NiH2SO5,1250
1115,Y2Pt2O7,1250
1116,Hg3Pd,550
1117,BaAsAu,500
1118,Ba4CdTe,550
1119,Te2Mo(WS2)3,650
1120,SbOF,700
1121,AsRhW2,600
1122,Ba(NiO2)4,1100
1123,Ba2CrCd,500
